date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.23,27.43,12.34,0.0,17.72,37.79114866980545,35.99405093306146
2004-10-02,17.89,25.24,11.03,0.02,16.39,37.79114866980545,35.99405093306146
2004-10-03,14.15,22.33,7.17,0.45,15.98,37.79114866980545,35.99405093306146
2004-10-04,12.22,20.69,5.58,0.03,18.03,37.79114866980545,35.99405093306146
2004-10-05,13.1,23.0,3.24,0.0,18.72,37.79114866980545,35.99405093306146
2004-10-06,14.54,22.52,7.47,0.01,11.63,37.79114866980545,35.99405093306146
2004-10-07,13.59,20.29,9.99,0.01,11.27,37.79114866980545,35.99405093306146
2004-10-08,11.57,18.33,6.64,1.0,12.88,37.79114866980545,35.99405093306146
2004-10-09,10.89,16.74,6.57,0.43,12.59,37.79114866980545,35.99405093306146
2004-10-10,12.27,19.4,6.1,0.81,16.23,37.79114866980545,35.99405093306146
2004-10-11,13.57,21.39,7.69,0.0,18.08,37.79114866980545,35.99405093306146
2004-10-12,15.61,23.28,9.98,0.0,17.28,37.79114866980545,35.99405093306146
2004-10-13,14.57,22.27,7.17,0.24,14.89,37.79114866980545,35.99405093306146
2004-10-14,13.68,18.68,10.01,0.27,15.54,37.79114866980545,35.99405093306146
2004-10-15,15.02,21.59,9.09,0.0,14.95,37.79114866980545,35.99405093306146
2004-10-16,14.48,20.25,9.28,0.0,13.18,37.79114866980545,35.99405093306146
2004-10-17,14.63,22.53,6.81,0.0,15.44,37.79114866980545,35.99405093306146
2004-10-18,16.74,24.77,11.17,0.0,15.65,37.79114866980545,35.99405093306146
2004-10-19,16.96,24.17,12.63,0.0,15.59,37.79114866980545,35.99405093306146
2004-10-20,15.29,22.77,10.33,0.28,15.18,37.79114866980545,35.99405093306146
2004-10-21,10.22,16.68,3.35,1.78,14.15,37.79114866980545,35.99405093306146
2004-10-22,9.04,17.09,1.55,0.0,14.57,37.79114866980545,35.99405093306146
2004-10-23,10.32,19.68,2.15,0.0,15.95,37.79114866980545,35.99405093306146
2004-10-24,11.95,19.21,7.01,0.0,15.09,37.79114866980545,35.99405093306146
2004-10-25,13.23,20.93,7.24,0.0,15.15,37.79114866980545,35.99405093306146
2004-10-26,13.12,21.8,6.49,0.0,14.44,37.79114866980545,35.99405093306146
