date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,25.95,33.79,19.1,0.0,19.07,37.5327735627561,38.04447524658301
2004-10-02,24.74,32.45,18.31,0.02,18.62,37.5327735627561,38.04447524658301
2004-10-03,22.83,30.52,16.01,0.0,17.04,37.5327735627561,38.04447524658301
2004-10-04,21.4,28.41,14.55,0.0,16.91,37.5327735627561,38.04447524658301
2004-10-05,20.87,28.42,13.25,0.0,18.64,37.5327735627561,38.04447524658301
2004-10-06,22.36,30.69,14.92,0.0,13.67,37.5327735627561,38.04447524658301
2004-10-07,21.17,29.08,14.47,0.0,16.92,37.5327735627561,38.04447524658301
2004-10-08,21.19,27.9,16.3,0.01,14.71,37.5327735627561,38.04447524658301
2004-10-09,19.68,25.98,14.85,0.0,17.47,37.5327735627561,38.04447524658301
2004-10-10,19.29,26.61,13.25,0.03,17.77,37.5327735627561,38.04447524658301
2004-10-11,21.5,28.56,15.2,0.0,17.58,37.5327735627561,38.04447524658301
2004-10-12,22.39,29.65,15.51,0.0,10.27,37.5327735627561,38.04447524658301
2004-10-13,20.76,27.12,15.67,0.0,8.69,37.5327735627561,38.04447524658301
2004-10-14,20.34,26.3,14.64,0.0,15.84,37.5327735627561,38.04447524658301
2004-10-15,22.62,28.67,16.63,0.0,15.31,37.5327735627561,38.04447524658301
2004-10-16,22.36,27.83,16.61,0.0,12.25,37.5327735627561,38.04447524658301
2004-10-17,21.83,28.62,15.21,0.0,13.5,37.5327735627561,38.04447524658301
2004-10-18,22.93,30.85,16.15,0.0,16.08,37.5327735627561,38.04447524658301
2004-10-19,23.58,31.26,18.66,0.0,16.47,37.5327735627561,38.04447524658301
2004-10-20,22.39,29.95,16.95,0.0,16.0,37.5327735627561,38.04447524658301
2004-10-21,19.1,24.57,12.54,1.03,9.75,37.5327735627561,38.04447524658301
2004-10-22,15.31,22.14,7.81,0.0,14.88,37.5327735627561,38.04447524658301
2004-10-23,16.81,24.0,9.93,0.0,16.25,37.5327735627561,38.04447524658301
2004-10-24,17.45,24.87,11.29,0.0,14.39,37.5327735627561,38.04447524658301
2004-10-25,18.51,26.54,11.69,0.0,14.61,37.5327735627561,38.04447524658301
2004-10-26,19.42,27.63,13.02,0.0,14.03,37.5327735627561,38.04447524658301
2004-10-27,20.69,28.13,14.72,0.0,9.97,37.5327735627561,38.04447524658301
2004-10-28,21.75,29.76,14.98,0.0,12.86,37.5327735627561,38.04447524658301
2004-10-29,17.07,20.11,13.99,6.2,3.01,37.5327735627561,38.04447524658301
2004-10-30,15.95,19.74,13.43,1.2,6.35,37.5327735627561,38.04447524658301
2004-10-31,15.95,21.04,11.67,0.39,10.55,37.5327735627561,38.04447524658301
2004-11-01,17.49,22.99,12.78,0.04,12.97,37.5327735627561,38.04447524658301
2004-11-02,17.79,24.11,12.33,0.0,13.03,37.5327735627561,38.04447524658301
2004-11-03,17.59,25.02,12.44,0.0,13.12,37.5327735627561,38.04447524658301
2004-11-04,14.19,21.19,8.84,0.84,8.93,37.5327735627561,38.04447524658301
2004-11-05,12.62,20.79,6.72,0.37,13.39,37.5327735627561,38.04447524658301
2004-11-06,11.34,14.39,8.55,31.99,1.82,37.5327735627561,38.04447524658301
2004-11-07,13.13,17.2,10.28,5.69,3.46,37.5327735627561,38.04447524658301
2004-11-08,14.05,19.01,10.43,1.7,9.79,37.5327735627561,38.04447524658301
2004-11-09,13.84,16.86,12.05,6.08,6.23,37.5327735627561,38.04447524658301
2004-11-10,14.1,18.45,10.71,2.01,5.14,37.5327735627561,38.04447524658301
2004-11-11,14.52,19.44,10.19,0.13,9.83,37.5327735627561,38.04447524658301
2004-11-12,15.33,21.01,11.38,0.01,11.97,37.5327735627561,38.04447524658301
2004-11-13,14.93,21.49,9.83,0.0,12.79,37.5327735627561,38.04447524658301
2004-11-14,14.45,21.21,8.53,0.0,12.84,37.5327735627561,38.04447524658301
2004-11-15,13.3,18.83,8.89,0.05,8.62,37.5327735627561,38.04447524658301
2004-11-16,13.12,18.73,9.88,0.5,5.34,37.5327735627561,38.04447524658301
2004-11-17,11.3,14.99,8.55,25.44,3.47,37.5327735627561,38.04447524658301
2004-11-18,8.74,14.61,4.44,1.51,12.24,37.5327735627561,38.04447524658301
2004-11-19,8.01,14.72,2.05,0.0,12.78,37.5327735627561,38.04447524658301
2004-11-20,9.53,14.71,5.3,0.69,6.25,37.5327735627561,38.04447524658301
2004-11-21,9.9,12.26,6.74,33.69,2.1,37.5327735627561,38.04447524658301
2004-11-22,7.4,10.78,1.96,3.59,4.27,37.5327735627561,38.04447524658301
2004-11-23,2.23,6.67,-2.3,2.38,11.87,37.5327735627561,38.04447524658301
2004-11-24,1.19,7.56,-3.75,0.0,12.1,37.5327735627561,38.04447524658301
2004-11-25,2.83,6.22,0.04,13.47,2.38,37.5327735627561,38.04447524658301
2004-11-26,1.35,2.49,0.42,23.78,2.27,37.5327735627561,38.04447524658301
2004-11-27,-0.63,3.32,-5.56,0.66,9.71,37.5327735627561,38.04447524658301
2004-11-28,-0.3,6.72,-5.72,0.0,11.16,37.5327735627561,38.04447524658301
2004-11-29,0.59,6.9,-4.61,0.0,9.07,37.5327735627561,38.04447524658301
