date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,18.79,26.22,12.78,0.0,19.86,38.208260406150096,30.139588287234734
2004-10-02,16.17,24.97,8.91,0.0,19.48,38.208260406150096,30.139588287234734
2004-10-03,14.84,23.05,7.68,0.0,17.77,38.208260406150096,30.139588287234734
2004-10-04,14.37,22.31,6.93,0.01,17.86,38.208260406150096,30.139588287234734
2004-10-05,15.17,21.4,10.67,2.08,12.99,38.208260406150096,30.139588287234734
2004-10-06,13.07,20.09,7.81,2.05,11.93,38.208260406150096,30.139588287234734
2004-10-07,12.66,16.84,9.76,7.78,7.34,38.208260406150096,30.139588287234734
2004-10-08,12.07,15.89,9.3,5.45,9.96,38.208260406150096,30.139588287234734
2004-10-09,12.69,18.93,6.89,0.21,13.31,38.208260406150096,30.139588287234734
2004-10-10,15.07,21.58,8.62,0.0,17.97,38.208260406150096,30.139588287234734
2004-10-11,16.6,24.09,9.38,0.0,17.62,38.208260406150096,30.139588287234734
2004-10-12,16.74,23.92,12.21,0.0,15.08,38.208260406150096,30.139588287234734
2004-10-13,14.76,21.87,8.86,0.13,8.93,38.208260406150096,30.139588287234734
2004-10-14,15.25,23.44,7.66,0.03,16.26,38.208260406150096,30.139588287234734
2004-10-15,16.48,23.39,10.85,0.0,15.3,38.208260406150096,30.139588287234734
2004-10-16,17.79,24.02,11.83,0.0,14.79,38.208260406150096,30.139588287234734
2004-10-17,18.22,26.14,12.44,0.0,13.8,38.208260406150096,30.139588287234734
2004-10-18,18.26,26.43,12.22,0.0,16.2,38.208260406150096,30.139588287234734
2004-10-19,17.58,24.76,11.16,0.0,15.7,38.208260406150096,30.139588287234734
2004-10-20,16.77,24.24,12.04,0.0,13.24,38.208260406150096,30.139588287234734
2004-10-21,15.58,21.75,9.44,0.0,15.96,38.208260406150096,30.139588287234734
2004-10-22,15.36,22.5,9.69,0.0,15.54,38.208260406150096,30.139588287234734
2004-10-23,15.16,22.74,8.11,0.0,15.18,38.208260406150096,30.139588287234734
2004-10-24,15.79,22.75,9.79,0.0,14.91,38.208260406150096,30.139588287234734
2004-10-25,16.35,23.3,9.28,0.0,14.35,38.208260406150096,30.139588287234734
2004-10-26,15.07,23.63,8.69,0.0,14.3,38.208260406150096,30.139588287234734
2004-10-27,16.35,24.72,10.14,0.0,11.84,38.208260406150096,30.139588287234734
2004-10-28,15.81,22.46,9.81,0.0,12.62,38.208260406150096,30.139588287234734
2004-10-29,15.42,21.96,10.22,0.0,12.88,38.208260406150096,30.139588287234734
2004-10-30,14.66,22.02,8.33,0.0,12.97,38.208260406150096,30.139588287234734
2004-10-31,15.2,22.5,9.63,0.0,13.81,38.208260406150096,30.139588287234734
2004-11-01,14.63,22.37,7.69,0.0,13.87,38.208260406150096,30.139588287234734
2004-11-02,14.76,23.75,7.83,0.0,13.58,38.208260406150096,30.139588287234734
2004-11-03,13.95,21.89,7.89,0.0,13.45,38.208260406150096,30.139588287234734
2004-11-04,11.73,19.13,6.32,0.0,13.34,38.208260406150096,30.139588287234734
2004-11-05,10.38,18.82,2.85,0.18,14.05,38.208260406150096,30.139588287234734
2004-11-06,11.73,16.22,8.44,0.39,10.96,38.208260406150096,30.139588287234734
2004-11-07,11.88,17.47,7.09,1.06,8.18,38.208260406150096,30.139588287234734
2004-11-08,11.7,17.34,8.22,0.86,8.71,38.208260406150096,30.139588287234734
2004-11-09,11.17,16.95,7.81,1.18,7.19,38.208260406150096,30.139588287234734
2004-11-10,11.5,15.16,8.11,0.84,7.09,38.208260406150096,30.139588287234734
2004-11-11,13.37,18.24,8.11,0.0,10.29,38.208260406150096,30.139588287234734
2004-11-12,13.92,20.12,8.2,0.0,11.54,38.208260406150096,30.139588287234734
2004-11-13,13.25,20.28,7.39,0.0,11.71,38.208260406150096,30.139588287234734
2004-11-14,12.18,18.59,6.95,2.13,7.44,38.208260406150096,30.139588287234734
2004-11-15,12.3,16.87,8.12,11.82,3.52,38.208260406150096,30.139588287234734
2004-11-16,10.44,15.17,7.49,5.2,8.4,38.208260406150096,30.139588287234734
2004-11-17,6.32,10.47,0.98,5.34,3.9,38.208260406150096,30.139588287234734
2004-11-18,3.61,11.13,-2.54,0.0,12.0,38.208260406150096,30.139588287234734
2004-11-19,5.02,13.94,-0.38,0.12,12.17,38.208260406150096,30.139588287234734
2004-11-20,8.38,13.09,3.55,16.93,4.37,38.208260406150096,30.139588287234734
2004-11-21,1.79,7.69,-3.49,3.26,8.47,38.208260406150096,30.139588287234734
2004-11-22,-3.34,0.59,-6.44,0.0,5.65,38.208260406150096,30.139588287234734
2004-11-23,-2.18,3.05,-5.75,0.0,11.29,38.208260406150096,30.139588287234734
2004-11-24,1.02,7.12,-3.25,3.44,7.43,38.208260406150096,30.139588287234734
2004-11-25,-0.97,2.42,-4.44,7.23,4.15,38.208260406150096,30.139588287234734
2004-11-26,-4.13,0.41,-7.69,0.03,7.67,38.208260406150096,30.139588287234734
2004-11-27,-3.49,2.88,-7.78,0.0,10.69,38.208260406150096,30.139588287234734
2004-11-28,0.63,7.99,-4.75,0.0,9.31,38.208260406150096,30.139588287234734
2004-11-29,2.63,9.38,-2.03,0.08,10.28,38.208260406150096,30.139588287234734
2004-11-30,4.54,10.3,-0.19,0.07,6.17,38.208260406150096,30.139588287234734
2004-12-01,5.02,10.53,2.11,0.51,6.54,38.208260406150096,30.139588287234734
2004-12-02,6.06,13.11,0.15,0.0,9.37,38.208260406150096,30.139588287234734
2004-12-03,8.44,15.06,3.91,0.0,9.74,38.208260406150096,30.139588287234734
2004-12-04,8.55,16.62,3.55,0.0,7.36,38.208260406150096,30.139588287234734
2004-12-05,6.51,9.64,3.74,2.29,3.11,38.208260406150096,30.139588287234734
2004-12-06,4.83,10.86,0.92,0.1,8.85,38.208260406150096,30.139588287234734
2004-12-07,2.97,8.08,-2.51,1.79,3.18,38.208260406150096,30.139588287234734
2004-12-08,-0.27,6.87,-4.24,0.01,10.33,38.208260406150096,30.139588287234734
2004-12-09,2.16,9.34,-3.49,0.0,10.11,38.208260406150096,30.139588287234734
2004-12-10,1.99,8.97,-3.01,0.0,8.27,38.208260406150096,30.139588287234734
