date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.14,25.77,11.43,0.0,19.5,39.002879658232644,42.78404725494131
2004-10-02,16.09,23.95,10.95,0.16,17.63,39.002879658232644,42.78404725494131
2004-10-03,13.62,21.18,7.36,0.61,14.62,39.002879658232644,42.78404725494131
2004-10-04,11.86,19.46,5.96,0.53,10.31,39.002879658232644,42.78404725494131
2004-10-05,11.1,19.5,3.0,0.04,17.22,39.002879658232644,42.78404725494131
2004-10-06,13.14,21.54,7.02,0.21,16.22,39.002879658232644,42.78404725494131
2004-10-07,14.49,23.56,6.47,0.02,16.62,39.002879658232644,42.78404725494131
2004-10-08,15.87,22.81,11.43,1.98,16.35,39.002879658232644,42.78404725494131
2004-10-09,14.88,22.8,8.0,0.14,15.77,39.002879658232644,42.78404725494131
2004-10-10,11.03,18.7,5.65,0.0,17.55,39.002879658232644,42.78404725494131
2004-10-11,11.2,19.2,6.37,0.0,17.96,39.002879658232644,42.78404725494131
2004-10-12,11.85,20.17,5.78,0.15,16.63,39.002879658232644,42.78404725494131
2004-10-13,11.36,17.68,6.45,2.11,11.08,39.002879658232644,42.78404725494131
2004-10-14,10.12,17.44,2.31,0.84,11.83,39.002879658232644,42.78404725494131
2004-10-15,11.79,18.68,7.25,0.27,12.41,39.002879658232644,42.78404725494131
2004-10-16,11.55,17.3,6.56,0.64,12.9,39.002879658232644,42.78404725494131
2004-10-17,12.5,17.89,7.54,0.03,14.55,39.002879658232644,42.78404725494131
2004-10-18,13.13,19.85,8.01,0.0,15.72,39.002879658232644,42.78404725494131
2004-10-19,12.79,20.28,7.35,0.0,15.4,39.002879658232644,42.78404725494131
2004-10-20,13.26,20.68,8.16,0.0,13.72,39.002879658232644,42.78404725494131
2004-10-21,6.61,11.51,0.02,16.91,2.03,39.002879658232644,42.78404725494131
2004-10-22,3.36,11.37,-2.78,1.33,10.2,39.002879658232644,42.78404725494131
2004-10-23,5.62,13.99,-3.1,0.0,16.01,39.002879658232644,42.78404725494131
2004-10-24,7.36,15.87,1.41,0.0,15.04,39.002879658232644,42.78404725494131
2004-10-25,8.07,15.9,2.07,0.0,14.81,39.002879658232644,42.78404725494131
2004-10-26,9.16,16.64,2.93,0.0,15.43,39.002879658232644,42.78404725494131
2004-10-27,10.77,18.8,3.56,0.0,14.38,39.002879658232644,42.78404725494131
2004-10-28,10.88,17.28,5.11,0.1,10.24,39.002879658232644,42.78404725494131
2004-10-29,10.6,18.27,4.92,0.31,12.22,39.002879658232644,42.78404725494131
2004-10-30,8.44,10.54,6.45,5.69,4.73,39.002879658232644,42.78404725494131
2004-10-31,8.36,12.5,5.53,3.61,9.01,39.002879658232644,42.78404725494131
2004-11-01,8.53,15.19,3.39,0.0,11.81,39.002879658232644,42.78404725494131
2004-11-02,8.43,15.12,4.24,0.0,11.44,39.002879658232644,42.78404725494131
2004-11-03,7.43,13.41,3.3,0.12,10.57,39.002879658232644,42.78404725494131
2004-11-04,4.52,9.84,-0.68,14.15,4.55,39.002879658232644,42.78404725494131
2004-11-05,3.09,10.36,-4.16,0.02,13.0,39.002879658232644,42.78404725494131
2004-11-06,4.13,11.03,-0.13,0.1,13.22,39.002879658232644,42.78404725494131
2004-11-07,5.71,10.86,1.99,1.27,5.14,39.002879658232644,42.78404725494131
