date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,21.43,28.11,16.28,0.0,17.92,38.256400808523836,33.89040652194693
2004-10-02,18.03,25.0,11.53,0.0,17.58,38.256400808523836,33.89040652194693
2004-10-03,15.98,22.56,9.85,0.21,16.74,38.256400808523836,33.89040652194693
2004-10-04,14.51,20.79,8.79,0.0,15.85,38.256400808523836,33.89040652194693
2004-10-05,14.05,22.09,7.25,0.0,16.72,38.256400808523836,33.89040652194693
2004-10-06,15.82,25.52,6.67,0.03,13.56,38.256400808523836,33.89040652194693
2004-10-07,16.53,22.99,11.15,0.21,12.61,38.256400808523836,33.89040652194693
2004-10-08,14.39,19.33,8.98,2.75,16.9,38.256400808523836,33.89040652194693
2004-10-09,13.58,18.02,10.63,0.22,13.45,38.256400808523836,33.89040652194693
2004-10-10,14.93,21.39,9.64,0.0,16.6,38.256400808523836,33.89040652194693
2004-10-11,16.38,24.41,9.43,0.0,17.71,38.256400808523836,33.89040652194693
2004-10-12,16.38,25.51,8.85,0.0,16.81,38.256400808523836,33.89040652194693
2004-10-13,12.56,19.71,7.64,0.02,12.53,38.256400808523836,33.89040652194693
2004-10-14,13.53,21.09,6.34,0.0,15.48,38.256400808523836,33.89040652194693
2004-10-15,17.17,23.67,10.95,0.0,15.46,38.256400808523836,33.89040652194693
2004-10-16,16.01,23.58,9.41,0.0,14.2,38.256400808523836,33.89040652194693
2004-10-17,17.8,25.9,10.83,0.0,15.34,38.256400808523836,33.89040652194693
2004-10-18,19.38,28.48,12.02,0.0,14.45,38.256400808523836,33.89040652194693
2004-10-19,18.27,26.93,11.22,0.0,15.41,38.256400808523836,33.89040652194693
2004-10-20,16.27,23.34,9.08,0.04,10.17,38.256400808523836,33.89040652194693
2004-10-21,13.94,19.3,9.98,0.08,14.98,38.256400808523836,33.89040652194693
2004-10-22,13.96,20.48,8.3,0.0,13.85,38.256400808523836,33.89040652194693
2004-10-23,13.3,21.88,6.74,0.0,15.52,38.256400808523836,33.89040652194693
2004-10-24,15.02,23.03,7.62,0.0,14.38,38.256400808523836,33.89040652194693
2004-10-25,15.22,23.52,9.56,0.0,14.87,38.256400808523836,33.89040652194693
2004-10-26,15.93,24.68,9.31,0.0,14.38,38.256400808523836,33.89040652194693
2004-10-27,19.15,27.98,11.51,0.0,10.45,38.256400808523836,33.89040652194693
2004-10-28,19.31,25.73,13.5,0.01,11.9,38.256400808523836,33.89040652194693
2004-10-29,16.21,21.9,10.73,1.91,9.06,38.256400808523836,33.89040652194693
