date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.29,25.31,10.77,0.0,17.91,39.96294010349598,31.755344248004203
2004-10-02,15.04,23.95,8.02,0.0,17.66,39.96294010349598,31.755344248004203
2004-10-03,13.3,20.18,7.73,0.95,14.39,39.96294010349598,31.755344248004203
2004-10-04,12.96,19.89,6.45,0.05,13.79,39.96294010349598,31.755344248004203
2004-10-05,12.08,17.45,7.92,0.01,12.31,39.96294010349598,31.755344248004203
2004-10-06,12.51,21.31,4.38,0.29,15.03,39.96294010349598,31.755344248004203
2004-10-07,13.3,17.92,9.14,2.07,8.05,39.96294010349598,31.755344248004203
2004-10-08,12.76,17.1,9.32,3.73,11.21,39.96294010349598,31.755344248004203
2004-10-09,12.05,17.18,8.27,2.54,11.15,39.96294010349598,31.755344248004203
2004-10-10,13.75,21.29,6.55,0.0,17.14,39.96294010349598,31.755344248004203
2004-10-11,15.77,25.04,6.82,0.0,16.79,39.96294010349598,31.755344248004203
2004-10-12,14.31,21.17,9.78,0.56,12.72,39.96294010349598,31.755344248004203
2004-10-13,9.17,13.32,4.42,2.06,4.9,39.96294010349598,31.755344248004203
2004-10-14,8.64,16.6,1.51,0.0,14.37,39.96294010349598,31.755344248004203
2004-10-15,13.7,22.95,6.26,0.0,14.73,39.96294010349598,31.755344248004203
2004-10-16,16.08,23.07,9.49,0.0,14.67,39.96294010349598,31.755344248004203
2004-10-17,16.7,25.39,11.47,0.05,10.9,39.96294010349598,31.755344248004203
2004-10-18,18.06,26.96,12.38,0.0,15.05,39.96294010349598,31.755344248004203
2004-10-19,16.82,24.19,11.61,0.0,13.65,39.96294010349598,31.755344248004203
2004-10-20,14.84,21.51,10.35,1.17,8.91,39.96294010349598,31.755344248004203
2004-10-21,12.36,19.4,7.32,0.28,14.43,39.96294010349598,31.755344248004203
2004-10-22,12.18,19.98,6.67,0.0,14.14,39.96294010349598,31.755344248004203
2004-10-23,12.21,20.48,4.5,0.0,14.24,39.96294010349598,31.755344248004203
2004-10-24,13.11,21.53,6.67,0.0,14.24,39.96294010349598,31.755344248004203
2004-10-25,14.29,22.82,6.83,0.0,14.41,39.96294010349598,31.755344248004203
2004-10-26,14.53,23.2,6.7,0.0,14.17,39.96294010349598,31.755344248004203
2004-10-27,15.67,24.82,7.6,0.0,10.75,39.96294010349598,31.755344248004203
2004-10-28,16.12,23.75,9.44,0.0,12.19,39.96294010349598,31.755344248004203
2004-10-29,16.45,23.73,11.1,0.06,10.95,39.96294010349598,31.755344248004203
2004-10-30,15.37,22.75,9.21,0.0,12.42,39.96294010349598,31.755344248004203
2004-10-31,15.49,22.58,9.12,0.0,12.66,39.96294010349598,31.755344248004203
2004-11-01,15.61,22.51,9.62,0.0,13.02,39.96294010349598,31.755344248004203
2004-11-02,15.19,24.66,9.37,0.0,12.77,39.96294010349598,31.755344248004203
2004-11-03,12.02,21.02,6.82,0.02,12.68,39.96294010349598,31.755344248004203
2004-11-04,8.72,16.62,3.0,0.01,12.4,39.96294010349598,31.755344248004203
2004-11-05,6.45,16.41,-1.2,0.0,13.63,39.96294010349598,31.755344248004203
2004-11-06,7.62,16.72,-0.08,0.0,11.19,39.96294010349598,31.755344248004203
2004-11-07,10.15,16.19,4.78,0.44,7.24,39.96294010349598,31.755344248004203
2004-11-08,11.53,18.58,5.27,0.01,10.28,39.96294010349598,31.755344248004203
2004-11-09,12.61,19.66,6.19,0.0,10.31,39.96294010349598,31.755344248004203
2004-11-10,13.9,19.23,9.71,0.0,9.08,39.96294010349598,31.755344248004203
2004-11-11,14.14,19.78,9.52,0.1,9.58,39.96294010349598,31.755344248004203
2004-11-12,13.81,20.88,8.01,0.0,11.1,39.96294010349598,31.755344248004203
2004-11-13,12.84,20.37,6.74,0.0,10.99,39.96294010349598,31.755344248004203
2004-11-14,12.9,22.53,5.26,0.05,8.48,39.96294010349598,31.755344248004203
2004-11-15,12.84,18.02,9.3,1.23,2.63,39.96294010349598,31.755344248004203
2004-11-16,10.05,15.31,6.92,6.02,8.18,39.96294010349598,31.755344248004203
2004-11-17,5.03,9.68,-0.09,2.39,6.13,39.96294010349598,31.755344248004203
2004-11-18,3.14,9.43,-1.1,0.0,11.51,39.96294010349598,31.755344248004203
2004-11-19,3.47,12.57,-3.09,0.0,11.85,39.96294010349598,31.755344248004203
2004-11-20,4.64,11.26,-0.13,14.13,2.98,39.96294010349598,31.755344248004203
2004-11-21,-0.71,2.31,-3.94,3.21,4.32,39.96294010349598,31.755344248004203
2004-11-22,-2.98,0.84,-5.73,0.96,3.82,39.96294010349598,31.755344248004203
2004-11-23,-3.57,1.19,-5.82,0.77,8.79,39.96294010349598,31.755344248004203
2004-11-24,-1.18,4.32,-5.55,2.04,5.36,39.96294010349598,31.755344248004203
2004-11-25,-2.41,0.44,-4.37,3.11,2.51,39.96294010349598,31.755344248004203
2004-11-26,-3.93,1.36,-8.12,2.64,5.94,39.96294010349598,31.755344248004203
2004-11-27,-4.78,0.78,-7.86,0.02,8.99,39.96294010349598,31.755344248004203
2004-11-28,-2.95,3.27,-8.37,0.0,9.73,39.96294010349598,31.755344248004203
2004-11-29,-0.75,6.47,-4.98,0.0,10.13,39.96294010349598,31.755344248004203
2004-11-30,2.11,8.44,-3.23,0.33,6.04,39.96294010349598,31.755344248004203
2004-12-01,4.01,9.78,0.82,1.59,6.75,39.96294010349598,31.755344248004203
2004-12-02,3.02,8.89,0.01,0.0,6.55,39.96294010349598,31.755344248004203
2004-12-03,4.5,12.37,-0.85,0.05,7.55,39.96294010349598,31.755344248004203
2004-12-04,4.2,8.71,0.91,0.08,6.59,39.96294010349598,31.755344248004203
2004-12-05,5.19,10.4,0.05,2.25,2.25,39.96294010349598,31.755344248004203
2004-12-06,1.87,7.91,-1.56,0.0,7.32,39.96294010349598,31.755344248004203
2004-12-07,-0.39,4.37,-3.07,2.44,2.38,39.96294010349598,31.755344248004203
2004-12-08,0.01,5.81,-3.45,0.12,9.9,39.96294010349598,31.755344248004203
2004-12-09,-0.68,6.47,-3.67,0.0,9.79,39.96294010349598,31.755344248004203
2004-12-10,-0.19,3.85,-3.09,0.01,7.97,39.96294010349598,31.755344248004203
2004-12-11,-1.07,3.66,-3.99,0.37,6.75,39.96294010349598,31.755344248004203
2004-12-12,0.02,4.8,-2.43,0.03,9.75,39.96294010349598,31.755344248004203
2004-12-13,0.17,6.05,-3.47,0.02,9.76,39.96294010349598,31.755344248004203
2004-12-14,-1.18,4.06,-4.19,0.39,5.57,39.96294010349598,31.755344248004203
2004-12-15,-3.51,1.23,-6.63,0.39,9.36,39.96294010349598,31.755344248004203
2004-12-16,-4.6,0.0,-7.54,0.0,10.04,39.96294010349598,31.755344248004203
2004-12-17,-5.05,1.5,-10.13,0.0,9.89,39.96294010349598,31.755344248004203
2004-12-18,-2.26,5.39,-8.62,0.0,7.81,39.96294010349598,31.755344248004203
2004-12-19,1.01,7.03,-1.53,0.04,7.9,39.96294010349598,31.755344248004203
2004-12-20,1.93,7.38,-1.04,2.0,3.86,39.96294010349598,31.755344248004203
2004-12-21,1.87,6.54,0.03,0.99,5.41,39.96294010349598,31.755344248004203
2004-12-22,1.38,4.08,0.13,7.52,4.69,39.96294010349598,31.755344248004203
2004-12-23,0.07,4.32,-2.79,0.89,5.79,39.96294010349598,31.755344248004203
2004-12-24,-0.35,5.0,-3.03,0.0,4.72,39.96294010349598,31.755344248004203
2004-12-25,-0.65,4.86,-4.09,0.0,7.46,39.96294010349598,31.755344248004203
2004-12-26,-2.09,3.91,-5.51,0.0,7.29,39.96294010349598,31.755344248004203
2004-12-27,0.3,6.09,-4.16,0.0,5.17,39.96294010349598,31.755344248004203
2004-12-28,3.12,10.48,-0.62,0.13,8.25,39.96294010349598,31.755344248004203
2004-12-29,2.54,6.53,0.29,1.62,3.51,39.96294010349598,31.755344248004203
2004-12-30,4.2,9.81,-0.84,0.1,5.98,39.96294010349598,31.755344248004203
2004-12-31,3.05,8.97,-0.91,0.09,7.53,39.96294010349598,31.755344248004203
2005-01-01,2.9,9.92,-1.66,0.11,6.22,39.96294010349598,31.755344248004203
2005-01-02,1.32,6.75,-3.31,1.18,4.94,39.96294010349598,31.755344248004203
2005-01-03,-0.49,4.63,-3.4,0.07,9.23,39.96294010349598,31.755344248004203
2005-01-04,-0.95,2.96,-4.37,0.56,5.6,39.96294010349598,31.755344248004203
2005-01-05,-1.8,3.18,-4.88,2.39,6.5,39.96294010349598,31.755344248004203
2005-01-06,0.33,5.14,-2.48,0.45,7.89,39.96294010349598,31.755344248004203
2005-01-07,-0.21,3.11,-1.81,0.76,6.59,39.96294010349598,31.755344248004203
2005-01-08,0.84,6.2,-2.65,0.08,5.67,39.96294010349598,31.755344248004203
2005-01-09,-0.1,4.99,-3.35,0.0,10.22,39.96294010349598,31.755344248004203
2005-01-10,0.5,8.7,-3.12,0.0,10.44,39.96294010349598,31.755344248004203
2005-01-11,0.71,7.07,-2.95,0.22,10.6,39.96294010349598,31.755344248004203
2005-01-12,2.57,8.72,-1.24,0.0,10.68,39.96294010349598,31.755344248004203
2005-01-13,3.34,10.24,-0.3,0.0,10.25,39.96294010349598,31.755344248004203
2005-01-14,3.14,8.14,-0.68,0.4,7.48,39.96294010349598,31.755344248004203
2005-01-15,2.8,7.62,0.47,6.11,6.08,39.96294010349598,31.755344248004203
2005-01-16,1.47,5.26,-1.15,7.04,3.25,39.96294010349598,31.755344248004203
2005-01-17,1.94,8.62,-2.14,0.42,8.0,39.96294010349598,31.755344248004203
2005-01-18,2.49,8.44,-2.26,0.06,9.79,39.96294010349598,31.755344248004203
2005-01-19,1.99,7.15,-1.78,0.0,6.84,39.96294010349598,31.755344248004203
2005-01-20,1.25,8.18,-2.55,0.0,7.62,39.96294010349598,31.755344248004203
2005-01-21,2.04,8.19,-1.54,0.25,5.59,39.96294010349598,31.755344248004203
2005-01-22,2.37,7.31,-0.87,3.41,7.05,39.96294010349598,31.755344248004203
2005-01-23,-2.17,0.22,-6.11,7.82,2.83,39.96294010349598,31.755344248004203
2005-01-24,-4.64,0.25,-7.3,0.13,10.49,39.96294010349598,31.755344248004203
2005-01-25,-0.33,5.72,-5.33,0.53,3.94,39.96294010349598,31.755344248004203
2005-01-26,2.77,8.7,-0.26,0.32,3.34,39.96294010349598,31.755344248004203
2005-01-27,3.76,11.13,-1.22,0.65,10.97,39.96294010349598,31.755344248004203
2005-01-28,4.89,9.2,2.62,3.56,6.55,39.96294010349598,31.755344248004203
2005-01-29,7.29,15.95,0.84,2.17,9.71,39.96294010349598,31.755344248004203
2005-01-30,3.72,8.77,-3.47,1.83,6.52,39.96294010349598,31.755344248004203
2005-01-31,-1.33,3.6,-5.11,1.51,9.21,39.96294010349598,31.755344248004203
2005-02-01,-1.7,2.5,-4.51,2.34,6.74,39.96294010349598,31.755344248004203
2005-02-02,-2.27,2.29,-6.52,0.0,8.3,39.96294010349598,31.755344248004203
2005-02-03,-0.06,4.12,-3.26,0.27,3.19,39.96294010349598,31.755344248004203
2005-02-04,1.15,6.16,-2.07,1.47,7.66,39.96294010349598,31.755344248004203
2005-02-05,-0.81,5.77,-6.73,0.7,6.17,39.96294010349598,31.755344248004203
2005-02-06,-4.1,0.32,-6.65,0.68,9.76,39.96294010349598,31.755344248004203
2005-02-07,-3.69,0.18,-6.25,0.79,10.34,39.96294010349598,31.755344248004203
2005-02-08,-5.06,0.68,-8.9,0.77,11.98,39.96294010349598,31.755344248004203
2005-02-09,-6.08,0.08,-10.82,0.11,12.61,39.96294010349598,31.755344248004203
2005-02-10,-6.01,-0.01,-11.77,0.01,12.87,39.96294010349598,31.755344248004203
2005-02-11,-5.0,0.46,-10.53,0.01,10.94,39.96294010349598,31.755344248004203
2005-02-12,-3.92,1.1,-8.67,0.0,14.06,39.96294010349598,31.755344248004203
2005-02-13,-1.2,6.53,-8.28,0.0,10.49,39.96294010349598,31.755344248004203
2005-02-14,2.86,10.0,-1.5,0.23,7.65,39.96294010349598,31.755344248004203
2005-02-15,3.45,11.45,-1.79,0.0,11.43,39.96294010349598,31.755344248004203
2005-02-16,2.12,6.41,-2.65,0.12,4.21,39.96294010349598,31.755344248004203
2005-02-17,4.31,10.18,-0.56,2.84,7.8,39.96294010349598,31.755344248004203
2005-02-18,2.41,6.42,-0.48,16.29,5.3,39.96294010349598,31.755344248004203
2005-02-19,1.71,7.66,-2.96,0.2,10.32,39.96294010349598,31.755344248004203
2005-02-20,1.79,5.97,-2.33,0.56,10.32,39.96294010349598,31.755344248004203
2005-02-21,2.47,7.16,-1.86,0.22,10.7,39.96294010349598,31.755344248004203
2005-02-22,3.14,9.66,-1.07,0.91,10.53,39.96294010349598,31.755344248004203
2005-02-23,5.38,13.3,-0.65,0.04,13.26,39.96294010349598,31.755344248004203
2005-02-24,6.19,12.49,0.65,0.06,13.03,39.96294010349598,31.755344248004203
2005-02-25,6.62,12.94,1.41,0.0,13.78,39.96294010349598,31.755344248004203
2005-02-26,4.98,12.26,0.68,2.29,6.23,39.96294010349598,31.755344248004203
2005-02-27,6.75,12.07,1.5,3.7,8.92,39.96294010349598,31.755344248004203
2005-02-28,3.9,7.64,0.21,11.67,6.45,39.96294010349598,31.755344248004203
2005-03-01,1.44,5.44,-0.66,10.69,2.9,39.96294010349598,31.755344248004203
2005-03-02,5.94,11.54,0.81,10.41,5.96,39.96294010349598,31.755344248004203
2005-03-03,2.58,6.88,-2.77,3.36,7.0,39.96294010349598,31.755344248004203
2005-03-04,0.7,7.68,-4.5,0.04,15.75,39.96294010349598,31.755344248004203
2005-03-05,2.87,11.01,-4.15,0.27,6.57,39.96294010349598,31.755344248004203
2005-03-06,6.02,12.38,1.38,5.98,8.01,39.96294010349598,31.755344248004203
2005-03-07,7.19,13.83,2.21,2.34,11.59,39.96294010349598,31.755344248004203
2005-03-08,3.92,8.47,-3.1,6.4,6.26,39.96294010349598,31.755344248004203
2005-03-09,-0.77,4.69,-4.7,0.06,10.77,39.96294010349598,31.755344248004203
2005-03-10,-2.16,2.36,-5.45,0.71,13.66,39.96294010349598,31.755344248004203
2005-03-11,-2.66,1.24,-5.79,0.97,8.7,39.96294010349598,31.755344248004203
2005-03-12,-1.61,5.5,-6.16,0.03,19.77,39.96294010349598,31.755344248004203
2005-03-13,1.53,10.82,-4.89,0.01,20.77,39.96294010349598,31.755344248004203
2005-03-14,3.97,10.83,-1.93,1.25,14.49,39.96294010349598,31.755344248004203
2005-03-15,5.78,12.19,0.92,0.0,17.38,39.96294010349598,31.755344248004203
2005-03-16,4.49,12.07,-0.83,0.0,16.0,39.96294010349598,31.755344248004203
2005-03-17,5.87,14.94,-1.49,0.0,20.49,39.96294010349598,31.755344248004203
2005-03-18,7.17,16.52,-0.18,0.96,20.58,39.96294010349598,31.755344248004203
2005-03-19,8.87,15.45,1.4,1.07,16.74,39.96294010349598,31.755344248004203
2005-03-20,3.14,8.83,-4.95,3.65,5.71,39.96294010349598,31.755344248004203
2005-03-21,0.48,8.96,-5.64,0.02,20.55,39.96294010349598,31.755344248004203
2005-03-22,0.42,9.34,-5.94,0.0,22.59,39.96294010349598,31.755344248004203
2005-03-23,-0.15,7.89,-6.07,0.0,22.73,39.96294010349598,31.755344248004203
2005-03-24,1.69,11.35,-4.79,0.0,22.17,39.96294010349598,31.755344248004203
2005-03-25,5.23,14.58,-3.07,0.0,22.39,39.96294010349598,31.755344248004203
2005-03-26,8.5,17.05,0.85,0.04,21.28,39.96294010349598,31.755344248004203
2005-03-27,9.0,14.1,3.91,0.61,10.18,39.96294010349598,31.755344248004203
2005-03-28,11.6,20.18,7.61,1.75,12.68,39.96294010349598,31.755344248004203
2005-03-29,10.17,14.43,6.78,1.0,12.98,39.96294010349598,31.755344248004203
2005-03-30,9.46,15.31,3.63,0.02,14.6,39.96294010349598,31.755344248004203
2005-03-31,6.2,9.47,1.41,14.52,5.65,39.96294010349598,31.755344248004203
2005-04-01,2.09,6.95,-2.31,4.06,7.9,39.96294010349598,31.755344248004203
2005-04-02,-0.16,4.33,-3.56,0.93,12.67,39.96294010349598,31.755344248004203
2005-04-03,-0.12,5.37,-5.56,0.49,13.16,39.96294010349598,31.755344248004203
2005-04-04,1.11,7.48,-5.61,0.0,19.94,39.96294010349598,31.755344248004203
2005-04-05,4.06,11.91,-3.62,0.0,14.64,39.96294010349598,31.755344248004203
2005-04-06,6.76,14.46,-1.07,0.0,24.7,39.96294010349598,31.755344248004203
2005-04-07,9.2,16.08,0.82,0.02,15.86,39.96294010349598,31.755344248004203
2005-04-08,11.39,16.22,7.1,0.0,13.21,39.96294010349598,31.755344248004203
2005-04-09,14.93,21.77,8.0,0.0,22.55,39.96294010349598,31.755344248004203
2005-04-10,16.55,23.57,9.46,0.0,23.74,39.96294010349598,31.755344248004203
2005-04-11,16.57,25.18,8.53,0.0,22.05,39.96294010349598,31.755344248004203
2005-04-12,16.58,24.47,9.46,0.0,17.21,39.96294010349598,31.755344248004203
2005-04-13,16.12,25.36,9.09,0.0,17.85,39.96294010349598,31.755344248004203
2005-04-14,11.29,17.35,6.79,0.14,19.78,39.96294010349598,31.755344248004203
2005-04-15,8.77,13.54,4.44,0.88,14.67,39.96294010349598,31.755344248004203
2005-04-16,10.92,16.69,4.92,2.34,17.61,39.96294010349598,31.755344248004203
2005-04-17,12.88,22.03,3.85,0.05,13.3,39.96294010349598,31.755344248004203
2005-04-18,10.67,18.17,6.05,6.15,9.64,39.96294010349598,31.755344248004203
2005-04-19,9.27,14.84,4.8,3.2,16.75,39.96294010349598,31.755344248004203
2005-04-20,10.77,18.85,1.62,0.0,26.34,39.96294010349598,31.755344248004203
2005-04-21,13.72,21.77,5.39,0.07,24.76,39.96294010349598,31.755344248004203
2005-04-22,14.21,21.35,8.87,9.22,13.57,39.96294010349598,31.755344248004203
2005-04-23,9.95,14.84,4.14,6.61,14.64,39.96294010349598,31.755344248004203
2005-04-24,9.48,17.6,1.05,0.03,25.44,39.96294010349598,31.755344248004203
2005-04-25,12.04,19.27,3.7,0.0,27.33,39.96294010349598,31.755344248004203
2005-04-26,14.47,21.88,6.03,0.0,24.71,39.96294010349598,31.755344248004203
2005-04-27,12.23,17.21,5.09,6.29,17.05,39.96294010349598,31.755344248004203
2005-04-28,10.14,16.58,4.61,0.18,19.12,39.96294010349598,31.755344248004203
2005-04-29,9.4,17.71,3.23,11.47,18.54,39.96294010349598,31.755344248004203
2005-04-30,5.7,10.58,0.46,2.1,16.12,39.96294010349598,31.755344248004203
2005-05-01,6.57,11.61,1.83,0.62,17.49,39.96294010349598,31.755344248004203
2005-05-02,8.15,14.53,1.6,0.1,16.53,39.96294010349598,31.755344248004203
2005-05-03,8.26,16.36,-0.31,0.21,18.11,39.96294010349598,31.755344248004203
2005-05-04,8.51,17.3,-1.07,0.0,28.92,39.96294010349598,31.755344248004203
2005-05-05,13.53,22.23,5.05,0.02,25.24,39.96294010349598,31.755344248004203
2005-05-06,16.14,22.17,10.62,0.84,16.88,39.96294010349598,31.755344248004203
2005-05-07,16.14,24.29,9.36,0.69,14.23,39.96294010349598,31.755344248004203
2005-05-08,11.59,17.05,7.08,4.35,16.76,39.96294010349598,31.755344248004203
2005-05-09,13.74,20.96,6.07,0.0,28.92,39.96294010349598,31.755344248004203
