date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,21.88,28.27,15.84,0.0,20.52,36.51519906097968,29.936934579484646
2004-10-02,19.85,26.92,13.65,0.0,20.19,36.51519906097968,29.936934579484646
2004-10-03,19.02,27.47,11.4,0.0,19.85,36.51519906097968,29.936934579484646
2004-10-04,17.74,25.67,10.25,0.0,17.99,36.51519906097968,29.936934579484646
2004-10-05,17.25,23.17,12.58,2.3,14.74,36.51519906097968,29.936934579484646
2004-10-06,14.25,17.44,11.9,7.13,9.73,36.51519906097968,29.936934579484646
2004-10-07,13.15,16.2,10.74,9.71,12.65,36.51519906097968,29.936934579484646
2004-10-08,13.08,16.15,11.1,9.79,11.54,36.51519906097968,29.936934579484646
2004-10-09,14.33,19.15,11.1,3.33,17.04,36.51519906097968,29.936934579484646
2004-10-10,15.9,22.38,10.42,0.0,17.76,36.51519906097968,29.936934579484646
2004-10-11,17.31,23.87,12.78,0.0,18.45,36.51519906097968,29.936934579484646
2004-10-12,18.6,25.82,12.71,0.0,17.32,36.51519906097968,29.936934579484646
2004-10-13,17.98,24.43,13.28,0.02,13.07,36.51519906097968,29.936934579484646
2004-10-14,17.41,22.2,13.55,0.0,16.8,36.51519906097968,29.936934579484646
2004-10-15,18.67,25.11,14.71,0.0,16.55,36.51519906097968,29.936934579484646
2004-10-16,18.99,25.87,13.55,0.0,15.44,36.51519906097968,29.936934579484646
2004-10-17,20.12,26.47,15.88,0.0,16.77,36.51519906097968,29.936934579484646
2004-10-18,20.69,27.42,16.33,0.0,16.78,36.51519906097968,29.936934579484646
2004-10-19,19.37,27.19,14.6,0.0,16.93,36.51519906097968,29.936934579484646
2004-10-20,19.01,26.04,13.76,0.0,14.99,36.51519906097968,29.936934579484646
2004-10-21,18.43,24.93,12.75,0.0,16.52,36.51519906097968,29.936934579484646
2004-10-22,17.84,23.93,13.15,0.0,15.99,36.51519906097968,29.936934579484646
2004-10-23,17.05,23.26,12.56,0.0,16.03,36.51519906097968,29.936934579484646
2004-10-24,17.02,22.13,13.45,0.0,14.93,36.51519906097968,29.936934579484646
2004-10-25,17.32,22.27,13.64,0.0,15.11,36.51519906097968,29.936934579484646
2004-10-26,16.86,22.14,13.01,0.0,15.16,36.51519906097968,29.936934579484646
2004-10-27,18.61,23.53,14.95,0.0,13.84,36.51519906097968,29.936934579484646
2004-10-28,16.32,21.61,12.74,0.0,12.23,36.51519906097968,29.936934579484646
2004-10-29,16.04,22.08,12.16,0.02,14.14,36.51519906097968,29.936934579484646
2004-10-30,15.94,22.04,10.26,0.0,14.06,36.51519906097968,29.936934579484646
2004-10-31,16.91,23.26,11.62,0.0,14.53,36.51519906097968,29.936934579484646
2004-11-01,16.12,22.91,10.61,0.0,14.61,36.51519906097968,29.936934579484646
2004-11-02,16.63,23.55,11.36,0.0,14.5,36.51519906097968,29.936934579484646
2004-11-03,16.57,23.03,11.6,0.0,13.97,36.51519906097968,29.936934579484646
2004-11-04,15.52,21.94,9.84,0.01,13.01,36.51519906097968,29.936934579484646
2004-11-05,14.29,19.24,9.45,0.15,11.52,36.51519906097968,29.936934579484646
2004-11-06,13.39,15.38,11.43,1.29,8.27,36.51519906097968,29.936934579484646
2004-11-07,12.51,14.24,10.63,6.8,6.96,36.51519906097968,29.936934579484646
2004-11-08,11.73,13.58,9.37,7.08,6.54,36.51519906097968,29.936934579484646
2004-11-09,11.27,13.69,9.42,20.08,7.29,36.51519906097968,29.936934579484646
2004-11-10,12.06,13.52,10.95,6.43,9.87,36.51519906097968,29.936934579484646
2004-11-11,12.93,15.55,11.35,0.04,12.06,36.51519906097968,29.936934579484646
2004-11-12,14.8,20.19,10.4,0.0,12.88,36.51519906097968,29.936934579484646
2004-11-13,14.93,19.82,12.48,0.0,12.22,36.51519906097968,29.936934579484646
