date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,13.71,22.21,8.42,1.08,19.44,40.7599477742894,42.572644982769525
2004-10-02,10.15,15.31,6.72,13.98,15.62,40.7599477742894,42.572644982769525
2004-10-03,6.87,9.75,2.75,21.17,7.19,40.7599477742894,42.572644982769525
2004-10-04,4.55,9.84,0.95,8.79,11.98,40.7599477742894,42.572644982769525
2004-10-05,4.12,11.81,-1.28,0.05,16.06,40.7599477742894,42.572644982769525
2004-10-06,6.58,15.14,-1.3,0.36,17.32,40.7599477742894,42.572644982769525
2004-10-07,9.35,17.55,2.49,0.4,14.78,40.7599477742894,42.572644982769525
2004-10-08,10.18,17.68,3.89,2.31,15.57,40.7599477742894,42.572644982769525
2004-10-09,10.21,17.26,4.96,6.65,13.23,40.7599477742894,42.572644982769525
2004-10-10,7.46,12.15,4.55,3.33,14.85,40.7599477742894,42.572644982769525
2004-10-11,7.95,14.67,1.72,0.0,17.14,40.7599477742894,42.572644982769525
2004-10-12,7.85,14.79,2.28,10.07,17.21,40.7599477742894,42.572644982769525
2004-10-13,1.92,6.09,-0.84,18.22,12.22,40.7599477742894,42.572644982769525
2004-10-14,2.82,9.94,-2.84,0.37,10.44,40.7599477742894,42.572644982769525
2004-10-15,5.55,11.44,0.19,0.6,13.04,40.7599477742894,42.572644982769525
2004-10-16,6.11,11.95,0.85,1.41,12.5,40.7599477742894,42.572644982769525
2004-10-17,7.12,12.84,2.49,0.0,13.66,40.7599477742894,42.572644982769525
2004-10-18,8.27,14.59,2.99,0.08,14.78,40.7599477742894,42.572644982769525
2004-10-19,9.47,15.86,3.98,0.0,14.05,40.7599477742894,42.572644982769525
2004-10-20,9.4,14.89,6.04,0.94,11.39,40.7599477742894,42.572644982769525
2004-10-21,2.58,6.02,-1.23,21.65,2.58,40.7599477742894,42.572644982769525
2004-10-22,0.57,3.82,-1.16,5.89,11.74,40.7599477742894,42.572644982769525
2004-10-23,0.59,6.35,-3.4,0.06,14.9,40.7599477742894,42.572644982769525
2004-10-24,3.44,11.25,-3.17,0.0,14.52,40.7599477742894,42.572644982769525
2004-10-25,4.41,10.3,0.29,0.0,14.64,40.7599477742894,42.572644982769525
2004-10-26,6.0,13.25,1.06,0.0,14.91,40.7599477742894,42.572644982769525
2004-10-27,7.1,15.26,0.95,0.0,14.24,40.7599477742894,42.572644982769525
2004-10-28,7.76,13.69,2.36,0.72,11.97,40.7599477742894,42.572644982769525
2004-10-29,8.65,15.45,4.62,0.01,12.11,40.7599477742894,42.572644982769525
2004-10-30,5.87,10.75,3.3,4.18,6.95,40.7599477742894,42.572644982769525
2004-10-31,6.24,12.35,2.64,0.4,10.62,40.7599477742894,42.572644982769525
2004-11-01,7.15,12.6,3.64,0.0,11.97,40.7599477742894,42.572644982769525
2004-11-02,5.42,9.73,0.99,0.17,10.41,40.7599477742894,42.572644982769525
2004-11-03,3.14,7.38,0.52,21.56,8.72,40.7599477742894,42.572644982769525
2004-11-04,-1.05,2.25,-6.21,25.68,3.11,40.7599477742894,42.572644982769525
2004-11-05,-2.78,2.58,-6.14,0.36,9.57,40.7599477742894,42.572644982769525
2004-11-06,-1.11,5.82,-6.02,0.02,11.97,40.7599477742894,42.572644982769525
2004-11-07,1.37,7.42,-3.73,0.0,9.16,40.7599477742894,42.572644982769525
2004-11-08,3.48,9.6,-0.53,0.03,10.32,40.7599477742894,42.572644982769525
2004-11-09,3.45,10.2,-1.42,0.02,7.2,40.7599477742894,42.572644982769525
2004-11-10,3.48,8.63,-0.19,1.73,6.02,40.7599477742894,42.572644982769525
2004-11-11,4.53,9.66,0.82,0.31,8.78,40.7599477742894,42.572644982769525
2004-11-12,3.94,8.61,0.55,0.1,10.12,40.7599477742894,42.572644982769525
2004-11-13,2.48,8.02,-0.63,0.0,11.64,40.7599477742894,42.572644982769525
2004-11-14,2.52,8.53,-0.94,0.0,11.56,40.7599477742894,42.572644982769525
2004-11-15,2.29,9.91,-2.23,0.01,11.5,40.7599477742894,42.572644982769525
2004-11-16,1.47,6.19,-1.59,3.88,4.04,40.7599477742894,42.572644982769525
2004-11-17,-0.79,2.74,-3.04,22.11,3.33,40.7599477742894,42.572644982769525
2004-11-18,-5.43,-2.78,-11.74,19.36,7.87,40.7599477742894,42.572644982769525
2004-11-19,-8.03,0.88,-15.18,0.0,10.46,40.7599477742894,42.572644982769525
2004-11-20,-6.24,0.98,-10.93,0.0,10.4,40.7599477742894,42.572644982769525
2004-11-21,-2.41,1.31,-8.74,3.57,2.74,40.7599477742894,42.572644982769525
2004-11-22,-2.14,0.96,-8.96,9.84,1.95,40.7599477742894,42.572644982769525
2004-11-23,-10.88,-9.05,-14.38,5.4,4.99,40.7599477742894,42.572644982769525
2004-11-24,-11.9,-6.76,-14.37,2.96,6.74,40.7599477742894,42.572644982769525
2004-11-25,-10.14,-3.82,-17.07,1.23,7.0,40.7599477742894,42.572644982769525
2004-11-26,-7.69,-4.45,-10.39,14.4,3.06,40.7599477742894,42.572644982769525
2004-11-27,-11.56,-8.21,-15.41,12.44,7.63,40.7599477742894,42.572644982769525
2004-11-28,-11.13,-3.49,-15.26,0.06,8.97,40.7599477742894,42.572644982769525
2004-11-29,-10.15,-3.81,-13.75,2.04,9.09,40.7599477742894,42.572644982769525
2004-11-30,-10.7,-2.61,-15.45,0.48,10.1,40.7599477742894,42.572644982769525
