date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.64,23.04,13.78,0.83,12.15,41.31863830416549,41.835451364650886
2004-10-02,15.13,18.59,12.6,13.75,9.4,41.31863830416549,41.835451364650886
2004-10-03,11.77,14.29,10.23,29.72,4.11,41.31863830416549,41.835451364650886
2004-10-04,10.3,12.18,8.27,10.18,6.18,41.31863830416549,41.835451364650886
2004-10-05,10.6,14.89,7.83,0.24,16.44,41.31863830416549,41.835451364650886
2004-10-06,12.79,19.1,7.09,0.11,16.82,41.31863830416549,41.835451364650886
2004-10-07,16.21,24.31,10.07,0.06,15.24,41.31863830416549,41.835451364650886
2004-10-08,17.04,22.85,12.45,0.49,14.72,41.31863830416549,41.835451364650886
2004-10-09,16.09,21.21,12.86,5.07,7.5,41.31863830416549,41.835451364650886
2004-10-10,13.71,17.05,10.68,4.77,14.66,41.31863830416549,41.835451364650886
2004-10-11,15.06,20.65,9.07,0.0,16.57,41.31863830416549,41.835451364650886
2004-10-12,14.31,19.88,8.65,15.75,13.59,41.31863830416549,41.835451364650886
2004-10-13,6.34,8.2,5.42,17.95,4.65,41.31863830416549,41.835451364650886
2004-10-14,8.87,13.65,5.66,0.59,14.92,41.31863830416549,41.835451364650886
2004-10-15,12.57,17.17,8.62,0.17,12.95,41.31863830416549,41.835451364650886
2004-10-16,13.74,18.66,10.09,0.52,12.33,41.31863830416549,41.835451364650886
2004-10-17,14.85,19.58,11.49,0.0,12.84,41.31863830416549,41.835451364650886
2004-10-18,16.28,23.46,11.28,0.02,13.95,41.31863830416549,41.835451364650886
2004-10-19,15.86,21.04,11.91,0.0,10.0,41.31863830416549,41.835451364650886
2004-10-20,15.05,19.24,12.22,0.94,9.86,41.31863830416549,41.835451364650886
2004-10-21,9.21,12.6,6.45,24.06,6.71,41.31863830416549,41.835451364650886
2004-10-22,7.22,7.92,5.52,7.68,6.47,41.31863830416549,41.835451364650886
2004-10-23,7.4,11.93,4.42,0.19,14.23,41.31863830416549,41.835451364650886
2004-10-24,10.72,18.09,3.83,0.0,13.02,41.31863830416549,41.835451364650886
2004-10-25,11.61,16.22,8.54,0.0,13.66,41.31863830416549,41.835451364650886
2004-10-26,12.66,19.46,7.88,0.0,14.01,41.31863830416549,41.835451364650886
2004-10-27,14.57,23.66,8.07,0.0,13.06,41.31863830416549,41.835451364650886
2004-10-28,15.4,21.73,10.68,0.17,11.11,41.31863830416549,41.835451364650886
