date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,21.74,28.58,15.66,0.0,19.8,37.55696372385851,27.7904022000518
2004-10-02,21.6,29.4,14.68,0.0,19.77,37.55696372385851,27.7904022000518
2004-10-03,21.59,29.27,14.6,0.0,19.23,37.55696372385851,27.7904022000518
2004-10-04,21.17,28.45,14.7,0.0,18.25,37.55696372385851,27.7904022000518
2004-10-05,21.86,29.01,15.47,1.01,15.54,37.55696372385851,27.7904022000518
2004-10-06,19.71,25.22,15.1,1.01,10.55,37.55696372385851,27.7904022000518
2004-10-07,18.38,23.11,13.65,5.98,14.52,37.55696372385851,27.7904022000518
2004-10-08,17.7,22.61,13.91,0.91,15.02,37.55696372385851,27.7904022000518
2004-10-09,17.96,25.1,11.95,0.01,17.54,37.55696372385851,27.7904022000518
2004-10-10,19.21,27.18,12.8,0.0,18.05,37.55696372385851,27.7904022000518
2004-10-11,19.84,27.26,14.0,0.0,17.48,37.55696372385851,27.7904022000518
2004-10-12,21.64,28.35,16.51,0.0,16.36,37.55696372385851,27.7904022000518
2004-10-13,20.71,26.8,15.92,0.01,13.18,37.55696372385851,27.7904022000518
2004-10-14,19.25,26.71,13.27,0.0,16.6,37.55696372385851,27.7904022000518
2004-10-15,21.5,28.36,15.74,0.0,14.4,37.55696372385851,27.7904022000518
2004-10-16,22.9,28.91,18.71,0.0,15.37,37.55696372385851,27.7904022000518
2004-10-17,23.32,30.18,18.47,0.0,14.48,37.55696372385851,27.7904022000518
2004-10-18,21.89,28.48,17.32,0.0,16.1,37.55696372385851,27.7904022000518
2004-10-19,21.4,28.52,16.38,0.0,15.83,37.55696372385851,27.7904022000518
2004-10-20,22.39,30.03,17.4,0.0,15.74,37.55696372385851,27.7904022000518
2004-10-21,22.77,28.85,17.03,0.0,15.7,37.55696372385851,27.7904022000518
2004-10-22,22.42,29.21,17.14,0.0,12.48,37.55696372385851,27.7904022000518
2004-10-23,21.14,28.6,15.34,0.0,15.53,37.55696372385851,27.7904022000518
2004-10-24,20.48,27.45,16.08,0.0,15.45,37.55696372385851,27.7904022000518
2004-10-25,20.63,27.99,15.56,0.0,14.84,37.55696372385851,27.7904022000518
2004-10-26,20.67,27.73,15.53,0.0,14.26,37.55696372385851,27.7904022000518
2004-10-27,20.03,25.21,16.42,0.0,13.77,37.55696372385851,27.7904022000518
2004-10-28,19.18,23.16,16.53,0.0,12.12,37.55696372385851,27.7904022000518
2004-10-29,20.17,26.64,15.4,0.0,13.84,37.55696372385851,27.7904022000518
2004-10-30,20.07,27.52,14.74,0.0,13.87,37.55696372385851,27.7904022000518
2004-10-31,20.33,28.42,14.56,0.0,13.95,37.55696372385851,27.7904022000518
2004-11-01,21.25,29.98,14.39,0.0,13.93,37.55696372385851,27.7904022000518
2004-11-02,21.24,30.25,14.38,0.0,13.79,37.55696372385851,27.7904022000518
2004-11-03,21.55,29.55,14.94,0.0,13.05,37.55696372385851,27.7904022000518
2004-11-04,20.38,27.88,13.47,0.0,12.16,37.55696372385851,27.7904022000518
2004-11-05,18.7,24.58,13.9,5.1,10.21,37.55696372385851,27.7904022000518
2004-11-06,17.77,20.74,15.17,7.67,5.8,37.55696372385851,27.7904022000518
2004-11-07,17.39,21.93,13.79,0.69,10.81,37.55696372385851,27.7904022000518
2004-11-08,17.35,21.51,14.15,7.49,8.25,37.55696372385851,27.7904022000518
2004-11-09,17.37,20.7,14.95,13.87,5.29,37.55696372385851,27.7904022000518
2004-11-10,17.23,21.73,14.89,2.12,10.82,37.55696372385851,27.7904022000518
2004-11-11,16.34,19.06,14.12,3.97,8.51,37.55696372385851,27.7904022000518
2004-11-12,18.15,24.64,13.27,0.0,10.88,37.55696372385851,27.7904022000518
2004-11-13,18.26,25.01,13.89,0.0,11.79,37.55696372385851,27.7904022000518
2004-11-14,18.72,21.11,16.09,1.2,4.39,37.55696372385851,27.7904022000518
2004-11-15,18.9,21.02,15.28,28.25,7.12,37.55696372385851,27.7904022000518
2004-11-16,16.24,20.41,13.77,9.68,8.45,37.55696372385851,27.7904022000518
2004-11-17,12.89,17.06,8.16,2.92,10.26,37.55696372385851,27.7904022000518
2004-11-18,10.02,17.0,5.08,0.0,12.86,37.55696372385851,27.7904022000518
2004-11-19,12.42,16.58,8.02,1.41,10.2,37.55696372385851,27.7904022000518
2004-11-20,14.07,18.57,5.79,26.39,4.0,37.55696372385851,27.7904022000518
2004-11-21,6.14,11.34,2.64,0.04,11.89,37.55696372385851,27.7904022000518
2004-11-22,3.61,7.75,0.54,0.0,11.74,37.55696372385851,27.7904022000518
2004-11-23,4.43,9.8,-0.89,0.0,11.88,37.55696372385851,27.7904022000518
2004-11-24,9.75,14.93,4.3,7.24,6.83,37.55696372385851,27.7904022000518
2004-11-25,5.53,8.96,1.45,1.3,8.11,37.55696372385851,27.7904022000518
2004-11-26,1.96,6.83,-1.04,0.0,11.54,37.55696372385851,27.7904022000518
2004-11-27,3.54,10.57,-1.71,0.0,11.68,37.55696372385851,27.7904022000518
2004-11-28,7.96,14.55,2.87,0.28,10.79,37.55696372385851,27.7904022000518
2004-11-29,10.48,14.52,7.41,1.25,5.25,37.55696372385851,27.7904022000518
2004-11-30,12.29,16.34,9.36,10.24,5.29,37.55696372385851,27.7904022000518
2004-12-01,13.4,16.86,10.55,0.83,7.71,37.55696372385851,27.7904022000518
2004-12-02,12.52,17.94,7.94,0.0,9.28,37.55696372385851,27.7904022000518
2004-12-03,13.89,18.35,9.99,0.0,8.9,37.55696372385851,27.7904022000518
2004-12-04,14.19,18.53,10.93,0.0,8.12,37.55696372385851,27.7904022000518
2004-12-05,12.09,14.46,9.86,0.31,3.46,37.55696372385851,27.7904022000518
2004-12-06,10.88,17.12,7.16,0.0,9.9,37.55696372385851,27.7904022000518
2004-12-07,9.79,14.99,4.66,0.54,6.84,37.55696372385851,27.7904022000518
2004-12-08,7.83,14.79,2.27,0.0,10.12,37.55696372385851,27.7904022000518
2004-12-09,10.23,14.8,7.17,0.0,9.21,37.55696372385851,27.7904022000518
2004-12-10,9.42,15.86,4.24,0.55,5.84,37.55696372385851,27.7904022000518
2004-12-11,8.54,13.95,3.98,0.25,9.79,37.55696372385851,27.7904022000518
2004-12-12,6.23,14.18,0.69,0.03,10.67,37.55696372385851,27.7904022000518
2004-12-13,6.51,14.01,1.33,0.0,10.67,37.55696372385851,27.7904022000518
2004-12-14,6.22,13.79,1.19,0.0,10.27,37.55696372385851,27.7904022000518
2004-12-15,3.49,9.92,-0.35,0.0,11.09,37.55696372385851,27.7904022000518
2004-12-16,2.57,10.08,-2.0,0.0,10.89,37.55696372385851,27.7904022000518
2004-12-17,8.23,13.44,1.6,0.16,8.31,37.55696372385851,27.7904022000518
2004-12-18,11.42,12.69,9.3,16.37,2.17,37.55696372385851,27.7904022000518
2004-12-19,11.95,13.8,9.41,23.18,1.63,37.55696372385851,27.7904022000518
2004-12-20,11.26,14.93,8.54,5.12,6.46,37.55696372385851,27.7904022000518
2004-12-21,12.02,14.07,9.97,13.53,3.52,37.55696372385851,27.7904022000518
2004-12-22,11.65,14.19,7.47,21.37,4.1,37.55696372385851,27.7904022000518
2004-12-23,7.3,11.72,4.7,0.29,6.44,37.55696372385851,27.7904022000518
2004-12-24,5.55,11.54,2.07,0.13,10.01,37.55696372385851,27.7904022000518
2004-12-25,5.15,12.47,-0.07,0.0,10.69,37.55696372385851,27.7904022000518
2004-12-26,8.26,14.64,2.72,0.01,8.45,37.55696372385851,27.7904022000518
2004-12-27,12.13,15.53,10.27,0.27,6.0,37.55696372385851,27.7904022000518
2004-12-28,13.08,15.13,10.75,0.69,4.49,37.55696372385851,27.7904022000518
2004-12-29,13.59,15.14,10.23,12.71,2.22,37.55696372385851,27.7904022000518
2004-12-30,12.05,15.83,9.84,6.56,7.67,37.55696372385851,27.7904022000518
2004-12-31,12.07,15.76,8.95,4.63,5.78,37.55696372385851,27.7904022000518
2005-01-01,10.74,13.84,7.17,4.81,8.34,37.55696372385851,27.7904022000518
2005-01-02,7.46,11.69,4.68,0.15,8.71,37.55696372385851,27.7904022000518
2005-01-03,5.19,10.97,1.03,0.0,10.63,37.55696372385851,27.7904022000518
2005-01-04,4.28,10.94,-0.56,0.0,9.47,37.55696372385851,27.7904022000518
2005-01-05,4.0,10.83,-1.55,0.0,10.83,37.55696372385851,27.7904022000518
2005-01-06,6.1,12.39,0.74,0.0,11.31,37.55696372385851,27.7904022000518
2005-01-07,7.09,13.28,1.85,1.29,3.68,37.55696372385851,27.7904022000518
2005-01-08,6.78,13.43,2.52,0.08,10.91,37.55696372385851,27.7904022000518
2005-01-09,6.41,14.08,0.16,0.0,11.25,37.55696372385851,27.7904022000518
2005-01-10,7.95,15.56,3.23,0.0,11.25,37.55696372385851,27.7904022000518
2005-01-11,8.43,16.8,1.34,0.0,11.48,37.55696372385851,27.7904022000518
2005-01-12,10.11,15.98,5.45,0.0,10.9,37.55696372385851,27.7904022000518
2005-01-13,10.22,15.02,5.22,0.0,9.63,37.55696372385851,27.7904022000518
2005-01-14,10.13,11.94,8.77,1.04,4.33,37.55696372385851,27.7904022000518
2005-01-15,8.62,12.36,5.85,0.72,5.79,37.55696372385851,27.7904022000518
2005-01-16,6.8,8.46,4.75,11.25,2.59,37.55696372385851,27.7904022000518
2005-01-17,7.93,11.85,4.81,1.87,8.08,37.55696372385851,27.7904022000518
2005-01-18,8.3,13.88,2.58,0.43,11.36,37.55696372385851,27.7904022000518
2005-01-19,8.47,11.45,6.4,1.4,6.3,37.55696372385851,27.7904022000518
2005-01-20,9.23,11.46,6.9,12.0,2.77,37.55696372385851,27.7904022000518
2005-01-21,10.44,13.05,8.17,22.43,5.65,37.55696372385851,27.7904022000518
2005-01-22,9.76,11.99,7.6,10.46,3.78,37.55696372385851,27.7904022000518
2005-01-23,6.07,9.31,1.42,5.23,11.36,37.55696372385851,27.7904022000518
2005-01-24,5.05,9.96,-0.09,0.5,12.32,37.55696372385851,27.7904022000518
2005-01-25,12.83,14.93,9.3,10.95,4.96,37.55696372385851,27.7904022000518
2005-01-26,13.52,15.34,12.6,3.36,8.04,37.55696372385851,27.7904022000518
2005-01-27,14.18,16.59,12.75,4.21,6.87,37.55696372385851,27.7904022000518
2005-01-28,14.04,16.69,12.35,3.82,5.21,37.55696372385851,27.7904022000518
2005-01-29,14.06,16.33,12.3,4.18,6.94,37.55696372385851,27.7904022000518
2005-01-30,9.81,12.8,6.38,3.44,9.38,37.55696372385851,27.7904022000518
2005-01-31,6.49,9.26,3.66,7.84,3.09,37.55696372385851,27.7904022000518
2005-02-01,3.91,8.06,-0.8,0.44,11.59,37.55696372385851,27.7904022000518
2005-02-02,7.24,10.63,3.7,9.47,9.98,37.55696372385851,27.7904022000518
2005-02-03,8.96,11.49,6.22,40.28,4.13,37.55696372385851,27.7904022000518
2005-02-04,6.51,9.34,1.89,1.23,9.49,37.55696372385851,27.7904022000518
2005-02-05,3.88,9.5,-0.77,0.0,12.95,37.55696372385851,27.7904022000518
2005-02-06,1.41,6.06,-2.29,0.0,14.23,37.55696372385851,27.7904022000518
2005-02-07,0.86,6.49,-2.4,0.0,14.94,37.55696372385851,27.7904022000518
2005-02-08,0.9,7.05,-2.66,0.0,15.03,37.55696372385851,27.7904022000518
2005-02-09,1.07,7.62,-2.89,0.0,15.32,37.55696372385851,27.7904022000518
2005-02-10,2.4,9.25,-2.63,0.03,15.02,37.55696372385851,27.7904022000518
2005-02-11,1.13,8.0,-2.95,0.0,15.48,37.55696372385851,27.7904022000518
2005-02-12,2.0,8.36,-3.26,0.0,15.73,37.55696372385851,27.7904022000518
2005-02-13,6.73,11.23,0.41,2.24,8.65,37.55696372385851,27.7904022000518
2005-02-14,12.56,14.28,10.51,18.69,5.97,37.55696372385851,27.7904022000518
2005-02-15,11.72,13.27,10.67,16.86,6.45,37.55696372385851,27.7904022000518
2005-02-16,11.86,13.73,10.06,17.87,6.64,37.55696372385851,27.7904022000518
2005-02-17,10.6,12.42,8.95,8.81,8.37,37.55696372385851,27.7904022000518
2005-02-18,9.04,12.19,5.71,14.64,13.41,37.55696372385851,27.7904022000518
2005-02-19,8.17,13.05,3.93,1.85,15.24,37.55696372385851,27.7904022000518
2005-02-20,9.16,12.22,6.69,5.3,14.15,37.55696372385851,27.7904022000518
2005-02-21,9.2,11.93,6.73,17.59,7.23,37.55696372385851,27.7904022000518
2005-02-22,10.34,14.49,7.16,2.33,8.51,37.55696372385851,27.7904022000518
2005-02-23,10.41,12.37,8.42,10.24,5.01,37.55696372385851,27.7904022000518
2005-02-24,11.04,15.11,8.14,0.92,13.39,37.55696372385851,27.7904022000518
2005-02-25,11.12,14.94,8.47,0.07,15.47,37.55696372385851,27.7904022000518
2005-02-26,10.98,12.53,8.83,2.9,4.36,37.55696372385851,27.7904022000518
2005-02-27,12.98,16.27,10.94,6.08,12.06,37.55696372385851,27.7904022000518
2005-02-28,10.86,11.97,9.95,24.49,3.92,37.55696372385851,27.7904022000518
2005-03-01,12.09,15.65,9.28,11.32,5.86,37.55696372385851,27.7904022000518
2005-03-02,12.32,15.42,9.22,0.94,5.65,37.55696372385851,27.7904022000518
2005-03-03,8.55,11.94,3.31,1.01,11.79,37.55696372385851,27.7904022000518
