date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,21.63,28.69,16.97,0.0,19.48,38.50688428275928,41.48228565214668
2004-10-02,20.64,28.01,14.82,0.02,18.8,38.50688428275928,41.48228565214668
2004-10-03,17.72,24.5,12.22,0.14,18.32,38.50688428275928,41.48228565214668
2004-10-04,16.42,23.79,9.82,0.03,13.66,38.50688428275928,41.48228565214668
2004-10-05,15.78,24.17,8.19,0.0,19.27,38.50688428275928,41.48228565214668
2004-10-06,16.7,25.86,8.65,0.11,15.23,38.50688428275928,41.48228565214668
2004-10-07,18.67,27.36,11.58,0.0,16.79,38.50688428275928,41.48228565214668
2004-10-08,19.21,25.75,13.3,1.74,14.03,38.50688428275928,41.48228565214668
2004-10-09,17.73,24.48,11.75,0.18,16.23,38.50688428275928,41.48228565214668
2004-10-10,15.02,21.5,9.71,0.0,18.23,38.50688428275928,41.48228565214668
2004-10-11,15.86,22.96,9.41,0.0,17.42,38.50688428275928,41.48228565214668
2004-10-12,16.08,24.04,9.08,0.01,14.54,38.50688428275928,41.48228565214668
2004-10-13,14.84,21.83,10.01,0.25,9.18,38.50688428275928,41.48228565214668
2004-10-14,14.71,22.78,6.75,0.07,15.95,38.50688428275928,41.48228565214668
2004-10-15,16.59,22.75,11.47,0.04,15.85,38.50688428275928,41.48228565214668
2004-10-16,16.35,23.09,9.36,0.06,14.55,38.50688428275928,41.48228565214668
2004-10-17,16.36,23.05,10.09,0.0,15.13,38.50688428275928,41.48228565214668
2004-10-18,16.86,25.23,9.78,0.0,16.57,38.50688428275928,41.48228565214668
2004-10-19,17.14,25.56,9.08,0.0,16.42,38.50688428275928,41.48228565214668
2004-10-20,17.16,24.57,11.52,0.0,15.84,38.50688428275928,41.48228565214668
2004-10-21,10.02,14.31,3.74,6.62,3.6,38.50688428275928,41.48228565214668
2004-10-22,7.82,16.89,0.31,0.46,10.96,38.50688428275928,41.48228565214668
2004-10-23,9.48,18.35,1.66,0.0,16.33,38.50688428275928,41.48228565214668
2004-10-24,10.35,18.96,1.5,0.0,15.7,38.50688428275928,41.48228565214668
2004-10-25,12.05,20.74,3.66,0.0,15.23,38.50688428275928,41.48228565214668
2004-10-26,12.86,21.78,4.41,0.0,15.37,38.50688428275928,41.48228565214668
2004-10-27,14.82,23.98,6.89,0.0,13.87,38.50688428275928,41.48228565214668
2004-10-28,15.54,22.93,9.54,0.01,9.07,38.50688428275928,41.48228565214668
2004-10-29,14.84,23.4,7.93,0.56,12.45,38.50688428275928,41.48228565214668
2004-10-30,11.95,14.42,10.31,7.52,4.46,38.50688428275928,41.48228565214668
2004-10-31,10.71,15.34,7.35,0.9,7.14,38.50688428275928,41.48228565214668
2004-11-01,11.77,18.98,5.39,0.0,13.16,38.50688428275928,41.48228565214668
2004-11-02,12.45,18.9,7.06,0.0,13.06,38.50688428275928,41.48228565214668
2004-11-03,11.83,18.42,6.37,0.08,12.31,38.50688428275928,41.48228565214668
2004-11-04,7.95,12.92,2.36,11.07,3.74,38.50688428275928,41.48228565214668
2004-11-05,6.97,14.67,0.63,0.0,14.24,38.50688428275928,41.48228565214668
2004-11-06,7.27,13.44,2.13,0.38,10.47,38.50688428275928,41.48228565214668
2004-11-07,7.58,11.95,4.61,2.54,7.32,38.50688428275928,41.48228565214668
2004-11-08,9.48,14.95,4.76,0.47,7.63,38.50688428275928,41.48228565214668
2004-11-09,9.55,12.83,7.23,2.35,4.55,38.50688428275928,41.48228565214668
2004-11-10,9.48,14.4,6.47,0.08,9.39,38.50688428275928,41.48228565214668
2004-11-11,8.91,15.07,4.77,0.15,8.68,38.50688428275928,41.48228565214668
2004-11-12,9.53,17.74,3.0,0.16,12.18,38.50688428275928,41.48228565214668
2004-11-13,9.28,17.22,2.31,0.0,12.27,38.50688428275928,41.48228565214668
2004-11-14,8.97,16.37,2.06,0.0,12.35,38.50688428275928,41.48228565214668
2004-11-15,8.92,15.22,3.69,0.03,11.56,38.50688428275928,41.48228565214668
2004-11-16,7.63,11.1,5.19,16.93,2.31,38.50688428275928,41.48228565214668
2004-11-17,6.8,8.4,5.34,27.17,2.04,38.50688428275928,41.48228565214668
2004-11-18,4.05,8.66,-1.37,8.45,7.64,38.50688428275928,41.48228565214668
2004-11-19,3.43,10.42,-2.28,0.0,11.51,38.50688428275928,41.48228565214668
2004-11-20,3.8,8.24,1.25,0.01,7.29,38.50688428275928,41.48228565214668
2004-11-21,2.79,4.77,0.56,15.55,2.12,38.50688428275928,41.48228565214668
2004-11-22,0.19,2.59,-1.75,45.35,0.83,38.50688428275928,41.48228565214668
2004-11-23,-7.06,-2.18,-17.25,2.45,4.88,38.50688428275928,41.48228565214668
2004-11-24,-11.97,-3.09,-18.13,0.04,8.67,38.50688428275928,41.48228565214668
2004-11-25,-7.04,-1.48,-13.78,4.93,3.49,38.50688428275928,41.48228565214668
2004-11-26,-3.06,-2.04,-5.26,27.71,1.6,38.50688428275928,41.48228565214668
2004-11-27,-6.31,-1.28,-15.02,8.03,4.32,38.50688428275928,41.48228565214668
2004-11-28,-9.6,-1.95,-14.51,0.0,10.73,38.50688428275928,41.48228565214668
2004-11-29,-9.58,-0.57,-15.49,0.0,10.59,38.50688428275928,41.48228565214668
2004-11-30,-8.57,-0.51,-12.61,0.0,10.8,38.50688428275928,41.48228565214668
2004-12-01,-7.63,-0.65,-12.21,0.07,8.9,38.50688428275928,41.48228565214668
2004-12-02,-8.81,-1.16,-13.51,0.03,10.78,38.50688428275928,41.48228565214668
2004-12-03,-6.68,-0.16,-10.7,0.0,10.41,38.50688428275928,41.48228565214668
2004-12-04,-5.98,0.13,-9.85,0.0,10.36,38.50688428275928,41.48228565214668
2004-12-05,-3.22,0.2,-8.36,0.77,4.89,38.50688428275928,41.48228565214668
2004-12-06,-6.32,-0.38,-11.28,0.13,9.49,38.50688428275928,41.48228565214668
2004-12-07,-7.79,-0.47,-11.38,0.04,8.57,38.50688428275928,41.48228565214668
2004-12-08,-6.64,-0.58,-10.29,1.22,6.32,38.50688428275928,41.48228565214668
2004-12-09,-8.02,-0.69,-11.98,0.0,7.06,38.50688428275928,41.48228565214668
2004-12-10,-10.28,-2.9,-13.89,0.0,10.09,38.50688428275928,41.48228565214668
2004-12-11,-8.15,-1.88,-12.44,2.13,7.43,38.50688428275928,41.48228565214668
2004-12-12,-11.43,-3.8,-15.38,0.25,10.15,38.50688428275928,41.48228565214668
2004-12-13,-10.35,-3.3,-14.28,0.0,9.55,38.50688428275928,41.48228565214668
2004-12-14,-7.96,-1.41,-14.88,1.84,8.31,38.50688428275928,41.48228565214668
2004-12-15,-11.56,-5.1,-17.69,1.68,8.69,38.50688428275928,41.48228565214668
