date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,15.68,24.97,8.52,0.46,18.63,39.9954776622686,39.80494555242552
2004-10-02,13.09,21.13,7.53,1.52,16.43,39.9954776622686,39.80494555242552
2004-10-03,9.4,15.07,4.06,0.81,13.61,39.9954776622686,39.80494555242552
2004-10-04,7.17,14.69,2.91,0.44,13.3,39.9954776622686,39.80494555242552
2004-10-05,7.32,16.66,0.42,0.12,19.08,39.9954776622686,39.80494555242552
2004-10-06,9.96,20.82,1.91,0.21,12.25,39.9954776622686,39.80494555242552
2004-10-07,12.07,21.9,3.68,0.0,16.29,39.9954776622686,39.80494555242552
2004-10-08,12.11,20.03,4.55,1.76,13.77,39.9954776622686,39.80494555242552
2004-10-09,11.05,17.95,6.25,1.53,13.4,39.9954776622686,39.80494555242552
2004-10-10,9.39,16.51,3.95,0.02,12.24,39.9954776622686,39.80494555242552
2004-10-11,10.04,18.8,3.51,0.0,17.93,39.9954776622686,39.80494555242552
2004-10-12,9.47,18.85,2.15,0.89,16.82,39.9954776622686,39.80494555242552
2004-10-13,5.33,13.7,0.03,1.54,14.9,39.9954776622686,39.80494555242552
2004-10-14,6.99,15.86,-1.01,0.18,12.84,39.9954776622686,39.80494555242552
2004-10-15,9.86,17.36,4.39,0.36,14.19,39.9954776622686,39.80494555242552
2004-10-16,9.99,17.3,4.23,0.15,12.45,39.9954776622686,39.80494555242552
2004-10-17,10.84,18.32,4.83,0.0,14.99,39.9954776622686,39.80494555242552
2004-10-18,12.22,19.77,5.17,0.0,15.62,39.9954776622686,39.80494555242552
2004-10-19,12.21,20.84,5.48,0.17,13.8,39.9954776622686,39.80494555242552
2004-10-20,12.32,20.14,6.91,0.41,15.05,39.9954776622686,39.80494555242552
2004-10-21,4.14,9.46,-1.92,7.39,8.95,39.9954776622686,39.80494555242552
2004-10-22,1.45,8.18,-3.02,0.2,13.6,39.9954776622686,39.80494555242552
2004-10-23,3.74,13.05,-3.62,0.05,16.3,39.9954776622686,39.80494555242552
2004-10-24,5.8,15.15,-1.01,0.0,13.9,39.9954776622686,39.80494555242552
2004-10-25,7.88,16.18,1.63,0.0,14.9,39.9954776622686,39.80494555242552
2004-10-26,8.57,17.2,2.28,0.0,14.67,39.9954776622686,39.80494555242552
2004-10-27,9.87,18.67,3.3,0.0,12.1,39.9954776622686,39.80494555242552
