date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,16.3,23.42,10.89,0.0,17.58,39.761233298040196,29.851577787510184
2004-10-02,14.62,22.3,9.07,0.04,19.02,39.761233298040196,29.851577787510184
2004-10-03,13.26,19.21,8.21,0.11,13.09,39.761233298040196,29.851577787510184
2004-10-04,12.33,19.15,7.66,0.01,16.38,39.761233298040196,29.851577787510184
2004-10-05,13.46,20.83,7.83,0.03,12.28,39.761233298040196,29.851577787510184
2004-10-06,13.21,20.63,8.84,0.28,15.66,39.761233298040196,29.851577787510184
2004-10-07,13.13,17.05,10.53,1.44,7.23,39.761233298040196,29.851577787510184
2004-10-08,12.42,16.57,10.19,3.99,6.58,39.761233298040196,29.851577787510184
2004-10-09,12.76,18.06,8.99,4.59,10.32,39.761233298040196,29.851577787510184
2004-10-10,15.05,24.09,6.58,0.0,17.66,39.761233298040196,29.851577787510184
2004-10-11,17.86,28.23,9.7,0.0,16.75,39.761233298040196,29.851577787510184
2004-10-12,11.69,14.51,7.89,3.75,8.61,39.761233298040196,29.851577787510184
2004-10-13,9.06,13.45,5.56,1.59,6.6,39.761233298040196,29.851577787510184
2004-10-14,11.53,22.08,4.39,0.0,14.6,39.761233298040196,29.851577787510184
2004-10-15,15.22,24.07,8.42,0.0,14.27,39.761233298040196,29.851577787510184
2004-10-16,17.79,24.64,12.55,0.0,14.46,39.761233298040196,29.851577787510184
2004-10-17,19.79,27.48,15.19,0.0,13.77,39.761233298040196,29.851577787510184
2004-10-18,18.47,26.87,12.28,0.0,15.67,39.761233298040196,29.851577787510184
2004-10-19,16.98,24.79,10.08,0.0,13.79,39.761233298040196,29.851577787510184
2004-10-20,15.99,23.88,11.57,0.12,11.41,39.761233298040196,29.851577787510184
2004-10-21,14.21,21.39,9.44,0.02,15.62,39.761233298040196,29.851577787510184
2004-10-22,13.83,21.41,9.07,0.0,13.11,39.761233298040196,29.851577787510184
2004-10-23,13.02,22.15,6.98,0.0,15.08,39.761233298040196,29.851577787510184
2004-10-24,12.52,20.37,7.77,0.0,14.93,39.761233298040196,29.851577787510184
2004-10-25,14.69,25.22,5.93,0.0,14.31,39.761233298040196,29.851577787510184
2004-10-26,15.62,25.41,8.61,0.0,14.37,39.761233298040196,29.851577787510184
2004-10-27,15.88,25.41,9.47,0.0,10.25,39.761233298040196,29.851577787510184
2004-10-28,15.21,24.41,8.48,0.0,12.98,39.761233298040196,29.851577787510184
2004-10-29,15.67,23.73,11.23,0.0,11.95,39.761233298040196,29.851577787510184
2004-10-30,15.71,24.02,10.62,0.0,12.4,39.761233298040196,29.851577787510184
2004-10-31,15.99,24.32,9.01,0.0,13.36,39.761233298040196,29.851577787510184
2004-11-01,16.26,25.46,9.12,0.0,13.43,39.761233298040196,29.851577787510184
2004-11-02,15.89,24.11,11.27,0.0,13.09,39.761233298040196,29.851577787510184
2004-11-03,12.14,18.93,8.25,0.05,12.31,39.761233298040196,29.851577787510184
2004-11-04,10.36,18.28,4.7,0.03,12.74,39.761233298040196,29.851577787510184
2004-11-05,8.13,17.47,0.79,0.0,13.68,39.761233298040196,29.851577787510184
2004-11-06,8.97,19.28,0.97,0.06,11.0,39.761233298040196,29.851577787510184
2004-11-07,11.59,17.93,5.9,0.44,6.91,39.761233298040196,29.851577787510184
2004-11-08,12.6,19.71,6.86,0.0,9.83,39.761233298040196,29.851577787510184
2004-11-09,13.78,20.69,7.71,0.01,7.19,39.761233298040196,29.851577787510184
2004-11-10,13.64,18.87,9.96,0.42,6.32,39.761233298040196,29.851577787510184
2004-11-11,13.51,20.5,8.65,0.01,11.47,39.761233298040196,29.851577787510184
2004-11-12,13.65,21.59,8.3,0.0,11.01,39.761233298040196,29.851577787510184
2004-11-13,14.07,22.24,7.81,0.0,10.81,39.761233298040196,29.851577787510184
2004-11-14,15.64,25.87,9.51,2.22,5.79,39.761233298040196,29.851577787510184
2004-11-15,13.83,18.12,9.56,2.36,5.37,39.761233298040196,29.851577787510184
2004-11-16,10.08,15.25,7.13,13.99,7.54,39.761233298040196,29.851577787510184
2004-11-17,4.51,6.99,1.47,3.18,4.16,39.761233298040196,29.851577787510184
2004-11-18,4.84,11.77,1.69,0.0,11.95,39.761233298040196,29.851577787510184
2004-11-19,6.59,16.45,-0.22,0.02,11.92,39.761233298040196,29.851577787510184
2004-11-20,5.1,12.55,-1.38,21.74,2.55,39.761233298040196,29.851577787510184
2004-11-21,-2.05,1.41,-4.86,0.61,7.22,39.761233298040196,29.851577787510184
2004-11-22,-2.49,-0.38,-4.42,4.02,4.18,39.761233298040196,29.851577787510184
2004-11-23,-2.33,2.58,-7.01,0.19,9.94,39.761233298040196,29.851577787510184
2004-11-24,-0.34,6.48,-4.72,8.88,3.55,39.761233298040196,29.851577787510184
2004-11-25,-2.6,-0.22,-3.96,2.95,4.15,39.761233298040196,29.851577787510184
2004-11-26,-4.89,-1.79,-8.81,0.79,5.77,39.761233298040196,29.851577787510184
2004-11-27,-3.41,4.27,-9.03,0.0,9.18,39.761233298040196,29.851577787510184
2004-11-28,0.5,7.71,-4.34,0.0,9.81,39.761233298040196,29.851577787510184
2004-11-29,2.43,10.43,-2.5,0.0,9.22,39.761233298040196,29.851577787510184
2004-11-30,4.65,10.92,1.29,0.18,5.89,39.761233298040196,29.851577787510184
2004-12-01,6.37,11.22,2.42,0.44,6.61,39.761233298040196,29.851577787510184
2004-12-02,7.09,14.87,2.72,0.0,8.82,39.761233298040196,29.851577787510184
2004-12-03,8.7,16.81,3.09,0.01,9.22,39.761233298040196,29.851577787510184
2004-12-04,9.46,16.52,5.47,0.09,6.6,39.761233298040196,29.851577787510184
2004-12-05,6.8,9.11,3.54,4.41,2.81,39.761233298040196,29.851577787510184
2004-12-06,5.14,11.62,1.3,0.0,7.27,39.761233298040196,29.851577787510184
2004-12-07,2.65,4.29,0.97,9.94,2.82,39.761233298040196,29.851577787510184
2004-12-08,1.48,7.41,-2.37,0.04,9.95,39.761233298040196,29.851577787510184
2004-12-09,1.06,7.5,-2.5,0.0,9.43,39.761233298040196,29.851577787510184
2004-12-10,0.48,5.23,-2.77,0.01,8.94,39.761233298040196,29.851577787510184
2004-12-11,-0.51,3.62,-3.45,0.25,7.09,39.761233298040196,29.851577787510184
2004-12-12,0.94,6.9,-3.42,0.01,9.93,39.761233298040196,29.851577787510184
2004-12-13,1.26,8.51,-3.46,0.0,9.83,39.761233298040196,29.851577787510184
2004-12-14,0.09,3.8,-3.77,0.05,4.08,39.761233298040196,29.851577787510184
2004-12-15,-2.45,1.27,-4.69,0.04,8.88,39.761233298040196,29.851577787510184
2004-12-16,-2.55,2.76,-5.21,0.0,10.14,39.761233298040196,29.851577787510184
2004-12-17,-1.06,8.13,-6.56,0.0,9.59,39.761233298040196,29.851577787510184
2004-12-18,2.63,8.49,-1.42,0.01,4.09,39.761233298040196,29.851577787510184
2004-12-19,4.76,10.89,1.7,0.84,4.39,39.761233298040196,29.851577787510184
2004-12-20,4.82,10.63,1.43,1.86,3.44,39.761233298040196,29.851577787510184
2004-12-21,4.57,9.9,1.59,4.34,4.72,39.761233298040196,29.851577787510184
2004-12-22,3.91,6.88,1.69,10.71,1.55,39.761233298040196,29.851577787510184
2004-12-23,0.63,4.1,-2.49,0.88,4.12,39.761233298040196,29.851577787510184
2004-12-24,-0.07,6.07,-3.59,0.0,5.2,39.761233298040196,29.851577787510184
2004-12-25,0.26,7.82,-3.96,0.0,9.57,39.761233298040196,29.851577787510184
2004-12-26,1.75,11.38,-3.27,0.0,9.07,39.761233298040196,29.851577787510184
2004-12-27,5.92,15.08,1.11,0.12,5.04,39.761233298040196,29.851577787510184
2004-12-28,8.26,17.86,2.22,1.86,5.83,39.761233298040196,29.851577787510184
2004-12-29,9.15,14.47,6.17,1.13,4.43,39.761233298040196,29.851577787510184
2004-12-30,7.84,13.42,4.77,0.63,3.15,39.761233298040196,29.851577787510184
2004-12-31,5.76,12.35,1.89,0.42,4.91,39.761233298040196,29.851577787510184
2005-01-01,5.47,11.0,1.51,1.06,5.87,39.761233298040196,29.851577787510184
2005-01-02,2.5,5.47,0.27,1.87,3.13,39.761233298040196,29.851577787510184
2005-01-03,0.65,5.54,-2.16,0.01,7.07,39.761233298040196,29.851577787510184
2005-01-04,-0.88,1.62,-2.75,2.73,3.41,39.761233298040196,29.851577787510184
2005-01-05,-0.73,3.84,-4.25,0.29,4.88,39.761233298040196,29.851577787510184
2005-01-06,1.69,8.59,-1.9,0.04,9.16,39.761233298040196,29.851577787510184
2005-01-07,1.4,3.63,-1.94,2.56,5.72,39.761233298040196,29.851577787510184
2005-01-08,1.87,7.82,-2.92,0.17,7.92,39.761233298040196,29.851577787510184
2005-01-09,2.97,11.65,-3.26,0.0,10.34,39.761233298040196,29.851577787510184
2005-01-10,3.37,9.94,0.38,0.0,10.01,39.761233298040196,29.851577787510184
2005-01-11,3.08,12.24,-1.07,0.0,10.74,39.761233298040196,29.851577787510184
2005-01-12,3.82,14.1,-1.55,0.0,10.7,39.761233298040196,29.851577787510184
2005-01-13,5.03,13.67,-0.78,0.0,10.35,39.761233298040196,29.851577787510184
2005-01-14,4.51,10.07,0.74,0.24,7.47,39.761233298040196,29.851577787510184
2005-01-15,1.43,4.01,-1.38,9.43,3.63,39.761233298040196,29.851577787510184
2005-01-16,0.27,2.41,-1.8,9.55,2.41,39.761233298040196,29.851577787510184
2005-01-17,2.26,7.66,-1.66,1.6,5.82,39.761233298040196,29.851577787510184
2005-01-18,1.94,5.35,0.3,0.4,5.38,39.761233298040196,29.851577787510184
2005-01-19,2.39,9.15,-2.84,0.0,8.89,39.761233298040196,29.851577787510184
2005-01-20,2.67,9.76,-1.74,0.01,9.63,39.761233298040196,29.851577787510184
2005-01-21,4.15,9.73,1.52,0.01,8.47,39.761233298040196,29.851577787510184
2005-01-22,2.55,7.11,-1.16,7.73,3.36,39.761233298040196,29.851577787510184
2005-01-23,-1.99,0.21,-3.89,3.3,5.74,39.761233298040196,29.851577787510184
2005-01-24,-1.85,3.09,-5.88,0.97,11.0,39.761233298040196,29.851577787510184
2005-01-25,3.26,6.78,-2.03,0.19,4.48,39.761233298040196,29.851577787510184
2005-01-26,7.36,11.77,4.94,0.36,5.44,39.761233298040196,29.851577787510184
2005-01-27,7.7,12.37,4.5,5.18,6.69,39.761233298040196,29.851577787510184
2005-01-28,7.62,11.55,4.71,17.49,5.41,39.761233298040196,29.851577787510184
2005-01-29,8.93,14.6,4.99,17.19,8.28,39.761233298040196,29.851577787510184
2005-01-30,3.77,7.19,-2.33,9.86,7.33,39.761233298040196,29.851577787510184
2005-01-31,-1.78,3.82,-4.39,2.35,5.22,39.761233298040196,29.851577787510184
2005-02-01,-1.87,2.79,-4.86,0.83,6.19,39.761233298040196,29.851577787510184
2005-02-02,-0.38,4.45,-3.74,0.05,7.33,39.761233298040196,29.851577787510184
2005-02-03,1.72,6.33,-1.11,0.65,4.64,39.761233298040196,29.851577787510184
2005-02-04,0.89,3.73,-1.8,6.04,5.27,39.761233298040196,29.851577787510184
2005-02-05,-1.88,1.7,-4.96,2.74,5.51,39.761233298040196,29.851577787510184
2005-02-06,-4.67,-2.54,-5.68,0.6,8.22,39.761233298040196,29.851577787510184
2005-02-07,-4.18,-1.62,-5.89,3.48,8.84,39.761233298040196,29.851577787510184
2005-02-08,-4.31,-1.36,-6.7,0.85,9.87,39.761233298040196,29.851577787510184
2005-02-09,-5.17,-1.86,-6.93,0.26,11.4,39.761233298040196,29.851577787510184
2005-02-10,-5.43,-0.94,-7.71,0.03,12.59,39.761233298040196,29.851577787510184
2005-02-11,-5.15,-0.15,-8.34,0.01,12.03,39.761233298040196,29.851577787510184
2005-02-12,-3.81,2.91,-10.82,0.0,14.52,39.761233298040196,29.851577787510184
2005-02-13,0.54,6.74,-5.4,0.06,10.84,39.761233298040196,29.851577787510184
2005-02-14,5.37,10.58,1.91,0.11,5.84,39.761233298040196,29.851577787510184
2005-02-15,7.26,13.0,4.24,0.06,8.16,39.761233298040196,29.851577787510184
2005-02-16,6.21,12.19,1.63,4.03,6.77,39.761233298040196,29.851577787510184
2005-02-17,5.83,10.11,3.03,2.37,7.08,39.761233298040196,29.851577787510184
2005-02-18,3.3,7.44,0.73,14.47,7.15,39.761233298040196,29.851577787510184
2005-02-19,3.28,9.06,-1.24,0.42,10.33,39.761233298040196,29.851577787510184
2005-02-20,2.53,7.49,-1.43,2.6,9.63,39.761233298040196,29.851577787510184
2005-02-21,3.35,9.18,-1.34,1.34,8.9,39.761233298040196,29.851577787510184
2005-02-22,4.9,10.92,0.39,0.42,10.58,39.761233298040196,29.851577787510184
2005-02-23,5.53,13.61,0.2,0.64,8.33,39.761233298040196,29.851577787510184
2005-02-24,6.36,13.85,-0.01,0.43,13.68,39.761233298040196,29.851577787510184
2005-02-25,6.09,12.69,0.29,0.0,15.05,39.761233298040196,29.851577787510184
2005-02-26,6.13,13.65,1.09,4.46,6.17,39.761233298040196,29.851577787510184
2005-02-27,7.62,13.17,4.04,6.86,8.13,39.761233298040196,29.851577787510184
2005-02-28,3.23,6.49,-1.11,13.17,3.31,39.761233298040196,29.851577787510184
2005-03-01,1.21,6.1,-1.5,12.33,3.33,39.761233298040196,29.851577787510184
2005-03-02,1.72,6.48,-0.41,10.21,4.87,39.761233298040196,29.851577787510184
2005-03-03,-0.53,2.04,-2.48,3.65,4.66,39.761233298040196,29.851577787510184
2005-03-04,1.67,8.73,-3.06,0.02,17.59,39.761233298040196,29.851577787510184
2005-03-05,4.14,11.32,-1.82,1.25,6.75,39.761233298040196,29.851577787510184
2005-03-06,7.55,11.89,3.58,8.21,4.63,39.761233298040196,29.851577787510184
2005-03-07,7.18,15.29,0.43,1.17,12.93,39.761233298040196,29.851577787510184
2005-03-08,2.55,7.69,-2.54,8.81,4.56,39.761233298040196,29.851577787510184
2005-03-09,-1.37,3.43,-4.01,0.41,9.55,39.761233298040196,29.851577787510184
2005-03-10,-1.83,2.16,-5.39,0.17,13.52,39.761233298040196,29.851577787510184
2005-03-11,-3.47,-1.08,-5.01,0.7,5.46,39.761233298040196,29.851577787510184
2005-03-12,-0.47,7.75,-6.64,0.0,20.35,39.761233298040196,29.851577787510184
2005-03-13,2.6,10.58,-4.02,0.04,15.45,39.761233298040196,29.851577787510184
2005-03-14,5.3,11.57,0.05,3.98,9.64,39.761233298040196,29.851577787510184
2005-03-15,7.18,13.8,3.22,0.0,16.74,39.761233298040196,29.851577787510184
2005-03-16,6.22,12.45,1.89,0.08,15.8,39.761233298040196,29.851577787510184
2005-03-17,7.36,14.5,2.28,0.0,20.59,39.761233298040196,29.851577787510184
2005-03-18,8.29,16.57,0.26,0.11,20.97,39.761233298040196,29.851577787510184
2005-03-19,9.63,16.4,2.22,0.7,20.16,39.761233298040196,29.851577787510184
2005-03-20,1.93,7.59,-4.78,2.61,5.4,39.761233298040196,29.851577787510184
2005-03-21,0.11,8.48,-5.45,0.0,21.88,39.761233298040196,29.851577787510184
2005-03-22,0.5,8.6,-4.57,0.0,22.53,39.761233298040196,29.851577787510184
2005-03-23,0.72,7.77,-4.75,0.0,22.89,39.761233298040196,29.851577787510184
2005-03-24,3.44,11.26,-2.18,0.0,22.79,39.761233298040196,29.851577787510184
2005-03-25,6.87,15.44,-0.44,0.0,22.5,39.761233298040196,29.851577787510184
2005-03-26,9.29,17.45,1.91,0.0,16.7,39.761233298040196,29.851577787510184
2005-03-27,9.93,15.4,4.46,0.52,10.25,39.761233298040196,29.851577787510184
2005-03-28,12.52,19.47,8.55,0.58,11.19,39.761233298040196,29.851577787510184
2005-03-29,10.34,14.81,6.42,0.54,12.58,39.761233298040196,29.851577787510184
2005-03-30,8.59,14.17,4.84,0.05,14.03,39.761233298040196,29.851577787510184
2005-03-31,3.52,6.57,-0.19,11.42,5.5,39.761233298040196,29.851577787510184
2005-04-01,-0.49,2.71,-3.08,1.72,7.94,39.761233298040196,29.851577787510184
2005-04-02,-1.01,3.38,-4.37,0.1,12.17,39.761233298040196,29.851577787510184
2005-04-03,-0.54,4.19,-4.2,0.17,13.0,39.761233298040196,29.851577787510184
2005-04-04,0.71,8.04,-4.14,0.0,20.59,39.761233298040196,29.851577787510184
2005-04-05,3.66,12.39,-3.62,0.0,17.05,39.761233298040196,29.851577787510184
2005-04-06,6.57,16.0,-2.73,0.0,23.41,39.761233298040196,29.851577787510184
2005-04-07,10.32,18.74,1.77,0.02,14.74,39.761233298040196,29.851577787510184
2005-04-08,13.24,20.56,6.48,0.0,13.57,39.761233298040196,29.851577787510184
2005-04-09,14.87,22.69,7.13,0.0,23.91,39.761233298040196,29.851577787510184
2005-04-10,15.88,24.46,6.73,0.0,23.24,39.761233298040196,29.851577787510184
2005-04-11,17.74,26.51,7.79,0.0,20.99,39.761233298040196,29.851577787510184
2005-04-12,18.14,26.4,9.96,0.0,21.27,39.761233298040196,29.851577787510184
2005-04-13,16.49,25.94,10.67,0.35,18.96,39.761233298040196,29.851577787510184
2005-04-14,9.97,14.18,5.8,0.92,14.64,39.761233298040196,29.851577787510184
2005-04-15,9.04,13.06,5.47,2.75,12.54,39.761233298040196,29.851577787510184
2005-04-16,11.77,18.42,5.89,0.36,20.09,39.761233298040196,29.851577787510184
2005-04-17,13.54,21.31,5.96,0.0,10.54,39.761233298040196,29.851577787510184
2005-04-18,13.1,17.85,9.14,5.1,12.07,39.761233298040196,29.851577787510184
2005-04-19,10.05,15.24,5.72,1.57,14.55,39.761233298040196,29.851577787510184
2005-04-20,11.79,19.92,3.72,0.0,24.51,39.761233298040196,29.851577787510184
2005-04-21,14.63,23.22,5.91,0.07,23.75,39.761233298040196,29.851577787510184
2005-04-22,12.12,16.22,8.7,6.0,9.38,39.761233298040196,29.851577787510184
2005-04-23,8.85,12.35,5.22,4.35,17.56,39.761233298040196,29.851577787510184
2005-04-24,8.84,16.22,4.0,0.04,23.04,39.761233298040196,29.851577787510184
2005-04-25,11.01,19.68,2.99,0.0,27.15,39.761233298040196,29.851577787510184
2005-04-26,14.72,22.96,5.8,0.0,25.43,39.761233298040196,29.851577787510184
2005-04-27,11.63,14.94,6.69,2.02,19.6,39.761233298040196,29.851577787510184
2005-04-28,11.29,16.48,5.4,0.06,20.13,39.761233298040196,29.851577787510184
2005-04-29,8.01,14.8,2.57,8.84,8.72,39.761233298040196,29.851577787510184
2005-04-30,6.08,9.22,2.59,9.04,10.28,39.761233298040196,29.851577787510184
2005-05-01,7.31,10.56,4.46,0.73,11.8,39.761233298040196,29.851577787510184
2005-05-02,9.38,14.95,5.01,0.0,19.78,39.761233298040196,29.851577787510184
2005-05-03,9.12,14.99,2.08,0.12,13.98,39.761233298040196,29.851577787510184
2005-05-04,9.89,18.49,1.22,0.0,29.69,39.761233298040196,29.851577787510184
2005-05-05,14.83,21.89,6.13,0.27,23.12,39.761233298040196,29.851577787510184
2005-05-06,17.43,23.58,12.39,0.18,19.07,39.761233298040196,29.851577787510184
2005-05-07,17.46,25.07,9.49,0.43,19.6,39.761233298040196,29.851577787510184
2005-05-08,11.16,15.39,7.47,5.46,13.54,39.761233298040196,29.851577787510184
2005-05-09,13.81,21.82,4.77,0.0,29.66,39.761233298040196,29.851577787510184
2005-05-10,15.94,23.81,9.29,0.0,28.35,39.761233298040196,29.851577787510184
2005-05-11,17.01,24.43,11.28,2.18,27.38,39.761233298040196,29.851577787510184
2005-05-12,16.39,23.75,9.4,0.04,23.11,39.761233298040196,29.851577787510184
2005-05-13,14.55,20.45,9.65,0.47,21.74,39.761233298040196,29.851577787510184
2005-05-14,13.52,21.2,7.34,0.0,25.95,39.761233298040196,29.851577787510184
2005-05-15,14.29,23.3,5.07,0.0,27.98,39.761233298040196,29.851577787510184
2005-05-16,15.56,23.6,8.61,0.0,29.06,39.761233298040196,29.851577787510184
2005-05-17,17.07,25.04,9.7,0.0,29.77,39.761233298040196,29.851577787510184
2005-05-18,19.53,28.22,11.7,0.0,30.35,39.761233298040196,29.851577787510184
2005-05-19,20.94,29.65,12.7,0.01,15.26,39.761233298040196,29.851577787510184
2005-05-20,20.17,28.12,13.54,0.24,21.1,39.761233298040196,29.851577787510184
2005-05-21,16.16,24.96,10.98,1.42,21.71,39.761233298040196,29.851577787510184
2005-05-22,15.24,21.44,10.77,4.47,20.34,39.761233298040196,29.851577787510184
2005-05-23,14.62,20.44,8.86,0.36,16.84,39.761233298040196,29.851577787510184
2005-05-24,15.5,21.34,9.91,1.03,17.53,39.761233298040196,29.851577787510184
2005-05-25,17.01,24.56,9.76,2.04,22.16,39.761233298040196,29.851577787510184
2005-05-26,14.58,17.88,12.13,2.08,12.85,39.761233298040196,29.851577787510184
2005-05-27,15.41,20.81,11.31,0.9,14.12,39.761233298040196,29.851577787510184
2005-05-28,15.54,19.52,12.06,1.04,13.99,39.761233298040196,29.851577787510184
2005-05-29,16.74,22.64,11.29,0.46,22.55,39.761233298040196,29.851577787510184
2005-05-30,16.27,21.47,12.08,4.8,19.4,39.761233298040196,29.851577787510184
2005-05-31,16.34,19.81,13.21,1.23,13.5,39.761233298040196,29.851577787510184
2005-06-01,15.52,18.89,13.19,8.48,10.63,39.761233298040196,29.851577787510184
2005-06-02,14.23,18.8,9.02,1.8,16.32,39.761233298040196,29.851577787510184
2005-06-03,14.49,22.82,7.77,0.0,28.34,39.761233298040196,29.851577787510184
2005-06-04,14.3,22.76,8.08,0.0,28.61,39.761233298040196,29.851577787510184
2005-06-05,15.27,24.01,7.79,0.0,30.53,39.761233298040196,29.851577787510184
2005-06-06,17.99,26.79,7.74,0.0,31.34,39.761233298040196,29.851577787510184
2005-06-07,21.1,29.54,12.23,0.0,30.32,39.761233298040196,29.851577787510184
2005-06-08,21.63,30.95,14.46,0.15,30.29,39.761233298040196,29.851577787510184
2005-06-09,20.19,28.13,13.82,0.43,28.14,39.761233298040196,29.851577787510184
2005-06-10,18.8,27.44,12.38,0.46,24.26,39.761233298040196,29.851577787510184
2005-06-11,15.32,20.09,10.92,4.57,19.69,39.761233298040196,29.851577787510184
