date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,22.27,29.72,16.9,0.0,19.65,38.57457367324834,40.256905006734215
2004-10-02,21.1,29.02,13.82,0.0,18.75,38.57457367324834,40.256905006734215
2004-10-03,18.21,25.3,12.54,0.03,16.56,38.57457367324834,40.256905006734215
2004-10-04,16.19,24.23,9.1,0.0,14.28,38.57457367324834,40.256905006734215
2004-10-05,15.42,24.49,7.78,0.0,19.39,38.57457367324834,40.256905006734215
2004-10-06,17.48,25.89,9.28,0.06,14.39,38.57457367324834,40.256905006734215
2004-10-07,19.09,27.75,12.24,0.0,16.53,38.57457367324834,40.256905006734215
2004-10-08,19.04,26.11,12.1,1.01,14.08,38.57457367324834,40.256905006734215
2004-10-09,17.6,24.43,11.78,0.18,14.91,38.57457367324834,40.256905006734215
2004-10-10,16.12,23.04,9.43,0.0,17.48,38.57457367324834,40.256905006734215
2004-10-11,17.04,24.28,10.5,0.0,17.5,38.57457367324834,40.256905006734215
2004-10-12,17.96,25.21,12.37,0.0,14.54,38.57457367324834,40.256905006734215
2004-10-13,16.41,23.68,10.41,0.01,11.09,38.57457367324834,40.256905006734215
2004-10-14,15.66,23.53,7.34,0.0,16.3,38.57457367324834,40.256905006734215
2004-10-15,17.35,24.27,12.21,0.03,15.61,38.57457367324834,40.256905006734215
2004-10-16,17.46,24.26,10.77,0.01,14.61,38.57457367324834,40.256905006734215
2004-10-17,17.25,24.08,11.18,0.0,15.17,38.57457367324834,40.256905006734215
2004-10-18,17.79,26.2,11.33,0.0,16.61,38.57457367324834,40.256905006734215
2004-10-19,19.4,26.92,14.21,0.0,16.01,38.57457367324834,40.256905006734215
2004-10-20,18.76,26.35,13.69,0.0,15.95,38.57457367324834,40.256905006734215
2004-10-21,12.35,15.72,6.93,1.45,4.36,38.57457367324834,40.256905006734215
2004-10-22,9.41,17.96,1.75,0.01,11.59,38.57457367324834,40.256905006734215
2004-10-23,10.31,19.88,2.19,0.0,16.68,38.57457367324834,40.256905006734215
2004-10-24,12.25,20.32,4.48,0.0,15.71,38.57457367324834,40.256905006734215
2004-10-25,14.05,22.12,7.72,0.0,15.37,38.57457367324834,40.256905006734215
2004-10-26,14.82,23.34,7.45,0.0,15.34,38.57457367324834,40.256905006734215
2004-10-27,17.33,25.29,10.96,0.0,13.96,38.57457367324834,40.256905006734215
2004-10-28,18.06,24.96,12.88,0.0,11.58,38.57457367324834,40.256905006734215
2004-10-29,15.58,21.67,11.87,1.34,10.73,38.57457367324834,40.256905006734215
2004-10-30,12.91,16.64,10.19,17.55,6.89,38.57457367324834,40.256905006734215
2004-10-31,11.64,15.92,8.52,2.74,6.0,38.57457367324834,40.256905006734215
2004-11-01,12.8,19.69,7.59,0.0,12.44,38.57457367324834,40.256905006734215
2004-11-02,13.26,20.0,8.21,0.0,13.11,38.57457367324834,40.256905006734215
2004-11-03,13.12,19.65,8.01,0.01,12.8,38.57457367324834,40.256905006734215
2004-11-04,9.71,15.46,2.66,1.21,6.4,38.57457367324834,40.256905006734215
2004-11-05,7.22,15.7,-0.06,0.0,14.33,38.57457367324834,40.256905006734215
2004-11-06,7.77,13.69,3.2,2.91,9.03,38.57457367324834,40.256905006734215
2004-11-07,9.03,13.32,6.29,3.0,5.7,38.57457367324834,40.256905006734215
2004-11-08,9.87,15.35,6.25,0.77,7.35,38.57457367324834,40.256905006734215
2004-11-09,10.09,14.03,7.58,1.34,4.47,38.57457367324834,40.256905006734215
2004-11-10,10.27,15.61,6.6,0.08,9.69,38.57457367324834,40.256905006734215
2004-11-11,10.67,15.95,7.24,0.01,9.1,38.57457367324834,40.256905006734215
2004-11-12,10.91,18.69,4.69,0.0,12.35,38.57457367324834,40.256905006734215
2004-11-13,10.5,18.35,3.98,0.0,12.6,38.57457367324834,40.256905006734215
2004-11-14,9.91,17.64,3.43,0.0,12.34,38.57457367324834,40.256905006734215
2004-11-15,9.99,16.7,5.4,0.07,10.45,38.57457367324834,40.256905006734215
2004-11-16,8.65,11.26,6.21,11.47,2.22,38.57457367324834,40.256905006734215
2004-11-17,7.75,9.61,3.28,20.09,2.29,38.57457367324834,40.256905006734215
2004-11-18,4.45,10.47,-1.24,4.17,10.42,38.57457367324834,40.256905006734215
2004-11-19,3.5,11.67,-3.21,0.0,11.56,38.57457367324834,40.256905006734215
2004-11-20,4.63,9.68,0.74,0.02,7.8,38.57457367324834,40.256905006734215
2004-11-21,3.79,6.15,2.16,15.74,1.75,38.57457367324834,40.256905006734215
2004-11-22,1.27,3.17,-0.96,21.44,1.34,38.57457367324834,40.256905006734215
2004-11-23,-4.24,-0.03,-10.88,1.56,9.83,38.57457367324834,40.256905006734215
2004-11-24,-6.58,1.26,-12.96,0.0,10.2,38.57457367324834,40.256905006734215
2004-11-25,-3.78,0.54,-8.48,4.09,1.88,38.57457367324834,40.256905006734215
2004-11-26,-2.59,-1.4,-3.4,24.14,1.37,38.57457367324834,40.256905006734215
2004-11-27,-6.06,-0.46,-15.35,7.01,5.38,38.57457367324834,40.256905006734215
2004-11-28,-8.98,-0.53,-15.74,0.0,10.67,38.57457367324834,40.256905006734215
2004-11-29,-7.96,-0.33,-13.84,0.0,10.0,38.57457367324834,40.256905006734215
2004-11-30,-7.07,0.01,-11.89,0.0,10.9,38.57457367324834,40.256905006734215
2004-12-01,-6.19,0.15,-11.22,0.01,8.3,38.57457367324834,40.256905006734215
2004-12-02,-7.04,0.8,-12.94,0.0,10.77,38.57457367324834,40.256905006734215
2004-12-03,-4.02,2.25,-10.06,0.0,9.83,38.57457367324834,40.256905006734215
2004-12-04,-2.18,3.37,-6.84,0.0,10.29,38.57457367324834,40.256905006734215
2004-12-05,-0.75,2.82,-4.6,0.27,6.99,38.57457367324834,40.256905006734215
2004-12-06,-4.07,2.06,-9.19,0.03,10.41,38.57457367324834,40.256905006734215
2004-12-07,-3.84,2.99,-9.41,0.01,9.26,38.57457367324834,40.256905006734215
2004-12-08,-3.76,2.26,-7.12,1.73,5.03,38.57457367324834,40.256905006734215
2004-12-09,-3.22,3.82,-6.97,0.0,9.04,38.57457367324834,40.256905006734215
2004-12-10,-4.15,2.07,-8.35,0.0,9.1,38.57457367324834,40.256905006734215
2004-12-11,-2.8,2.02,-6.06,0.04,8.21,38.57457367324834,40.256905006734215
2004-12-12,-5.63,-0.03,-9.67,0.04,9.47,38.57457367324834,40.256905006734215
2004-12-13,-4.23,2.85,-10.56,0.0,8.71,38.57457367324834,40.256905006734215
2004-12-14,-3.79,1.68,-9.47,0.33,7.25,38.57457367324834,40.256905006734215
2004-12-15,-6.73,-1.27,-10.73,0.07,7.92,38.57457367324834,40.256905006734215
2004-12-16,-8.9,-1.66,-14.1,0.0,9.76,38.57457367324834,40.256905006734215
2004-12-17,-7.6,0.31,-13.95,0.0,9.77,38.57457367324834,40.256905006734215
2004-12-18,-5.46,-0.06,-8.65,0.0,9.43,38.57457367324834,40.256905006734215
2004-12-19,-5.11,-0.34,-7.84,0.78,5.56,38.57457367324834,40.256905006734215
2004-12-20,-3.51,0.29,-6.64,0.01,4.75,38.57457367324834,40.256905006734215
2004-12-21,-1.55,4.18,-5.53,0.0,7.28,38.57457367324834,40.256905006734215
2004-12-22,-0.89,5.97,-5.62,0.0,9.71,38.57457367324834,40.256905006734215
2004-12-23,-1.18,2.53,-4.65,4.05,5.7,38.57457367324834,40.256905006734215
2004-12-24,-0.03,0.67,-0.92,11.94,2.4,38.57457367324834,40.256905006734215
2004-12-25,-0.1,4.23,-4.13,1.97,7.3,38.57457367324834,40.256905006734215
2004-12-26,-1.85,5.18,-5.55,0.0,9.99,38.57457367324834,40.256905006734215
2004-12-27,-1.28,5.81,-6.24,0.0,9.66,38.57457367324834,40.256905006734215
2004-12-28,2.79,8.91,-2.4,0.0,8.68,38.57457367324834,40.256905006734215
2004-12-29,3.51,7.78,0.44,0.0,8.2,38.57457367324834,40.256905006734215
2004-12-30,2.18,7.33,-0.42,0.0,6.47,38.57457367324834,40.256905006734215
