date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,13.96,20.65,8.07,0.0,14.54,40.69319769103231,31.317102121549212
2004-10-02,12.17,19.95,6.48,0.04,18.11,40.69319769103231,31.317102121549212
2004-10-03,10.86,16.82,6.58,1.86,8.5,40.69319769103231,31.317102121549212
2004-10-04,10.6,17.81,5.27,0.07,13.26,40.69319769103231,31.317102121549212
2004-10-05,11.34,18.38,5.14,0.0,14.54,40.69319769103231,31.317102121549212
2004-10-06,11.63,20.04,5.52,0.18,16.24,40.69319769103231,31.317102121549212
2004-10-07,11.58,15.41,8.67,1.81,7.66,40.69319769103231,31.317102121549212
2004-10-08,10.97,15.08,8.18,3.96,8.99,40.69319769103231,31.317102121549212
2004-10-09,10.47,14.68,7.36,4.97,6.86,40.69319769103231,31.317102121549212
2004-10-10,12.31,20.63,4.81,0.0,17.08,40.69319769103231,31.317102121549212
2004-10-11,14.37,24.24,6.75,0.0,15.93,40.69319769103231,31.317102121549212
2004-10-12,9.9,13.18,6.46,3.56,7.01,40.69319769103231,31.317102121549212
2004-10-13,7.71,12.51,3.43,1.39,5.81,40.69319769103231,31.317102121549212
2004-10-14,7.72,15.03,0.9,0.0,9.46,40.69319769103231,31.317102121549212
2004-10-15,11.72,20.38,5.05,0.0,14.73,40.69319769103231,31.317102121549212
2004-10-16,14.32,21.42,9.08,0.01,13.2,40.69319769103231,31.317102121549212
2004-10-17,15.91,23.7,12.07,0.09,11.74,40.69319769103231,31.317102121549212
2004-10-18,16.18,23.98,10.56,0.0,15.17,40.69319769103231,31.317102121549212
2004-10-19,15.06,21.3,10.28,0.0,12.7,40.69319769103231,31.317102121549212
2004-10-20,12.61,18.56,8.37,2.1,6.2,40.69319769103231,31.317102121549212
2004-10-21,10.65,17.84,6.9,0.19,14.26,40.69319769103231,31.317102121549212
2004-10-22,10.22,18.29,4.74,0.0,12.7,40.69319769103231,31.317102121549212
2004-10-23,10.64,19.02,4.75,0.0,14.94,40.69319769103231,31.317102121549212
2004-10-24,10.92,18.8,6.24,0.0,14.25,40.69319769103231,31.317102121549212
2004-10-25,13.06,21.93,6.15,0.0,14.27,40.69319769103231,31.317102121549212
2004-10-26,12.94,21.72,6.19,0.0,14.36,40.69319769103231,31.317102121549212
2004-10-27,14.58,22.17,7.04,0.0,10.86,40.69319769103231,31.317102121549212
2004-10-28,13.8,22.09,7.27,0.0,12.33,40.69319769103231,31.317102121549212
2004-10-29,14.19,22.0,9.85,0.02,10.94,40.69319769103231,31.317102121549212
2004-10-30,13.75,21.52,7.54,0.0,12.19,40.69319769103231,31.317102121549212
2004-10-31,14.52,21.66,9.43,0.0,12.71,40.69319769103231,31.317102121549212
2004-11-01,14.58,22.25,6.82,0.0,12.74,40.69319769103231,31.317102121549212
2004-11-02,13.88,21.34,9.68,0.01,12.04,40.69319769103231,31.317102121549212
2004-11-03,9.94,16.87,5.76,0.14,10.25,40.69319769103231,31.317102121549212
2004-11-04,8.0,16.72,2.04,0.03,13.3,40.69319769103231,31.317102121549212
2004-11-05,6.8,16.81,-1.58,0.0,13.31,40.69319769103231,31.317102121549212
2004-11-06,6.75,15.2,-1.27,0.0,12.71,40.69319769103231,31.317102121549212
2004-11-07,8.44,15.51,2.39,0.23,5.82,40.69319769103231,31.317102121549212
2004-11-08,10.38,17.36,4.58,0.0,10.57,40.69319769103231,31.317102121549212
2004-11-09,11.45,18.1,6.72,0.0,9.36,40.69319769103231,31.317102121549212
2004-11-10,11.96,17.38,8.13,0.01,9.02,40.69319769103231,31.317102121549212
2004-11-11,12.27,18.34,9.02,0.18,7.29,40.69319769103231,31.317102121549212
2004-11-12,12.35,19.38,8.88,0.0,10.06,40.69319769103231,31.317102121549212
2004-11-13,11.36,18.83,6.09,0.0,10.69,40.69319769103231,31.317102121549212
2004-11-14,12.47,20.84,6.32,0.06,9.1,40.69319769103231,31.317102121549212
2004-11-15,12.03,15.95,9.71,2.23,3.53,40.69319769103231,31.317102121549212
2004-11-16,8.67,12.69,5.21,8.2,4.58,40.69319769103231,31.317102121549212
2004-11-17,2.95,5.66,0.76,4.69,4.94,40.69319769103231,31.317102121549212
2004-11-18,2.79,9.03,-0.08,0.0,10.58,40.69319769103231,31.317102121549212
2004-11-19,3.7,11.39,-1.94,0.0,11.38,40.69319769103231,31.317102121549212
2004-11-20,3.21,8.97,-2.26,16.23,1.39,40.69319769103231,31.317102121549212
2004-11-21,-2.87,0.42,-5.79,1.69,4.04,40.69319769103231,31.317102121549212
2004-11-22,-3.67,-1.37,-5.16,4.54,3.39,40.69319769103231,31.317102121549212
2004-11-23,-3.91,-0.62,-5.75,1.94,6.6,40.69319769103231,31.317102121549212
2004-11-24,-2.56,1.01,-5.66,5.93,3.81,40.69319769103231,31.317102121549212
2004-11-25,-4.54,-2.3,-6.27,4.51,3.35,40.69319769103231,31.317102121549212
2004-11-26,-5.06,-2.11,-8.07,4.55,3.03,40.69319769103231,31.317102121549212
2004-11-27,-6.7,-0.7,-11.39,0.04,3.88,40.69319769103231,31.317102121549212
2004-11-28,-5.15,0.19,-10.12,0.0,7.6,40.69319769103231,31.317102121549212
2004-11-29,-2.55,3.12,-6.06,0.01,8.58,40.69319769103231,31.317102121549212
2004-11-30,1.06,3.33,-3.12,0.8,3.94,40.69319769103231,31.317102121549212
2004-12-01,3.11,6.25,0.6,2.83,4.9,40.69319769103231,31.317102121549212
2004-12-02,2.03,7.27,0.14,0.0,5.77,40.69319769103231,31.317102121549212
2004-12-03,4.4,11.98,0.45,0.09,6.61,40.69319769103231,31.317102121549212
2004-12-04,5.43,9.85,1.77,0.45,5.21,40.69319769103231,31.317102121549212
2004-12-05,4.12,8.71,-1.49,1.91,4.29,40.69319769103231,31.317102121549212
2004-12-06,0.93,6.7,-2.1,0.0,8.2,40.69319769103231,31.317102121549212
2004-12-07,0.21,2.36,-1.97,5.06,2.91,40.69319769103231,31.317102121549212
2004-12-08,-0.19,5.64,-4.34,0.19,9.04,40.69319769103231,31.317102121549212
2004-12-09,-0.66,5.46,-4.19,0.02,7.5,40.69319769103231,31.317102121549212
2004-12-10,-1.53,2.77,-4.08,0.09,5.55,40.69319769103231,31.317102121549212
2004-12-11,-1.42,1.78,-4.35,1.59,4.04,40.69319769103231,31.317102121549212
2004-12-12,-0.66,4.54,-3.17,0.15,8.27,40.69319769103231,31.317102121549212
2004-12-13,-0.39,5.46,-4.12,0.09,7.99,40.69319769103231,31.317102121549212
2004-12-14,-1.8,0.82,-4.25,0.65,3.82,40.69319769103231,31.317102121549212
2004-12-15,-4.41,-1.03,-6.72,0.61,5.61,40.69319769103231,31.317102121549212
2004-12-16,-4.73,0.64,-7.57,0.0,9.06,40.69319769103231,31.317102121549212
2004-12-17,-5.2,0.82,-9.77,0.0,9.5,40.69319769103231,31.317102121549212
2004-12-18,-1.82,3.94,-7.22,0.01,7.99,40.69319769103231,31.317102121549212
2004-12-19,1.17,5.79,-1.19,0.09,6.39,40.69319769103231,31.317102121549212
2004-12-20,1.35,5.94,-0.84,3.34,3.11,40.69319769103231,31.317102121549212
2004-12-21,2.0,6.31,0.3,2.33,4.17,40.69319769103231,31.317102121549212
2004-12-22,1.2,2.24,0.47,7.65,2.35,40.69319769103231,31.317102121549212
2004-12-23,-1.21,1.71,-4.13,1.88,3.93,40.69319769103231,31.317102121549212
2004-12-24,-1.74,3.93,-4.42,0.0,5.08,40.69319769103231,31.317102121549212
2004-12-25,-1.78,4.99,-5.68,0.0,8.02,40.69319769103231,31.317102121549212
2004-12-26,-2.36,3.6,-6.56,0.0,9.13,40.69319769103231,31.317102121549212
2004-12-27,0.6,6.53,-3.31,0.0,6.61,40.69319769103231,31.317102121549212
2004-12-28,3.44,9.15,-0.39,0.39,7.8,40.69319769103231,31.317102121549212
2004-12-29,3.81,7.11,2.16,1.71,3.22,40.69319769103231,31.317102121549212
2004-12-30,4.08,9.02,1.95,0.38,3.4,40.69319769103231,31.317102121549212
2004-12-31,3.18,7.13,-0.52,0.25,5.55,40.69319769103231,31.317102121549212
2005-01-01,2.34,6.87,-1.01,0.54,6.07,40.69319769103231,31.317102121549212
2005-01-02,0.16,3.67,-2.41,2.35,3.99,40.69319769103231,31.317102121549212
2005-01-03,-1.35,3.68,-3.72,0.15,6.59,40.69319769103231,31.317102121549212
2005-01-04,-2.23,0.77,-4.39,1.73,4.0,40.69319769103231,31.317102121549212
2005-01-05,-1.88,1.12,-5.69,4.46,3.16,40.69319769103231,31.317102121549212
2005-01-06,-0.08,4.47,-2.46,0.6,5.06,40.69319769103231,31.317102121549212
2005-01-07,-1.21,0.83,-2.53,1.69,4.68,40.69319769103231,31.317102121549212
2005-01-08,-0.65,5.09,-3.85,0.12,7.36,40.69319769103231,31.317102121549212
2005-01-09,-0.95,5.78,-4.81,0.0,9.39,40.69319769103231,31.317102121549212
2005-01-10,0.2,6.6,-2.56,0.0,9.13,40.69319769103231,31.317102121549212
2005-01-11,1.88,9.88,-1.71,0.06,10.15,40.69319769103231,31.317102121549212
2005-01-12,1.63,8.96,-1.71,0.0,10.29,40.69319769103231,31.317102121549212
2005-01-13,2.74,9.7,-1.63,0.0,9.67,40.69319769103231,31.317102121549212
2005-01-14,3.07,8.09,0.27,0.21,8.58,40.69319769103231,31.317102121549212
2005-01-15,0.97,3.98,-0.78,9.98,3.02,40.69319769103231,31.317102121549212
2005-01-16,0.22,3.0,-1.62,10.02,2.29,40.69319769103231,31.317102121549212
