date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,18.55,26.47,12.17,0.0,20.4,37.27403891696694,29.57634967120658
2004-10-02,15.46,24.42,8.61,0.0,19.83,37.27403891696694,29.57634967120658
2004-10-03,13.82,22.08,6.69,0.0,19.75,37.27403891696694,29.57634967120658
2004-10-04,14.78,23.43,6.17,0.01,18.17,37.27403891696694,29.57634967120658
2004-10-05,14.52,21.51,9.14,6.27,12.31,37.27403891696694,29.57634967120658
2004-10-06,13.12,18.85,8.51,4.8,7.9,37.27403891696694,29.57634967120658
2004-10-07,11.66,15.37,8.73,8.06,10.56,37.27403891696694,29.57634967120658
2004-10-08,11.09,15.58,8.33,4.63,11.57,37.27403891696694,29.57634967120658
2004-10-09,12.42,19.12,7.36,0.45,15.88,37.27403891696694,29.57634967120658
2004-10-10,14.15,21.35,7.48,0.0,18.35,37.27403891696694,29.57634967120658
2004-10-11,16.11,23.9,10.36,0.0,18.31,37.27403891696694,29.57634967120658
2004-10-12,16.33,23.98,11.33,0.0,17.05,37.27403891696694,29.57634967120658
2004-10-13,15.62,22.6,10.12,0.03,12.43,37.27403891696694,29.57634967120658
2004-10-14,15.79,23.01,10.26,0.01,16.19,37.27403891696694,29.57634967120658
2004-10-15,16.35,23.17,11.61,0.0,15.28,37.27403891696694,29.57634967120658
2004-10-16,17.16,23.89,12.03,0.0,15.01,37.27403891696694,29.57634967120658
2004-10-17,17.27,25.21,11.97,0.0,14.17,37.27403891696694,29.57634967120658
2004-10-18,16.78,25.12,10.76,0.0,16.51,37.27403891696694,29.57634967120658
2004-10-19,16.74,24.73,11.01,0.0,16.42,37.27403891696694,29.57634967120658
2004-10-20,16.89,24.37,12.34,0.0,14.86,37.27403891696694,29.57634967120658
2004-10-21,15.74,21.38,11.46,0.0,16.16,37.27403891696694,29.57634967120658
2004-10-22,15.69,22.09,11.81,0.0,16.07,37.27403891696694,29.57634967120658
2004-10-23,15.6,23.16,10.06,0.0,15.82,37.27403891696694,29.57634967120658
2004-10-24,15.48,22.2,10.38,0.0,14.35,37.27403891696694,29.57634967120658
2004-10-25,16.21,22.63,10.39,0.0,14.02,37.27403891696694,29.57634967120658
2004-10-26,15.41,22.82,9.81,0.0,14.98,37.27403891696694,29.57634967120658
2004-10-27,15.24,22.65,10.29,0.0,12.5,37.27403891696694,29.57634967120658
2004-10-28,14.31,20.83,9.23,0.0,12.29,37.27403891696694,29.57634967120658
2004-10-29,15.43,21.83,11.15,0.0,13.76,37.27403891696694,29.57634967120658
2004-10-30,15.15,21.65,10.45,0.0,13.58,37.27403891696694,29.57634967120658
2004-10-31,14.8,21.59,9.94,0.0,14.39,37.27403891696694,29.57634967120658
2004-11-01,14.41,21.69,8.82,0.0,14.47,37.27403891696694,29.57634967120658
2004-11-02,14.89,22.72,9.39,0.0,14.23,37.27403891696694,29.57634967120658
2004-11-03,14.44,22.16,8.62,0.0,13.68,37.27403891696694,29.57634967120658
2004-11-04,12.0,20.1,5.33,0.01,13.26,37.27403891696694,29.57634967120658
2004-11-05,12.03,19.66,4.88,2.76,12.41,37.27403891696694,29.57634967120658
2004-11-06,11.29,14.77,8.58,3.37,7.04,37.27403891696694,29.57634967120658
2004-11-07,11.13,16.38,5.99,3.14,9.01,37.27403891696694,29.57634967120658
2004-11-08,10.84,15.72,7.17,8.28,8.91,37.27403891696694,29.57634967120658
2004-11-09,10.28,15.19,6.46,8.16,8.43,37.27403891696694,29.57634967120658
2004-11-10,10.53,14.27,7.91,5.43,9.72,37.27403891696694,29.57634967120658
2004-11-11,11.67,16.43,7.43,0.02,12.33,37.27403891696694,29.57634967120658
2004-11-12,13.34,19.08,7.9,0.0,12.47,37.27403891696694,29.57634967120658
2004-11-13,13.36,19.77,8.37,0.0,12.17,37.27403891696694,29.57634967120658
2004-11-14,11.29,17.54,6.51,0.37,5.92,37.27403891696694,29.57634967120658
2004-11-15,11.09,16.49,7.18,17.11,4.41,37.27403891696694,29.57634967120658
2004-11-16,9.13,13.56,6.22,7.67,7.48,37.27403891696694,29.57634967120658
2004-11-17,5.6,9.02,0.8,10.44,4.08,37.27403891696694,29.57634967120658
2004-11-18,3.88,11.35,-2.59,0.0,13.29,37.27403891696694,29.57634967120658
2004-11-19,4.95,12.38,0.01,1.25,12.58,37.27403891696694,29.57634967120658
2004-11-20,8.6,11.4,5.45,23.34,5.0,37.27403891696694,29.57634967120658
2004-11-21,1.53,8.36,-4.77,2.62,8.34,37.27403891696694,29.57634967120658
2004-11-22,-4.14,0.03,-6.96,0.0,7.73,37.27403891696694,29.57634967120658
2004-11-23,-2.53,2.52,-6.28,0.0,12.09,37.27403891696694,29.57634967120658
2004-11-24,1.17,7.0,-3.05,6.91,7.54,37.27403891696694,29.57634967120658
2004-11-25,-0.44,3.97,-5.38,9.18,4.23,37.27403891696694,29.57634967120658
2004-11-26,-4.91,-0.54,-7.6,0.01,8.61,37.27403891696694,29.57634967120658
2004-11-27,-3.09,3.18,-7.63,0.0,11.86,37.27403891696694,29.57634967120658
2004-11-28,1.34,8.1,-2.86,0.15,11.43,37.27403891696694,29.57634967120658
2004-11-29,2.77,8.07,-0.09,0.87,5.42,37.27403891696694,29.57634967120658
2004-11-30,4.35,10.35,0.25,0.05,7.87,37.27403891696694,29.57634967120658
2004-12-01,4.86,10.65,1.25,0.16,6.78,37.27403891696694,29.57634967120658
2004-12-02,6.66,13.53,1.8,0.0,9.7,37.27403891696694,29.57634967120658
2004-12-03,9.06,15.34,5.01,0.0,10.1,37.27403891696694,29.57634967120658
2004-12-04,9.54,16.43,6.24,0.0,8.86,37.27403891696694,29.57634967120658
2004-12-05,6.5,9.25,4.61,1.95,3.83,37.27403891696694,29.57634967120658
2004-12-06,5.93,12.14,2.64,0.04,10.07,37.27403891696694,29.57634967120658
2004-12-07,4.24,10.4,-1.1,1.86,4.97,37.27403891696694,29.57634967120658
2004-12-08,0.32,7.03,-4.17,0.0,10.97,37.27403891696694,29.57634967120658
2004-12-09,3.33,10.2,-0.73,0.0,10.29,37.27403891696694,29.57634967120658
2004-12-10,4.14,12.33,-2.42,0.09,8.03,37.27403891696694,29.57634967120658
2004-12-11,1.95,8.47,-4.42,0.97,9.43,37.27403891696694,29.57634967120658
2004-12-12,-0.86,6.71,-5.34,0.0,11.01,37.27403891696694,29.57634967120658
2004-12-13,2.09,9.0,-2.0,0.0,11.13,37.27403891696694,29.57634967120658
2004-12-14,0.28,6.47,-4.79,0.0,10.72,37.27403891696694,29.57634967120658
2004-12-15,-3.7,0.6,-5.95,0.0,11.38,37.27403891696694,29.57634967120658
2004-12-16,-3.19,3.07,-7.57,0.0,10.88,37.27403891696694,29.57634967120658
2004-12-17,-0.19,6.23,-4.03,0.04,9.81,37.27403891696694,29.57634967120658
2004-12-18,1.52,5.34,-2.15,4.9,2.94,37.27403891696694,29.57634967120658
2004-12-19,2.02,4.68,0.23,25.82,3.18,37.27403891696694,29.57634967120658
2004-12-20,2.41,6.53,0.19,9.6,5.53,37.27403891696694,29.57634967120658
2004-12-21,3.2,7.73,0.0,11.94,5.41,37.27403891696694,29.57634967120658
2004-12-22,3.14,6.63,1.29,19.37,3.63,37.27403891696694,29.57634967120658
2004-12-23,2.94,6.81,0.47,2.06,6.23,37.27403891696694,29.57634967120658
2004-12-24,-0.22,5.2,-4.52,0.82,8.32,37.27403891696694,29.57634967120658
2004-12-25,-1.24,5.49,-4.74,0.0,10.72,37.27403891696694,29.57634967120658
2004-12-26,3.2,11.13,-2.26,0.0,10.68,37.27403891696694,29.57634967120658
2004-12-27,3.83,9.92,-0.25,0.03,3.97,37.27403891696694,29.57634967120658
2004-12-28,5.74,11.31,2.11,0.05,5.51,37.27403891696694,29.57634967120658
2004-12-29,5.4,10.62,1.32,1.86,7.22,37.27403891696694,29.57634967120658
2004-12-30,6.11,11.6,1.94,1.67,6.29,37.27403891696694,29.57634967120658
2004-12-31,4.75,13.44,0.01,0.66,8.78,37.27403891696694,29.57634967120658
2005-01-01,3.75,9.63,-0.12,2.23,7.41,37.27403891696694,29.57634967120658
2005-01-02,1.69,6.25,-1.72,1.08,6.82,37.27403891696694,29.57634967120658
2005-01-03,-0.12,5.47,-2.93,0.0,9.41,37.27403891696694,29.57634967120658
2005-01-04,-0.55,5.69,-4.85,0.0,7.21,37.27403891696694,29.57634967120658
2005-01-05,-2.11,3.22,-5.49,0.0,9.97,37.27403891696694,29.57634967120658
2005-01-06,0.03,5.83,-4.0,0.0,11.35,37.27403891696694,29.57634967120658
2005-01-07,2.14,8.35,-1.07,0.05,9.56,37.27403891696694,29.57634967120658
2005-01-08,0.11,6.92,-3.76,0.03,11.0,37.27403891696694,29.57634967120658
2005-01-09,1.9,9.27,-3.93,0.0,11.58,37.27403891696694,29.57634967120658
2005-01-10,3.65,10.37,-0.33,0.0,11.01,37.27403891696694,29.57634967120658
2005-01-11,2.99,11.17,-1.43,0.0,11.36,37.27403891696694,29.57634967120658
2005-01-12,5.67,12.73,1.23,0.0,10.9,37.27403891696694,29.57634967120658
2005-01-13,5.08,11.62,1.92,0.0,10.79,37.27403891696694,29.57634967120658
2005-01-14,3.12,6.98,0.98,1.07,6.04,37.27403891696694,29.57634967120658
2005-01-15,1.97,5.17,0.07,6.41,4.31,37.27403891696694,29.57634967120658
2005-01-16,1.47,6.68,-1.48,19.54,2.36,37.27403891696694,29.57634967120658
2005-01-17,1.17,4.77,-1.24,9.51,4.2,37.27403891696694,29.57634967120658
2005-01-18,0.7,5.7,-3.33,3.2,8.73,37.27403891696694,29.57634967120658
2005-01-19,0.73,5.62,-2.07,1.62,7.91,37.27403891696694,29.57634967120658
2005-01-20,1.29,6.92,-2.99,3.9,8.26,37.27403891696694,29.57634967120658
2005-01-21,1.57,6.22,-1.29,15.68,6.0,37.27403891696694,29.57634967120658
2005-01-22,1.18,4.61,-1.38,7.56,6.03,37.27403891696694,29.57634967120658
2005-01-23,-0.49,3.53,-7.0,8.83,5.05,37.27403891696694,29.57634967120658
2005-01-24,-2.56,3.71,-7.11,0.01,11.41,37.27403891696694,29.57634967120658
2005-01-25,1.95,4.64,-2.78,7.6,2.76,37.27403891696694,29.57634967120658
2005-01-26,4.97,9.32,2.8,4.9,9.09,37.27403891696694,29.57634967120658
2005-01-27,5.31,9.69,2.65,1.28,8.74,37.27403891696694,29.57634967120658
2005-01-28,6.84,11.37,3.12,2.27,6.87,37.27403891696694,29.57634967120658
2005-01-29,7.93,13.61,3.19,1.08,8.7,37.27403891696694,29.57634967120658
2005-01-30,3.92,9.19,-0.91,4.65,8.31,37.27403891696694,29.57634967120658
2005-01-31,1.33,5.89,-2.35,6.23,8.57,37.27403891696694,29.57634967120658
2005-02-01,-0.58,3.8,-4.01,0.62,10.45,37.27403891696694,29.57634967120658
2005-02-02,-0.66,4.1,-4.32,0.78,10.09,37.27403891696694,29.57634967120658
2005-02-03,1.16,4.17,-1.68,28.88,3.95,37.27403891696694,29.57634967120658
2005-02-04,-1.01,3.57,-4.2,4.88,10.06,37.27403891696694,29.57634967120658
2005-02-05,-1.53,3.81,-5.6,0.33,6.68,37.27403891696694,29.57634967120658
2005-02-06,-5.04,0.54,-8.51,0.0,10.79,37.27403891696694,29.57634967120658
2005-02-07,-5.31,-0.92,-8.34,0.22,12.68,37.27403891696694,29.57634967120658
2005-02-08,-5.7,-0.52,-9.22,0.01,13.03,37.27403891696694,29.57634967120658
2005-02-09,-6.55,-0.08,-11.75,0.01,15.18,37.27403891696694,29.57634967120658
2005-02-10,-4.03,1.34,-7.53,0.0,14.41,37.27403891696694,29.57634967120658
2005-02-11,-4.69,2.63,-11.11,0.0,15.43,37.27403891696694,29.57634967120658
2005-02-12,-3.83,2.38,-9.68,0.01,15.16,37.27403891696694,29.57634967120658
2005-02-13,-1.38,5.08,-7.52,0.34,14.47,37.27403891696694,29.57634967120658
2005-02-14,2.01,5.69,-1.11,19.98,6.72,37.27403891696694,29.57634967120658
2005-02-15,4.5,8.78,2.28,8.22,8.14,37.27403891696694,29.57634967120658
2005-02-16,4.42,8.36,1.57,7.17,6.92,37.27403891696694,29.57634967120658
2005-02-17,3.28,8.15,0.45,4.64,7.94,37.27403891696694,29.57634967120658
2005-02-18,3.18,8.35,0.35,36.92,6.66,37.27403891696694,29.57634967120658
2005-02-19,2.05,8.48,-2.0,0.35,14.02,37.27403891696694,29.57634967120658
