date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.88,24.44,13.3,0.0,17.72,40.191862959579765,28.90498206862473
2004-10-02,17.41,24.13,13.01,0.07,17.12,40.191862959579765,28.90498206862473
2004-10-03,15.56,21.05,11.36,0.04,14.24,40.191862959579765,28.90498206862473
2004-10-04,14.44,20.14,9.51,0.1,16.0,40.191862959579765,28.90498206862473
2004-10-05,15.54,22.38,10.0,0.01,16.81,40.191862959579765,28.90498206862473
2004-10-06,14.62,20.02,11.36,0.54,13.73,40.191862959579765,28.90498206862473
2004-10-07,14.16,17.94,11.93,13.19,5.12,40.191862959579765,28.90498206862473
2004-10-08,13.41,16.7,11.72,4.49,5.59,40.191862959579765,28.90498206862473
2004-10-09,14.83,20.22,10.77,3.01,14.53,40.191862959579765,28.90498206862473
2004-10-10,16.4,24.49,9.21,0.0,15.71,40.191862959579765,28.90498206862473
2004-10-11,19.23,27.55,12.32,0.15,13.41,40.191862959579765,28.90498206862473
2004-10-12,13.96,17.77,9.72,3.14,5.91,40.191862959579765,28.90498206862473
2004-10-13,11.07,15.15,8.19,0.37,7.2,40.191862959579765,28.90498206862473
2004-10-14,12.6,20.53,6.67,0.0,9.75,40.191862959579765,28.90498206862473
2004-10-15,16.6,23.35,11.46,0.0,13.6,40.191862959579765,28.90498206862473
2004-10-16,19.59,25.98,13.88,0.0,12.81,40.191862959579765,28.90498206862473
2004-10-17,21.63,28.01,17.19,0.0,12.64,40.191862959579765,28.90498206862473
2004-10-18,20.26,26.65,15.25,0.0,13.92,40.191862959579765,28.90498206862473
2004-10-19,18.69,25.77,12.65,0.0,12.84,40.191862959579765,28.90498206862473
2004-10-20,18.03,24.42,14.3,0.0,12.53,40.191862959579765,28.90498206862473
2004-10-21,16.54,23.26,11.78,0.0,14.38,40.191862959579765,28.90498206862473
2004-10-22,16.66,23.03,11.39,0.0,6.5,40.191862959579765,28.90498206862473
2004-10-23,14.17,22.3,8.56,0.0,14.55,40.191862959579765,28.90498206862473
2004-10-24,13.89,20.41,9.94,0.0,13.37,40.191862959579765,28.90498206862473
2004-10-25,15.92,25.8,8.74,0.0,13.92,40.191862959579765,28.90498206862473
2004-10-26,17.62,27.13,10.7,0.0,12.66,40.191862959579765,28.90498206862473
2004-10-27,16.79,25.49,10.78,0.0,9.77,40.191862959579765,28.90498206862473
2004-10-28,16.72,24.66,11.32,0.0,12.15,40.191862959579765,28.90498206862473
2004-10-29,16.96,24.87,11.29,0.0,12.35,40.191862959579765,28.90498206862473
2004-10-30,17.14,25.27,11.48,0.0,12.29,40.191862959579765,28.90498206862473
2004-10-31,17.13,25.23,10.67,0.0,11.63,40.191862959579765,28.90498206862473
2004-11-01,18.08,26.55,12.25,0.0,10.9,40.191862959579765,28.90498206862473
2004-11-02,17.25,24.47,12.61,0.0,8.58,40.191862959579765,28.90498206862473
2004-11-03,13.56,20.1,9.77,0.02,9.55,40.191862959579765,28.90498206862473
2004-11-04,11.89,19.92,6.75,0.01,11.53,40.191862959579765,28.90498206862473
2004-11-05,10.43,20.62,3.84,0.0,12.7,40.191862959579765,28.90498206862473
2004-11-06,11.38,19.31,6.05,0.07,10.49,40.191862959579765,28.90498206862473
2004-11-07,13.24,19.22,9.41,0.18,8.15,40.191862959579765,28.90498206862473
2004-11-08,14.76,21.34,9.57,0.04,9.94,40.191862959579765,28.90498206862473
2004-11-09,15.91,22.1,10.73,0.52,9.25,40.191862959579765,28.90498206862473
2004-11-10,14.66,19.25,11.96,1.98,5.41,40.191862959579765,28.90498206862473
2004-11-11,14.9,22.42,9.68,0.0,10.52,40.191862959579765,28.90498206862473
2004-11-12,15.15,22.66,10.68,0.0,6.14,40.191862959579765,28.90498206862473
2004-11-13,15.86,23.62,10.51,0.0,7.54,40.191862959579765,28.90498206862473
2004-11-14,18.12,26.8,12.62,1.28,2.92,40.191862959579765,28.90498206862473
2004-11-15,16.52,19.63,11.86,8.32,4.11,40.191862959579765,28.90498206862473
2004-11-16,11.78,16.18,7.86,13.8,3.48,40.191862959579765,28.90498206862473
2004-11-17,6.09,8.07,4.08,2.97,3.12,40.191862959579765,28.90498206862473
2004-11-18,7.03,13.25,3.27,0.0,10.58,40.191862959579765,28.90498206862473
2004-11-19,8.2,15.46,1.88,0.02,10.65,40.191862959579765,28.90498206862473
2004-11-20,6.17,12.65,0.44,24.18,1.31,40.191862959579765,28.90498206862473
2004-11-21,0.26,3.54,-3.09,0.38,8.6,40.191862959579765,28.90498206862473
2004-11-22,-0.42,2.16,-2.84,2.28,6.39,40.191862959579765,28.90498206862473
2004-11-23,0.25,5.81,-5.6,0.01,7.77,40.191862959579765,28.90498206862473
2004-11-24,2.25,8.8,-1.16,9.25,1.92,40.191862959579765,28.90498206862473
2004-11-25,-0.82,1.35,-1.99,1.66,6.84,40.191862959579765,28.90498206862473
2004-11-26,-2.34,1.43,-5.97,0.66,7.37,40.191862959579765,28.90498206862473
2004-11-27,-0.17,7.22,-5.88,0.0,9.15,40.191862959579765,28.90498206862473
2004-11-28,3.27,10.12,-1.35,0.0,5.6,40.191862959579765,28.90498206862473
2004-11-29,6.08,13.59,1.11,0.0,8.76,40.191862959579765,28.90498206862473
2004-11-30,7.97,13.56,4.3,0.26,5.43,40.191862959579765,28.90498206862473
2004-12-01,9.38,13.68,5.08,0.3,5.42,40.191862959579765,28.90498206862473
2004-12-02,9.92,16.57,5.66,0.0,7.45,40.191862959579765,28.90498206862473
2004-12-03,11.07,17.67,6.63,0.0,8.27,40.191862959579765,28.90498206862473
2004-12-04,11.44,16.34,8.31,0.08,4.28,40.191862959579765,28.90498206862473
2004-12-05,8.11,10.13,3.81,3.36,3.86,40.191862959579765,28.90498206862473
2004-12-06,6.1,12.5,2.4,0.0,7.81,40.191862959579765,28.90498206862473
2004-12-07,4.43,5.76,1.7,12.28,2.75,40.191862959579765,28.90498206862473
2004-12-08,3.69,10.07,0.38,0.01,8.86,40.191862959579765,28.90498206862473
2004-12-09,3.66,9.22,0.96,0.0,6.64,40.191862959579765,28.90498206862473
2004-12-10,2.38,6.88,-0.77,0.0,6.75,40.191862959579765,28.90498206862473
2004-12-11,1.83,6.24,-1.0,0.07,3.84,40.191862959579765,28.90498206862473
2004-12-12,2.6,9.32,-1.56,0.0,8.75,40.191862959579765,28.90498206862473
2004-12-13,3.19,9.72,0.09,0.02,7.9,40.191862959579765,28.90498206862473
2004-12-14,1.81,5.55,-1.72,0.31,3.13,40.191862959579765,28.90498206862473
2004-12-15,-0.79,3.99,-3.65,0.0,5.91,40.191862959579765,28.90498206862473
2004-12-16,-0.71,5.17,-3.9,0.0,7.79,40.191862959579765,28.90498206862473
2004-12-17,1.57,9.48,-3.37,0.0,9.06,40.191862959579765,28.90498206862473
2004-12-18,5.87,9.8,1.75,0.0,3.48,40.191862959579765,28.90498206862473
2004-12-19,7.79,10.93,5.96,1.95,3.02,40.191862959579765,28.90498206862473
2004-12-20,7.71,12.2,5.33,2.99,4.52,40.191862959579765,28.90498206862473
2004-12-21,6.95,10.89,4.96,5.68,3.29,40.191862959579765,28.90498206862473
2004-12-22,4.7,6.13,2.77,8.61,1.53,40.191862959579765,28.90498206862473
2004-12-23,2.0,5.57,-1.29,0.47,2.8,40.191862959579765,28.90498206862473
2004-12-24,1.29,6.53,-1.91,0.0,4.83,40.191862959579765,28.90498206862473
2004-12-25,2.45,9.97,-1.96,0.0,8.84,40.191862959579765,28.90498206862473
2004-12-26,4.64,13.37,-1.02,0.0,8.54,40.191862959579765,28.90498206862473
2004-12-27,9.11,15.78,5.25,0.1,7.51,40.191862959579765,28.90498206862473
2004-12-28,10.82,18.13,5.69,1.48,6.59,40.191862959579765,28.90498206862473
2004-12-29,11.29,16.11,8.78,4.29,2.17,40.191862959579765,28.90498206862473
2004-12-30,8.3,13.23,5.56,0.97,5.94,40.191862959579765,28.90498206862473
2004-12-31,7.14,13.14,4.34,1.1,2.05,40.191862959579765,28.90498206862473
2005-01-01,7.4,11.6,4.3,2.53,2.47,40.191862959579765,28.90498206862473
2005-01-02,3.33,5.71,1.52,1.58,2.34,40.191862959579765,28.90498206862473
2005-01-03,2.32,7.55,-0.71,0.0,7.15,40.191862959579765,28.90498206862473
2005-01-04,0.55,2.33,-2.43,2.25,3.58,40.191862959579765,28.90498206862473
2005-01-05,1.32,6.79,-3.19,0.01,6.03,40.191862959579765,28.90498206862473
2005-01-06,3.34,10.65,-1.08,0.0,9.16,40.191862959579765,28.90498206862473
2005-01-07,3.45,5.92,0.99,2.55,1.83,40.191862959579765,28.90498206862473
2005-01-08,3.5,9.45,-0.16,0.03,8.66,40.191862959579765,28.90498206862473
2005-01-09,4.92,13.17,-1.17,0.0,9.38,40.191862959579765,28.90498206862473
2005-01-10,5.11,11.37,2.09,0.0,8.72,40.191862959579765,28.90498206862473
2005-01-11,5.49,14.48,0.77,0.0,8.45,40.191862959579765,28.90498206862473
2005-01-12,6.62,15.83,1.11,0.0,7.29,40.191862959579765,28.90498206862473
2005-01-13,6.5,14.0,2.58,0.0,6.51,40.191862959579765,28.90498206862473
2005-01-14,5.55,11.01,1.81,1.07,2.56,40.191862959579765,28.90498206862473
2005-01-15,1.99,3.44,0.45,8.74,2.32,40.191862959579765,28.90498206862473
2005-01-16,2.03,3.88,0.36,4.93,2.01,40.191862959579765,28.90498206862473
2005-01-17,4.41,8.56,2.53,4.14,3.59,40.191862959579765,28.90498206862473
2005-01-18,3.46,7.06,1.55,0.41,2.35,40.191862959579765,28.90498206862473
2005-01-19,4.06,10.7,-0.49,0.02,6.95,40.191862959579765,28.90498206862473
2005-01-20,5.44,11.76,0.67,0.04,8.57,40.191862959579765,28.90498206862473
2005-01-21,6.31,12.13,2.6,0.01,9.77,40.191862959579765,28.90498206862473
2005-01-22,3.47,5.64,-0.67,9.89,3.11,40.191862959579765,28.90498206862473
