date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.5,25.75,14.15,0.0,17.36,39.74479204875584,26.921530686117485
2004-10-02,19.43,25.91,14.18,0.0,17.9,39.74479204875584,26.921530686117485
2004-10-03,18.19,22.82,14.64,0.01,15.95,39.74479204875584,26.921530686117485
2004-10-04,16.99,21.3,13.36,0.0,16.4,39.74479204875584,26.921530686117485
2004-10-05,17.53,21.76,14.86,0.0,15.65,39.74479204875584,26.921530686117485
2004-10-06,16.73,20.42,14.52,0.12,14.78,39.74479204875584,26.921530686117485
2004-10-07,15.65,18.8,13.11,3.77,7.15,39.74479204875584,26.921530686117485
2004-10-08,14.91,19.33,12.09,0.32,13.82,39.74479204875584,26.921530686117485
2004-10-09,16.73,22.86,12.16,0.0,16.77,39.74479204875584,26.921530686117485
2004-10-10,17.7,23.79,12.89,0.0,16.18,39.74479204875584,26.921530686117485
2004-10-11,18.24,23.22,13.86,0.03,14.12,39.74479204875584,26.921530686117485
2004-10-12,15.66,17.99,12.1,1.39,8.43,39.74479204875584,26.921530686117485
2004-10-13,13.34,17.01,11.27,0.2,10.42,39.74479204875584,26.921530686117485
2004-10-14,15.11,21.23,10.71,0.0,12.18,39.74479204875584,26.921530686117485
2004-10-15,16.79,22.42,11.24,0.0,12.13,39.74479204875584,26.921530686117485
2004-10-16,19.74,24.33,15.5,0.01,10.77,39.74479204875584,26.921530686117485
2004-10-17,21.24,26.39,16.86,0.0,13.95,39.74479204875584,26.921530686117485
2004-10-18,20.11,25.16,16.08,0.0,14.84,39.74479204875584,26.921530686117485
2004-10-19,18.86,24.41,14.03,0.0,13.95,39.74479204875584,26.921530686117485
2004-10-20,19.68,26.14,15.25,0.0,14.23,39.74479204875584,26.921530686117485
2004-10-21,19.35,25.56,14.51,0.0,12.93,39.74479204875584,26.921530686117485
2004-10-22,18.92,25.22,14.46,0.0,14.25,39.74479204875584,26.921530686117485
2004-10-23,16.61,22.95,12.38,0.0,14.88,39.74479204875584,26.921530686117485
2004-10-24,16.31,22.89,11.2,0.0,14.16,39.74479204875584,26.921530686117485
2004-10-25,17.57,24.9,11.68,0.0,14.07,39.74479204875584,26.921530686117485
2004-10-26,18.82,25.74,14.14,0.0,13.25,39.74479204875584,26.921530686117485
2004-10-27,17.73,22.53,14.5,0.0,12.64,39.74479204875584,26.921530686117485
2004-10-28,18.48,23.47,14.09,0.0,11.77,39.74479204875584,26.921530686117485
2004-10-29,18.44,23.6,14.76,0.0,12.69,39.74479204875584,26.921530686117485
2004-10-30,17.88,24.06,13.47,0.0,12.85,39.74479204875584,26.921530686117485
2004-10-31,18.15,24.32,14.02,0.0,12.79,39.74479204875584,26.921530686117485
2004-11-01,18.97,26.88,14.19,0.0,11.75,39.74479204875584,26.921530686117485
2004-11-02,18.58,26.16,14.19,0.0,12.27,39.74479204875584,26.921530686117485
2004-11-03,16.04,21.21,12.36,0.01,11.54,39.74479204875584,26.921530686117485
2004-11-04,14.18,19.64,11.61,0.0,11.82,39.74479204875584,26.921530686117485
2004-11-05,14.08,20.78,9.95,0.0,12.03,39.74479204875584,26.921530686117485
2004-11-06,15.13,20.57,10.96,0.35,10.21,39.74479204875584,26.921530686117485
2004-11-07,15.47,18.8,13.72,0.19,8.32,39.74479204875584,26.921530686117485
2004-11-08,15.71,19.26,12.16,5.08,6.11,39.74479204875584,26.921530686117485
2004-11-09,16.98,20.42,15.13,5.69,5.46,39.74479204875584,26.921530686117485
2004-11-10,15.92,19.62,13.53,0.59,7.82,39.74479204875584,26.921530686117485
2004-11-11,15.04,18.66,12.24,3.96,8.54,39.74479204875584,26.921530686117485
2004-11-12,16.65,22.46,12.9,0.0,8.71,39.74479204875584,26.921530686117485
2004-11-13,15.59,20.21,12.28,0.0,9.13,39.74479204875584,26.921530686117485
2004-11-14,17.81,21.4,13.98,3.53,3.0,39.74479204875584,26.921530686117485
2004-11-15,17.79,20.37,14.54,5.82,7.34,39.74479204875584,26.921530686117485
2004-11-16,14.6,17.53,8.44,9.44,6.51,39.74479204875584,26.921530686117485
2004-11-17,8.69,11.57,6.79,0.85,5.91,39.74479204875584,26.921530686117485
2004-11-18,8.48,13.02,5.44,0.0,11.11,39.74479204875584,26.921530686117485
2004-11-19,11.15,15.04,5.76,0.0,8.7,39.74479204875584,26.921530686117485
2004-11-20,9.49,15.71,4.18,12.58,2.09,39.74479204875584,26.921530686117485
2004-11-21,3.19,7.68,0.05,0.06,10.02,39.74479204875584,26.921530686117485
2004-11-22,2.13,5.75,-0.03,0.23,8.96,39.74479204875584,26.921530686117485
2004-11-23,5.21,9.59,0.39,0.0,8.16,39.74479204875584,26.921530686117485
2004-11-24,7.34,12.6,2.57,2.1,5.24,39.74479204875584,26.921530686117485
2004-11-25,1.8,3.36,-0.2,1.08,8.02,39.74479204875584,26.921530686117485
2004-11-26,1.42,5.85,-1.64,0.02,10.23,39.74479204875584,26.921530686117485
2004-11-27,4.5,9.82,0.97,0.0,9.7,39.74479204875584,26.921530686117485
2004-11-28,6.81,12.15,2.69,0.02,7.18,39.74479204875584,26.921530686117485
2004-11-29,9.89,14.22,5.38,0.47,6.3,39.74479204875584,26.921530686117485
2004-11-30,12.71,16.46,10.52,1.51,6.97,39.74479204875584,26.921530686117485
2004-12-01,12.23,15.28,10.68,1.56,5.8,39.74479204875584,26.921530686117485
2004-12-02,12.53,16.81,8.71,0.15,6.72,39.74479204875584,26.921530686117485
2004-12-03,14.41,18.03,12.31,0.0,7.09,39.74479204875584,26.921530686117485
2004-12-04,14.91,18.05,12.86,0.01,6.08,39.74479204875584,26.921530686117485
2004-12-05,11.63,12.76,8.83,3.33,2.24,39.74479204875584,26.921530686117485
2004-12-06,10.09,14.7,7.11,0.0,8.09,39.74479204875584,26.921530686117485
2004-12-07,8.35,11.07,5.67,6.78,5.36,39.74479204875584,26.921530686117485
2004-12-08,6.43,10.82,4.0,0.0,8.34,39.74479204875584,26.921530686117485
2004-12-09,7.13,11.33,3.61,0.0,7.82,39.74479204875584,26.921530686117485
2004-12-10,6.77,9.9,5.12,0.0,6.81,39.74479204875584,26.921530686117485
2004-12-11,6.0,9.34,3.93,0.0,8.57,39.74479204875584,26.921530686117485
2004-12-12,5.42,10.39,2.23,0.0,9.51,39.74479204875584,26.921530686117485
2004-12-13,5.91,12.66,1.94,0.0,9.47,39.74479204875584,26.921530686117485
2004-12-14,5.38,8.28,2.41,0.1,6.28,39.74479204875584,26.921530686117485
2004-12-15,2.84,7.33,0.11,0.0,7.86,39.74479204875584,26.921530686117485
2004-12-16,1.94,6.84,-0.69,0.0,9.66,39.74479204875584,26.921530686117485
2004-12-17,5.06,9.45,0.87,0.03,7.94,39.74479204875584,26.921530686117485
2004-12-18,9.76,11.35,8.15,2.79,3.06,39.74479204875584,26.921530686117485
2004-12-19,10.8,12.02,9.04,9.35,2.37,39.74479204875584,26.921530686117485
2004-12-20,9.35,12.34,7.28,2.05,5.86,39.74479204875584,26.921530686117485
2004-12-21,9.36,11.4,8.12,12.01,3.75,39.74479204875584,26.921530686117485
2004-12-22,6.07,9.26,3.1,14.57,3.07,39.74479204875584,26.921530686117485
2004-12-23,4.61,8.23,3.25,0.44,6.12,39.74479204875584,26.921530686117485
2004-12-24,4.39,8.97,2.02,0.14,7.88,39.74479204875584,26.921530686117485
2004-12-25,6.1,11.3,2.21,0.0,9.34,39.74479204875584,26.921530686117485
2004-12-26,7.61,12.91,1.79,0.03,6.28,39.74479204875584,26.921530686117485
2004-12-27,12.12,15.55,9.49,0.63,5.06,39.74479204875584,26.921530686117485
2004-12-28,13.28,15.43,11.38,11.76,5.55,39.74479204875584,26.921530686117485
2004-12-29,12.92,14.02,9.89,20.77,1.74,39.74479204875584,26.921530686117485
2004-12-30,10.72,14.46,7.79,0.55,5.52,39.74479204875584,26.921530686117485
2004-12-31,8.21,10.62,6.86,7.58,2.5,39.74479204875584,26.921530686117485
2005-01-01,8.11,10.13,4.09,3.9,4.85,39.74479204875584,26.921530686117485
2005-01-02,5.12,9.34,1.78,0.11,3.38,39.74479204875584,26.921530686117485
2005-01-03,5.0,10.18,1.61,0.17,8.68,39.74479204875584,26.921530686117485
2005-01-04,3.29,5.5,0.76,1.66,5.84,39.74479204875584,26.921530686117485
2005-01-05,6.0,10.42,2.47,0.0,9.0,39.74479204875584,26.921530686117485
2005-01-06,7.42,12.43,4.62,0.0,9.83,39.74479204875584,26.921530686117485
2005-01-07,6.16,8.3,4.72,0.53,5.17,39.74479204875584,26.921530686117485
2005-01-08,6.13,10.7,3.5,0.0,9.72,39.74479204875584,26.921530686117485
2005-01-09,8.08,13.33,3.72,0.0,10.14,39.74479204875584,26.921530686117485
2005-01-10,8.25,14.71,4.65,0.0,9.62,39.74479204875584,26.921530686117485
2005-01-11,6.8,14.64,1.88,0.0,10.46,39.74479204875584,26.921530686117485
2005-01-12,8.54,14.63,3.19,0.0,9.8,39.74479204875584,26.921530686117485
2005-01-13,9.79,13.49,7.87,0.0,6.2,39.74479204875584,26.921530686117485
2005-01-14,7.86,9.76,5.67,1.63,3.49,39.74479204875584,26.921530686117485
2005-01-15,4.32,6.17,3.0,3.28,4.35,39.74479204875584,26.921530686117485
2005-01-16,3.77,5.74,2.93,7.24,2.63,39.74479204875584,26.921530686117485
2005-01-17,5.59,6.8,4.25,1.82,2.95,39.74479204875584,26.921530686117485
2005-01-18,5.74,8.69,4.41,0.1,6.46,39.74479204875584,26.921530686117485
2005-01-19,6.55,10.17,3.94,0.07,6.15,39.74479204875584,26.921530686117485
2005-01-20,7.86,11.42,4.95,0.38,5.4,39.74479204875584,26.921530686117485
2005-01-21,9.58,12.14,6.83,3.87,7.55,39.74479204875584,26.921530686117485
2005-01-22,6.79,10.01,2.84,12.44,1.91,39.74479204875584,26.921530686117485
2005-01-23,3.54,6.22,1.6,0.4,9.76,39.74479204875584,26.921530686117485
2005-01-24,4.2,7.01,0.25,1.51,6.48,39.74479204875584,26.921530686117485
2005-01-25,11.92,13.69,6.29,5.43,3.6,39.74479204875584,26.921530686117485
2005-01-26,13.69,16.28,12.28,5.2,5.1,39.74479204875584,26.921530686117485
2005-01-27,11.94,13.49,10.53,7.13,6.33,39.74479204875584,26.921530686117485
2005-01-28,10.03,11.07,8.76,6.02,7.22,39.74479204875584,26.921530686117485
2005-01-29,11.57,13.85,10.22,12.87,5.19,39.74479204875584,26.921530686117485
2005-01-30,6.04,9.75,1.26,2.03,9.12,39.74479204875584,26.921530686117485
2005-01-31,0.72,2.47,-0.5,4.0,3.06,39.74479204875584,26.921530686117485
2005-02-01,2.18,6.07,-2.1,1.15,5.83,39.74479204875584,26.921530686117485
2005-02-02,4.89,7.39,3.22,13.24,5.61,39.74479204875584,26.921530686117485
2005-02-03,6.95,9.29,3.91,34.2,2.03,39.74479204875584,26.921530686117485
2005-02-04,2.22,5.03,-1.49,2.77,3.68,39.74479204875584,26.921530686117485
2005-02-05,0.24,4.04,-2.01,0.23,6.46,39.74479204875584,26.921530686117485
2005-02-06,-1.92,-0.06,-3.99,0.09,9.67,39.74479204875584,26.921530686117485
2005-02-07,-2.06,1.19,-3.93,0.09,11.03,39.74479204875584,26.921530686117485
2005-02-08,-0.57,3.47,-3.68,0.18,9.21,39.74479204875584,26.921530686117485
2005-02-09,0.83,3.53,-0.85,0.04,9.43,39.74479204875584,26.921530686117485
2005-02-10,0.93,3.58,-0.26,0.16,9.44,39.74479204875584,26.921530686117485
2005-02-11,0.81,4.04,-1.42,0.03,10.34,39.74479204875584,26.921530686117485
2005-02-12,1.53,7.0,-3.53,0.0,11.29,39.74479204875584,26.921530686117485
2005-02-13,6.54,9.95,1.46,2.98,7.77,39.74479204875584,26.921530686117485
2005-02-14,12.24,14.35,10.2,2.98,7.21,39.74479204875584,26.921530686117485
2005-02-15,11.68,12.92,10.41,13.73,4.65,39.74479204875584,26.921530686117485
2005-02-16,10.86,12.45,9.23,20.13,9.97,39.74479204875584,26.921530686117485
2005-02-17,9.33,10.74,8.04,10.4,7.39,39.74479204875584,26.921530686117485
2005-02-18,8.21,11.33,5.45,5.04,11.47,39.74479204875584,26.921530686117485
2005-02-19,6.96,9.61,5.59,4.97,6.3,39.74479204875584,26.921530686117485
2005-02-20,7.57,10.36,5.1,1.78,12.63,39.74479204875584,26.921530686117485
2005-02-21,8.76,10.93,6.96,4.53,8.61,39.74479204875584,26.921530686117485
2005-02-22,10.03,13.64,7.42,0.52,13.49,39.74479204875584,26.921530686117485
2005-02-23,9.09,12.81,6.94,13.06,4.28,39.74479204875584,26.921530686117485
2005-02-24,10.84,14.61,8.56,0.25,14.88,39.74479204875584,26.921530686117485
2005-02-25,10.72,13.78,7.69,0.61,14.13,39.74479204875584,26.921530686117485
2005-02-26,10.8,13.46,9.08,17.73,5.66,39.74479204875584,26.921530686117485
2005-02-27,12.28,14.95,9.05,12.86,12.5,39.74479204875584,26.921530686117485
2005-02-28,6.7,8.67,3.56,4.97,5.74,39.74479204875584,26.921530686117485
2005-03-01,3.86,6.12,2.31,11.67,4.02,39.74479204875584,26.921530686117485
2005-03-02,3.76,5.91,2.42,5.26,4.13,39.74479204875584,26.921530686117485
2005-03-03,4.24,7.87,1.78,1.54,9.76,39.74479204875584,26.921530686117485
2005-03-04,5.02,10.51,0.68,0.0,17.59,39.74479204875584,26.921530686117485
2005-03-05,8.59,11.79,3.45,11.44,3.84,39.74479204875584,26.921530686117485
2005-03-06,12.58,16.24,7.45,17.19,15.96,39.74479204875584,26.921530686117485
2005-03-07,10.75,14.91,7.42,0.18,14.65,39.74479204875584,26.921530686117485
2005-03-08,6.16,9.99,2.31,6.15,8.39,39.74479204875584,26.921530686117485
2005-03-09,3.88,8.12,0.88,2.36,13.83,39.74479204875584,26.921530686117485
2005-03-10,3.48,6.22,0.55,1.17,11.79,39.74479204875584,26.921530686117485
2005-03-11,0.73,3.42,-2.05,3.79,14.33,39.74479204875584,26.921530686117485
2005-03-12,4.78,10.06,-1.39,0.0,15.91,39.74479204875584,26.921530686117485
2005-03-13,9.22,12.87,4.39,0.47,16.75,39.74479204875584,26.921530686117485
2005-03-14,10.97,13.74,8.38,1.34,14.29,39.74479204875584,26.921530686117485
2005-03-15,11.3,16.17,7.35,0.0,18.43,39.74479204875584,26.921530686117485
2005-03-16,10.93,16.46,6.43,0.0,17.96,39.74479204875584,26.921530686117485
