date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.99,28.04,14.15,0.0,20.33,37.99197889727617,28.925547641287842
2004-10-02,18.13,27.38,10.65,0.0,20.13,37.99197889727617,28.925547641287842
2004-10-03,17.46,26.19,9.56,0.0,19.71,37.99197889727617,28.925547641287842
2004-10-04,17.04,25.63,9.42,0.0,18.44,37.99197889727617,28.925547641287842
2004-10-05,17.61,24.32,12.6,3.11,12.25,37.99197889727617,28.925547641287842
2004-10-06,16.9,23.91,12.49,1.63,8.94,37.99197889727617,28.925547641287842
2004-10-07,14.82,19.08,11.64,7.89,11.05,37.99197889727617,28.925547641287842
2004-10-08,14.45,18.81,11.31,3.05,10.96,37.99197889727617,28.925547641287842
2004-10-09,15.23,21.97,8.69,0.12,16.32,37.99197889727617,28.925547641287842
2004-10-10,17.33,24.82,9.4,0.0,18.36,37.99197889727617,28.925547641287842
2004-10-11,18.4,27.57,10.72,0.0,17.92,37.99197889727617,28.925547641287842
2004-10-12,18.62,26.35,12.71,0.0,16.8,37.99197889727617,28.925547641287842
2004-10-13,17.38,25.17,11.02,0.01,13.36,37.99197889727617,28.925547641287842
2004-10-14,17.45,25.83,9.91,0.0,16.66,37.99197889727617,28.925547641287842
2004-10-15,19.22,25.8,14.17,0.0,15.56,37.99197889727617,28.925547641287842
2004-10-16,20.33,28.12,14.21,0.0,15.4,37.99197889727617,28.925547641287842
2004-10-17,20.57,28.76,15.31,0.0,13.61,37.99197889727617,28.925547641287842
2004-10-18,19.91,28.54,13.64,0.0,16.32,37.99197889727617,28.925547641287842
2004-10-19,19.47,27.63,12.33,0.0,15.98,37.99197889727617,28.925547641287842
2004-10-20,19.83,28.15,13.68,0.0,15.85,37.99197889727617,28.925547641287842
2004-10-21,18.49,25.49,11.78,0.0,16.06,37.99197889727617,28.925547641287842
2004-10-22,18.24,25.69,12.35,0.0,15.39,37.99197889727617,28.925547641287842
2004-10-23,18.01,26.57,10.41,0.0,15.8,37.99197889727617,28.925547641287842
2004-10-24,18.42,25.87,12.65,0.0,15.52,37.99197889727617,28.925547641287842
2004-10-25,18.82,26.58,11.88,0.0,14.68,37.99197889727617,28.925547641287842
2004-10-26,18.66,27.03,11.71,0.0,14.58,37.99197889727617,28.925547641287842
2004-10-27,17.84,26.42,12.45,0.0,13.95,37.99197889727617,28.925547641287842
2004-10-28,17.39,24.59,12.59,0.0,12.62,37.99197889727617,28.925547641287842
2004-10-29,18.28,25.27,12.93,0.0,14.21,37.99197889727617,28.925547641287842
2004-10-30,17.93,25.35,11.54,0.0,13.82,37.99197889727617,28.925547641287842
2004-10-31,17.89,25.67,11.07,0.0,14.31,37.99197889727617,28.925547641287842
2004-11-01,17.76,25.96,10.3,0.0,14.29,37.99197889727617,28.925547641287842
2004-11-02,17.62,27.15,9.85,0.0,14.12,37.99197889727617,28.925547641287842
2004-11-03,16.65,25.39,9.79,0.0,13.28,37.99197889727617,28.925547641287842
2004-11-04,15.21,23.71,8.66,0.0,12.5,37.99197889727617,28.925547641287842
2004-11-05,14.71,22.43,7.65,3.24,11.07,37.99197889727617,28.925547641287842
2004-11-06,13.5,17.6,11.01,2.94,6.39,37.99197889727617,28.925547641287842
2004-11-07,14.14,19.79,9.34,1.39,9.34,37.99197889727617,28.925547641287842
2004-11-08,13.7,19.72,9.14,2.9,7.34,37.99197889727617,28.925547641287842
