date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,22.31,29.79,17.16,0.0,19.65,38.3473014131967,40.43347417344808
2004-10-02,21.6,29.32,15.3,0.01,18.75,38.3473014131967,40.43347417344808
2004-10-03,18.41,25.64,12.59,0.09,16.56,38.3473014131967,40.43347417344808
2004-10-04,16.98,24.82,10.28,0.01,14.28,38.3473014131967,40.43347417344808
2004-10-05,16.17,25.08,8.8,0.0,19.39,38.3473014131967,40.43347417344808
2004-10-06,17.79,26.53,9.59,0.1,14.39,38.3473014131967,40.43347417344808
2004-10-07,19.46,28.22,12.7,0.0,16.53,38.3473014131967,40.43347417344808
2004-10-08,19.63,26.59,12.99,1.51,14.08,38.3473014131967,40.43347417344808
2004-10-09,18.28,25.1,12.88,0.29,14.91,38.3473014131967,40.43347417344808
2004-10-10,15.92,22.83,9.49,0.0,17.48,38.3473014131967,40.43347417344808
2004-10-11,17.08,24.09,10.45,0.0,17.5,38.3473014131967,40.43347417344808
2004-10-12,17.43,25.1,10.55,0.0,14.54,38.3473014131967,40.43347417344808
2004-10-13,16.01,23.64,10.75,0.06,11.09,38.3473014131967,40.43347417344808
2004-10-14,15.86,23.82,8.05,0.01,16.3,38.3473014131967,40.43347417344808
2004-10-15,17.53,24.16,12.44,0.04,15.61,38.3473014131967,40.43347417344808
2004-10-16,17.49,24.27,10.72,0.03,14.61,38.3473014131967,40.43347417344808
2004-10-17,17.2,24.22,10.84,0.0,15.17,38.3473014131967,40.43347417344808
2004-10-18,17.76,26.43,11.35,0.0,16.61,38.3473014131967,40.43347417344808
2004-10-19,18.71,26.87,11.94,0.0,16.01,38.3473014131967,40.43347417344808
2004-10-20,18.23,26.16,12.82,0.0,15.95,38.3473014131967,40.43347417344808
2004-10-21,11.5,14.49,5.83,2.78,4.36,38.3473014131967,40.43347417344808
2004-10-22,9.01,18.35,1.04,0.09,11.59,38.3473014131967,40.43347417344808
2004-10-23,10.7,19.82,2.64,0.0,16.68,38.3473014131967,40.43347417344808
2004-10-24,11.86,20.06,3.66,0.0,15.71,38.3473014131967,40.43347417344808
2004-10-25,13.49,22.23,5.88,0.0,15.37,38.3473014131967,40.43347417344808
2004-10-26,14.39,23.38,6.56,0.0,15.34,38.3473014131967,40.43347417344808
2004-10-27,16.4,25.29,9.14,0.0,13.96,38.3473014131967,40.43347417344808
2004-10-28,17.43,24.68,12.32,0.0,11.58,38.3473014131967,40.43347417344808
2004-10-29,15.89,23.65,10.81,0.5,10.73,38.3473014131967,40.43347417344808
2004-10-30,12.97,16.27,10.96,11.44,6.89,38.3473014131967,40.43347417344808
2004-10-31,11.58,16.13,8.31,1.33,6.0,38.3473014131967,40.43347417344808
2004-11-01,12.97,20.03,7.21,0.0,12.44,38.3473014131967,40.43347417344808
2004-11-02,13.38,20.07,8.38,0.0,13.11,38.3473014131967,40.43347417344808
2004-11-03,12.81,19.61,7.32,0.02,12.8,38.3473014131967,40.43347417344808
2004-11-04,9.36,15.06,3.08,4.09,6.4,38.3473014131967,40.43347417344808
2004-11-05,7.95,15.84,1.12,0.0,14.33,38.3473014131967,40.43347417344808
2004-11-06,7.95,14.26,2.64,1.05,9.03,38.3473014131967,40.43347417344808
2004-11-07,8.65,13.26,5.68,2.92,5.7,38.3473014131967,40.43347417344808
2004-11-08,10.09,15.87,6.13,0.61,7.35,38.3473014131967,40.43347417344808
2004-11-09,9.89,13.3,7.4,1.33,4.47,38.3473014131967,40.43347417344808
2004-11-10,10.11,15.45,6.28,0.03,9.69,38.3473014131967,40.43347417344808
2004-11-11,10.26,16.16,6.18,0.03,9.1,38.3473014131967,40.43347417344808
2004-11-12,10.95,19.03,4.55,0.03,12.35,38.3473014131967,40.43347417344808
2004-11-13,10.44,18.48,3.93,0.0,12.6,38.3473014131967,40.43347417344808
