date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.82,27.02,13.24,0.0,17.73,40.777086012055264,26.484729510587506
2004-10-02,20.18,26.84,13.85,0.63,16.75,40.777086012055264,26.484729510587506
2004-10-03,18.6,23.44,14.4,0.06,15.15,40.777086012055264,26.484729510587506
2004-10-04,17.12,23.25,12.16,0.0,15.32,40.777086012055264,26.484729510587506
2004-10-05,16.44,21.66,11.54,0.01,14.23,40.777086012055264,26.484729510587506
2004-10-06,16.19,21.77,11.5,0.15,12.61,40.777086012055264,26.484729510587506
2004-10-07,15.6,20.43,11.7,0.62,7.47,40.777086012055264,26.484729510587506
2004-10-08,15.91,22.57,10.21,0.0,13.97,40.777086012055264,26.484729510587506
2004-10-09,16.67,24.28,9.94,0.0,16.32,40.777086012055264,26.484729510587506
2004-10-10,18.73,24.99,13.94,0.0,15.07,40.777086012055264,26.484729510587506
2004-10-11,18.91,22.42,15.64,1.3,11.28,40.777086012055264,26.484729510587506
2004-10-12,13.43,15.95,10.99,16.96,3.99,40.777086012055264,26.484729510587506
2004-10-13,12.67,16.82,9.97,0.23,5.6,40.777086012055264,26.484729510587506
2004-10-14,12.47,17.03,9.33,0.08,6.96,40.777086012055264,26.484729510587506
2004-10-15,12.97,18.12,8.56,0.07,11.34,40.777086012055264,26.484729510587506
2004-10-16,17.28,23.12,12.06,0.37,9.47,40.777086012055264,26.484729510587506
2004-10-17,20.08,25.45,16.09,0.0,14.19,40.777086012055264,26.484729510587506
2004-10-18,19.6,25.87,14.95,0.0,14.72,40.777086012055264,26.484729510587506
2004-10-19,19.26,25.59,14.89,0.01,12.89,40.777086012055264,26.484729510587506
2004-10-20,20.37,25.85,15.33,0.0,13.39,40.777086012055264,26.484729510587506
2004-10-21,18.81,23.9,13.48,0.0,12.74,40.777086012055264,26.484729510587506
2004-10-22,18.21,23.38,13.94,0.12,8.4,40.777086012055264,26.484729510587506
2004-10-23,16.44,22.72,11.05,0.0,14.47,40.777086012055264,26.484729510587506
2004-10-24,17.81,24.27,12.75,0.0,13.13,40.777086012055264,26.484729510587506
2004-10-25,18.15,24.0,13.58,0.01,13.71,40.777086012055264,26.484729510587506
2004-10-26,17.53,24.25,11.13,0.0,13.14,40.777086012055264,26.484729510587506
2004-10-27,16.71,22.95,13.65,0.0,10.42,40.777086012055264,26.484729510587506
2004-10-28,18.27,23.96,14.03,0.0,11.94,40.777086012055264,26.484729510587506
2004-10-29,18.42,24.41,13.33,0.01,11.98,40.777086012055264,26.484729510587506
