date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,22.55,30.06,16.45,0.0,19.49,38.49270335710978,39.47755927909915
2004-10-02,21.15,28.64,13.79,0.01,18.39,38.49270335710978,39.47755927909915
2004-10-03,18.34,24.31,13.14,0.02,16.42,38.49270335710978,39.47755927909915
2004-10-04,15.79,23.25,9.26,0.0,15.57,38.49270335710978,39.47755927909915
2004-10-05,15.5,23.42,7.58,0.0,19.43,38.49270335710978,39.47755927909915
2004-10-06,17.82,25.52,9.76,0.03,12.52,38.49270335710978,39.47755927909915
2004-10-07,18.79,27.2,11.98,0.0,16.73,38.49270335710978,39.47755927909915
2004-10-08,18.51,25.59,11.79,0.48,13.7,38.49270335710978,39.47755927909915
2004-10-09,17.6,24.08,12.68,0.08,15.99,38.49270335710978,39.47755927909915
2004-10-10,16.43,23.21,9.9,0.0,16.74,38.49270335710978,39.47755927909915
2004-10-11,17.71,24.55,11.94,0.0,16.95,38.49270335710978,39.47755927909915
2004-10-12,18.2,25.14,12.51,0.0,14.37,38.49270335710978,39.47755927909915
2004-10-13,15.66,22.93,9.65,0.01,13.29,38.49270335710978,39.47755927909915
2004-10-14,15.35,22.98,7.81,0.0,16.15,38.49270335710978,39.47755927909915
2004-10-15,17.57,23.85,12.87,0.04,15.36,38.49270335710978,39.47755927909915
2004-10-16,18.02,24.05,12.2,0.0,13.58,38.49270335710978,39.47755927909915
2004-10-17,17.85,24.09,11.93,0.0,15.23,38.49270335710978,39.47755927909915
2004-10-18,18.78,25.88,12.45,0.0,16.47,38.49270335710978,39.47755927909915
2004-10-19,19.89,27.11,14.84,0.0,15.18,38.49270335710978,39.47755927909915
2004-10-20,19.01,26.4,13.48,0.0,15.95,38.49270335710978,39.47755927909915
2004-10-21,13.34,18.01,7.59,1.04,10.02,38.49270335710978,39.47755927909915
2004-10-22,10.23,17.21,3.98,0.0,11.59,38.49270335710978,39.47755927909915
2004-10-23,10.86,19.0,3.75,0.0,16.46,38.49270335710978,39.47755927909915
2004-10-24,12.9,20.62,6.1,0.0,15.34,38.49270335710978,39.47755927909915
2004-10-25,14.58,21.86,8.73,0.0,15.35,38.49270335710978,39.47755927909915
2004-10-26,15.24,23.38,8.36,0.0,14.99,38.49270335710978,39.47755927909915
2004-10-27,17.53,25.29,11.27,0.0,12.37,38.49270335710978,39.47755927909915
2004-10-28,18.09,24.92,11.78,0.0,12.28,38.49270335710978,39.47755927909915
2004-10-29,14.56,19.61,10.99,3.4,7.14,38.49270335710978,39.47755927909915
2004-10-30,12.66,15.61,10.32,21.58,4.34,38.49270335710978,39.47755927909915
2004-10-31,12.05,15.95,9.74,4.03,7.05,38.49270335710978,39.47755927909915
2004-11-01,13.24,19.22,8.7,0.0,11.19,38.49270335710978,39.47755927909915
2004-11-02,13.91,19.69,9.24,0.0,12.24,38.49270335710978,39.47755927909915
