date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,16.29,23.85,10.29,0.1,18.63,39.68033540059123,39.994118057384995
2004-10-02,13.6,21.83,6.61,0.28,16.43,39.68033540059123,39.994118057384995
2004-10-03,9.74,15.34,4.01,0.39,13.61,39.68033540059123,39.994118057384995
2004-10-04,7.98,15.92,2.72,0.15,13.3,39.68033540059123,39.994118057384995
2004-10-05,8.14,17.11,-0.22,0.02,19.08,39.68033540059123,39.994118057384995
2004-10-06,10.07,20.25,2.53,0.18,12.25,39.68033540059123,39.994118057384995
2004-10-07,12.33,21.18,5.11,0.0,16.29,39.68033540059123,39.994118057384995
2004-10-08,12.13,19.14,5.89,2.21,13.77,39.68033540059123,39.994118057384995
2004-10-09,11.18,17.38,6.99,1.01,13.4,39.68033540059123,39.994118057384995
2004-10-10,10.07,16.28,4.84,0.0,12.24,39.68033540059123,39.994118057384995
2004-10-11,10.54,17.85,5.5,0.0,17.93,39.68033540059123,39.994118057384995
2004-10-12,10.54,18.45,3.92,0.23,16.82,39.68033540059123,39.994118057384995
2004-10-13,7.37,16.47,1.9,0.33,14.9,39.68033540059123,39.994118057384995
2004-10-14,8.15,16.74,0.15,0.03,12.84,39.68033540059123,39.994118057384995
2004-10-15,10.57,16.44,6.14,0.32,14.19,39.68033540059123,39.994118057384995
2004-10-16,10.89,16.87,6.41,0.1,12.45,39.68033540059123,39.994118057384995
2004-10-17,11.6,17.96,5.88,0.0,14.99,39.68033540059123,39.994118057384995
2004-10-18,12.78,19.42,7.4,0.0,15.62,39.68033540059123,39.994118057384995
2004-10-19,13.0,20.16,8.07,0.05,13.8,39.68033540059123,39.994118057384995
2004-10-20,12.28,19.26,8.02,0.22,15.05,39.68033540059123,39.994118057384995
2004-10-21,5.11,9.94,-2.07,5.06,8.95,39.68033540059123,39.994118057384995
2004-10-22,2.03,9.35,-2.65,0.02,13.6,39.68033540059123,39.994118057384995
2004-10-23,4.14,14.0,-4.36,0.01,16.3,39.68033540059123,39.994118057384995
2004-10-24,6.62,14.02,1.59,0.0,13.9,39.68033540059123,39.994118057384995
2004-10-25,8.66,16.01,3.47,0.0,14.9,39.68033540059123,39.994118057384995
2004-10-26,9.32,16.71,4.58,0.0,14.67,39.68033540059123,39.994118057384995
