date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,16.77,25.04,10.99,0.0,18.43,39.736501523216965,30.95086189300622
2004-10-02,14.38,22.72,8.03,0.0,19.14,39.736501523216965,30.95086189300622
2004-10-03,13.02,19.93,7.69,0.21,13.13,39.736501523216965,30.95086189300622
2004-10-04,12.28,19.53,6.5,0.01,15.18,39.736501523216965,30.95086189300622
2004-10-05,12.12,16.72,8.4,0.03,12.67,39.736501523216965,30.95086189300622
2004-10-06,12.17,20.49,4.81,1.07,15.69,39.736501523216965,30.95086189300622
2004-10-07,12.72,16.45,8.92,3.35,7.01,39.736501523216965,30.95086189300622
2004-10-08,11.86,15.97,8.81,6.57,9.16,39.736501523216965,30.95086189300622
2004-10-09,12.0,17.17,9.14,0.77,8.58,39.736501523216965,30.95086189300622
2004-10-10,13.8,21.5,6.69,0.0,17.46,39.736501523216965,30.95086189300622
2004-10-11,16.11,25.27,7.33,0.0,17.08,39.736501523216965,30.95086189300622
2004-10-12,13.9,20.41,9.45,0.47,9.95,39.736501523216965,30.95086189300622
2004-10-13,9.58,13.62,5.52,2.31,4.19,39.736501523216965,30.95086189300622
2004-10-14,9.88,18.69,2.52,0.0,15.18,39.736501523216965,30.95086189300622
2004-10-15,14.44,23.56,8.36,0.0,13.22,39.736501523216965,30.95086189300622
2004-10-16,15.97,23.48,9.84,0.0,14.12,39.736501523216965,30.95086189300622
2004-10-17,17.29,25.93,12.59,0.01,12.43,39.736501523216965,30.95086189300622
2004-10-18,17.55,26.49,11.44,0.0,15.69,39.736501523216965,30.95086189300622
2004-10-19,15.78,24.38,8.97,0.0,14.21,39.736501523216965,30.95086189300622
2004-10-20,15.37,23.33,10.55,0.24,11.43,39.736501523216965,30.95086189300622
2004-10-21,13.34,19.42,8.82,0.1,15.31,39.736501523216965,30.95086189300622
2004-10-22,12.84,20.41,7.07,0.0,14.38,39.736501523216965,30.95086189300622
2004-10-23,12.32,20.49,5.42,0.0,14.79,39.736501523216965,30.95086189300622
2004-10-24,12.9,21.42,6.63,0.0,14.79,39.736501523216965,30.95086189300622
2004-10-25,13.79,22.94,7.65,0.0,14.32,39.736501523216965,30.95086189300622
2004-10-26,14.23,22.92,7.86,0.0,14.32,39.736501523216965,30.95086189300622
2004-10-27,16.25,24.97,9.8,0.0,10.2,39.736501523216965,30.95086189300622
2004-10-28,15.57,23.5,8.77,0.0,12.73,39.736501523216965,30.95086189300622
2004-10-29,15.64,23.03,9.91,0.01,12.39,39.736501523216965,30.95086189300622
2004-10-30,15.02,22.37,7.84,0.0,12.72,39.736501523216965,30.95086189300622
2004-10-31,15.52,22.21,9.66,0.0,13.24,39.736501523216965,30.95086189300622
2004-11-01,15.13,22.3,9.08,0.0,13.4,39.736501523216965,30.95086189300622
2004-11-02,14.95,23.49,9.57,0.0,13.01,39.736501523216965,30.95086189300622
2004-11-03,11.76,19.16,7.58,0.0,12.55,39.736501523216965,30.95086189300622
2004-11-04,8.68,16.06,3.13,0.0,12.31,39.736501523216965,30.95086189300622
2004-11-05,5.76,15.54,-1.56,0.0,13.68,39.736501523216965,30.95086189300622
2004-11-06,8.03,16.98,0.04,0.02,11.1,39.736501523216965,30.95086189300622
2004-11-07,11.04,16.6,6.16,1.02,7.45,39.736501523216965,30.95086189300622
2004-11-08,12.09,17.91,7.04,0.02,9.54,39.736501523216965,30.95086189300622
2004-11-09,12.55,18.88,6.34,0.0,8.84,39.736501523216965,30.95086189300622
2004-11-10,12.65,17.73,8.17,0.04,8.46,39.736501523216965,30.95086189300622
2004-11-11,13.69,19.1,8.97,0.03,9.88,39.736501523216965,30.95086189300622
2004-11-12,13.47,19.85,8.7,0.0,10.94,39.736501523216965,30.95086189300622
2004-11-13,13.02,20.14,8.09,0.0,11.07,39.736501523216965,30.95086189300622
2004-11-14,13.22,22.49,6.57,0.78,7.57,39.736501523216965,30.95086189300622
2004-11-15,12.48,17.84,8.1,1.39,4.82,39.736501523216965,30.95086189300622
2004-11-16,10.06,15.7,7.06,4.3,7.5,39.736501523216965,30.95086189300622
2004-11-17,5.29,9.22,1.23,1.34,3.84,39.736501523216965,30.95086189300622
2004-11-18,2.99,9.11,-0.62,0.0,11.57,39.736501523216965,30.95086189300622
2004-11-19,4.19,14.19,-2.9,0.0,11.8,39.736501523216965,30.95086189300622
2004-11-20,5.26,12.07,-0.6,13.89,4.13,39.736501523216965,30.95086189300622
2004-11-21,-1.28,1.29,-3.83,1.96,7.5,39.736501523216965,30.95086189300622
2004-11-22,-2.86,-0.15,-4.96,0.52,3.95,39.736501523216965,30.95086189300622
2004-11-23,-3.02,1.58,-5.78,0.13,9.79,39.736501523216965,30.95086189300622
2004-11-24,-0.81,5.26,-6.28,2.46,4.35,39.736501523216965,30.95086189300622
2004-11-25,-2.86,-0.59,-4.41,3.66,3.43,39.736501523216965,30.95086189300622
2004-11-26,-4.48,-0.64,-8.01,0.83,5.01,39.736501523216965,30.95086189300622
2004-11-27,-4.9,0.91,-8.58,0.0,6.67,39.736501523216965,30.95086189300622
2004-11-28,-1.85,5.6,-7.34,0.0,9.3,39.736501523216965,30.95086189300622
2004-11-29,0.5,7.79,-3.35,0.0,9.99,39.736501523216965,30.95086189300622
2004-11-30,2.74,9.37,-1.31,0.09,7.92,39.736501523216965,30.95086189300622
2004-12-01,4.52,9.12,0.97,0.38,7.49,39.736501523216965,30.95086189300622
2004-12-02,4.18,10.76,1.26,0.0,8.92,39.736501523216965,30.95086189300622
2004-12-03,6.58,14.74,0.46,0.01,8.15,39.736501523216965,30.95086189300622
2004-12-04,6.45,15.37,1.56,0.0,6.05,39.736501523216965,30.95086189300622
2004-12-05,5.75,9.15,1.63,3.8,2.31,39.736501523216965,30.95086189300622
2004-12-06,2.58,8.22,-1.65,0.0,6.07,39.736501523216965,30.95086189300622
2004-12-07,0.7,3.34,-1.62,3.5,2.26,39.736501523216965,30.95086189300622
2004-12-08,-0.58,5.61,-4.58,0.07,9.95,39.736501523216965,30.95086189300622
2004-12-09,-0.69,6.29,-4.63,0.0,9.47,39.736501523216965,30.95086189300622
2004-12-10,-0.95,3.52,-3.92,0.0,8.41,39.736501523216965,30.95086189300622
2004-12-11,-1.91,2.67,-5.08,0.08,6.45,39.736501523216965,30.95086189300622
2004-12-12,-0.84,4.42,-3.28,0.0,10.0,39.736501523216965,30.95086189300622
2004-12-13,-0.01,6.32,-3.47,0.0,9.9,39.736501523216965,30.95086189300622
2004-12-14,-1.22,3.24,-5.04,0.1,4.26,39.736501523216965,30.95086189300622
2004-12-15,-3.38,-0.29,-5.09,0.1,7.87,39.736501523216965,30.95086189300622
2004-12-16,-5.05,-0.37,-8.21,0.0,10.1,39.736501523216965,30.95086189300622
2004-12-17,-4.23,4.12,-10.66,0.0,9.8,39.736501523216965,30.95086189300622
2004-12-18,-0.82,5.31,-6.18,0.0,6.57,39.736501523216965,30.95086189300622
2004-12-19,1.45,7.48,-0.93,0.27,6.44,39.736501523216965,30.95086189300622
2004-12-20,2.01,7.92,-1.03,1.08,4.58,39.736501523216965,30.95086189300622
