date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,13.43,22.5,8.27,5.84,14.66,40.47573179050651,38.60517800445841
2004-10-02,11.05,16.66,8.0,5.07,11.4,40.47573179050651,38.60517800445841
2004-10-03,8.01,12.05,4.4,2.74,9.31,40.47573179050651,38.60517800445841
2004-10-04,5.4,8.75,2.2,6.52,9.47,40.47573179050651,38.60517800445841
2004-10-05,5.23,11.11,1.06,2.52,14.2,40.47573179050651,38.60517800445841
2004-10-06,9.44,18.16,0.55,0.15,15.81,40.47573179050651,38.60517800445841
2004-10-07,11.92,21.17,4.22,0.0,16.47,40.47573179050651,38.60517800445841
2004-10-08,11.24,18.61,4.24,0.38,14.04,40.47573179050651,38.60517800445841
2004-10-09,9.33,14.07,5.21,3.01,10.79,40.47573179050651,38.60517800445841
2004-10-10,8.26,14.66,3.25,0.0,14.36,40.47573179050651,38.60517800445841
2004-10-11,9.51,18.29,2.19,0.0,17.35,40.47573179050651,38.60517800445841
2004-10-12,7.8,17.35,1.94,11.06,12.61,40.47573179050651,38.60517800445841
2004-10-13,0.32,3.15,-1.73,17.9,5.03,40.47573179050651,38.60517800445841
2004-10-14,5.14,12.87,-2.68,0.32,12.62,40.47573179050651,38.60517800445841
2004-10-15,8.49,15.49,2.74,0.05,15.21,40.47573179050651,38.60517800445841
2004-10-16,9.21,15.52,3.79,0.0,13.15,40.47573179050651,38.60517800445841
2004-10-17,10.04,17.29,5.35,0.0,14.77,40.47573179050651,38.60517800445841
2004-10-18,11.42,18.97,5.96,0.02,14.7,40.47573179050651,38.60517800445841
2004-10-19,11.97,19.89,5.46,0.15,13.27,40.47573179050651,38.60517800445841
2004-10-20,10.21,17.31,5.19,1.28,10.4,40.47573179050651,38.60517800445841
2004-10-21,4.34,7.7,-0.06,11.46,7.64,40.47573179050651,38.60517800445841
2004-10-22,1.88,6.89,-1.49,0.2,12.53,40.47573179050651,38.60517800445841
2004-10-23,4.08,12.41,-1.06,0.05,15.61,40.47573179050651,38.60517800445841
2004-10-24,6.02,15.28,-1.08,0.0,13.38,40.47573179050651,38.60517800445841
2004-10-25,6.89,14.73,0.68,0.0,14.58,40.47573179050651,38.60517800445841
2004-10-26,7.82,16.81,1.36,0.0,14.71,40.47573179050651,38.60517800445841
2004-10-27,9.12,17.42,3.15,0.0,11.38,40.47573179050651,38.60517800445841
2004-10-28,10.34,17.76,4.38,0.11,11.37,40.47573179050651,38.60517800445841
2004-10-29,10.39,16.9,6.67,0.36,10.0,40.47573179050651,38.60517800445841
2004-10-30,8.03,12.19,5.05,1.31,6.03,40.47573179050651,38.60517800445841
2004-10-31,8.03,13.25,5.02,0.62,10.98,40.47573179050651,38.60517800445841
2004-11-01,8.66,14.55,4.24,0.0,11.7,40.47573179050651,38.60517800445841
2004-11-02,8.32,14.88,4.17,0.09,11.58,40.47573179050651,38.60517800445841
2004-11-03,5.79,10.37,3.53,3.72,6.62,40.47573179050651,38.60517800445841
2004-11-04,0.39,4.14,-4.94,9.99,9.69,40.47573179050651,38.60517800445841
2004-11-05,0.66,8.8,-5.13,0.0,13.01,40.47573179050651,38.60517800445841
2004-11-06,2.4,10.88,-3.15,0.01,12.83,40.47573179050651,38.60517800445841
2004-11-07,3.53,10.34,-1.17,0.03,7.01,40.47573179050651,38.60517800445841
2004-11-08,4.72,11.59,0.47,0.58,9.13,40.47573179050651,38.60517800445841
2004-11-09,6.41,12.52,2.38,0.13,7.98,40.47573179050651,38.60517800445841
2004-11-10,6.67,12.13,3.05,0.0,8.56,40.47573179050651,38.60517800445841
2004-11-11,6.3,12.66,1.6,0.07,9.66,40.47573179050651,38.60517800445841
2004-11-12,5.54,12.92,1.5,0.0,9.51,40.47573179050651,38.60517800445841
2004-11-13,5.23,12.62,-0.46,0.0,10.82,40.47573179050651,38.60517800445841
2004-11-14,4.91,13.18,-0.89,0.0,11.76,40.47573179050651,38.60517800445841
2004-11-15,4.83,11.63,-0.5,0.27,7.71,40.47573179050651,38.60517800445841
2004-11-16,4.28,8.59,2.35,3.6,5.34,40.47573179050651,38.60517800445841
2004-11-17,0.72,3.13,-1.63,52.15,1.7,40.47573179050651,38.60517800445841
2004-11-18,-4.48,-1.82,-10.84,5.41,6.15,40.47573179050651,38.60517800445841
2004-11-19,-5.37,2.6,-11.11,0.01,10.55,40.47573179050651,38.60517800445841
2004-11-20,-0.46,3.47,-5.9,0.03,6.12,40.47573179050651,38.60517800445841
2004-11-21,-0.53,1.77,-5.39,38.37,1.25,40.47573179050651,38.60517800445841
2004-11-22,-6.68,-4.64,-8.14,24.56,2.15,40.47573179050651,38.60517800445841
2004-11-23,-9.52,-7.39,-13.18,1.46,4.56,40.47573179050651,38.60517800445841
2004-11-24,-10.09,-5.03,-15.93,0.0,3.91,40.47573179050651,38.60517800445841
2004-11-25,-7.05,-4.87,-8.76,4.39,0.94,40.47573179050651,38.60517800445841
2004-11-26,-6.64,-4.7,-7.95,17.43,0.71,40.47573179050651,38.60517800445841
2004-11-27,-8.75,-5.81,-11.21,1.52,4.56,40.47573179050651,38.60517800445841
2004-11-28,-9.65,-1.68,-15.23,0.03,7.19,40.47573179050651,38.60517800445841
2004-11-29,-8.84,-2.28,-14.03,0.0,6.71,40.47573179050651,38.60517800445841
2004-11-30,-8.1,-0.74,-13.2,0.04,7.86,40.47573179050651,38.60517800445841
2004-12-01,-6.35,-2.46,-10.19,6.39,2.95,40.47573179050651,38.60517800445841
2004-12-02,-7.86,-1.53,-12.3,0.0,7.36,40.47573179050651,38.60517800445841
2004-12-03,-6.49,0.22,-11.97,0.01,5.43,40.47573179050651,38.60517800445841
2004-12-04,-3.07,0.56,-7.47,1.64,6.68,40.47573179050651,38.60517800445841
2004-12-05,-2.0,0.12,-5.44,15.96,2.71,40.47573179050651,38.60517800445841
2004-12-06,-6.81,-2.31,-13.12,0.43,6.54,40.47573179050651,38.60517800445841
2004-12-07,-8.71,-2.93,-15.31,1.5,7.16,40.47573179050651,38.60517800445841
2004-12-08,-6.92,-2.57,-11.71,1.79,4.98,40.47573179050651,38.60517800445841
2004-12-09,-10.43,-3.93,-13.87,0.68,8.39,40.47573179050651,38.60517800445841
2004-12-10,-9.96,-5.04,-12.61,1.41,4.99,40.47573179050651,38.60517800445841
2004-12-11,-11.63,-7.5,-14.43,4.05,4.57,40.47573179050651,38.60517800445841
2004-12-12,-9.93,-6.7,-14.15,8.24,4.62,40.47573179050651,38.60517800445841
2004-12-13,-10.04,-4.14,-14.4,0.77,3.2,40.47573179050651,38.60517800445841
2004-12-14,-9.56,-5.51,-13.02,9.88,3.48,40.47573179050651,38.60517800445841
2004-12-15,-12.84,-9.47,-14.66,8.41,7.02,40.47573179050651,38.60517800445841
2004-12-16,-13.14,-9.61,-15.91,7.68,5.78,40.47573179050651,38.60517800445841
2004-12-17,-15.39,-8.72,-19.16,0.01,9.23,40.47573179050651,38.60517800445841
2004-12-18,-12.93,-5.71,-17.37,0.0,9.9,40.47573179050651,38.60517800445841
2004-12-19,-10.12,-5.98,-16.48,0.26,4.7,40.47573179050651,38.60517800445841
2004-12-20,-7.11,-2.89,-10.43,0.11,4.52,40.47573179050651,38.60517800445841
2004-12-21,-6.0,-1.45,-9.03,0.68,3.7,40.47573179050651,38.60517800445841
2004-12-22,-6.56,-0.42,-10.11,0.01,8.22,40.47573179050651,38.60517800445841
2004-12-23,-4.82,-1.37,-8.19,8.47,1.64,40.47573179050651,38.60517800445841
2004-12-24,-4.22,-0.95,-7.31,6.99,3.19,40.47573179050651,38.60517800445841
2004-12-25,-3.97,-0.06,-7.16,4.75,3.88,40.47573179050651,38.60517800445841
2004-12-26,-6.77,-0.04,-12.14,0.0,6.4,40.47573179050651,38.60517800445841
2004-12-27,-6.64,0.65,-13.92,0.0,8.29,40.47573179050651,38.60517800445841
2004-12-28,-2.76,2.29,-6.61,0.0,7.18,40.47573179050651,38.60517800445841
2004-12-29,-0.94,1.69,-5.0,0.08,4.33,40.47573179050651,38.60517800445841
2004-12-30,-2.11,1.3,-5.65,0.0,7.45,40.47573179050651,38.60517800445841
2004-12-31,-3.95,0.76,-7.91,0.0,6.57,40.47573179050651,38.60517800445841
2005-01-01,-4.87,1.14,-9.35,0.0,7.67,40.47573179050651,38.60517800445841
2005-01-02,-3.6,-0.87,-5.18,10.68,1.94,40.47573179050651,38.60517800445841
2005-01-03,-6.36,-3.57,-10.54,11.17,4.92,40.47573179050651,38.60517800445841
2005-01-04,-9.92,-3.92,-14.44,0.21,4.98,40.47573179050651,38.60517800445841
2005-01-05,-8.94,-5.54,-13.05,2.65,6.99,40.47573179050651,38.60517800445841
2005-01-06,-9.39,-4.15,-12.98,0.41,4.29,40.47573179050651,38.60517800445841
2005-01-07,-8.15,-3.24,-12.52,0.05,5.97,40.47573179050651,38.60517800445841
2005-01-08,-8.4,-2.36,-12.39,0.0,7.96,40.47573179050651,38.60517800445841
2005-01-09,-9.93,-2.39,-14.99,0.0,9.9,40.47573179050651,38.60517800445841
2005-01-10,-7.5,-2.57,-12.15,1.29,7.12,40.47573179050651,38.60517800445841
2005-01-11,-6.51,-3.42,-9.04,2.06,4.68,40.47573179050651,38.60517800445841
2005-01-12,-5.17,0.15,-10.07,0.0,5.0,40.47573179050651,38.60517800445841
2005-01-13,-7.08,-0.1,-12.53,0.0,9.63,40.47573179050651,38.60517800445841
2005-01-14,-7.7,0.02,-12.51,0.0,10.2,40.47573179050651,38.60517800445841
2005-01-15,-6.92,-1.21,-10.71,0.0,7.32,40.47573179050651,38.60517800445841
2005-01-16,-7.02,-1.26,-9.95,0.0,7.79,40.47573179050651,38.60517800445841
2005-01-17,-7.16,-0.67,-10.94,0.0,8.0,40.47573179050651,38.60517800445841
2005-01-18,-5.75,-0.71,-9.5,0.02,7.56,40.47573179050651,38.60517800445841
2005-01-19,-8.64,-1.9,-12.93,0.12,9.61,40.47573179050651,38.60517800445841
2005-01-20,-8.01,-1.56,-12.82,0.0,8.84,40.47573179050651,38.60517800445841
2005-01-21,-6.31,-1.04,-13.18,0.01,8.01,40.47573179050651,38.60517800445841
2005-01-22,-3.62,-0.22,-6.41,0.06,6.01,40.47573179050651,38.60517800445841
2005-01-23,-5.65,-1.03,-9.89,3.75,4.13,40.47573179050651,38.60517800445841
2005-01-24,-8.42,-5.91,-12.22,8.36,4.71,40.47573179050651,38.60517800445841
2005-01-25,-10.73,-3.92,-17.35,0.04,8.81,40.47573179050651,38.60517800445841
2005-01-26,-7.37,-1.89,-10.83,0.0,6.91,40.47573179050651,38.60517800445841
2005-01-27,-7.04,-0.99,-10.85,0.0,8.71,40.47573179050651,38.60517800445841
2005-01-28,-4.42,0.66,-10.73,0.21,3.5,40.47573179050651,38.60517800445841
2005-01-29,-1.37,1.03,-3.98,0.16,6.32,40.47573179050651,38.60517800445841
2005-01-30,-1.62,0.08,-3.72,4.26,3.19,40.47573179050651,38.60517800445841
2005-01-31,-4.85,-1.55,-9.45,17.94,3.92,40.47573179050651,38.60517800445841
2005-02-01,-8.36,-2.36,-13.7,2.41,4.76,40.47573179050651,38.60517800445841
2005-02-02,-9.16,-2.66,-14.48,0.48,7.58,40.47573179050651,38.60517800445841
2005-02-03,-9.42,-2.44,-13.66,0.0,10.97,40.47573179050651,38.60517800445841
2005-02-04,-6.79,-0.72,-12.42,0.38,8.22,40.47573179050651,38.60517800445841
2005-02-05,-6.76,-2.57,-10.47,4.36,6.66,40.47573179050651,38.60517800445841
2005-02-06,-10.74,-6.04,-13.93,1.7,5.6,40.47573179050651,38.60517800445841
