date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,16.87,24.96,10.75,0.0,20.94,37.344066050040375,44.105891851042195
2004-10-02,14.4,21.91,9.32,0.0,19.91,37.344066050040375,44.105891851042195
2004-10-03,12.37,19.55,7.1,0.0,19.1,37.344066050040375,44.105891851042195
2004-10-04,11.46,18.74,6.07,0.03,19.09,37.344066050040375,44.105891851042195
2004-10-05,13.02,21.02,6.86,0.03,18.72,37.344066050040375,44.105891851042195
2004-10-06,12.98,22.15,4.48,0.0,19.08,37.344066050040375,44.105891851042195
2004-10-07,14.16,22.38,7.06,0.0,17.41,37.344066050040375,44.105891851042195
2004-10-08,15.18,21.35,9.8,0.02,17.32,37.344066050040375,44.105891851042195
2004-10-09,14.69,22.32,8.5,0.02,12.84,37.344066050040375,44.105891851042195
2004-10-10,10.92,18.87,5.84,0.04,12.87,37.344066050040375,44.105891851042195
2004-10-11,11.96,20.25,6.1,0.09,18.45,37.344066050040375,44.105891851042195
2004-10-12,12.3,20.51,7.09,0.11,15.59,37.344066050040375,44.105891851042195
2004-10-13,9.36,14.22,6.1,1.17,10.03,37.344066050040375,44.105891851042195
2004-10-14,10.14,16.18,5.64,0.43,13.9,37.344066050040375,44.105891851042195
2004-10-15,10.97,18.8,5.12,0.0,16.07,37.344066050040375,44.105891851042195
2004-10-16,11.23,18.78,4.44,0.05,15.85,37.344066050040375,44.105891851042195
2004-10-17,12.16,18.92,6.88,0.0,15.19,37.344066050040375,44.105891851042195
2004-10-18,12.05,18.7,6.68,0.0,15.8,37.344066050040375,44.105891851042195
2004-10-19,12.11,19.62,6.02,0.0,16.77,37.344066050040375,44.105891851042195
2004-10-20,11.76,19.61,6.6,0.0,17.05,37.344066050040375,44.105891851042195
2004-10-21,9.17,15.47,4.14,7.78,10.09,37.344066050040375,44.105891851042195
2004-10-22,7.05,13.43,1.84,1.54,14.57,37.344066050040375,44.105891851042195
2004-10-23,7.11,14.65,2.22,0.0,16.26,37.344066050040375,44.105891851042195
2004-10-24,7.41,16.34,1.15,0.0,17.22,37.344066050040375,44.105891851042195
2004-10-25,8.76,16.16,3.42,0.0,15.04,37.344066050040375,44.105891851042195
2004-10-26,9.38,17.61,2.85,0.0,16.1,37.344066050040375,44.105891851042195
2004-10-27,9.6,18.35,3.12,0.0,16.19,37.344066050040375,44.105891851042195
2004-10-28,9.48,17.69,3.41,0.0,14.01,37.344066050040375,44.105891851042195
2004-10-29,10.29,17.13,4.12,0.02,12.96,37.344066050040375,44.105891851042195
2004-10-30,7.81,10.07,4.99,0.35,7.95,37.344066050040375,44.105891851042195
2004-10-31,6.6,11.16,2.15,2.73,7.1,37.344066050040375,44.105891851042195
2004-11-01,7.0,12.55,3.43,4.31,8.5,37.344066050040375,44.105891851042195
2004-11-02,6.53,10.84,2.28,0.43,4.41,37.344066050040375,44.105891851042195
2004-11-03,6.69,12.11,3.56,1.25,9.88,37.344066050040375,44.105891851042195
2004-11-04,5.58,10.14,2.76,5.04,3.67,37.344066050040375,44.105891851042195
2004-11-05,4.95,9.11,2.78,2.48,10.03,37.344066050040375,44.105891851042195
2004-11-06,4.82,10.99,0.44,0.08,10.97,37.344066050040375,44.105891851042195
2004-11-07,4.3,7.72,1.42,2.67,7.88,37.344066050040375,44.105891851042195
2004-11-08,5.83,10.5,2.63,3.86,3.42,37.344066050040375,44.105891851042195
2004-11-09,4.96,10.07,1.99,1.31,3.05,37.344066050040375,44.105891851042195
2004-11-10,3.89,7.79,0.87,2.4,8.97,37.344066050040375,44.105891851042195
2004-11-11,5.2,11.18,1.09,0.65,9.67,37.344066050040375,44.105891851042195
2004-11-12,5.57,10.67,2.06,1.33,10.87,37.344066050040375,44.105891851042195
2004-11-13,4.93,10.44,0.48,0.0,11.64,37.344066050040375,44.105891851042195
2004-11-14,5.12,11.62,0.56,0.0,12.21,37.344066050040375,44.105891851042195
2004-11-15,4.39,11.71,0.27,0.0,12.94,37.344066050040375,44.105891851042195
2004-11-16,3.08,9.14,0.25,1.58,4.42,37.344066050040375,44.105891851042195
2004-11-17,2.12,4.85,0.27,8.13,4.1,37.344066050040375,44.105891851042195
2004-11-18,0.89,3.98,-3.62,9.98,3.49,37.344066050040375,44.105891851042195
2004-11-19,-0.37,6.65,-5.02,1.27,9.15,37.344066050040375,44.105891851042195
2004-11-20,-1.46,3.99,-4.63,0.0,10.35,37.344066050040375,44.105891851042195
2004-11-21,-1.31,4.33,-5.24,0.05,8.75,37.344066050040375,44.105891851042195
2004-11-22,-0.56,2.55,-2.95,5.17,4.62,37.344066050040375,44.105891851042195
2004-11-23,-5.31,-2.24,-7.65,3.51,2.87,37.344066050040375,44.105891851042195
2004-11-24,-7.59,-3.36,-11.4,0.75,6.69,37.344066050040375,44.105891851042195
2004-11-25,-6.78,-0.11,-11.32,0.0,9.33,37.344066050040375,44.105891851042195
2004-11-26,-5.45,-1.1,-8.27,1.81,6.96,37.344066050040375,44.105891851042195
2004-11-27,-6.3,-3.11,-10.5,3.0,6.38,37.344066050040375,44.105891851042195
2004-11-28,-8.12,-0.86,-12.42,0.31,10.65,37.344066050040375,44.105891851042195
2004-11-29,-6.21,1.39,-11.87,0.0,10.92,37.344066050040375,44.105891851042195
2004-11-30,-4.57,2.89,-9.79,0.0,11.91,37.344066050040375,44.105891851042195
2004-12-01,-4.03,2.27,-7.95,0.6,10.61,37.344066050040375,44.105891851042195
2004-12-02,-6.83,-0.91,-11.95,0.12,10.83,37.344066050040375,44.105891851042195
2004-12-03,-3.14,4.78,-9.54,0.0,10.15,37.344066050040375,44.105891851042195
2004-12-04,-1.72,4.8,-6.84,0.0,11.08,37.344066050040375,44.105891851042195
2004-12-05,-1.84,4.04,-6.18,0.53,10.55,37.344066050040375,44.105891851042195
2004-12-06,-2.19,1.73,-4.67,0.93,6.98,37.344066050040375,44.105891851042195
2004-12-07,-2.72,2.15,-5.67,0.0,8.02,37.344066050040375,44.105891851042195
2004-12-08,-3.73,0.35,-7.02,0.0,7.49,37.344066050040375,44.105891851042195
2004-12-09,-4.26,2.76,-10.02,0.0,10.29,37.344066050040375,44.105891851042195
2004-12-10,-5.9,0.36,-9.85,0.0,9.85,37.344066050040375,44.105891851042195
2004-12-11,-6.7,-1.65,-10.89,1.31,7.95,37.344066050040375,44.105891851042195
2004-12-12,-6.39,-1.89,-10.19,4.2,6.35,37.344066050040375,44.105891851042195
2004-12-13,-7.69,-1.33,-12.27,0.0,9.65,37.344066050040375,44.105891851042195
2004-12-14,-8.19,-2.19,-12.66,2.04,8.51,37.344066050040375,44.105891851042195
2004-12-15,-8.77,-5.29,-11.26,9.04,6.59,37.344066050040375,44.105891851042195
2004-12-16,-10.83,-6.87,-15.28,3.16,4.23,37.344066050040375,44.105891851042195
2004-12-17,-14.06,-9.08,-17.69,0.29,8.96,37.344066050040375,44.105891851042195
2004-12-18,-12.2,-4.1,-17.81,0.0,10.06,37.344066050040375,44.105891851042195
2004-12-19,-8.15,-3.93,-11.04,0.0,5.64,37.344066050040375,44.105891851042195
2004-12-20,-9.25,-2.35,-13.57,0.0,7.45,37.344066050040375,44.105891851042195
2004-12-21,-6.25,0.7,-11.75,0.0,9.54,37.344066050040375,44.105891851042195
2004-12-22,-5.56,0.77,-10.39,0.0,10.37,37.344066050040375,44.105891851042195
2004-12-23,-6.29,0.18,-10.61,0.0,8.18,37.344066050040375,44.105891851042195
2004-12-24,-5.34,0.19,-9.42,0.02,7.23,37.344066050040375,44.105891851042195
2004-12-25,-4.42,-0.33,-7.04,0.92,5.61,37.344066050040375,44.105891851042195
2004-12-26,-5.12,0.13,-9.83,0.49,5.35,37.344066050040375,44.105891851042195
2004-12-27,-5.97,2.14,-11.77,0.0,10.22,37.344066050040375,44.105891851042195
2004-12-28,-3.41,3.68,-8.56,0.0,10.13,37.344066050040375,44.105891851042195
2004-12-29,-1.62,6.06,-6.52,0.0,10.36,37.344066050040375,44.105891851042195
2004-12-30,-0.64,5.48,-3.67,0.0,9.83,37.344066050040375,44.105891851042195
2004-12-31,0.74,7.26,-2.75,0.0,10.89,37.344066050040375,44.105891851042195
2005-01-01,0.39,6.9,-4.16,0.0,11.09,37.344066050040375,44.105891851042195
2005-01-02,-0.35,3.94,-3.77,0.37,8.24,37.344066050040375,44.105891851042195
2005-01-03,-3.86,-1.58,-5.69,1.59,6.1,37.344066050040375,44.105891851042195
2005-01-04,-5.93,-1.65,-8.8,2.11,8.31,37.344066050040375,44.105891851042195
2005-01-05,-4.79,-0.57,-7.93,2.06,7.52,37.344066050040375,44.105891851042195
2005-01-06,-4.42,-0.41,-9.14,3.1,6.14,37.344066050040375,44.105891851042195
2005-01-07,-6.02,-0.62,-9.86,0.02,8.32,37.344066050040375,44.105891851042195
2005-01-08,-5.4,-0.96,-9.99,0.07,7.72,37.344066050040375,44.105891851042195
2005-01-09,-7.02,0.44,-12.06,0.0,10.63,37.344066050040375,44.105891851042195
2005-01-10,-7.32,-0.03,-12.8,0.01,10.65,37.344066050040375,44.105891851042195
2005-01-11,-8.52,-4.5,-13.37,0.62,10.39,37.344066050040375,44.105891851042195
2005-01-12,-6.47,1.81,-13.64,0.01,11.33,37.344066050040375,44.105891851042195
2005-01-13,-4.76,1.95,-9.75,0.0,11.73,37.344066050040375,44.105891851042195
2005-01-14,-5.14,1.39,-9.46,0.0,11.7,37.344066050040375,44.105891851042195
2005-01-15,-6.09,0.66,-11.01,0.0,11.68,37.344066050040375,44.105891851042195
2005-01-16,-4.55,1.43,-9.36,0.0,10.83,37.344066050040375,44.105891851042195
2005-01-17,-3.34,1.04,-6.66,0.07,10.27,37.344066050040375,44.105891851042195
2005-01-18,-3.88,0.6,-7.57,3.34,6.25,37.344066050040375,44.105891851042195
2005-01-19,-5.66,-2.59,-9.46,2.27,9.43,37.344066050040375,44.105891851042195
2005-01-20,-7.25,-4.02,-9.79,1.18,6.28,37.344066050040375,44.105891851042195
2005-01-21,-6.69,-0.92,-10.18,0.6,10.36,37.344066050040375,44.105891851042195
2005-01-22,-7.15,-3.95,-10.58,6.02,4.26,37.344066050040375,44.105891851042195
2005-01-23,-6.48,-1.11,-9.57,2.23,11.84,37.344066050040375,44.105891851042195
2005-01-24,-8.39,-5.39,-10.92,0.58,5.07,37.344066050040375,44.105891851042195
2005-01-25,-8.31,-1.61,-13.24,0.01,12.65,37.344066050040375,44.105891851042195
2005-01-26,-5.44,0.37,-10.36,0.0,10.5,37.344066050040375,44.105891851042195
2005-01-27,-3.33,2.47,-7.67,0.0,12.64,37.344066050040375,44.105891851042195
2005-01-28,-2.59,4.98,-8.3,0.0,12.05,37.344066050040375,44.105891851042195
2005-01-29,-1.65,5.27,-5.63,0.0,9.16,37.344066050040375,44.105891851042195
2005-01-30,-2.25,2.41,-5.34,0.38,7.1,37.344066050040375,44.105891851042195
2005-01-31,-2.28,2.33,-5.48,0.52,7.85,37.344066050040375,44.105891851042195
2005-02-01,-3.58,-0.82,-5.5,2.29,6.97,37.344066050040375,44.105891851042195
2005-02-02,-5.01,-0.89,-7.97,1.08,12.01,37.344066050040375,44.105891851042195
2005-02-03,-5.58,-1.05,-9.54,0.02,11.99,37.344066050040375,44.105891851042195
2005-02-04,-5.09,-1.75,-7.93,0.14,10.49,37.344066050040375,44.105891851042195
2005-02-05,-5.7,-2.25,-7.95,1.7,8.51,37.344066050040375,44.105891851042195
2005-02-06,-6.81,-4.07,-11.13,9.55,7.54,37.344066050040375,44.105891851042195
2005-02-07,-11.11,-7.27,-14.45,3.25,9.55,37.344066050040375,44.105891851042195
2005-02-08,-11.84,-8.91,-14.76,1.32,8.39,37.344066050040375,44.105891851042195
2005-02-09,-11.28,-8.59,-14.5,1.33,10.11,37.344066050040375,44.105891851042195
2005-02-10,-13.79,-9.12,-19.2,0.11,14.33,37.344066050040375,44.105891851042195
2005-02-11,-12.82,-8.47,-15.7,0.28,13.26,37.344066050040375,44.105891851042195
2005-02-12,-13.0,-9.26,-16.3,0.01,14.51,37.344066050040375,44.105891851042195
2005-02-13,-12.97,-7.3,-17.61,0.03,15.7,37.344066050040375,44.105891851042195
2005-02-14,-10.67,-2.28,-18.24,0.01,15.63,37.344066050040375,44.105891851042195
2005-02-15,-5.1,2.48,-11.65,0.0,15.47,37.344066050040375,44.105891851042195
