date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,25.55,32.66,19.99,0.0,19.35,36.56504212030138,36.511436630444585
2004-10-02,24.33,31.11,20.07,0.0,19.64,36.56504212030138,36.511436630444585
2004-10-03,23.48,29.19,19.72,0.9,18.06,36.56504212030138,36.511436630444585
2004-10-04,23.4,29.23,19.45,0.22,17.38,36.56504212030138,36.511436630444585
2004-10-05,23.61,31.71,15.78,0.0,19.04,36.56504212030138,36.511436630444585
2004-10-06,22.99,30.8,17.24,0.07,14.6,36.56504212030138,36.511436630444585
2004-10-07,22.19,27.73,18.86,0.0,16.4,36.56504212030138,36.511436630444585
2004-10-08,21.34,26.04,17.85,0.17,16.99,36.56504212030138,36.511436630444585
2004-10-09,20.46,24.93,17.43,2.19,15.96,36.56504212030138,36.511436630444585
2004-10-10,20.88,25.66,17.75,5.08,17.33,36.56504212030138,36.511436630444585
2004-10-11,22.82,30.31,16.6,0.0,18.08,36.56504212030138,36.511436630444585
2004-10-12,24.54,32.62,17.38,0.0,16.51,36.56504212030138,36.511436630444585
2004-10-13,23.42,29.98,18.39,0.1,14.75,36.56504212030138,36.511436630444585
2004-10-14,22.83,29.62,18.1,0.2,16.45,36.56504212030138,36.511436630444585
2004-10-15,23.76,31.11,17.09,0.0,15.71,36.56504212030138,36.511436630444585
2004-10-16,24.02,30.19,18.69,0.0,14.54,36.56504212030138,36.511436630444585
2004-10-17,24.37,31.12,17.81,0.0,15.62,36.56504212030138,36.511436630444585
2004-10-18,25.55,32.74,19.46,0.0,16.11,36.56504212030138,36.511436630444585
2004-10-19,25.35,32.96,19.25,0.0,16.31,36.56504212030138,36.511436630444585
2004-10-20,23.37,29.65,18.56,0.07,16.38,36.56504212030138,36.511436630444585
2004-10-21,21.64,27.32,17.04,2.97,11.72,36.56504212030138,36.511436630444585
2004-10-22,19.88,25.05,15.61,0.0,14.7,36.56504212030138,36.511436630444585
2004-10-23,19.77,27.13,13.66,0.0,16.32,36.56504212030138,36.511436630444585
2004-10-24,19.8,28.03,14.12,0.0,15.1,36.56504212030138,36.511436630444585
2004-10-25,20.5,29.37,14.15,0.0,15.49,36.56504212030138,36.511436630444585
2004-10-26,21.89,30.19,15.27,0.0,14.44,36.56504212030138,36.511436630444585
2004-10-27,22.65,29.58,18.46,0.0,6.63,36.56504212030138,36.511436630444585
2004-10-28,24.12,32.26,17.47,0.05,13.13,36.56504212030138,36.511436630444585
2004-10-29,21.66,26.4,17.95,0.68,8.75,36.56504212030138,36.511436630444585
2004-10-30,19.73,23.96,15.99,0.01,11.45,36.56504212030138,36.511436630444585
2004-10-31,19.88,26.07,15.05,0.0,12.41,36.56504212030138,36.511436630444585
2004-11-01,20.14,26.71,15.4,0.01,12.23,36.56504212030138,36.511436630444585
2004-11-02,20.82,27.34,15.3,0.0,13.94,36.56504212030138,36.511436630444585
2004-11-03,20.68,27.44,14.59,0.0,13.96,36.56504212030138,36.511436630444585
2004-11-04,19.69,26.81,13.84,0.11,13.08,36.56504212030138,36.511436630444585
2004-11-05,19.13,25.43,14.78,0.01,13.05,36.56504212030138,36.511436630444585
2004-11-06,17.16,21.23,14.21,4.54,5.09,36.56504212030138,36.511436630444585
2004-11-07,17.13,22.56,13.39,0.44,5.14,36.56504212030138,36.511436630444585
2004-11-08,17.8,23.46,13.4,0.64,8.32,36.56504212030138,36.511436630444585
2004-11-09,17.7,21.36,14.8,2.07,5.41,36.56504212030138,36.511436630444585
2004-11-10,16.58,20.82,13.61,2.22,7.75,36.56504212030138,36.511436630444585
2004-11-11,16.11,21.34,12.9,0.18,7.72,36.56504212030138,36.511436630444585
2004-11-12,17.44,23.98,12.87,0.18,12.61,36.56504212030138,36.511436630444585
2004-11-13,17.36,24.18,11.76,0.0,13.14,36.56504212030138,36.511436630444585
2004-11-14,16.92,24.54,11.39,0.0,12.3,36.56504212030138,36.511436630444585
2004-11-15,14.93,19.27,11.83,0.0,4.85,36.56504212030138,36.511436630444585
2004-11-16,17.17,24.08,11.86,3.73,9.78,36.56504212030138,36.511436630444585
2004-11-17,15.85,19.06,10.98,32.91,4.66,36.56504212030138,36.511436630444585
2004-11-18,13.37,17.63,8.77,0.02,13.11,36.56504212030138,36.511436630444585
2004-11-19,12.8,18.42,6.66,0.0,13.04,36.56504212030138,36.511436630444585
2004-11-20,13.06,18.54,7.59,4.82,7.53,36.56504212030138,36.511436630444585
2004-11-21,16.02,17.66,14.0,47.36,1.81,36.56504212030138,36.511436630444585
2004-11-22,9.92,13.41,5.21,2.12,6.35,36.56504212030138,36.511436630444585
2004-11-23,6.29,11.04,2.68,0.0,12.42,36.56504212030138,36.511436630444585
2004-11-24,7.78,12.6,1.51,0.09,11.62,36.56504212030138,36.511436630444585
2004-11-25,11.09,13.67,7.9,31.66,2.34,36.56504212030138,36.511436630444585
2004-11-26,8.74,12.59,5.52,24.49,4.04,36.56504212030138,36.511436630444585
2004-11-27,5.43,10.08,1.26,0.07,12.32,36.56504212030138,36.511436630444585
2004-11-28,6.05,11.76,0.5,0.0,11.16,36.56504212030138,36.511436630444585
2004-11-29,5.9,11.05,2.6,0.0,10.51,36.56504212030138,36.511436630444585
2004-11-30,5.89,12.42,0.93,0.0,11.7,36.56504212030138,36.511436630444585
2004-12-01,8.2,13.92,2.33,0.0,8.79,36.56504212030138,36.511436630444585
2004-12-02,9.08,14.99,3.43,0.0,11.89,36.56504212030138,36.511436630444585
2004-12-03,6.58,12.47,2.4,0.0,10.09,36.56504212030138,36.511436630444585
2004-12-04,7.59,14.87,2.41,0.0,10.22,36.56504212030138,36.511436630444585
2004-12-05,8.73,14.46,3.5,0.18,9.12,36.56504212030138,36.511436630444585
2004-12-06,8.76,13.64,4.95,1.31,5.46,36.56504212030138,36.511436630444585
2004-12-07,8.12,13.48,4.59,0.87,7.64,36.56504212030138,36.511436630444585
2004-12-08,6.79,11.18,4.41,4.96,6.3,36.56504212030138,36.511436630444585
2004-12-09,8.98,13.49,5.01,0.0,11.05,36.56504212030138,36.511436630444585
2004-12-10,7.35,11.75,3.21,0.0,8.59,36.56504212030138,36.511436630444585
2004-12-11,4.05,6.29,1.16,0.0,3.5,36.56504212030138,36.511436630444585
2004-12-12,4.85,10.66,0.65,0.0,11.61,36.56504212030138,36.511436630444585
2004-12-13,5.46,11.02,-0.01,0.0,11.45,36.56504212030138,36.511436630444585
2004-12-14,6.13,11.68,0.54,0.0,10.66,36.56504212030138,36.511436630444585
2004-12-15,2.38,7.62,-1.74,0.0,7.52,36.56504212030138,36.511436630444585
2004-12-16,1.01,6.32,-1.98,0.0,11.59,36.56504212030138,36.511436630444585
2004-12-17,2.34,6.94,-0.87,0.0,11.32,36.56504212030138,36.511436630444585
2004-12-18,1.84,5.91,-1.17,0.0,8.08,36.56504212030138,36.511436630444585
2004-12-19,2.55,6.41,0.71,0.01,5.41,36.56504212030138,36.511436630444585
2004-12-20,2.11,3.32,0.8,1.03,2.61,36.56504212030138,36.511436630444585
2004-12-21,5.13,10.65,2.64,0.32,8.92,36.56504212030138,36.511436630444585
2004-12-22,6.45,13.02,1.32,0.04,9.15,36.56504212030138,36.511436630444585
2004-12-23,7.22,8.92,4.97,15.87,3.04,36.56504212030138,36.511436630444585
2004-12-24,6.02,8.06,4.24,14.36,1.61,36.56504212030138,36.511436630444585
2004-12-25,6.86,10.17,5.55,2.51,3.98,36.56504212030138,36.511436630444585
2004-12-26,8.74,14.15,4.95,0.0,10.31,36.56504212030138,36.511436630444585
2004-12-27,7.9,12.8,2.49,0.0,9.12,36.56504212030138,36.511436630444585
2004-12-28,10.0,13.52,6.26,0.0,9.36,36.56504212030138,36.511436630444585
2004-12-29,7.53,12.21,3.41,0.0,5.79,36.56504212030138,36.511436630444585
2004-12-30,7.73,11.93,5.22,0.0,9.0,36.56504212030138,36.511436630444585
2004-12-31,7.89,15.04,4.31,0.0,11.18,36.56504212030138,36.511436630444585
2005-01-01,7.77,13.03,4.06,0.0,7.37,36.56504212030138,36.511436630444585
2005-01-02,7.64,11.37,3.56,2.36,4.52,36.56504212030138,36.511436630444585
2005-01-03,8.99,13.49,5.77,0.0,9.97,36.56504212030138,36.511436630444585
2005-01-04,6.85,10.7,2.33,0.77,3.87,36.56504212030138,36.511436630444585
2005-01-05,6.65,11.52,3.53,5.94,3.76,36.56504212030138,36.511436630444585
2005-01-06,6.88,11.26,2.28,0.0,11.74,36.56504212030138,36.511436630444585
2005-01-07,6.61,11.49,0.81,0.7,10.03,36.56504212030138,36.511436630444585
2005-01-08,5.23,11.54,1.15,0.0,11.34,36.56504212030138,36.511436630444585
2005-01-09,5.45,12.0,0.45,0.0,11.24,36.56504212030138,36.511436630444585
2005-01-10,7.02,12.92,2.08,0.0,11.26,36.56504212030138,36.511436630444585
2005-01-11,8.27,12.46,4.31,0.0,11.81,36.56504212030138,36.511436630444585
2005-01-12,8.98,14.49,2.94,0.0,11.61,36.56504212030138,36.511436630444585
2005-01-13,8.36,15.33,2.68,0.0,11.7,36.56504212030138,36.511436630444585
2005-01-14,7.55,13.54,3.04,0.0,10.92,36.56504212030138,36.511436630444585
2005-01-15,6.51,11.18,3.92,0.55,6.97,36.56504212030138,36.511436630444585
2005-01-16,5.49,9.03,3.14,2.07,4.9,36.56504212030138,36.511436630444585
2005-01-17,6.53,12.09,2.48,0.59,8.42,36.56504212030138,36.511436630444585
2005-01-18,6.19,11.56,3.6,1.07,6.83,36.56504212030138,36.511436630444585
2005-01-19,4.95,9.65,2.44,1.45,8.22,36.56504212030138,36.511436630444585
2005-01-20,5.61,11.81,1.39,0.86,7.95,36.56504212030138,36.511436630444585
2005-01-21,6.24,10.03,3.53,0.3,2.8,36.56504212030138,36.511436630444585
2005-01-22,5.43,9.28,1.91,2.25,4.22,36.56504212030138,36.511436630444585
2005-01-23,7.6,12.38,1.36,25.99,3.65,36.56504212030138,36.511436630444585
2005-01-24,5.92,10.0,2.51,1.06,13.39,36.56504212030138,36.511436630444585
2005-01-25,5.64,11.77,0.34,0.0,10.97,36.56504212030138,36.511436630444585
2005-01-26,5.01,10.71,1.69,0.0,11.35,36.56504212030138,36.511436630444585
2005-01-27,4.39,9.35,1.01,0.0,7.61,36.56504212030138,36.511436630444585
2005-01-28,7.07,13.31,2.17,0.0,8.74,36.56504212030138,36.511436630444585
2005-01-29,8.09,13.18,5.65,0.0,7.05,36.56504212030138,36.511436630444585
2005-01-30,10.35,15.88,5.87,9.51,2.4,36.56504212030138,36.511436630444585
2005-01-31,8.66,13.13,4.84,3.38,5.88,36.56504212030138,36.511436630444585
2005-02-01,9.61,11.8,7.49,11.4,6.4,36.56504212030138,36.511436630444585
2005-02-02,8.15,10.83,6.71,4.42,6.61,36.56504212030138,36.511436630444585
2005-02-03,7.16,9.73,5.53,11.99,5.74,36.56504212030138,36.511436630444585
2005-02-04,6.72,8.85,5.5,13.15,3.15,36.56504212030138,36.511436630444585
2005-02-05,7.25,9.87,5.15,2.99,9.35,36.56504212030138,36.511436630444585
2005-02-06,6.8,10.31,4.85,1.39,8.77,36.56504212030138,36.511436630444585
2005-02-07,5.29,8.22,1.9,1.28,8.75,36.56504212030138,36.511436630444585
2005-02-08,3.0,8.83,-2.21,0.04,13.13,36.56504212030138,36.511436630444585
2005-02-09,1.25,7.2,-2.75,0.0,16.05,36.56504212030138,36.511436630444585
2005-02-10,2.82,7.03,-1.22,0.0,16.11,36.56504212030138,36.511436630444585
2005-02-11,2.06,6.23,-1.55,0.19,13.37,36.56504212030138,36.511436630444585
2005-02-12,1.37,6.95,-2.13,0.03,10.14,36.56504212030138,36.511436630444585
2005-02-13,1.96,7.14,-1.76,0.05,9.65,36.56504212030138,36.511436630444585
2005-02-14,3.95,10.23,-0.88,0.02,8.24,36.56504212030138,36.511436630444585
2005-02-15,5.52,12.4,0.23,0.0,15.97,36.56504212030138,36.511436630444585
2005-02-16,6.0,10.33,3.39,0.0,8.1,36.56504212030138,36.511436630444585
