date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,18.43,25.09,11.84,0.0,20.05,37.970892368839436,31.293675207059085
2004-10-02,14.77,23.03,7.93,0.0,19.49,37.970892368839436,31.293675207059085
2004-10-03,12.6,19.58,6.71,0.0,19.33,37.970892368839436,31.293675207059085
2004-10-04,11.98,19.03,6.32,0.0,17.17,37.970892368839436,31.293675207059085
2004-10-05,12.39,18.64,6.58,0.1,16.19,37.970892368839436,31.293675207059085
2004-10-06,10.52,16.6,5.22,1.8,8.39,37.970892368839436,31.293675207059085
2004-10-07,10.61,13.9,8.36,8.89,8.05,37.970892368839436,31.293675207059085
2004-10-08,10.16,13.7,8.22,4.6,8.26,37.970892368839436,31.293675207059085
2004-10-09,11.7,16.78,7.6,0.04,15.11,37.970892368839436,31.293675207059085
2004-10-10,13.67,19.26,8.31,0.0,17.27,37.970892368839436,31.293675207059085
2004-10-11,14.73,21.3,10.31,0.0,18.57,37.970892368839436,31.293675207059085
2004-10-12,14.67,22.37,9.19,0.0,18.09,37.970892368839436,31.293675207059085
2004-10-13,11.58,18.04,6.68,0.18,14.94,37.970892368839436,31.293675207059085
2004-10-14,12.6,19.47,5.5,0.04,16.49,37.970892368839436,31.293675207059085
2004-10-15,14.7,21.27,10.15,0.0,16.04,37.970892368839436,31.293675207059085
2004-10-16,15.5,20.68,10.56,0.0,15.21,37.970892368839436,31.293675207059085
2004-10-17,16.37,22.68,10.87,0.0,16.54,37.970892368839436,31.293675207059085
2004-10-18,16.98,24.08,12.02,0.0,16.27,37.970892368839436,31.293675207059085
2004-10-19,16.07,22.7,11.69,0.0,16.83,37.970892368839436,31.293675207059085
2004-10-20,15.06,20.66,10.76,0.0,12.74,37.970892368839436,31.293675207059085
2004-10-21,12.13,17.63,8.48,0.0,16.15,37.970892368839436,31.293675207059085
2004-10-22,13.29,20.04,8.23,0.0,16.08,37.970892368839436,31.293675207059085
2004-10-23,13.01,19.39,7.2,0.0,16.11,37.970892368839436,31.293675207059085
2004-10-24,14.42,20.26,9.73,0.0,15.14,37.970892368839436,31.293675207059085
2004-10-25,13.67,20.81,8.29,0.0,14.78,37.970892368839436,31.293675207059085
2004-10-26,13.83,20.96,8.22,0.0,14.65,37.970892368839436,31.293675207059085
2004-10-27,15.58,22.42,11.56,0.0,13.28,37.970892368839436,31.293675207059085
2004-10-28,14.33,20.19,10.39,0.0,12.26,37.970892368839436,31.293675207059085
2004-10-29,14.02,19.5,10.16,0.07,12.05,37.970892368839436,31.293675207059085
2004-10-30,13.21,19.49,8.09,0.0,13.01,37.970892368839436,31.293675207059085
2004-10-31,12.96,19.47,8.53,0.0,14.05,37.970892368839436,31.293675207059085
2004-11-01,12.74,19.27,7.89,0.0,14.57,37.970892368839436,31.293675207059085
2004-11-02,12.79,20.26,7.51,0.0,14.32,37.970892368839436,31.293675207059085
2004-11-03,10.93,18.18,5.85,0.0,13.92,37.970892368839436,31.293675207059085
2004-11-04,8.26,14.45,3.52,0.0,11.54,37.970892368839436,31.293675207059085
2004-11-05,7.16,15.66,-0.05,0.0,13.92,37.970892368839436,31.293675207059085
2004-11-06,9.77,15.27,5.88,0.04,9.21,37.970892368839436,31.293675207059085
2004-11-07,9.62,14.62,5.78,1.64,10.66,37.970892368839436,31.293675207059085
2004-11-08,10.07,13.84,7.35,1.11,6.11,37.970892368839436,31.293675207059085
2004-11-09,9.3,13.91,6.52,2.52,7.47,37.970892368839436,31.293675207059085
2004-11-10,9.52,13.24,6.43,1.67,5.8,37.970892368839436,31.293675207059085
2004-11-11,11.48,15.36,7.87,0.01,10.66,37.970892368839436,31.293675207059085
2004-11-12,11.39,16.36,6.93,0.0,12.06,37.970892368839436,31.293675207059085
2004-11-13,11.75,16.98,7.78,0.0,12.49,37.970892368839436,31.293675207059085
2004-11-14,10.5,16.75,6.82,8.19,8.73,37.970892368839436,31.293675207059085
2004-11-15,9.95,13.09,7.06,9.47,4.28,37.970892368839436,31.293675207059085
2004-11-16,8.88,12.43,6.6,5.04,5.81,37.970892368839436,31.293675207059085
2004-11-17,4.08,6.2,0.83,1.03,3.95,37.970892368839436,31.293675207059085
2004-11-18,1.95,7.62,-1.55,0.0,11.72,37.970892368839436,31.293675207059085
2004-11-19,4.01,10.84,-0.19,0.04,10.82,37.970892368839436,31.293675207059085
2004-11-20,7.61,10.59,3.98,5.51,4.05,37.970892368839436,31.293675207059085
2004-11-21,0.43,8.13,-4.32,8.08,5.04,37.970892368839436,31.293675207059085
2004-11-22,-4.81,-3.23,-6.55,0.13,6.1,37.970892368839436,31.293675207059085
2004-11-23,-3.16,0.09,-5.29,0.0,11.07,37.970892368839436,31.293675207059085
2004-11-24,-0.24,4.69,-3.7,0.88,6.79,37.970892368839436,31.293675207059085
2004-11-25,-1.72,2.47,-5.57,12.06,5.61,37.970892368839436,31.293675207059085
