date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,20.82,24.59,17.66,0.0,16.5,41.070807150119975,28.370856719372256
2004-10-02,20.82,24.31,18.31,0.02,15.26,41.070807150119975,28.370856719372256
2004-10-03,18.75,21.17,16.9,0.61,13.05,41.070807150119975,28.370856719372256
2004-10-04,17.81,20.31,15.54,0.65,11.84,41.070807150119975,28.370856719372256
2004-10-05,18.36,21.0,16.14,0.17,11.48,41.070807150119975,28.370856719372256
2004-10-06,17.67,19.54,16.02,4.05,12.34,41.070807150119975,28.370856719372256
2004-10-07,16.8,18.09,15.32,31.2,5.31,41.070807150119975,28.370856719372256
2004-10-08,16.26,18.15,14.36,1.84,5.54,41.070807150119975,28.370856719372256
2004-10-09,17.55,20.53,14.99,0.79,14.45,41.070807150119975,28.370856719372256
2004-10-10,18.65,22.4,15.4,0.0,14.68,41.070807150119975,28.370856719372256
2004-10-11,19.64,23.87,16.82,1.54,9.49,41.070807150119975,28.370856719372256
2004-10-12,15.35,17.17,13.74,11.71,3.58,41.070807150119975,28.370856719372256
2004-10-13,14.49,16.57,13.23,0.33,7.85,41.070807150119975,28.370856719372256
2004-10-14,14.53,16.93,13.23,0.01,5.22,41.070807150119975,28.370856719372256
2004-10-15,15.62,18.06,13.26,0.0,11.4,41.070807150119975,28.370856719372256
2004-10-16,18.6,22.19,14.7,0.02,12.44,41.070807150119975,28.370856719372256
2004-10-17,21.09,25.09,17.98,0.0,11.58,41.070807150119975,28.370856719372256
2004-10-18,19.87,22.66,17.1,0.0,12.04,41.070807150119975,28.370856719372256
2004-10-19,19.2,22.54,16.6,0.06,12.38,41.070807150119975,28.370856719372256
2004-10-20,19.2,22.68,17.02,0.0,8.17,41.070807150119975,28.370856719372256
2004-10-21,17.83,20.8,15.36,0.0,13.32,41.070807150119975,28.370856719372256
2004-10-22,17.09,19.83,14.84,0.04,3.15,41.070807150119975,28.370856719372256
2004-10-23,16.19,19.85,13.82,0.0,13.15,41.070807150119975,28.370856719372256
2004-10-24,16.73,20.37,14.01,0.0,11.58,41.070807150119975,28.370856719372256
2004-10-25,17.16,20.83,14.45,0.06,12.17,41.070807150119975,28.370856719372256
2004-10-26,17.09,21.13,14.24,0.0,10.04,41.070807150119975,28.370856719372256
2004-10-27,17.27,20.68,14.66,0.0,8.9,41.070807150119975,28.370856719372256
2004-10-28,18.53,21.41,15.57,0.0,11.14,41.070807150119975,28.370856719372256
2004-10-29,18.45,21.89,16.12,0.06,9.87,41.070807150119975,28.370856719372256
2004-10-30,17.66,21.2,14.94,0.0,10.56,41.070807150119975,28.370856719372256
2004-10-31,17.97,21.42,15.18,0.0,11.37,41.070807150119975,28.370856719372256
2004-11-01,18.2,21.61,15.46,0.0,10.94,41.070807150119975,28.370856719372256
2004-11-02,17.21,20.09,15.31,0.01,2.56,41.070807150119975,28.370856719372256
2004-11-03,15.35,17.6,14.1,0.0,4.28,41.070807150119975,28.370856719372256
2004-11-04,14.79,17.12,13.23,0.01,6.7,41.070807150119975,28.370856719372256
2004-11-05,14.55,18.1,12.18,0.0,10.13,41.070807150119975,28.370856719372256
2004-11-06,14.38,17.32,12.66,0.0,8.05,41.070807150119975,28.370856719372256
2004-11-07,13.92,16.71,11.45,0.0,10.08,41.070807150119975,28.370856719372256
2004-11-08,15.98,19.07,12.86,0.08,9.34,41.070807150119975,28.370856719372256
2004-11-09,18.14,21.18,16.05,0.37,9.09,41.070807150119975,28.370856719372256
2004-11-10,16.82,18.35,15.15,1.48,5.96,41.070807150119975,28.370856719372256
2004-11-11,16.26,19.4,14.34,0.01,8.23,41.070807150119975,28.370856719372256
2004-11-12,16.24,19.04,14.54,0.06,4.5,41.070807150119975,28.370856719372256
2004-11-13,15.77,17.93,14.45,0.01,8.72,41.070807150119975,28.370856719372256
2004-11-14,18.17,22.49,14.97,1.43,3.04,41.070807150119975,28.370856719372256
2004-11-15,17.88,20.18,11.91,4.55,3.69,41.070807150119975,28.370856719372256
2004-11-16,10.93,12.31,9.25,14.82,2.5,41.070807150119975,28.370856719372256
2004-11-17,9.53,11.91,8.24,0.61,5.78,41.070807150119975,28.370856719372256
2004-11-18,9.79,12.78,6.72,0.0,10.09,41.070807150119975,28.370856719372256
2004-11-19,13.23,16.63,10.11,0.0,9.27,41.070807150119975,28.370856719372256
2004-11-20,9.81,15.91,5.45,13.6,2.1,41.070807150119975,28.370856719372256
2004-11-21,5.15,8.17,2.59,0.14,8.72,41.070807150119975,28.370856719372256
2004-11-22,4.37,7.44,2.12,0.52,6.4,41.070807150119975,28.370856719372256
2004-11-23,7.03,10.35,2.38,0.02,4.06,41.070807150119975,28.370856719372256
2004-11-24,8.05,10.58,3.49,4.18,1.84,41.070807150119975,28.370856719372256
2004-11-25,3.17,4.98,1.49,1.2,5.54,41.070807150119975,28.370856719372256
2004-11-26,3.43,6.09,1.02,0.36,6.96,41.070807150119975,28.370856719372256
2004-11-27,7.96,11.94,4.42,0.0,8.54,41.070807150119975,28.370856719372256
2004-11-28,10.0,11.73,8.25,0.0,5.07,41.070807150119975,28.370856719372256
2004-11-29,11.32,14.5,8.69,0.0,7.96,41.070807150119975,28.370856719372256
2004-11-30,12.43,15.73,10.44,0.03,7.23,41.070807150119975,28.370856719372256
2004-12-01,11.62,13.36,10.29,0.33,3.56,41.070807150119975,28.370856719372256
2004-12-02,12.9,16.04,10.39,0.01,6.65,41.070807150119975,28.370856719372256
2004-12-03,13.98,17.33,11.7,0.01,7.32,41.070807150119975,28.370856719372256
2004-12-04,13.15,15.58,11.33,0.16,4.17,41.070807150119975,28.370856719372256
2004-12-05,10.98,12.61,8.7,1.78,4.2,41.070807150119975,28.370856719372256
2004-12-06,9.81,12.51,7.71,0.0,7.3,41.070807150119975,28.370856719372256
2004-12-07,8.35,10.27,6.31,12.71,3.59,41.070807150119975,28.370856719372256
2004-12-08,8.08,10.43,5.82,0.0,7.76,41.070807150119975,28.370856719372256
2004-12-09,7.72,10.32,5.69,0.0,4.08,41.070807150119975,28.370856719372256
2004-12-10,7.0,9.09,4.95,0.0,5.67,41.070807150119975,28.370856719372256
2004-12-11,5.83,7.82,4.41,0.05,2.37,41.070807150119975,28.370856719372256
2004-12-12,6.57,9.36,4.27,0.0,8.11,41.070807150119975,28.370856719372256
2004-12-13,6.85,10.27,4.42,0.13,6.23,41.070807150119975,28.370856719372256
2004-12-14,5.41,7.72,3.14,0.34,4.79,41.070807150119975,28.370856719372256
2004-12-15,4.13,7.04,2.47,0.0,6.08,41.070807150119975,28.370856719372256
2004-12-16,4.72,6.66,3.16,0.0,5.4,41.070807150119975,28.370856719372256
2004-12-17,6.06,8.75,3.38,0.0,8.51,41.070807150119975,28.370856719372256
2004-12-18,10.12,12.77,7.23,0.02,4.95,41.070807150119975,28.370856719372256
2004-12-19,11.06,12.17,9.94,3.2,3.83,41.070807150119975,28.370856719372256
2004-12-20,9.51,10.4,7.65,3.32,2.39,41.070807150119975,28.370856719372256
2004-12-21,7.43,8.0,6.78,8.29,2.16,41.070807150119975,28.370856719372256
2004-12-22,5.81,6.83,4.66,11.46,1.96,41.070807150119975,28.370856719372256
2004-12-23,4.64,6.0,3.62,0.49,2.53,41.070807150119975,28.370856719372256
2004-12-24,4.82,7.18,3.35,0.01,6.19,41.070807150119975,28.370856719372256
2004-12-25,5.99,9.19,3.27,0.0,7.97,41.070807150119975,28.370856719372256
2004-12-26,8.03,10.71,5.02,0.0,8.08,41.070807150119975,28.370856719372256
2004-12-27,11.36,15.01,8.76,0.02,7.17,41.070807150119975,28.370856719372256
2004-12-28,12.03,13.98,9.76,2.34,6.46,41.070807150119975,28.370856719372256
2004-12-29,12.71,13.52,11.32,5.94,2.35,41.070807150119975,28.370856719372256
2004-12-30,9.09,11.13,6.55,0.2,4.99,41.070807150119975,28.370856719372256
2004-12-31,7.45,8.64,6.55,3.79,1.97,41.070807150119975,28.370856719372256
2005-01-01,7.17,8.66,5.12,5.61,1.21,41.070807150119975,28.370856719372256
