date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.69,26.0,12.34,0.0,18.4,38.325095382563376,36.97168904611778
2004-10-02,16.29,24.22,9.33,0.03,18.56,38.325095382563376,36.97168904611778
2004-10-03,11.99,19.27,6.41,0.07,17.03,38.325095382563376,36.97168904611778
2004-10-04,9.73,17.49,3.88,0.0,17.26,38.325095382563376,36.97168904611778
2004-10-05,10.41,19.93,1.42,0.0,19.4,38.325095382563376,36.97168904611778
2004-10-06,12.3,20.68,4.3,0.0,14.61,38.325095382563376,36.97168904611778
2004-10-07,12.7,20.88,7.85,0.01,15.31,38.325095382563376,36.97168904611778
2004-10-08,10.88,18.56,5.8,1.14,15.47,38.325095382563376,36.97168904611778
2004-10-09,9.87,16.25,4.99,0.17,14.04,38.325095382563376,36.97168904611778
2004-10-10,10.87,17.87,5.0,0.17,15.07,38.325095382563376,36.97168904611778
2004-10-11,11.96,20.66,6.56,0.0,18.56,38.325095382563376,36.97168904611778
2004-10-12,12.9,21.62,5.79,0.0,17.28,38.325095382563376,36.97168904611778
2004-10-13,10.17,19.66,3.21,0.06,16.01,38.325095382563376,36.97168904611778
2004-10-14,10.65,17.78,4.02,0.06,15.17,38.325095382563376,36.97168904611778
2004-10-15,12.88,19.08,7.43,0.0,15.28,38.325095382563376,36.97168904611778
2004-10-16,12.67,19.01,7.6,0.0,12.82,38.325095382563376,36.97168904611778
2004-10-17,12.74,20.11,5.9,0.0,16.18,38.325095382563376,36.97168904611778
2004-10-18,15.08,22.5,9.32,0.0,15.42,38.325095382563376,36.97168904611778
2004-10-19,14.64,22.79,8.94,0.0,14.95,38.325095382563376,36.97168904611778
2004-10-20,13.29,21.26,7.67,0.77,14.31,38.325095382563376,36.97168904611778
2004-10-21,7.97,13.89,0.47,2.2,11.95,38.325095382563376,36.97168904611778
2004-10-22,6.49,15.63,-0.95,0.0,12.6,38.325095382563376,36.97168904611778
2004-10-23,7.66,16.93,-0.11,0.0,16.63,38.325095382563376,36.97168904611778
2004-10-24,9.64,17.5,4.33,0.0,15.71,38.325095382563376,36.97168904611778
2004-10-25,10.81,18.34,5.91,0.0,15.53,38.325095382563376,36.97168904611778
2004-10-26,10.83,20.0,4.47,0.0,15.28,38.325095382563376,36.97168904611778
2004-10-27,11.56,20.83,7.02,0.0,11.15,38.325095382563376,36.97168904611778
2004-10-28,12.95,20.62,7.25,0.0,12.72,38.325095382563376,36.97168904611778
2004-10-29,9.11,10.65,7.35,5.64,5.94,38.325095382563376,36.97168904611778
2004-10-30,9.28,13.68,6.56,0.38,6.57,38.325095382563376,36.97168904611778
2004-10-31,8.4,14.36,4.38,0.29,9.12,38.325095382563376,36.97168904611778
2004-11-01,8.98,15.19,3.86,0.0,13.86,38.325095382563376,36.97168904611778
2004-11-02,10.68,17.09,5.73,0.0,13.9,38.325095382563376,36.97168904611778
2004-11-03,8.89,17.05,2.43,0.0,12.57,38.325095382563376,36.97168904611778
2004-11-04,3.27,10.73,-3.97,0.26,13.46,38.325095382563376,36.97168904611778
2004-11-05,3.44,13.02,-4.5,0.0,14.82,38.325095382563376,36.97168904611778
2004-11-06,4.95,9.79,1.07,8.89,9.72,38.325095382563376,36.97168904611778
2004-11-07,5.52,10.27,3.17,1.18,10.43,38.325095382563376,36.97168904611778
2004-11-08,6.6,11.33,3.92,1.52,7.77,38.325095382563376,36.97168904611778
2004-11-09,7.48,11.8,5.32,4.43,7.92,38.325095382563376,36.97168904611778
2004-11-10,7.57,12.0,5.23,0.17,7.53,38.325095382563376,36.97168904611778
2004-11-11,7.3,13.02,3.06,0.1,8.25,38.325095382563376,36.97168904611778
2004-11-12,7.36,13.12,2.86,0.0,12.44,38.325095382563376,36.97168904611778
2004-11-13,8.16,14.48,3.93,0.0,12.45,38.325095382563376,36.97168904611778
2004-11-14,7.65,15.04,3.4,0.0,12.37,38.325095382563376,36.97168904611778
2004-11-15,5.28,11.42,1.57,0.18,5.45,38.325095382563376,36.97168904611778
2004-11-16,5.62,10.56,1.88,1.18,6.98,38.325095382563376,36.97168904611778
2004-11-17,3.25,5.88,-1.19,12.02,3.67,38.325095382563376,36.97168904611778
2004-11-18,-1.84,3.61,-5.81,0.04,10.16,38.325095382563376,36.97168904611778
2004-11-19,-0.37,7.95,-5.63,0.01,12.25,38.325095382563376,36.97168904611778
