date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,14.68,20.52,10.38,0.0,12.79,41.23619428709864,32.68401859806098
2004-10-02,12.91,19.21,8.7,0.15,15.6,41.23619428709864,32.68401859806098
2004-10-03,10.78,15.19,7.49,3.41,7.91,41.23619428709864,32.68401859806098
2004-10-04,10.49,16.93,6.28,0.25,14.63,41.23619428709864,32.68401859806098
2004-10-05,10.79,17.63,4.75,0.0,16.41,41.23619428709864,32.68401859806098
2004-10-06,11.49,20.62,3.15,0.13,16.57,41.23619428709864,32.68401859806098
2004-10-07,12.7,18.07,7.22,2.28,12.59,41.23619428709864,32.68401859806098
2004-10-08,12.29,17.44,8.55,4.5,10.87,41.23619428709864,32.68401859806098
2004-10-09,10.41,14.19,6.54,3.91,11.33,41.23619428709864,32.68401859806098
2004-10-10,12.23,20.87,4.1,0.0,16.46,41.23619428709864,32.68401859806098
2004-10-11,15.33,24.42,8.13,0.0,14.36,41.23619428709864,32.68401859806098
2004-10-12,8.77,11.3,5.22,6.5,4.61,41.23619428709864,32.68401859806098
2004-10-13,7.73,14.02,3.2,0.42,10.19,41.23619428709864,32.68401859806098
2004-10-14,8.81,16.77,1.19,0.0,13.11,41.23619428709864,32.68401859806098
2004-10-15,12.68,20.52,6.76,0.0,12.4,41.23619428709864,32.68401859806098
2004-10-16,14.44,20.49,9.36,0.0,10.48,41.23619428709864,32.68401859806098
2004-10-17,15.47,22.62,10.98,0.05,12.41,41.23619428709864,32.68401859806098
2004-10-18,16.9,24.85,12.02,0.04,14.34,41.23619428709864,32.68401859806098
2004-10-19,14.57,21.5,9.15,0.0,10.81,41.23619428709864,32.68401859806098
2004-10-20,12.2,15.96,8.9,4.13,5.01,41.23619428709864,32.68401859806098
2004-10-21,10.12,15.82,6.17,0.32,14.52,41.23619428709864,32.68401859806098
2004-10-22,9.43,16.67,5.4,0.0,11.56,41.23619428709864,32.68401859806098
2004-10-23,10.73,19.65,4.02,0.0,14.07,41.23619428709864,32.68401859806098
2004-10-24,11.11,19.54,5.99,0.0,13.67,41.23619428709864,32.68401859806098
2004-10-25,12.91,21.9,6.15,0.0,14.14,41.23619428709864,32.68401859806098
