date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.78,27.95,13.28,0.0,18.77,37.43379367031338,33.61397142712854
2004-10-02,17.2,25.48,9.87,0.0,19.65,37.43379367031338,33.61397142712854
2004-10-03,14.83,22.44,8.08,0.12,18.94,37.43379367031338,33.61397142712854
2004-10-04,13.95,21.16,8.6,0.0,17.91,37.43379367031338,33.61397142712854
2004-10-05,14.08,22.77,6.71,0.0,19.18,37.43379367031338,33.61397142712854
2004-10-06,14.35,22.55,7.67,2.57,14.56,37.43379367031338,33.61397142712854
2004-10-07,13.63,20.87,7.98,1.3,12.31,37.43379367031338,33.61397142712854
2004-10-08,12.8,18.51,7.27,1.67,15.33,37.43379367031338,33.61397142712854
2004-10-09,12.96,18.44,8.84,0.13,16.1,37.43379367031338,33.61397142712854
2004-10-10,14.41,21.27,9.08,0.01,18.05,37.43379367031338,33.61397142712854
2004-10-11,15.8,24.29,9.42,0.0,18.77,37.43379367031338,33.61397142712854
2004-10-12,16.3,25.48,8.45,0.0,18.44,37.43379367031338,33.61397142712854
2004-10-13,13.39,21.71,7.03,0.0,15.92,37.43379367031338,33.61397142712854
2004-10-14,14.41,21.62,8.08,0.12,16.58,37.43379367031338,33.61397142712854
2004-10-15,16.63,23.77,10.28,0.0,16.73,37.43379367031338,33.61397142712854
2004-10-16,15.97,23.45,10.0,0.0,14.67,37.43379367031338,33.61397142712854
2004-10-17,17.47,24.76,11.27,0.0,16.87,37.43379367031338,33.61397142712854
2004-10-18,19.37,27.4,13.81,0.0,15.01,37.43379367031338,33.61397142712854
2004-10-19,18.76,27.19,13.49,0.0,16.71,37.43379367031338,33.61397142712854
2004-10-20,16.71,23.27,10.8,0.0,13.34,37.43379367031338,33.61397142712854
2004-10-21,12.6,18.39,9.11,0.01,14.98,37.43379367031338,33.61397142712854
2004-10-22,12.98,20.03,8.74,0.0,15.51,37.43379367031338,33.61397142712854
2004-10-23,13.44,21.13,7.73,0.0,16.27,37.43379367031338,33.61397142712854
2004-10-24,13.95,22.1,7.25,0.0,15.41,37.43379367031338,33.61397142712854
2004-10-25,14.54,22.72,8.84,0.0,15.26,37.43379367031338,33.61397142712854
2004-10-26,15.62,24.84,8.65,0.0,14.92,37.43379367031338,33.61397142712854
2004-10-27,17.8,26.15,12.28,0.0,12.48,37.43379367031338,33.61397142712854
2004-10-28,17.59,24.74,12.51,0.27,11.95,37.43379367031338,33.61397142712854
2004-10-29,12.16,15.07,9.37,0.85,10.05,37.43379367031338,33.61397142712854
2004-10-30,13.56,19.69,7.88,0.2,13.28,37.43379367031338,33.61397142712854
2004-10-31,13.59,20.73,8.63,0.0,13.76,37.43379367031338,33.61397142712854
2004-11-01,13.72,21.36,8.18,0.0,13.81,37.43379367031338,33.61397142712854
2004-11-02,13.87,21.79,8.25,0.0,14.13,37.43379367031338,33.61397142712854
2004-11-03,12.67,19.95,6.92,0.0,13.95,37.43379367031338,33.61397142712854
2004-11-04,9.71,17.03,4.66,0.0,13.55,37.43379367031338,33.61397142712854
2004-11-05,9.69,18.12,3.06,0.0,14.16,37.43379367031338,33.61397142712854
2004-11-06,12.23,19.0,6.78,0.04,12.98,37.43379367031338,33.61397142712854
2004-11-07,11.52,17.42,7.26,1.44,9.69,37.43379367031338,33.61397142712854
2004-11-08,10.01,15.42,6.3,9.07,5.37,37.43379367031338,33.61397142712854
2004-11-09,10.42,16.48,6.59,7.77,10.42,37.43379367031338,33.61397142712854
2004-11-10,10.56,15.49,6.62,4.8,6.71,37.43379367031338,33.61397142712854
2004-11-11,11.14,16.35,7.62,0.68,11.38,37.43379367031338,33.61397142712854
2004-11-12,11.45,17.83,6.62,0.0,11.38,37.43379367031338,33.61397142712854
2004-11-13,11.69,18.17,7.28,0.0,12.68,37.43379367031338,33.61397142712854
