date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,14.75,23.97,8.95,0.85,19.44,40.272345185594325,42.77787897896948
2004-10-02,11.45,18.3,6.81,7.96,15.62,40.272345185594325,42.77787897896948
2004-10-03,7.92,11.73,3.33,13.02,7.19,40.272345185594325,42.77787897896948
2004-10-04,5.83,12.09,1.79,4.74,11.98,40.272345185594325,42.77787897896948
2004-10-05,5.84,14.25,0.11,0.07,16.06,40.272345185594325,42.77787897896948
2004-10-06,8.29,17.78,-0.37,0.44,17.32,40.272345185594325,42.77787897896948
2004-10-07,10.7,19.74,3.0,0.55,14.78,40.272345185594325,42.77787897896948
2004-10-08,11.23,19.79,3.74,5.38,15.57,40.272345185594325,42.77787897896948
2004-10-09,11.41,19.6,5.3,3.51,13.23,40.272345185594325,42.77787897896948
2004-10-10,8.51,15.71,3.95,1.48,14.85,40.272345185594325,42.77787897896948
2004-10-11,9.0,17.05,2.59,0.0,17.14,40.272345185594325,42.77787897896948
2004-10-12,8.58,17.16,1.7,5.99,17.21,40.272345185594325,42.77787897896948
2004-10-13,4.15,9.82,0.33,8.27,12.22,40.272345185594325,42.77787897896948
2004-10-14,5.52,13.17,-0.93,0.35,10.44,40.272345185594325,42.77787897896948
2004-10-15,7.41,14.67,1.18,0.64,13.04,40.272345185594325,42.77787897896948
2004-10-16,7.58,14.23,1.34,1.97,12.5,40.272345185594325,42.77787897896948
2004-10-17,8.0,14.73,2.8,0.01,13.66,40.272345185594325,42.77787897896948
2004-10-18,9.38,16.47,3.46,0.08,14.78,40.272345185594325,42.77787897896948
2004-10-19,10.37,18.09,4.12,0.0,14.05,40.272345185594325,42.77787897896948
2004-10-20,10.37,17.75,4.87,0.14,11.39,40.272345185594325,42.77787897896948
2004-10-21,3.22,7.61,-1.23,13.66,2.58,40.272345185594325,42.77787897896948
2004-10-22,0.56,5.37,-2.4,3.04,11.74,40.272345185594325,42.77787897896948
2004-10-23,1.78,8.7,-2.63,0.05,14.9,40.272345185594325,42.77787897896948
2004-10-24,4.25,13.86,-3.28,0.0,14.52,40.272345185594325,42.77787897896948
2004-10-25,5.18,12.58,-0.4,0.0,14.64,40.272345185594325,42.77787897896948
2004-10-26,7.34,15.26,1.56,0.0,14.91,40.272345185594325,42.77787897896948
2004-10-27,7.97,16.91,0.52,0.0,14.24,40.272345185594325,42.77787897896948
2004-10-28,8.76,15.79,3.03,0.77,11.97,40.272345185594325,42.77787897896948
2004-10-29,9.81,17.0,5.57,0.01,12.11,40.272345185594325,42.77787897896948
2004-10-30,6.57,11.34,3.68,6.66,6.95,40.272345185594325,42.77787897896948
2004-10-31,6.88,13.22,2.39,0.58,10.62,40.272345185594325,42.77787897896948
2004-11-01,7.97,13.94,3.7,0.0,11.97,40.272345185594325,42.77787897896948
2004-11-02,6.64,12.36,2.65,0.22,10.41,40.272345185594325,42.77787897896948
2004-11-03,3.97,9.28,0.99,10.24,8.72,40.272345185594325,42.77787897896948
2004-11-04,-0.03,2.59,-4.9,14.93,3.11,40.272345185594325,42.77787897896948
2004-11-05,-1.46,4.75,-5.9,0.35,9.57,40.272345185594325,42.77787897896948
2004-11-06,0.81,8.18,-4.59,0.0,11.97,40.272345185594325,42.77787897896948
2004-11-07,2.58,8.85,-3.25,0.02,9.16,40.272345185594325,42.77787897896948
