date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.59,20.15,18.95,0.02,12.79,41.78070805602453,32.81152014168294
2004-10-02,19.58,20.68,18.26,0.75,15.6,41.78070805602453,32.81152014168294
2004-10-03,18.34,19.16,17.75,3.42,7.91,41.78070805602453,32.81152014168294
2004-10-04,18.26,18.99,17.35,1.6,14.63,41.78070805602453,32.81152014168294
2004-10-05,18.13,19.2,17.42,0.06,16.41,41.78070805602453,32.81152014168294
2004-10-06,18.37,19.19,17.34,0.07,16.57,41.78070805602453,32.81152014168294
2004-10-07,19.1,19.81,18.32,0.22,12.59,41.78070805602453,32.81152014168294
2004-10-08,18.52,19.23,17.64,8.34,10.87,41.78070805602453,32.81152014168294
2004-10-09,17.78,18.16,17.46,3.86,11.33,41.78070805602453,32.81152014168294
2004-10-10,18.85,20.32,17.1,0.0,16.46,41.78070805602453,32.81152014168294
2004-10-11,20.32,22.49,17.14,0.23,14.36,41.78070805602453,32.81152014168294
2004-10-12,15.06,16.62,14.11,12.82,4.61,41.78070805602453,32.81152014168294
2004-10-13,13.92,14.72,13.02,0.33,10.19,41.78070805602453,32.81152014168294
2004-10-14,14.4,16.01,12.89,0.05,13.11,41.78070805602453,32.81152014168294
2004-10-15,16.56,17.74,15.99,0.02,12.4,41.78070805602453,32.81152014168294
2004-10-16,18.17,20.04,16.74,0.01,10.48,41.78070805602453,32.81152014168294
2004-10-17,21.64,24.39,19.98,0.02,12.41,41.78070805602453,32.81152014168294
2004-10-18,19.33,21.46,17.56,0.0,14.34,41.78070805602453,32.81152014168294
2004-10-19,18.42,19.39,17.75,0.0,10.81,41.78070805602453,32.81152014168294
2004-10-20,17.59,18.48,15.73,3.62,5.01,41.78070805602453,32.81152014168294
2004-10-21,16.07,17.21,15.08,0.03,14.52,41.78070805602453,32.81152014168294
2004-10-22,15.06,15.57,14.58,0.02,11.56,41.78070805602453,32.81152014168294
2004-10-23,15.89,16.85,14.74,0.01,14.07,41.78070805602453,32.81152014168294
2004-10-24,16.5,17.48,15.71,0.0,13.67,41.78070805602453,32.81152014168294
2004-10-25,17.27,18.44,16.11,0.0,14.14,41.78070805602453,32.81152014168294
2004-10-26,18.96,20.14,17.54,0.0,14.08,41.78070805602453,32.81152014168294
2004-10-27,19.42,21.25,18.75,0.01,11.79,41.78070805602453,32.81152014168294
2004-10-28,18.49,19.57,17.46,0.0,11.3,41.78070805602453,32.81152014168294
2004-10-29,17.88,18.53,17.09,0.0,11.31,41.78070805602453,32.81152014168294
2004-10-30,17.46,18.11,16.74,0.0,11.54,41.78070805602453,32.81152014168294
2004-10-31,18.29,19.53,17.27,0.0,12.5,41.78070805602453,32.81152014168294
2004-11-01,18.91,19.79,18.28,0.0,10.98,41.78070805602453,32.81152014168294
2004-11-02,17.01,18.91,14.92,1.6,7.75,41.78070805602453,32.81152014168294
2004-11-03,15.09,15.32,14.85,2.29,4.45,41.78070805602453,32.81152014168294
