date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,18.3,25.06,12.93,0.0,17.78,38.65898166456694,35.6124821958984
2004-10-02,16.14,23.85,9.45,0.02,18.92,38.65898166456694,35.6124821958984
2004-10-03,12.19,19.61,6.77,0.14,16.0,38.65898166456694,35.6124821958984
2004-10-04,9.95,17.45,3.63,0.0,17.19,38.65898166456694,35.6124821958984
2004-10-05,10.63,20.57,1.71,0.0,19.41,38.65898166456694,35.6124821958984
2004-10-06,13.35,22.53,5.8,0.0,14.63,38.65898166456694,35.6124821958984
2004-10-07,12.84,20.74,8.0,0.02,14.61,38.65898166456694,35.6124821958984
2004-10-08,11.51,17.43,7.02,2.38,14.41,38.65898166456694,35.6124821958984
2004-10-09,10.28,15.78,5.88,0.29,13.36,38.65898166456694,35.6124821958984
2004-10-10,11.43,18.42,5.89,0.1,15.5,38.65898166456694,35.6124821958984
2004-10-11,12.86,21.62,6.03,0.0,18.04,38.65898166456694,35.6124821958984
2004-10-12,12.96,22.64,5.56,0.0,17.51,38.65898166456694,35.6124821958984
2004-10-13,10.23,18.69,4.13,0.08,15.41,38.65898166456694,35.6124821958984
2004-10-14,11.9,18.66,4.91,0.13,16.13,38.65898166456694,35.6124821958984
2004-10-15,13.26,19.71,7.21,0.0,15.94,38.65898166456694,35.6124821958984
2004-10-16,13.23,19.23,8.46,0.0,13.41,38.65898166456694,35.6124821958984
2004-10-17,14.4,21.52,7.9,0.0,16.13,38.65898166456694,35.6124821958984
2004-10-18,16.23,23.9,10.5,0.0,15.23,38.65898166456694,35.6124821958984
2004-10-19,16.29,24.19,10.64,0.0,15.26,38.65898166456694,35.6124821958984
2004-10-20,13.73,20.63,8.83,0.6,12.94,38.65898166456694,35.6124821958984
2004-10-21,9.07,14.59,4.18,1.49,13.21,38.65898166456694,35.6124821958984
2004-10-22,8.43,15.58,3.93,0.0,12.18,38.65898166456694,35.6124821958984
2004-10-23,9.9,18.46,3.11,0.0,16.26,38.65898166456694,35.6124821958984
