date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,25.16,33.68,18.99,0.0,19.56,36.71982109872008,37.13971497636223
2004-10-02,23.78,32.27,18.21,0.0,19.11,36.71982109872008,37.13971497636223
2004-10-03,23.17,30.49,18.09,0.4,18.13,36.71982109872008,37.13971497636223
2004-10-04,22.51,30.27,16.29,0.13,18.28,36.71982109872008,37.13971497636223
2004-10-05,22.39,31.16,14.74,0.0,19.11,36.71982109872008,37.13971497636223
2004-10-06,22.91,31.76,16.36,0.0,15.26,36.71982109872008,37.13971497636223
2004-10-07,21.5,28.66,16.02,0.0,17.49,36.71982109872008,37.13971497636223
2004-10-08,20.15,27.03,14.96,0.11,17.18,36.71982109872008,37.13971497636223
2004-10-09,19.01,25.33,14.51,1.39,18.46,36.71982109872008,37.13971497636223
2004-10-10,19.49,26.5,14.52,3.56,17.86,36.71982109872008,37.13971497636223
2004-10-11,22.13,30.55,14.53,0.0,17.68,36.71982109872008,37.13971497636223
2004-10-12,23.69,32.35,16.36,0.0,10.82,36.71982109872008,37.13971497636223
2004-10-13,22.5,29.3,17.89,0.01,9.71,36.71982109872008,37.13971497636223
2004-10-14,22.22,29.79,16.58,0.05,16.01,36.71982109872008,37.13971497636223
2004-10-15,23.15,30.92,15.64,0.0,15.57,36.71982109872008,37.13971497636223
2004-10-16,23.07,30.23,16.92,0.0,13.82,36.71982109872008,37.13971497636223
2004-10-17,23.57,30.64,16.2,0.0,15.33,36.71982109872008,37.13971497636223
2004-10-18,24.93,32.69,17.65,0.0,16.03,36.71982109872008,37.13971497636223
2004-10-19,25.16,32.65,18.65,0.0,16.19,36.71982109872008,37.13971497636223
2004-10-20,23.1,30.7,17.77,0.02,16.08,36.71982109872008,37.13971497636223
2004-10-21,20.41,26.85,14.23,2.42,9.1,36.71982109872008,37.13971497636223
2004-10-22,18.09,24.23,12.74,0.0,13.52,36.71982109872008,37.13971497636223
2004-10-23,17.9,26.29,10.74,0.0,16.56,36.71982109872008,37.13971497636223
