date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,18.63,27.15,12.44,0.02,16.19,40.25415522266336,33.696230620760026
2004-10-02,16.1,23.72,10.77,0.05,16.44,40.25415522266336,33.696230620760026
2004-10-03,13.59,19.7,8.01,0.4,10.4,40.25415522266336,33.696230620760026
2004-10-04,12.04,17.57,7.77,0.05,11.78,40.25415522266336,33.696230620760026
2004-10-05,10.59,15.99,6.39,0.02,13.39,40.25415522266336,33.696230620760026
2004-10-06,11.56,19.89,5.2,0.43,16.02,40.25415522266336,33.696230620760026
2004-10-07,15.21,21.58,9.28,1.36,12.85,40.25415522266336,33.696230620760026
2004-10-08,14.93,19.97,11.08,4.12,11.51,40.25415522266336,33.696230620760026
2004-10-09,13.05,18.08,8.55,2.59,12.29,40.25415522266336,33.696230620760026
2004-10-10,13.06,21.27,6.92,0.0,17.02,40.25415522266336,33.696230620760026
2004-10-11,15.06,24.5,7.39,0.0,16.78,40.25415522266336,33.696230620760026
2004-10-12,12.76,20.37,6.74,1.12,9.41,40.25415522266336,33.696230620760026
2004-10-13,6.67,12.0,1.58,0.67,5.93,40.25415522266336,33.696230620760026
2004-10-14,6.9,14.19,-0.46,0.0,10.75,40.25415522266336,33.696230620760026
2004-10-15,13.31,22.19,5.63,0.0,11.98,40.25415522266336,33.696230620760026
2004-10-16,15.13,22.1,9.96,0.0,11.27,40.25415522266336,33.696230620760026
2004-10-17,15.68,23.08,9.72,0.01,9.91,40.25415522266336,33.696230620760026
2004-10-18,17.8,27.6,11.22,0.01,14.45,40.25415522266336,33.696230620760026
2004-10-19,16.14,24.59,10.23,0.0,13.04,40.25415522266336,33.696230620760026
2004-10-20,13.51,18.6,9.83,2.06,6.04,40.25415522266336,33.696230620760026
2004-10-21,10.78,18.36,6.19,0.47,14.9,40.25415522266336,33.696230620760026
2004-10-22,10.07,18.62,4.78,0.0,11.77,40.25415522266336,33.696230620760026
2004-10-23,10.02,18.52,3.04,0.0,15.26,40.25415522266336,33.696230620760026
2004-10-24,13.05,22.0,6.83,0.0,13.87,40.25415522266336,33.696230620760026
2004-10-25,13.35,21.94,6.36,0.0,14.44,40.25415522266336,33.696230620760026
2004-10-26,14.68,22.78,7.85,0.0,14.3,40.25415522266336,33.696230620760026
2004-10-27,15.81,23.55,9.94,0.0,12.44,40.25415522266336,33.696230620760026
2004-10-28,15.69,23.82,9.84,0.01,12.46,40.25415522266336,33.696230620760026
2004-10-29,15.28,20.84,11.97,0.15,11.26,40.25415522266336,33.696230620760026
2004-10-30,15.32,22.05,10.07,0.04,11.74,40.25415522266336,33.696230620760026
2004-10-31,14.89,21.79,8.94,0.0,12.81,40.25415522266336,33.696230620760026
2004-11-01,14.99,22.84,8.58,0.0,13.1,40.25415522266336,33.696230620760026
2004-11-02,14.61,23.97,8.66,0.02,12.22,40.25415522266336,33.696230620760026
2004-11-03,11.01,18.43,5.07,0.26,12.15,40.25415522266336,33.696230620760026
2004-11-04,6.99,14.16,0.88,0.11,13.11,40.25415522266336,33.696230620760026
2004-11-05,5.15,14.4,-1.7,0.0,13.3,40.25415522266336,33.696230620760026
2004-11-06,8.29,16.27,1.8,0.0,13.26,40.25415522266336,33.696230620760026
2004-11-07,9.06,15.48,5.04,0.09,8.27,40.25415522266336,33.696230620760026
2004-11-08,10.99,18.77,4.88,0.0,10.72,40.25415522266336,33.696230620760026
2004-11-09,12.44,19.74,6.44,0.0,10.05,40.25415522266336,33.696230620760026
2004-11-10,13.2,18.85,8.83,0.0,10.51,40.25415522266336,33.696230620760026
2004-11-11,13.37,19.51,8.76,0.01,9.76,40.25415522266336,33.696230620760026
2004-11-12,12.28,19.59,6.9,0.0,10.49,40.25415522266336,33.696230620760026
2004-11-13,12.62,19.69,7.22,0.0,9.89,40.25415522266336,33.696230620760026
2004-11-14,12.83,21.42,7.63,0.0,10.65,40.25415522266336,33.696230620760026
2004-11-15,12.86,19.02,9.06,0.95,3.71,40.25415522266336,33.696230620760026
2004-11-16,10.37,15.94,6.35,2.73,6.45,40.25415522266336,33.696230620760026
2004-11-17,5.15,9.81,-0.12,6.61,6.14,40.25415522266336,33.696230620760026
2004-11-18,2.6,9.01,-1.11,0.03,10.69,40.25415522266336,33.696230620760026
2004-11-19,2.91,11.76,-2.48,0.0,11.27,40.25415522266336,33.696230620760026
2004-11-20,5.61,12.74,-1.57,11.31,3.33,40.25415522266336,33.696230620760026
2004-11-21,-1.11,1.36,-3.44,11.37,3.08,40.25415522266336,33.696230620760026
