date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.17,26.94,13.23,0.0,17.84,41.495885870567356,27.75699932063395
2004-10-02,19.18,26.36,13.6,0.1,14.27,41.495885870567356,27.75699932063395
2004-10-03,16.55,20.64,12.96,0.45,11.6,41.495885870567356,27.75699932063395
2004-10-04,15.08,20.45,10.77,0.25,13.29,41.495885870567356,27.75699932063395
2004-10-05,15.59,20.51,10.9,0.07,10.52,41.495885870567356,27.75699932063395
2004-10-06,15.17,18.79,11.82,1.47,10.08,41.495885870567356,27.75699932063395
2004-10-07,14.62,17.53,11.72,6.23,8.92,41.495885870567356,27.75699932063395
2004-10-08,14.56,20.77,10.78,0.19,11.62,41.495885870567356,27.75699932063395
2004-10-09,15.86,23.76,9.72,0.04,15.83,41.495885870567356,27.75699932063395
2004-10-10,17.53,26.78,10.43,0.0,15.18,41.495885870567356,27.75699932063395
2004-10-11,17.87,23.56,13.99,2.46,9.6,41.495885870567356,27.75699932063395
2004-10-12,12.82,15.34,10.44,10.33,4.71,41.495885870567356,27.75699932063395
2004-10-13,12.12,15.27,10.35,0.13,8.32,41.495885870567356,27.75699932063395
2004-10-14,11.72,14.68,9.92,0.08,4.17,41.495885870567356,27.75699932063395
2004-10-15,13.88,18.82,9.96,0.02,12.38,41.495885870567356,27.75699932063395
2004-10-16,16.81,24.08,9.26,0.16,11.16,41.495885870567356,27.75699932063395
2004-10-17,19.61,26.9,13.94,0.0,11.8,41.495885870567356,27.75699932063395
2004-10-18,18.54,25.6,13.64,0.0,11.11,41.495885870567356,27.75699932063395
2004-10-19,18.39,25.76,12.5,0.08,12.83,41.495885870567356,27.75699932063395
2004-10-20,18.44,24.42,14.19,0.0,8.91,41.495885870567356,27.75699932063395
2004-10-21,16.54,23.0,11.5,0.0,12.47,41.495885870567356,27.75699932063395
2004-10-22,15.17,20.37,11.79,0.15,3.41,41.495885870567356,27.75699932063395
2004-10-23,14.32,21.31,9.76,0.0,12.56,41.495885870567356,27.75699932063395
2004-10-24,15.8,23.43,10.5,0.0,11.37,41.495885870567356,27.75699932063395
2004-10-25,16.01,24.14,11.38,0.07,13.54,41.495885870567356,27.75699932063395
2004-10-26,16.02,24.72,10.3,0.0,12.51,41.495885870567356,27.75699932063395
2004-10-27,15.85,22.16,11.66,0.0,8.98,41.495885870567356,27.75699932063395
2004-10-28,17.05,23.97,11.63,0.0,11.42,41.495885870567356,27.75699932063395
2004-10-29,17.65,24.39,12.87,0.07,11.49,41.495885870567356,27.75699932063395
2004-10-30,16.75,25.05,11.23,0.0,11.56,41.495885870567356,27.75699932063395
2004-10-31,17.07,25.38,11.79,0.0,11.21,41.495885870567356,27.75699932063395
2004-11-01,17.3,24.92,11.43,0.04,10.31,41.495885870567356,27.75699932063395
2004-11-02,15.97,21.59,12.53,0.01,8.22,41.495885870567356,27.75699932063395
2004-11-03,13.42,16.88,11.53,0.02,3.04,41.495885870567356,27.75699932063395
2004-11-04,12.59,16.38,10.16,0.0,6.23,41.495885870567356,27.75699932063395
2004-11-05,12.48,18.1,8.34,0.0,11.94,41.495885870567356,27.75699932063395
2004-11-06,12.62,17.86,8.45,0.0,10.2,41.495885870567356,27.75699932063395
2004-11-07,11.48,17.89,6.52,0.01,10.63,41.495885870567356,27.75699932063395
2004-11-08,13.87,20.16,8.07,0.26,8.16,41.495885870567356,27.75699932063395
2004-11-09,17.17,22.92,12.96,0.98,7.44,41.495885870567356,27.75699932063395
2004-11-10,15.79,19.73,11.79,4.85,4.83,41.495885870567356,27.75699932063395
2004-11-11,14.63,21.55,10.15,0.01,9.52,41.495885870567356,27.75699932063395
2004-11-12,14.6,20.53,10.79,0.0,5.94,41.495885870567356,27.75699932063395
2004-11-13,14.82,21.43,11.42,0.0,7.84,41.495885870567356,27.75699932063395
2004-11-14,16.53,24.67,10.57,0.42,2.97,41.495885870567356,27.75699932063395
2004-11-15,16.31,20.81,8.53,1.69,3.35,41.495885870567356,27.75699932063395
2004-11-16,7.0,8.84,4.85,8.31,2.73,41.495885870567356,27.75699932063395
2004-11-17,6.02,11.08,2.29,0.05,6.61,41.495885870567356,27.75699932063395
2004-11-18,5.42,12.54,0.51,0.0,10.11,41.495885870567356,27.75699932063395
2004-11-19,10.84,17.17,4.13,0.05,7.08,41.495885870567356,27.75699932063395
2004-11-20,5.97,14.21,-2.28,8.34,4.22,41.495885870567356,27.75699932063395
2004-11-21,-0.18,6.42,-5.0,0.0,9.99,41.495885870567356,27.75699932063395
2004-11-22,-0.74,5.96,-4.61,0.01,8.37,41.495885870567356,27.75699932063395
2004-11-23,2.13,9.39,-3.69,0.0,4.27,41.495885870567356,27.75699932063395
2004-11-24,3.22,8.04,-2.9,0.68,2.88,41.495885870567356,27.75699932063395
2004-11-25,-1.2,3.25,-4.51,0.21,7.66,41.495885870567356,27.75699932063395
2004-11-26,-1.09,5.37,-5.83,0.03,7.51,41.495885870567356,27.75699932063395
2004-11-27,3.46,12.62,-2.57,0.0,8.8,41.495885870567356,27.75699932063395
2004-11-28,6.69,12.13,3.58,0.0,5.79,41.495885870567356,27.75699932063395
2004-11-29,8.64,15.39,4.0,0.0,7.12,41.495885870567356,27.75699932063395
2004-11-30,10.3,16.66,6.27,0.0,6.58,41.495885870567356,27.75699932063395
2004-12-01,9.61,13.04,7.09,0.24,3.42,41.495885870567356,27.75699932063395
2004-12-02,12.04,17.79,7.61,0.0,5.15,41.495885870567356,27.75699932063395
