date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.8,27.51,13.14,0.0,18.19,39.714521742118855,34.09570184816172
2004-10-02,16.44,23.95,10.95,0.0,17.28,39.714521742118855,34.09570184816172
2004-10-03,14.54,20.2,9.84,0.36,12.41,39.714521742118855,34.09570184816172
2004-10-04,12.27,18.19,7.8,0.0,15.34,39.714521742118855,34.09570184816172
2004-10-05,11.58,19.11,6.96,0.0,17.14,39.714521742118855,34.09570184816172
2004-10-06,14.78,24.97,6.37,0.03,15.55,39.714521742118855,34.09570184816172
2004-10-07,15.68,22.09,8.82,0.84,14.29,39.714521742118855,34.09570184816172
2004-10-08,14.12,19.47,9.26,5.09,15.73,39.714521742118855,34.09570184816172
2004-10-09,12.63,16.63,8.53,0.62,11.06,39.714521742118855,34.09570184816172
2004-10-10,13.34,20.05,7.05,0.0,16.12,39.714521742118855,34.09570184816172
2004-10-11,14.52,23.33,6.62,0.0,17.4,39.714521742118855,34.09570184816172
2004-10-12,14.26,24.23,7.77,0.06,16.4,39.714521742118855,34.09570184816172
2004-10-13,7.97,13.47,3.45,0.7,7.56,39.714521742118855,34.09570184816172
2004-10-14,9.33,19.34,1.4,0.0,14.18,39.714521742118855,34.09570184816172
2004-10-15,14.39,22.89,7.14,0.0,15.5,39.714521742118855,34.09570184816172
2004-10-16,14.75,22.44,8.15,0.0,14.55,39.714521742118855,34.09570184816172
2004-10-17,16.41,25.04,8.83,0.0,13.76,39.714521742118855,34.09570184816172
2004-10-18,18.31,27.63,10.72,0.0,13.56,39.714521742118855,34.09570184816172
2004-10-19,17.44,25.31,10.61,0.0,15.11,39.714521742118855,34.09570184816172
2004-10-20,14.22,20.08,8.81,1.34,7.6,39.714521742118855,34.09570184816172
2004-10-21,11.53,17.9,6.48,0.25,15.07,39.714521742118855,34.09570184816172
2004-10-22,10.48,16.51,4.76,0.0,11.61,39.714521742118855,34.09570184816172
2004-10-23,10.53,19.95,2.54,0.0,15.34,39.714521742118855,34.09570184816172
2004-10-24,13.78,22.38,6.41,0.0,14.45,39.714521742118855,34.09570184816172
2004-10-25,13.54,22.04,7.87,0.0,14.83,39.714521742118855,34.09570184816172
2004-10-26,14.32,23.67,6.12,0.0,14.59,39.714521742118855,34.09570184816172
2004-10-27,16.72,25.52,8.49,0.0,10.13,39.714521742118855,34.09570184816172
2004-10-28,16.69,24.17,10.88,0.0,12.54,39.714521742118855,34.09570184816172
2004-10-29,16.16,21.25,11.47,0.64,7.63,39.714521742118855,34.09570184816172
2004-10-30,14.16,20.98,8.04,0.06,11.5,39.714521742118855,34.09570184816172
2004-10-31,13.7,20.84,8.28,0.0,12.56,39.714521742118855,34.09570184816172
2004-11-01,14.01,21.04,7.54,0.0,13.54,39.714521742118855,34.09570184816172
2004-11-02,14.57,23.01,8.87,0.0,12.91,39.714521742118855,34.09570184816172
2004-11-03,11.5,18.21,7.57,0.01,12.63,39.714521742118855,34.09570184816172
2004-11-04,7.4,14.08,0.8,0.04,13.2,39.714521742118855,34.09570184816172
2004-11-05,5.34,16.87,-1.84,0.0,13.47,39.714521742118855,34.09570184816172
2004-11-06,9.1,17.28,1.25,0.0,12.96,39.714521742118855,34.09570184816172
2004-11-07,10.58,16.78,6.29,0.01,9.69,39.714521742118855,34.09570184816172
2004-11-08,10.99,18.35,5.2,0.0,10.68,39.714521742118855,34.09570184816172
2004-11-09,12.13,18.67,6.23,0.0,10.27,39.714521742118855,34.09570184816172
2004-11-10,12.51,18.64,6.45,0.0,10.13,39.714521742118855,34.09570184816172
2004-11-11,12.7,18.35,7.91,0.0,10.96,39.714521742118855,34.09570184816172
2004-11-12,11.54,19.7,5.9,0.0,11.38,39.714521742118855,34.09570184816172
2004-11-13,12.08,19.91,5.68,0.0,10.86,39.714521742118855,34.09570184816172
2004-11-14,12.33,20.88,5.05,0.0,10.95,39.714521742118855,34.09570184816172
2004-11-15,13.09,19.87,9.03,0.58,4.98,39.714521742118855,34.09570184816172
2004-11-16,11.45,16.13,8.21,3.15,7.92,39.714521742118855,34.09570184816172
2004-11-17,5.74,8.09,1.19,12.85,4.5,39.714521742118855,34.09570184816172
2004-11-18,2.35,7.95,-2.35,0.0,9.87,39.714521742118855,34.09570184816172
2004-11-19,3.08,11.42,-3.31,0.0,11.73,39.714521742118855,34.09570184816172
2004-11-20,8.19,13.44,1.77,2.1,5.82,39.714521742118855,34.09570184816172
2004-11-21,0.9,9.68,-2.47,14.11,3.1,39.714521742118855,34.09570184816172
2004-11-22,-3.44,-1.6,-6.55,4.65,1.77,39.714521742118855,34.09570184816172
2004-11-23,-6.17,-1.05,-9.46,0.02,7.24,39.714521742118855,34.09570184816172
2004-11-24,-3.43,2.61,-8.99,0.02,5.54,39.714521742118855,34.09570184816172
2004-11-25,-2.13,0.07,-6.06,19.9,2.68,39.714521742118855,34.09570184816172
2004-11-26,-5.37,-1.07,-12.77,5.6,1.8,39.714521742118855,34.09570184816172
2004-11-27,-8.83,-2.5,-13.04,0.03,7.54,39.714521742118855,34.09570184816172
2004-11-28,-8.33,-0.47,-13.79,0.0,7.71,39.714521742118855,34.09570184816172
2004-11-29,-5.69,0.15,-10.64,0.02,10.38,39.714521742118855,34.09570184816172
2004-11-30,-2.47,2.69,-7.18,0.09,3.4,39.714521742118855,34.09570184816172
2004-12-01,0.15,3.23,-3.05,0.17,4.05,39.714521742118855,34.09570184816172
2004-12-02,-1.18,5.16,-4.61,0.0,5.08,39.714521742118855,34.09570184816172
2004-12-03,1.55,8.92,-3.88,0.0,5.98,39.714521742118855,34.09570184816172
2004-12-04,3.14,10.41,-2.15,0.0,7.83,39.714521742118855,34.09570184816172
2004-12-05,1.48,4.45,-2.18,0.36,4.15,39.714521742118855,34.09570184816172
2004-12-06,-0.69,6.13,-5.89,0.03,6.34,39.714521742118855,34.09570184816172
2004-12-07,-0.47,6.21,-4.02,3.5,4.66,39.714521742118855,34.09570184816172
2004-12-08,-2.07,2.95,-4.67,0.07,5.84,39.714521742118855,34.09570184816172
2004-12-09,-2.25,3.76,-5.8,0.0,6.89,39.714521742118855,34.09570184816172
2004-12-10,-1.8,1.99,-4.44,0.0,6.42,39.714521742118855,34.09570184816172
2004-12-11,-2.29,0.51,-3.98,0.03,6.65,39.714521742118855,34.09570184816172
2004-12-12,-1.74,2.05,-4.05,0.03,8.21,39.714521742118855,34.09570184816172
2004-12-13,-1.66,3.83,-6.84,0.0,6.36,39.714521742118855,34.09570184816172
2004-12-14,-1.73,1.85,-4.73,0.29,6.27,39.714521742118855,34.09570184816172
2004-12-15,-5.82,-1.78,-9.43,0.01,8.5,39.714521742118855,34.09570184816172
2004-12-16,-7.0,-2.2,-11.13,0.0,9.07,39.714521742118855,34.09570184816172
2004-12-17,-6.27,0.2,-11.64,0.0,9.2,39.714521742118855,34.09570184816172
2004-12-18,-2.32,5.64,-8.48,0.0,8.99,39.714521742118855,34.09570184816172
2004-12-19,-0.41,3.83,-2.71,0.0,4.86,39.714521742118855,34.09570184816172
2004-12-20,-0.21,5.07,-3.33,0.1,4.4,39.714521742118855,34.09570184816172
2004-12-21,1.99,6.86,-0.83,0.32,6.15,39.714521742118855,34.09570184816172
2004-12-22,1.63,6.77,-1.08,2.79,3.48,39.714521742118855,34.09570184816172
2004-12-23,1.01,4.07,-1.63,6.55,4.99,39.714521742118855,34.09570184816172
2004-12-24,-0.65,4.85,-2.92,0.2,5.26,39.714521742118855,34.09570184816172
2004-12-25,-1.15,4.01,-3.63,0.2,6.32,39.714521742118855,34.09570184816172
2004-12-26,-2.39,2.47,-4.66,0.0,7.74,39.714521742118855,34.09570184816172
2004-12-27,-0.56,5.18,-5.38,0.0,7.71,39.714521742118855,34.09570184816172
2004-12-28,2.77,9.66,-0.7,0.0,8.66,39.714521742118855,34.09570184816172
2004-12-29,3.1,10.38,-1.12,0.06,6.12,39.714521742118855,34.09570184816172
2004-12-30,3.64,11.52,-1.57,0.0,9.08,39.714521742118855,34.09570184816172
2004-12-31,3.29,11.67,-0.9,0.0,8.81,39.714521742118855,34.09570184816172
2005-01-01,2.62,10.54,-1.74,0.02,8.41,39.714521742118855,34.09570184816172
2005-01-02,0.51,4.89,-2.96,1.73,4.67,39.714521742118855,34.09570184816172
2005-01-03,-0.9,2.8,-3.36,0.05,6.07,39.714521742118855,34.09570184816172
2005-01-04,-0.45,3.9,-2.48,0.3,6.25,39.714521742118855,34.09570184816172
2005-01-05,-1.92,2.1,-4.41,0.27,7.82,39.714521742118855,34.09570184816172
2005-01-06,-0.96,3.9,-4.3,0.13,6.41,39.714521742118855,34.09570184816172
2005-01-07,-0.08,4.07,-2.95,0.29,7.2,39.714521742118855,34.09570184816172
2005-01-08,-0.73,5.07,-3.51,0.01,6.24,39.714521742118855,34.09570184816172
2005-01-09,-0.51,5.66,-4.9,0.0,10.03,39.714521742118855,34.09570184816172
2005-01-10,-0.77,6.48,-5.37,0.0,10.49,39.714521742118855,34.09570184816172
2005-01-11,-0.86,4.81,-4.47,0.04,10.37,39.714521742118855,34.09570184816172
2005-01-12,1.99,8.81,-2.57,0.0,10.59,39.714521742118855,34.09570184816172
2005-01-13,3.64,10.53,-0.39,0.0,10.53,39.714521742118855,34.09570184816172
2005-01-14,2.73,9.13,-1.06,0.01,9.11,39.714521742118855,34.09570184816172
2005-01-15,2.5,8.25,-2.02,0.28,6.4,39.714521742118855,34.09570184816172
2005-01-16,1.62,7.99,-2.24,0.9,7.53,39.714521742118855,34.09570184816172
2005-01-17,0.97,5.65,-1.39,0.02,7.12,39.714521742118855,34.09570184816172
2005-01-18,1.51,7.69,-3.29,0.0,9.51,39.714521742118855,34.09570184816172
2005-01-19,1.86,5.99,-1.45,0.0,8.42,39.714521742118855,34.09570184816172
2005-01-20,0.42,7.28,-3.5,0.0,10.75,39.714521742118855,34.09570184816172
2005-01-21,1.66,7.96,-2.42,0.06,5.97,39.714521742118855,34.09570184816172
2005-01-22,3.21,8.51,-0.01,0.05,8.18,39.714521742118855,34.09570184816172
2005-01-23,-0.24,2.62,-3.31,9.75,3.26,39.714521742118855,34.09570184816172
2005-01-24,-4.62,-0.44,-8.67,0.19,9.53,39.714521742118855,34.09570184816172
2005-01-25,-1.97,4.34,-8.79,0.82,5.24,39.714521742118855,34.09570184816172
2005-01-26,1.31,7.43,-1.68,1.25,8.38,39.714521742118855,34.09570184816172
2005-01-27,0.95,8.47,-3.36,0.0,8.77,39.714521742118855,34.09570184816172
2005-01-28,3.48,9.47,-0.76,1.15,3.7,39.714521742118855,34.09570184816172
2005-01-29,6.7,14.52,1.58,1.2,8.05,39.714521742118855,34.09570184816172
2005-01-30,6.33,12.21,0.89,16.99,6.92,39.714521742118855,34.09570184816172
2005-01-31,0.31,5.28,-3.99,0.75,9.65,39.714521742118855,34.09570184816172
2005-02-01,-1.42,2.15,-4.54,4.19,2.58,39.714521742118855,34.09570184816172
2005-02-02,-2.14,3.49,-6.04,0.0,7.08,39.714521742118855,34.09570184816172
2005-02-03,-0.14,5.83,-4.84,0.14,8.26,39.714521742118855,34.09570184816172
2005-02-04,0.91,5.31,-1.26,0.94,6.63,39.714521742118855,34.09570184816172
2005-02-05,-0.24,3.85,-4.88,1.13,6.07,39.714521742118855,34.09570184816172
2005-02-06,-4.02,-0.38,-6.22,1.17,7.94,39.714521742118855,34.09570184816172
2005-02-07,-3.7,-0.76,-5.67,0.45,9.58,39.714521742118855,34.09570184816172
2005-02-08,-5.19,-0.99,-10.03,0.5,10.03,39.714521742118855,34.09570184816172
2005-02-09,-7.05,-1.52,-11.07,0.01,11.35,39.714521742118855,34.09570184816172
2005-02-10,-7.8,-2.35,-12.63,0.0,10.97,39.714521742118855,34.09570184816172
2005-02-11,-6.84,-1.63,-12.34,0.0,12.09,39.714521742118855,34.09570184816172
2005-02-12,-5.21,-0.2,-10.9,0.0,13.52,39.714521742118855,34.09570184816172
2005-02-13,-3.31,2.97,-10.25,0.03,14.09,39.714521742118855,34.09570184816172
2005-02-14,1.63,8.21,-3.07,0.93,5.0,39.714521742118855,34.09570184816172
2005-02-15,1.79,10.56,-3.12,0.0,14.82,39.714521742118855,34.09570184816172
2005-02-16,1.05,6.46,-3.36,0.0,5.67,39.714521742118855,34.09570184816172
2005-02-17,5.26,13.0,-1.22,0.52,8.73,39.714521742118855,34.09570184816172
2005-02-18,4.06,8.51,0.25,10.3,3.27,39.714521742118855,34.09570184816172
2005-02-19,2.78,6.19,0.34,8.04,4.17,39.714521742118855,34.09570184816172
2005-02-20,2.01,7.13,-1.79,0.91,9.59,39.714521742118855,34.09570184816172
2005-02-21,1.24,6.01,-2.62,0.01,12.53,39.714521742118855,34.09570184816172
2005-02-22,2.42,7.25,-1.44,0.52,12.28,39.714521742118855,34.09570184816172
2005-02-23,4.05,11.91,-1.42,0.0,15.11,39.714521742118855,34.09570184816172
2005-02-24,4.05,10.33,-1.3,0.16,11.74,39.714521742118855,34.09570184816172
2005-02-25,4.7,11.88,-1.36,0.0,12.1,39.714521742118855,34.09570184816172
2005-02-26,4.47,9.44,0.08,0.78,8.56,39.714521742118855,34.09570184816172
2005-02-27,6.65,12.18,2.27,5.5,10.72,39.714521742118855,34.09570184816172
2005-02-28,6.14,9.3,3.69,6.63,7.73,39.714521742118855,34.09570184816172
2005-03-01,6.09,9.34,2.98,10.69,6.14,39.714521742118855,34.09570184816172
2005-03-02,9.01,14.28,4.38,8.75,6.01,39.714521742118855,34.09570184816172
2005-03-03,6.17,10.22,-0.09,14.83,4.62,39.714521742118855,34.09570184816172
2005-03-04,0.74,6.1,-3.86,0.94,11.82,39.714521742118855,34.09570184816172
2005-03-05,3.29,10.99,-4.24,0.14,13.34,39.714521742118855,34.09570184816172
2005-03-06,5.92,10.15,1.16,4.75,5.11,39.714521742118855,34.09570184816172
2005-03-07,8.0,14.02,2.62,1.4,13.65,39.714521742118855,34.09570184816172
2005-03-08,5.31,10.55,1.03,15.13,5.26,39.714521742118855,34.09570184816172
2005-03-09,1.89,6.29,-1.48,0.84,11.89,39.714521742118855,34.09570184816172
2005-03-10,-0.43,4.53,-5.46,0.81,10.88,39.714521742118855,34.09570184816172
2005-03-11,-1.74,2.92,-5.64,2.17,15.52,39.714521742118855,34.09570184816172
2005-03-12,-1.52,4.61,-4.94,0.14,16.03,39.714521742118855,34.09570184816172
2005-03-13,1.18,9.08,-4.88,0.0,20.73,39.714521742118855,34.09570184816172
2005-03-14,3.26,9.79,-3.15,0.0,17.47,39.714521742118855,34.09570184816172
2005-03-15,4.45,10.11,-1.01,0.0,17.62,39.714521742118855,34.09570184816172
2005-03-16,3.28,8.6,-1.49,0.0,15.21,39.714521742118855,34.09570184816172
2005-03-17,4.18,10.91,-2.63,0.0,20.58,39.714521742118855,34.09570184816172
2005-03-18,6.22,14.72,-2.06,0.59,20.41,39.714521742118855,34.09570184816172
2005-03-19,7.46,14.35,-0.94,0.01,11.25,39.714521742118855,34.09570184816172
2005-03-20,4.0,8.43,-1.75,1.46,5.59,39.714521742118855,34.09570184816172
2005-03-21,1.22,7.38,-5.83,0.16,17.61,39.714521742118855,34.09570184816172
2005-03-22,0.33,7.76,-5.28,0.0,20.69,39.714521742118855,34.09570184816172
2005-03-23,-1.6,3.74,-5.64,0.0,16.41,39.714521742118855,34.09570184816172
2005-03-24,-0.12,7.18,-5.84,0.0,22.42,39.714521742118855,34.09570184816172
2005-03-25,1.85,9.28,-4.61,0.0,22.76,39.714521742118855,34.09570184816172
2005-03-26,6.67,15.1,-2.22,0.0,19.8,39.714521742118855,34.09570184816172
2005-03-27,7.58,14.22,2.58,0.19,13.35,39.714521742118855,34.09570184816172
2005-03-28,10.13,15.93,5.79,1.81,11.76,39.714521742118855,34.09570184816172
2005-03-29,10.04,14.41,6.9,1.13,10.62,39.714521742118855,34.09570184816172
2005-03-30,8.39,14.22,3.92,0.36,16.61,39.714521742118855,34.09570184816172
2005-03-31,7.09,13.66,2.22,2.52,12.19,39.714521742118855,34.09570184816172
2005-04-01,1.41,6.24,-3.53,4.39,7.19,39.714521742118855,34.09570184816172
2005-04-02,-1.52,2.03,-3.71,2.12,5.72,39.714521742118855,34.09570184816172
2005-04-03,-1.17,3.51,-5.28,0.23,8.36,39.714521742118855,34.09570184816172
2005-04-04,-0.88,5.33,-5.98,0.19,10.82,39.714521742118855,34.09570184816172
2005-04-05,1.11,8.67,-4.8,0.0,19.98,39.714521742118855,34.09570184816172
2005-04-06,4.35,13.07,-3.81,0.0,24.56,39.714521742118855,34.09570184816172
2005-04-07,8.55,16.79,-1.16,0.0,23.14,39.714521742118855,34.09570184816172
2005-04-08,9.71,15.78,5.99,0.0,17.01,39.714521742118855,34.09570184816172
2005-04-09,12.13,19.58,6.57,0.0,20.68,39.714521742118855,34.09570184816172
2005-04-10,13.84,21.42,6.86,0.0,22.71,39.714521742118855,34.09570184816172
2005-04-11,14.81,23.37,8.07,0.0,24.04,39.714521742118855,34.09570184816172
2005-04-12,16.09,25.38,6.56,0.0,21.48,39.714521742118855,34.09570184816172
2005-04-13,16.23,24.64,10.12,0.0,18.19,39.714521742118855,34.09570184816172
2005-04-14,12.04,18.11,6.69,0.01,25.98,39.714521742118855,34.09570184816172
2005-04-15,8.79,13.25,4.56,0.09,18.38,39.714521742118855,34.09570184816172
2005-04-16,9.56,14.95,5.18,0.46,15.78,39.714521742118855,34.09570184816172
2005-04-17,12.1,20.14,3.41,0.07,20.99,39.714521742118855,34.09570184816172
