date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.84,25.61,12.09,0.0,19.45,37.010219375828854,32.56811296057824
2004-10-02,15.54,24.83,7.47,0.0,19.55,37.010219375828854,32.56811296057824
2004-10-03,13.19,22.61,5.35,0.0,19.05,37.010219375828854,32.56811296057824
2004-10-04,12.03,21.42,4.26,0.0,16.52,37.010219375828854,32.56811296057824
2004-10-05,11.62,21.05,3.63,0.0,18.64,37.010219375828854,32.56811296057824
2004-10-06,10.01,17.13,2.68,7.75,10.34,37.010219375828854,32.56811296057824
2004-10-07,10.27,14.82,7.54,7.1,10.31,37.010219375828854,32.56811296057824
2004-10-08,9.4,13.05,7.23,3.95,12.28,37.010219375828854,32.56811296057824
2004-10-09,11.29,17.34,6.2,0.16,13.59,37.010219375828854,32.56811296057824
2004-10-10,12.17,18.74,6.2,0.0,16.64,37.010219375828854,32.56811296057824
2004-10-11,13.45,20.98,8.08,0.0,18.64,37.010219375828854,32.56811296057824
2004-10-12,14.38,22.65,7.78,0.0,18.34,37.010219375828854,32.56811296057824
2004-10-13,11.38,19.61,5.14,0.0,15.29,37.010219375828854,32.56811296057824
2004-10-14,11.72,18.23,5.5,0.0,16.61,37.010219375828854,32.56811296057824
2004-10-15,14.02,21.28,9.35,0.0,16.08,37.010219375828854,32.56811296057824
2004-10-16,13.65,21.58,7.91,0.0,15.63,37.010219375828854,32.56811296057824
2004-10-17,14.85,22.6,8.85,0.0,16.82,37.010219375828854,32.56811296057824
2004-10-18,16.41,24.18,11.92,0.0,14.21,37.010219375828854,32.56811296057824
2004-10-19,15.64,23.18,10.94,0.0,17.01,37.010219375828854,32.56811296057824
2004-10-20,14.17,21.45,9.27,0.0,12.77,37.010219375828854,32.56811296057824
2004-10-21,9.82,16.72,5.5,0.0,15.08,37.010219375828854,32.56811296057824
2004-10-22,11.36,19.86,5.6,0.0,16.24,37.010219375828854,32.56811296057824
2004-10-23,11.66,19.66,5.2,0.0,16.17,37.010219375828854,32.56811296057824
