date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.79,26.24,10.18,0.05,17.86,39.01963017692526,37.52327285979525
2004-10-02,15.39,24.02,9.07,0.07,17.76,39.01963017692526,37.52327285979525
2004-10-03,11.44,18.02,5.74,0.02,16.12,39.01963017692526,37.52327285979525
2004-10-04,8.81,15.49,3.88,0.08,16.9,39.01963017692526,37.52327285979525
2004-10-05,8.99,18.21,1.85,0.02,18.98,39.01963017692526,37.52327285979525
2004-10-06,11.74,20.52,3.44,0.0,12.54,39.01963017692526,37.52327285979525
2004-10-07,13.03,22.04,6.01,0.0,16.17,39.01963017692526,37.52327285979525
2004-10-08,11.33,18.95,5.16,0.8,11.97,39.01963017692526,37.52327285979525
2004-10-09,10.3,17.48,5.47,0.25,14.34,39.01963017692526,37.52327285979525
2004-10-10,10.34,17.61,4.54,0.01,13.88,39.01963017692526,37.52327285979525
2004-10-11,11.76,20.73,5.37,0.0,17.96,39.01963017692526,37.52327285979525
2004-10-12,11.53,21.44,3.84,0.15,17.23,39.01963017692526,37.52327285979525
2004-10-13,7.74,16.16,2.59,0.19,14.1,39.01963017692526,37.52327285979525
2004-10-14,9.66,18.27,1.69,0.01,15.35,39.01963017692526,37.52327285979525
2004-10-15,11.94,18.8,5.72,0.01,15.6,39.01963017692526,37.52327285979525
2004-10-16,12.39,19.25,6.75,0.0,12.05,39.01963017692526,37.52327285979525
2004-10-17,12.34,20.29,5.04,0.0,15.61,39.01963017692526,37.52327285979525
2004-10-18,14.67,22.25,7.43,0.0,14.29,39.01963017692526,37.52327285979525
2004-10-19,14.73,22.89,8.12,0.0,13.06,39.01963017692526,37.52327285979525
2004-10-20,12.94,21.24,6.77,1.32,12.99,39.01963017692526,37.52327285979525
2004-10-21,7.22,12.77,-0.14,2.64,11.49,39.01963017692526,37.52327285979525
2004-10-22,4.49,12.02,-1.53,0.0,11.78,39.01963017692526,37.52327285979525
2004-10-23,6.34,16.48,-1.54,0.0,16.42,39.01963017692526,37.52327285979525
2004-10-24,8.59,17.32,2.35,0.0,14.6,39.01963017692526,37.52327285979525
2004-10-25,10.26,18.32,3.66,0.0,14.55,39.01963017692526,37.52327285979525
2004-10-26,10.33,19.32,4.31,0.0,14.47,39.01963017692526,37.52327285979525
2004-10-27,11.82,20.92,5.64,0.0,9.47,39.01963017692526,37.52327285979525
2004-10-28,12.41,20.67,6.01,0.02,12.36,39.01963017692526,37.52327285979525
2004-10-29,9.25,13.41,7.31,6.37,6.28,39.01963017692526,37.52327285979525
2004-10-30,8.73,12.93,6.31,2.33,7.07,39.01963017692526,37.52327285979525
2004-10-31,8.29,13.62,4.34,1.07,10.39,39.01963017692526,37.52327285979525
2004-11-01,9.55,15.25,4.86,0.0,12.77,39.01963017692526,37.52327285979525
2004-11-02,10.55,17.03,6.08,0.0,13.34,39.01963017692526,37.52327285979525
2004-11-03,7.79,16.14,2.76,0.02,11.63,39.01963017692526,37.52327285979525
