date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,26.31,36.49,18.38,0.0,19.31,37.22974475972733,40.8653566272128
2004-10-02,25.48,34.82,18.73,0.0,18.96,37.22974475972733,40.8653566272128
2004-10-03,22.52,31.19,15.52,0.0,18.41,37.22974475972733,40.8653566272128
2004-10-04,23.07,31.39,16.52,0.0,16.71,37.22974475972733,40.8653566272128
2004-10-05,23.17,32.24,16.04,0.0,18.45,37.22974475972733,40.8653566272128
2004-10-06,24.47,34.13,15.36,0.0,15.32,37.22974475972733,40.8653566272128
2004-10-07,25.16,32.99,19.07,0.0,17.3,37.22974475972733,40.8653566272128
2004-10-08,24.95,33.39,18.78,0.01,14.34,37.22974475972733,40.8653566272128
2004-10-09,22.7,30.55,16.75,0.0,17.49,37.22974475972733,40.8653566272128
2004-10-10,20.48,28.46,14.66,0.0,18.19,37.22974475972733,40.8653566272128
2004-10-11,21.31,30.93,13.26,0.0,18.11,37.22974475972733,40.8653566272128
2004-10-12,22.16,29.19,16.25,0.01,7.58,37.22974475972733,40.8653566272128
2004-10-13,21.12,27.33,17.1,0.06,6.31,37.22974475972733,40.8653566272128
2004-10-14,21.51,29.32,14.77,0.0,16.18,37.22974475972733,40.8653566272128
2004-10-15,22.91,30.73,15.07,0.0,15.29,37.22974475972733,40.8653566272128
2004-10-16,23.65,30.46,16.87,0.0,12.35,37.22974475972733,40.8653566272128
2004-10-17,22.76,30.74,16.49,0.0,14.53,37.22974475972733,40.8653566272128
2004-10-18,23.06,32.51,16.07,0.0,15.4,37.22974475972733,40.8653566272128
2004-10-19,23.6,33.36,16.33,0.0,16.69,37.22974475972733,40.8653566272128
2004-10-20,22.15,32.09,14.96,0.0,16.24,37.22974475972733,40.8653566272128
2004-10-21,19.08,25.03,13.39,0.69,4.71,37.22974475972733,40.8653566272128
2004-10-22,16.39,24.35,10.44,0.0,15.85,37.22974475972733,40.8653566272128
