date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.95,26.49,12.71,0.0,20.01,38.841482912392,42.10586384027313
2004-10-02,17.23,25.26,11.26,0.16,18.91,38.841482912392,42.10586384027313
2004-10-03,14.44,21.97,8.11,0.77,17.77,38.841482912392,42.10586384027313
2004-10-04,12.34,20.47,5.45,0.2,12.09,38.841482912392,42.10586384027313
2004-10-05,11.72,20.34,3.46,0.01,18.3,38.841482912392,42.10586384027313
2004-10-06,12.8,22.85,4.32,0.28,15.38,38.841482912392,42.10586384027313
2004-10-07,14.92,24.72,6.62,0.03,16.25,38.841482912392,42.10586384027313
2004-10-08,16.18,23.62,11.34,2.78,14.86,38.841482912392,42.10586384027313
2004-10-09,14.89,22.6,8.01,0.61,16.12,38.841482912392,42.10586384027313
2004-10-10,11.72,19.32,6.8,0.0,18.61,38.841482912392,42.10586384027313
2004-10-11,12.2,20.41,6.88,0.0,18.55,38.841482912392,42.10586384027313
2004-10-12,12.92,21.31,7.49,0.05,15.31,38.841482912392,42.10586384027313
2004-10-13,11.96,19.45,6.05,0.67,8.62,38.841482912392,42.10586384027313
2004-10-14,10.68,19.07,2.18,0.28,15.23,38.841482912392,42.10586384027313
2004-10-15,12.83,19.76,8.34,0.25,14.83,38.841482912392,42.10586384027313
2004-10-16,12.49,18.91,6.24,0.38,14.64,38.841482912392,42.10586384027313
2004-10-17,13.23,19.75,7.14,0.01,14.71,38.841482912392,42.10586384027313
2004-10-18,13.36,21.52,7.09,0.0,16.31,38.841482912392,42.10586384027313
2004-10-19,13.8,21.98,7.08,0.0,16.23,38.841482912392,42.10586384027313
2004-10-20,14.26,21.73,9.77,0.0,15.32,38.841482912392,42.10586384027313
2004-10-21,6.82,11.18,-0.06,8.68,4.83,38.841482912392,42.10586384027313
2004-10-22,3.78,13.31,-3.99,1.22,11.86,38.841482912392,42.10586384027313
2004-10-23,5.47,14.42,-4.09,0.0,15.64,38.841482912392,42.10586384027313
2004-10-24,7.33,16.63,-0.29,0.0,15.82,38.841482912392,42.10586384027313
2004-10-25,8.97,17.37,1.83,0.0,14.3,38.841482912392,42.10586384027313
2004-10-26,9.82,17.92,2.47,0.0,15.8,38.841482912392,42.10586384027313
2004-10-27,11.51,20.29,3.52,0.0,14.7,38.841482912392,42.10586384027313
2004-10-28,11.82,19.08,5.63,0.05,10.74,38.841482912392,42.10586384027313
2004-10-29,11.46,19.88,4.76,0.9,12.54,38.841482912392,42.10586384027313
2004-10-30,8.97,10.89,6.84,7.58,3.66,38.841482912392,42.10586384027313
2004-10-31,8.79,14.14,5.67,1.31,8.24,38.841482912392,42.10586384027313
2004-11-01,9.05,16.32,3.19,0.0,11.07,38.841482912392,42.10586384027313
2004-11-02,9.36,16.41,4.66,0.0,11.58,38.841482912392,42.10586384027313
2004-11-03,8.24,14.99,2.75,0.18,11.3,38.841482912392,42.10586384027313
2004-11-04,4.91,10.02,-1.12,10.48,2.94,38.841482912392,42.10586384027313
2004-11-05,3.36,10.81,-4.02,0.01,11.82,38.841482912392,42.10586384027313
2004-11-06,4.77,11.81,0.43,0.12,10.7,38.841482912392,42.10586384027313
2004-11-07,6.23,11.66,2.31,1.21,7.7,38.841482912392,42.10586384027313
2004-11-08,6.77,12.12,2.51,0.58,7.59,38.841482912392,42.10586384027313
2004-11-09,7.49,12.44,4.68,1.97,4.62,38.841482912392,42.10586384027313
2004-11-10,7.02,12.41,3.81,0.31,9.27,38.841482912392,42.10586384027313
