date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,20.07,26.95,14.2,0.0,18.87,38.47968070821542,34.54014012008828
2004-10-02,16.58,24.75,9.97,0.0,18.71,38.47968070821542,34.54014012008828
2004-10-03,14.25,21.53,8.14,0.2,15.35,38.47968070821542,34.54014012008828
2004-10-04,12.2,19.06,6.07,0.0,16.95,38.47968070821542,34.54014012008828
2004-10-05,11.91,20.63,4.92,0.0,19.04,38.47968070821542,34.54014012008828
2004-10-06,13.97,24.72,4.35,0.02,15.91,38.47968070821542,34.54014012008828
2004-10-07,14.84,22.09,9.14,0.2,13.28,38.47968070821542,34.54014012008828
2004-10-08,13.06,18.52,7.84,3.29,15.12,38.47968070821542,34.54014012008828
2004-10-09,11.95,16.95,8.62,0.37,12.02,38.47968070821542,34.54014012008828
2004-10-10,13.33,20.14,7.96,0.0,15.89,38.47968070821542,34.54014012008828
2004-10-11,15.26,23.41,8.61,0.0,17.9,38.47968070821542,34.54014012008828
2004-10-12,14.99,24.32,8.29,0.0,17.03,38.47968070821542,34.54014012008828
2004-10-13,10.5,18.28,5.52,0.04,13.35,38.47968070821542,34.54014012008828
2004-10-14,12.71,20.9,4.81,0.01,16.04,38.47968070821542,34.54014012008828
2004-10-15,15.42,21.72,9.27,0.0,15.33,38.47968070821542,34.54014012008828
2004-10-16,14.92,22.01,8.49,0.0,14.63,38.47968070821542,34.54014012008828
2004-10-17,16.53,24.39,9.39,0.0,15.83,38.47968070821542,34.54014012008828
2004-10-18,18.31,26.74,11.42,0.0,15.01,38.47968070821542,34.54014012008828
2004-10-19,17.4,25.55,10.4,0.0,16.14,38.47968070821542,34.54014012008828
2004-10-20,15.03,21.35,8.47,0.16,10.78,38.47968070821542,34.54014012008828
2004-10-21,11.8,17.44,8.55,0.29,14.7,38.47968070821542,34.54014012008828
2004-10-22,11.56,18.71,6.0,0.0,11.74,38.47968070821542,34.54014012008828
2004-10-23,11.55,20.33,5.27,0.0,15.67,38.47968070821542,34.54014012008828
2004-10-24,13.63,21.63,6.4,0.0,14.95,38.47968070821542,34.54014012008828
2004-10-25,13.77,22.19,8.44,0.0,15.22,38.47968070821542,34.54014012008828
2004-10-26,14.81,23.94,8.19,0.0,15.16,38.47968070821542,34.54014012008828
2004-10-27,17.21,25.93,10.1,0.0,11.33,38.47968070821542,34.54014012008828
2004-10-28,17.63,24.68,11.99,0.04,12.16,38.47968070821542,34.54014012008828
