date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.41,25.81,14.3,0.0,18.87,38.103227195824374,34.533955899374476
2004-10-02,17.17,24.71,11.47,0.0,18.71,38.103227195824374,34.533955899374476
2004-10-03,14.27,21.35,9.0,0.15,15.35,38.103227195824374,34.533955899374476
2004-10-04,12.09,19.31,5.96,0.0,16.95,38.103227195824374,34.533955899374476
2004-10-05,12.49,21.72,4.36,0.0,19.04,38.103227195824374,34.533955899374476
2004-10-06,13.95,22.52,7.32,0.26,15.91,38.103227195824374,34.533955899374476
2004-10-07,13.3,20.63,7.93,0.08,13.28,38.103227195824374,34.533955899374476
2004-10-08,12.16,17.86,7.38,2.07,15.12,38.103227195824374,34.533955899374476
2004-10-09,11.36,16.57,7.78,0.45,12.02,38.103227195824374,34.533955899374476
2004-10-10,12.64,19.9,7.6,0.01,15.89,38.103227195824374,34.533955899374476
2004-10-11,14.61,22.94,8.64,0.0,17.9,38.103227195824374,34.533955899374476
2004-10-12,14.52,23.87,8.2,0.0,17.03,38.103227195824374,34.533955899374476
2004-10-13,12.3,21.16,6.18,0.0,13.35,38.103227195824374,34.533955899374476
2004-10-14,13.98,19.94,7.1,0.1,16.04,38.103227195824374,34.533955899374476
2004-10-15,14.91,21.14,8.8,0.0,15.33,38.103227195824374,34.533955899374476
2004-10-16,14.7,21.19,10.35,0.0,14.63,38.103227195824374,34.533955899374476
2004-10-17,15.77,23.43,8.86,0.0,15.83,38.103227195824374,34.533955899374476
2004-10-18,18.21,25.6,12.68,0.0,15.01,38.103227195824374,34.533955899374476
2004-10-19,17.52,25.62,12.17,0.0,16.14,38.103227195824374,34.533955899374476
2004-10-20,15.35,20.94,10.46,0.03,10.78,38.103227195824374,34.533955899374476
2004-10-21,10.94,16.78,6.69,0.09,14.7,38.103227195824374,34.533955899374476
2004-10-22,11.13,18.07,6.42,0.0,11.74,38.103227195824374,34.533955899374476
2004-10-23,11.77,20.62,4.73,0.0,15.67,38.103227195824374,34.533955899374476
2004-10-24,12.41,20.55,5.77,0.0,14.95,38.103227195824374,34.533955899374476
2004-10-25,13.36,21.69,7.66,0.0,15.22,38.103227195824374,34.533955899374476
2004-10-26,13.8,22.95,7.05,0.0,15.16,38.103227195824374,34.533955899374476
