date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.98,21.73,15.43,6.19,14.36,40.81099636785599,37.28163239824192
2004-10-02,16.82,19.84,15.08,4.48,10.07,40.81099636785599,37.28163239824192
2004-10-03,15.35,18.07,13.12,3.43,8.8,40.81099636785599,37.28163239824192
2004-10-04,13.83,15.67,12.2,6.35,8.25,40.81099636785599,37.28163239824192
2004-10-05,13.11,15.46,11.77,2.72,12.05,40.81099636785599,37.28163239824192
2004-10-06,14.68,17.66,12.0,0.18,13.88,40.81099636785599,37.28163239824192
2004-10-07,17.45,22.77,14.1,0.0,14.91,40.81099636785599,37.28163239824192
2004-10-08,18.48,27.31,13.22,0.13,11.58,40.81099636785599,37.28163239824192
2004-10-09,15.82,18.58,13.07,7.13,10.17,40.81099636785599,37.28163239824192
2004-10-10,16.85,23.41,12.48,0.04,14.32,40.81099636785599,37.28163239824192
2004-10-11,19.84,27.42,14.59,0.0,17.45,40.81099636785599,37.28163239824192
2004-10-12,14.37,21.13,9.81,13.75,12.59,40.81099636785599,37.28163239824192
2004-10-13,8.59,10.46,6.03,17.18,4.17,40.81099636785599,37.28163239824192
2004-10-14,10.22,13.91,6.03,0.17,12.65,40.81099636785599,37.28163239824192
2004-10-15,15.72,21.56,12.54,0.0,15.01,40.81099636785599,37.28163239824192
2004-10-16,17.61,23.83,13.98,0.0,12.49,40.81099636785599,37.28163239824192
2004-10-17,18.81,27.24,14.16,0.0,14.19,40.81099636785599,37.28163239824192
2004-10-18,21.74,29.65,16.65,0.0,12.26,40.81099636785599,37.28163239824192
2004-10-19,18.06,23.66,14.51,0.01,13.32,40.81099636785599,37.28163239824192
2004-10-20,17.0,21.7,14.37,4.17,8.67,40.81099636785599,37.28163239824192
2004-10-21,13.44,16.58,11.4,7.13,9.46,40.81099636785599,37.28163239824192
2004-10-22,12.01,14.36,9.98,0.09,12.52,40.81099636785599,37.28163239824192
2004-10-23,12.74,17.43,9.6,0.08,15.34,40.81099636785599,37.28163239824192
2004-10-24,14.98,23.17,10.06,0.0,14.14,40.81099636785599,37.28163239824192
2004-10-25,14.83,19.58,11.55,0.0,14.01,40.81099636785599,37.28163239824192
2004-10-26,16.57,23.58,11.92,0.0,14.36,40.81099636785599,37.28163239824192
2004-10-27,20.31,30.26,13.77,0.05,10.12,40.81099636785599,37.28163239824192
2004-10-28,19.6,27.16,16.83,0.06,10.18,40.81099636785599,37.28163239824192
2004-10-29,17.61,21.79,14.93,0.23,8.4,40.81099636785599,37.28163239824192
2004-10-30,17.5,22.24,14.54,0.5,8.0,40.81099636785599,37.28163239824192
2004-10-31,16.73,20.82,14.18,0.13,11.1,40.81099636785599,37.28163239824192
2004-11-01,17.22,23.55,12.97,0.0,12.66,40.81099636785599,37.28163239824192
2004-11-02,16.62,23.23,12.58,0.39,12.1,40.81099636785599,37.28163239824192
2004-11-03,12.53,15.85,10.29,8.0,5.64,40.81099636785599,37.28163239824192
2004-11-04,8.97,11.0,5.14,6.88,8.68,40.81099636785599,37.28163239824192
2004-11-05,7.97,13.82,4.06,0.0,13.44,40.81099636785599,37.28163239824192
2004-11-06,11.37,18.33,6.48,0.0,12.49,40.81099636785599,37.28163239824192
2004-11-07,13.32,18.64,9.21,0.01,8.09,40.81099636785599,37.28163239824192
2004-11-08,14.83,22.0,10.17,0.21,10.4,40.81099636785599,37.28163239824192
2004-11-09,16.89,23.88,13.04,0.01,7.76,40.81099636785599,37.28163239824192
2004-11-10,17.33,23.86,14.52,0.0,8.34,40.81099636785599,37.28163239824192
2004-11-11,16.36,23.16,13.25,0.42,9.15,40.81099636785599,37.28163239824192
2004-11-12,14.38,19.84,11.13,0.0,10.16,40.81099636785599,37.28163239824192
2004-11-13,14.04,20.13,9.83,0.0,11.0,40.81099636785599,37.28163239824192
2004-11-14,16.69,24.9,10.75,0.0,11.6,40.81099636785599,37.28163239824192
2004-11-15,16.59,21.45,13.71,1.36,5.23,40.81099636785599,37.28163239824192
2004-11-16,15.51,20.26,11.84,3.5,6.88,40.81099636785599,37.28163239824192
2004-11-17,9.08,11.88,7.11,58.84,2.9,40.81099636785599,37.28163239824192
2004-11-18,7.1,9.68,4.62,4.02,6.62,40.81099636785599,37.28163239824192
2004-11-19,9.06,16.81,4.65,0.0,10.88,40.81099636785599,37.28163239824192
2004-11-20,12.25,17.33,7.89,3.5,3.9,40.81099636785599,37.28163239824192
2004-11-21,3.61,7.99,2.06,47.87,1.98,40.81099636785599,37.28163239824192
2004-11-22,2.62,3.22,1.99,16.43,2.64,40.81099636785599,37.28163239824192
2004-11-23,1.46,2.72,-0.58,2.13,5.42,40.81099636785599,37.28163239824192
2004-11-24,2.35,5.59,-1.04,0.18,2.98,40.81099636785599,37.28163239824192
2004-11-25,2.86,4.3,1.95,11.63,1.5,40.81099636785599,37.28163239824192
2004-11-26,2.67,3.52,1.46,17.94,1.12,40.81099636785599,37.28163239824192
2004-11-27,2.39,4.7,0.37,1.87,3.4,40.81099636785599,37.28163239824192
2004-11-28,3.16,8.3,-0.87,0.17,8.92,40.81099636785599,37.28163239824192
2004-11-29,4.3,9.22,1.16,0.01,7.01,40.81099636785599,37.28163239824192
2004-11-30,5.58,10.56,1.53,0.03,6.85,40.81099636785599,37.28163239824192
2004-12-01,5.32,6.69,2.99,7.3,2.76,40.81099636785599,37.28163239824192
2004-12-02,4.92,11.2,1.28,0.0,8.72,40.81099636785599,37.28163239824192
2004-12-03,7.03,11.45,2.97,0.04,5.87,40.81099636785599,37.28163239824192
2004-12-04,9.35,13.45,7.18,5.46,7.14,40.81099636785599,37.28163239824192
2004-12-05,5.16,8.01,3.26,14.19,2.69,40.81099636785599,37.28163239824192
2004-12-06,5.3,10.37,1.7,0.14,7.85,40.81099636785599,37.28163239824192
2004-12-07,3.57,7.96,0.67,4.62,6.11,40.81099636785599,37.28163239824192
2004-12-08,3.73,5.5,0.97,1.43,4.98,40.81099636785599,37.28163239824192
2004-12-09,3.34,7.93,0.32,1.31,8.06,40.81099636785599,37.28163239824192
2004-12-10,3.67,6.25,1.52,2.08,6.36,40.81099636785599,37.28163239824192
2004-12-11,1.79,3.83,0.82,5.98,5.24,40.81099636785599,37.28163239824192
2004-12-12,2.22,4.48,0.8,6.63,3.78,40.81099636785599,37.28163239824192
2004-12-13,3.24,6.44,1.69,0.64,2.96,40.81099636785599,37.28163239824192
2004-12-14,2.24,3.8,0.1,11.01,3.27,40.81099636785599,37.28163239824192
2004-12-15,-0.24,0.88,-0.94,9.36,5.48,40.81099636785599,37.28163239824192
2004-12-16,-0.98,0.86,-4.23,7.09,5.54,40.81099636785599,37.28163239824192
2004-12-17,-2.29,2.47,-5.79,0.0,9.28,40.81099636785599,37.28163239824192
2004-12-18,0.1,4.31,-3.08,0.0,9.74,40.81099636785599,37.28163239824192
2004-12-19,2.53,4.81,-0.22,0.11,4.66,40.81099636785599,37.28163239824192
2004-12-20,4.62,8.48,0.99,0.12,4.49,40.81099636785599,37.28163239824192
2004-12-21,6.69,10.5,4.71,1.02,4.31,40.81099636785599,37.28163239824192
2004-12-22,6.16,11.21,3.06,0.33,8.41,40.81099636785599,37.28163239824192
2004-12-23,5.53,7.45,3.4,10.15,2.54,40.81099636785599,37.28163239824192
2004-12-24,5.67,8.28,3.74,8.96,4.14,40.81099636785599,37.28163239824192
2004-12-25,4.07,5.49,1.81,3.16,4.17,40.81099636785599,37.28163239824192
2004-12-26,4.33,10.53,0.29,0.0,6.93,40.81099636785599,37.28163239824192
2004-12-27,6.25,11.84,3.61,0.0,8.76,40.81099636785599,37.28163239824192
2004-12-28,8.75,14.44,4.9,0.0,8.9,40.81099636785599,37.28163239824192
2004-12-29,10.11,13.49,8.19,0.11,5.16,40.81099636785599,37.28163239824192
2004-12-30,9.37,14.42,5.0,0.0,8.77,40.81099636785599,37.28163239824192
2004-12-31,6.75,11.87,3.53,0.0,7.93,40.81099636785599,37.28163239824192
2005-01-01,6.76,13.31,2.93,0.01,7.26,40.81099636785599,37.28163239824192
2005-01-02,5.4,6.49,3.9,14.52,2.52,40.81099636785599,37.28163239824192
2005-01-03,3.38,4.82,1.83,7.08,3.41,40.81099636785599,37.28163239824192
2005-01-04,4.03,8.57,1.05,0.52,6.06,40.81099636785599,37.28163239824192
2005-01-05,2.92,6.24,1.22,2.8,6.69,40.81099636785599,37.28163239824192
2005-01-06,3.35,6.66,1.14,1.42,3.73,40.81099636785599,37.28163239824192
2005-01-07,4.55,9.17,1.9,0.1,5.02,40.81099636785599,37.28163239824192
2005-01-08,4.01,7.99,1.4,0.1,6.34,40.81099636785599,37.28163239824192
2005-01-09,4.38,11.31,0.2,0.0,9.85,40.81099636785599,37.28163239824192
2005-01-10,5.53,9.24,3.05,0.06,8.3,40.81099636785599,37.28163239824192
2005-01-11,4.98,7.79,3.88,0.21,4.81,40.81099636785599,37.28163239824192
2005-01-12,7.11,11.09,4.46,0.0,4.89,40.81099636785599,37.28163239824192
2005-01-13,7.58,15.27,3.56,0.0,10.24,40.81099636785599,37.28163239824192
2005-01-14,7.94,14.97,5.27,0.0,9.77,40.81099636785599,37.28163239824192
2005-01-15,5.92,10.29,3.65,0.05,7.42,40.81099636785599,37.28163239824192
2005-01-16,5.44,11.05,2.2,0.0,7.27,40.81099636785599,37.28163239824192
2005-01-17,5.86,10.93,3.32,0.0,7.74,40.81099636785599,37.28163239824192
2005-01-18,4.95,7.75,3.12,0.02,7.5,40.81099636785599,37.28163239824192
2005-01-19,4.85,8.4,3.31,0.15,7.91,40.81099636785599,37.28163239824192
2005-01-20,6.08,11.9,1.87,0.0,8.43,40.81099636785599,37.28163239824192
2005-01-21,6.85,11.68,2.97,0.03,5.93,40.81099636785599,37.28163239824192
2005-01-22,8.24,11.52,6.32,0.14,6.18,40.81099636785599,37.28163239824192
2005-01-23,4.07,7.02,1.04,11.06,3.41,40.81099636785599,37.28163239824192
2005-01-24,1.08,2.56,-1.9,5.23,4.54,40.81099636785599,37.28163239824192
2005-01-25,2.3,8.38,-3.24,0.23,6.82,40.81099636785599,37.28163239824192
2005-01-26,6.76,12.36,3.37,0.04,7.28,40.81099636785599,37.28163239824192
2005-01-27,6.76,11.72,3.21,0.0,7.2,40.81099636785599,37.28163239824192
2005-01-28,7.8,9.95,5.9,0.56,3.32,40.81099636785599,37.28163239824192
2005-01-29,10.47,14.69,8.3,0.67,7.48,40.81099636785599,37.28163239824192
2005-01-30,9.3,13.66,5.28,6.04,3.02,40.81099636785599,37.28163239824192
2005-01-31,2.13,4.91,0.71,19.27,2.95,40.81099636785599,37.28163239824192
2005-02-01,2.74,7.15,0.73,4.23,4.24,40.81099636785599,37.28163239824192
