date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.26,21.28,15.0,1.82,16.44,40.79041505771783,40.706434994666694
2004-10-02,15.61,18.06,14.0,23.22,12.55,40.79041505771783,40.706434994666694
2004-10-03,12.7,14.39,11.32,18.94,9.65,40.79041505771783,40.706434994666694
2004-10-04,11.07,12.36,9.03,6.61,10.06,40.79041505771783,40.706434994666694
2004-10-05,10.82,14.27,7.84,0.16,17.19,40.79041505771783,40.706434994666694
2004-10-06,13.33,17.91,9.42,0.22,17.52,40.79041505771783,40.706434994666694
2004-10-07,17.39,23.58,11.85,0.01,16.39,40.79041505771783,40.706434994666694
2004-10-08,17.68,22.09,14.18,0.84,14.2,40.79041505771783,40.706434994666694
2004-10-09,15.34,19.16,13.16,4.74,9.6,40.79041505771783,40.706434994666694
2004-10-10,14.32,17.31,12.25,2.1,13.06,40.79041505771783,40.706434994666694
2004-10-11,16.45,21.25,11.94,0.0,17.38,40.79041505771783,40.706434994666694
2004-10-12,13.69,19.64,8.69,12.48,14.78,40.79041505771783,40.706434994666694
2004-10-13,7.02,8.47,6.02,18.93,7.6,40.79041505771783,40.706434994666694
2004-10-14,9.17,13.18,5.45,1.12,13.91,40.79041505771783,40.706434994666694
2004-10-15,13.94,17.48,10.68,0.22,14.26,40.79041505771783,40.706434994666694
2004-10-16,15.21,19.12,12.22,0.52,13.14,40.79041505771783,40.706434994666694
2004-10-17,15.87,20.6,12.98,0.0,14.29,40.79041505771783,40.706434994666694
2004-10-18,17.59,22.78,13.41,0.0,14.36,40.79041505771783,40.706434994666694
2004-10-19,16.69,21.1,13.72,0.11,11.68,40.79041505771783,40.706434994666694
2004-10-20,15.61,19.41,13.07,1.52,12.01,40.79041505771783,40.706434994666694
2004-10-21,9.56,12.79,8.04,24.78,6.15,40.79041505771783,40.706434994666694
2004-10-22,8.51,9.72,7.6,6.72,10.64,40.79041505771783,40.706434994666694
2004-10-23,9.01,12.41,7.04,0.32,14.81,40.79041505771783,40.706434994666694
2004-10-24,12.38,18.11,7.22,0.0,13.2,40.79041505771783,40.706434994666694
2004-10-25,12.52,16.41,9.96,0.0,14.61,40.79041505771783,40.706434994666694
2004-10-26,14.14,19.31,10.56,0.0,14.44,40.79041505771783,40.706434994666694
2004-10-27,15.74,22.58,10.52,0.0,13.29,40.79041505771783,40.706434994666694
2004-10-28,16.59,21.6,13.33,0.05,11.22,40.79041505771783,40.706434994666694
2004-10-29,15.91,19.97,13.33,0.02,11.81,40.79041505771783,40.706434994666694
2004-10-30,14.54,18.34,12.58,2.2,3.9,40.79041505771783,40.706434994666694
2004-10-31,13.35,16.34,11.26,0.15,10.35,40.79041505771783,40.706434994666694
2004-11-01,13.97,17.46,11.58,0.01,11.34,40.79041505771783,40.706434994666694
2004-11-02,14.03,18.37,10.27,0.54,9.73,40.79041505771783,40.706434994666694
2004-11-03,10.82,12.99,8.87,17.46,7.27,40.79041505771783,40.706434994666694
2004-11-04,6.49,8.63,4.55,16.22,7.75,40.79041505771783,40.706434994666694
2004-11-05,6.98,10.73,4.39,0.04,9.77,40.79041505771783,40.706434994666694
2004-11-06,9.39,14.55,6.11,0.0,11.76,40.79041505771783,40.706434994666694
2004-11-07,10.98,15.28,6.89,0.0,7.95,40.79041505771783,40.706434994666694
2004-11-08,12.24,17.0,8.41,0.11,9.22,40.79041505771783,40.706434994666694
2004-11-09,12.93,17.56,9.24,0.03,9.33,40.79041505771783,40.706434994666694
2004-11-10,12.89,16.44,10.67,0.04,8.86,40.79041505771783,40.706434994666694
2004-11-11,12.85,17.25,9.03,0.01,9.24,40.79041505771783,40.706434994666694
2004-11-12,12.03,15.27,9.62,0.0,10.21,40.79041505771783,40.706434994666694
2004-11-13,11.01,15.13,8.07,0.0,11.34,40.79041505771783,40.706434994666694
2004-11-14,11.64,17.72,7.86,0.0,11.09,40.79041505771783,40.706434994666694
