date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.3,25.59,12.51,0.63,5.26,41.23256519993084,35.007140268460894
2004-10-02,14.77,21.08,11.4,1.5,12.69,41.23256519993084,35.007140268460894
2004-10-03,12.15,17.41,9.07,2.34,10.98,41.23256519993084,35.007140268460894
2004-10-04,10.29,13.73,8.3,0.36,9.78,41.23256519993084,35.007140268460894
2004-10-05,9.66,14.09,6.99,0.09,8.67,41.23256519993084,35.007140268460894
2004-10-06,10.64,16.99,6.82,0.7,8.08,41.23256519993084,35.007140268460894
2004-10-07,14.49,21.99,10.12,0.74,11.83,41.23256519993084,35.007140268460894
2004-10-08,14.11,19.77,8.55,5.04,14.22,41.23256519993084,35.007140268460894
2004-10-09,13.08,17.35,9.41,4.05,5.84,41.23256519993084,35.007140268460894
2004-10-10,13.18,20.38,7.23,0.0,15.73,41.23256519993084,35.007140268460894
2004-10-11,14.7,23.89,6.68,0.0,16.38,41.23256519993084,35.007140268460894
2004-10-12,9.43,15.19,4.46,3.48,3.8,41.23256519993084,35.007140268460894
2004-10-13,4.23,7.76,-0.05,0.92,4.32,41.23256519993084,35.007140268460894
2004-10-14,6.75,14.56,-0.47,0.0,13.6,41.23256519993084,35.007140268460894
2004-10-15,12.56,21.05,4.5,0.0,14.21,41.23256519993084,35.007140268460894
2004-10-16,14.79,22.23,8.74,0.0,9.4,41.23256519993084,35.007140268460894
2004-10-17,15.07,22.47,8.74,0.03,8.56,41.23256519993084,35.007140268460894
2004-10-18,16.79,27.09,9.52,0.0,13.44,41.23256519993084,35.007140268460894
2004-10-19,15.08,24.16,9.72,0.02,11.07,41.23256519993084,35.007140268460894
2004-10-20,12.44,16.95,9.12,2.25,5.1,41.23256519993084,35.007140268460894
2004-10-21,9.58,16.53,5.28,0.33,12.69,41.23256519993084,35.007140268460894
2004-10-22,8.76,15.92,5.04,0.0,10.74,41.23256519993084,35.007140268460894
2004-10-23,9.93,17.32,4.93,0.0,14.22,41.23256519993084,35.007140268460894
2004-10-24,11.42,21.18,4.56,0.0,13.52,41.23256519993084,35.007140268460894
2004-10-25,12.53,22.05,5.17,0.0,13.61,41.23256519993084,35.007140268460894
2004-10-26,14.92,23.05,8.62,0.0,13.47,41.23256519993084,35.007140268460894
2004-10-27,15.8,25.03,7.46,0.0,11.34,41.23256519993084,35.007140268460894
2004-10-28,15.56,24.0,8.07,0.01,10.86,41.23256519993084,35.007140268460894
2004-10-29,14.55,19.99,11.49,0.04,9.81,41.23256519993084,35.007140268460894
2004-10-30,14.47,21.11,10.71,0.1,9.28,41.23256519993084,35.007140268460894
2004-10-31,14.2,21.09,9.6,0.0,11.41,41.23256519993084,35.007140268460894
2004-11-01,14.35,21.84,7.37,0.0,12.29,41.23256519993084,35.007140268460894
2004-11-02,13.92,22.62,8.48,0.1,9.95,41.23256519993084,35.007140268460894
2004-11-03,9.2,14.85,5.32,1.36,4.43,41.23256519993084,35.007140268460894
2004-11-04,5.06,10.35,0.54,0.59,8.45,41.23256519993084,35.007140268460894
2004-11-05,5.04,13.72,-0.08,0.0,12.42,41.23256519993084,35.007140268460894
2004-11-06,7.45,16.27,0.2,0.0,12.47,41.23256519993084,35.007140268460894
2004-11-07,8.71,14.14,3.73,0.03,8.45,41.23256519993084,35.007140268460894
2004-11-08,10.63,19.16,3.52,0.0,10.39,41.23256519993084,35.007140268460894
2004-11-09,11.89,19.02,5.75,0.0,9.96,41.23256519993084,35.007140268460894
2004-11-10,13.08,18.59,7.34,0.0,9.12,41.23256519993084,35.007140268460894
2004-11-11,13.38,19.68,9.75,0.06,8.75,41.23256519993084,35.007140268460894
2004-11-12,12.06,18.55,8.21,0.0,7.67,41.23256519993084,35.007140268460894
2004-11-13,12.09,19.14,6.13,0.0,10.22,41.23256519993084,35.007140268460894
2004-11-14,11.46,20.39,5.16,0.0,10.71,41.23256519993084,35.007140268460894
2004-11-15,12.31,18.96,7.62,0.15,3.56,41.23256519993084,35.007140268460894
2004-11-16,10.7,15.5,6.92,2.36,5.9,41.23256519993084,35.007140268460894
2004-11-17,5.19,8.16,2.02,7.85,3.87,41.23256519993084,35.007140268460894
2004-11-18,3.22,8.42,-0.68,0.71,7.63,41.23256519993084,35.007140268460894
2004-11-19,3.28,11.5,-2.29,0.0,10.48,41.23256519993084,35.007140268460894
2004-11-20,6.39,13.86,0.48,10.81,4.49,41.23256519993084,35.007140268460894
2004-11-21,-1.1,0.52,-2.29,17.49,2.25,41.23256519993084,35.007140268460894
2004-11-22,-3.02,-2.02,-4.81,5.07,3.16,41.23256519993084,35.007140268460894
2004-11-23,-5.1,-0.54,-10.09,2.03,5.82,41.23256519993084,35.007140268460894
2004-11-24,-3.95,0.94,-7.72,0.13,3.56,41.23256519993084,35.007140268460894
2004-11-25,-3.09,-0.12,-5.14,12.87,1.04,41.23256519993084,35.007140268460894
2004-11-26,-3.43,-0.8,-6.58,5.72,3.62,41.23256519993084,35.007140268460894
