date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,26.04,34.0,18.84,0.0,19.07,37.31338695975204,38.594932643060254
2004-10-02,25.05,32.95,18.43,0.01,18.62,37.31338695975204,38.594932643060254
2004-10-03,23.09,30.66,16.18,0.0,17.04,37.31338695975204,38.594932643060254
2004-10-04,22.01,29.0,15.53,0.0,16.91,37.31338695975204,38.594932643060254
2004-10-05,21.57,29.05,14.03,0.0,18.64,37.31338695975204,38.594932643060254
2004-10-06,23.01,31.24,15.4,0.0,13.67,37.31338695975204,38.594932643060254
2004-10-07,22.13,29.84,15.57,0.0,16.92,37.31338695975204,38.594932643060254
2004-10-08,22.04,29.23,15.97,0.01,14.71,37.31338695975204,38.594932643060254
2004-10-09,20.84,26.77,15.69,0.0,17.47,37.31338695975204,38.594932643060254
2004-10-10,19.72,26.89,14.07,0.0,17.77,37.31338695975204,38.594932643060254
2004-10-11,22.1,28.64,16.1,0.0,17.58,37.31338695975204,38.594932643060254
2004-10-12,22.67,29.91,15.36,0.0,10.27,37.31338695975204,38.594932643060254
2004-10-13,20.72,26.93,16.55,0.0,8.69,37.31338695975204,38.594932643060254
2004-10-14,20.43,27.18,14.33,0.0,15.84,37.31338695975204,38.594932643060254
2004-10-15,22.98,29.05,16.87,0.0,15.31,37.31338695975204,38.594932643060254
2004-10-16,22.67,28.52,16.17,0.0,12.25,37.31338695975204,38.594932643060254
2004-10-17,22.25,28.95,15.57,0.0,13.5,37.31338695975204,38.594932643060254
2004-10-18,23.46,30.98,16.92,0.0,16.08,37.31338695975204,38.594932643060254
2004-10-19,23.88,31.45,18.94,0.0,16.47,37.31338695975204,38.594932643060254
2004-10-20,22.93,30.2,18.71,0.0,16.0,37.31338695975204,38.594932643060254
2004-10-21,18.85,23.79,13.15,0.46,9.75,37.31338695975204,38.594932643060254
2004-10-22,15.51,21.61,8.4,0.0,14.88,37.31338695975204,38.594932643060254
2004-10-23,17.26,24.43,10.15,0.0,16.25,37.31338695975204,38.594932643060254
2004-10-24,17.66,25.29,10.84,0.0,14.39,37.31338695975204,38.594932643060254
2004-10-25,18.94,27.27,11.45,0.0,14.61,37.31338695975204,38.594932643060254
2004-10-26,19.83,28.17,13.47,0.0,14.03,37.31338695975204,38.594932643060254
2004-10-27,21.7,29.02,15.02,0.0,9.97,37.31338695975204,38.594932643060254
2004-10-28,22.33,29.98,15.48,0.0,12.86,37.31338695975204,38.594932643060254
2004-10-29,17.6,21.15,14.36,4.8,3.01,37.31338695975204,38.594932643060254
2004-10-30,17.58,22.81,14.26,2.85,6.35,37.31338695975204,38.594932643060254
2004-10-31,16.6,21.44,13.25,0.84,10.55,37.31338695975204,38.594932643060254
2004-11-01,17.86,23.29,13.0,0.01,12.97,37.31338695975204,38.594932643060254
2004-11-02,18.04,24.4,11.93,0.0,13.03,37.31338695975204,38.594932643060254
2004-11-03,17.75,24.52,13.02,0.01,13.12,37.31338695975204,38.594932643060254
2004-11-04,14.64,21.41,9.53,0.96,8.93,37.31338695975204,38.594932643060254
2004-11-05,12.95,20.98,7.18,0.52,13.39,37.31338695975204,38.594932643060254
2004-11-06,11.75,15.02,8.82,30.64,1.82,37.31338695975204,38.594932643060254
2004-11-07,13.41,18.43,10.24,7.11,3.46,37.31338695975204,38.594932643060254
2004-11-08,14.4,20.49,10.51,1.16,9.79,37.31338695975204,38.594932643060254
2004-11-09,14.44,17.86,12.47,5.84,6.23,37.31338695975204,38.594932643060254
2004-11-10,14.32,19.38,9.85,1.98,5.14,37.31338695975204,38.594932643060254
2004-11-11,15.12,20.44,10.41,0.08,9.83,37.31338695975204,38.594932643060254
2004-11-12,15.61,21.69,11.84,0.01,11.97,37.31338695975204,38.594932643060254
2004-11-13,15.31,22.27,8.82,0.0,12.79,37.31338695975204,38.594932643060254
2004-11-14,14.68,21.86,7.6,0.0,12.84,37.31338695975204,38.594932643060254
2004-11-15,13.72,20.26,7.92,0.04,8.62,37.31338695975204,38.594932643060254
2004-11-16,13.93,19.34,10.68,2.02,5.34,37.31338695975204,38.594932643060254
2004-11-17,11.89,15.3,9.1,27.11,3.47,37.31338695975204,38.594932643060254
2004-11-18,9.48,15.48,5.04,2.88,12.24,37.31338695975204,38.594932643060254
2004-11-19,8.33,15.22,2.1,0.0,12.78,37.31338695975204,38.594932643060254
2004-11-20,9.79,15.2,4.97,0.23,6.25,37.31338695975204,38.594932643060254
2004-11-21,9.57,12.39,6.82,27.32,2.1,37.31338695975204,38.594932643060254
2004-11-22,7.69,11.61,2.23,4.67,4.27,37.31338695975204,38.594932643060254
2004-11-23,2.9,7.51,-1.64,2.63,11.87,37.31338695975204,38.594932643060254
2004-11-24,1.22,7.39,-3.66,0.0,12.1,37.31338695975204,38.594932643060254
2004-11-25,3.31,7.76,0.23,7.3,2.38,37.31338695975204,38.594932643060254
2004-11-26,1.59,2.32,0.97,24.21,2.27,37.31338695975204,38.594932643060254
