date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,19.09,26.57,13.84,0.0,20.28,37.76092574125737,42.40930045020413
2004-10-02,17.76,24.63,12.41,0.0,19.34,37.76092574125737,42.40930045020413
2004-10-03,14.9,21.59,9.53,0.05,18.88,37.76092574125737,42.40930045020413
2004-10-04,14.65,20.91,9.72,0.01,15.42,37.76092574125737,42.40930045020413
2004-10-05,15.1,22.54,9.87,0.0,19.04,37.76092574125737,42.40930045020413
2004-10-06,15.44,23.69,9.56,0.01,16.17,37.76092574125737,42.40930045020413
2004-10-07,17.04,24.89,10.28,0.0,17.69,37.76092574125737,42.40930045020413
2004-10-08,17.56,23.98,12.79,0.24,15.41,37.76092574125737,42.40930045020413
2004-10-09,16.0,23.5,9.51,0.02,16.8,37.76092574125737,42.40930045020413
2004-10-10,12.48,19.8,6.93,0.0,17.79,37.76092574125737,42.40930045020413
2004-10-11,13.06,21.07,6.44,0.0,18.43,37.76092574125737,42.40930045020413
2004-10-12,13.66,21.12,8.91,0.08,12.78,37.76092574125737,42.40930045020413
2004-10-13,12.61,17.01,9.44,1.04,7.22,37.76092574125737,42.40930045020413
2004-10-14,12.86,20.17,6.61,0.28,16.21,37.76092574125737,42.40930045020413
2004-10-15,13.56,20.15,9.15,0.01,15.87,37.76092574125737,42.40930045020413
2004-10-16,13.94,20.34,8.75,0.02,14.71,37.76092574125737,42.40930045020413
2004-10-17,13.92,20.02,8.78,0.0,15.79,37.76092574125737,42.40930045020413
2004-10-18,14.04,21.66,8.43,0.0,16.83,37.76092574125737,42.40930045020413
2004-10-19,14.39,22.26,7.72,0.0,17.07,37.76092574125737,42.40930045020413
2004-10-20,14.41,21.75,9.92,0.0,16.34,37.76092574125737,42.40930045020413
2004-10-21,10.02,15.46,3.97,14.26,4.65,37.76092574125737,42.40930045020413
2004-10-22,7.23,15.64,-0.09,1.59,16.83,37.76092574125737,42.40930045020413
2004-10-23,8.71,15.85,2.89,0.0,15.19,37.76092574125737,42.40930045020413
2004-10-24,8.81,17.35,1.85,0.0,16.73,37.76092574125737,42.40930045020413
2004-10-25,10.55,17.45,5.78,0.0,14.73,37.76092574125737,42.40930045020413
2004-10-26,10.84,18.52,5.95,0.0,15.19,37.76092574125737,42.40930045020413
2004-10-27,12.32,20.19,6.08,0.0,14.97,37.76092574125737,42.40930045020413
2004-10-28,12.63,18.54,8.63,0.0,11.9,37.76092574125737,42.40930045020413
2004-10-29,12.82,20.13,7.16,0.73,13.37,37.76092574125737,42.40930045020413
