date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,18.41,19.43,17.21,1.22,7.67,41.91562965298208,34.692374203841794
2004-10-02,18.0,20.45,16.37,7.71,14.46,41.91562965298208,34.692374203841794
2004-10-03,16.58,18.46,15.04,9.93,10.06,41.91562965298208,34.692374203841794
2004-10-04,15.51,17.04,13.93,1.64,10.99,41.91562965298208,34.692374203841794
2004-10-05,14.68,16.62,13.33,0.01,10.23,41.91562965298208,34.692374203841794
2004-10-06,16.02,17.87,13.62,0.21,10.54,41.91562965298208,34.692374203841794
2004-10-07,17.86,20.56,15.95,0.85,12.77,41.91562965298208,34.692374203841794
2004-10-08,17.96,20.68,16.2,2.34,13.08,41.91562965298208,34.692374203841794
2004-10-09,16.87,17.64,15.68,1.99,8.75,41.91562965298208,34.692374203841794
2004-10-10,17.49,21.6,14.68,0.11,16.46,41.91562965298208,34.692374203841794
2004-10-11,20.09,25.43,16.52,0.06,16.2,41.91562965298208,34.692374203841794
2004-10-12,13.88,17.19,11.41,14.72,3.72,41.91562965298208,34.692374203841794
2004-10-13,10.55,11.34,9.13,1.39,5.99,41.91562965298208,34.692374203841794
2004-10-14,12.05,14.28,9.16,0.07,13.64,41.91562965298208,34.692374203841794
2004-10-15,15.73,19.74,12.68,0.06,12.2,41.91562965298208,34.692374203841794
2004-10-16,17.51,20.36,15.01,0.03,8.74,41.91562965298208,34.692374203841794
2004-10-17,19.9,23.35,16.82,0.01,9.24,41.91562965298208,34.692374203841794
2004-10-18,19.62,24.05,16.27,0.01,14.59,41.91562965298208,34.692374203841794
2004-10-19,16.98,20.24,15.33,0.01,10.93,41.91562965298208,34.692374203841794
2004-10-20,16.41,17.41,14.29,4.49,5.81,41.91562965298208,34.692374203841794
2004-10-21,14.19,16.6,11.68,0.22,13.77,41.91562965298208,34.692374203841794
2004-10-22,12.96,14.87,11.7,0.06,11.76,41.91562965298208,34.692374203841794
2004-10-23,14.44,17.91,12.13,0.25,14.37,41.91562965298208,34.692374203841794
2004-10-24,15.08,18.66,12.75,0.01,13.41,41.91562965298208,34.692374203841794
2004-10-25,15.06,18.55,13.34,0.0,13.96,41.91562965298208,34.692374203841794
2004-10-26,16.77,21.07,13.8,0.0,13.84,41.91562965298208,34.692374203841794
2004-10-27,19.41,23.73,15.56,0.01,11.96,41.91562965298208,34.692374203841794
2004-10-28,17.04,19.8,15.27,0.01,11.52,41.91562965298208,34.692374203841794
2004-10-29,16.48,19.2,14.74,0.01,10.04,41.91562965298208,34.692374203841794
2004-10-30,17.06,20.37,15.38,0.01,11.22,41.91562965298208,34.692374203841794
2004-10-31,16.66,20.01,14.94,0.0,12.37,41.91562965298208,34.692374203841794
2004-11-01,17.05,20.63,14.96,0.0,12.55,41.91562965298208,34.692374203841794
2004-11-02,15.87,18.48,13.88,1.33,9.58,41.91562965298208,34.692374203841794
2004-11-03,13.11,13.95,11.47,4.26,6.88,41.91562965298208,34.692374203841794
2004-11-04,10.79,12.31,9.3,1.36,11.01,41.91562965298208,34.692374203841794
2004-11-05,11.07,14.31,8.7,0.0,12.78,41.91562965298208,34.692374203841794
2004-11-06,12.73,17.27,9.72,0.0,12.55,41.91562965298208,34.692374203841794
2004-11-07,13.52,16.78,11.67,0.02,7.6,41.91562965298208,34.692374203841794
2004-11-08,15.46,19.47,12.51,0.0,10.53,41.91562965298208,34.692374203841794
2004-11-09,16.7,20.84,14.43,0.0,9.88,41.91562965298208,34.692374203841794
2004-11-10,16.81,20.36,14.75,0.0,10.49,41.91562965298208,34.692374203841794
2004-11-11,15.89,18.87,13.59,0.01,9.6,41.91562965298208,34.692374203841794
2004-11-12,14.49,17.19,12.88,0.01,8.79,41.91562965298208,34.692374203841794
2004-11-13,15.9,20.07,13.06,0.0,10.15,41.91562965298208,34.692374203841794
2004-11-14,18.28,22.63,15.3,0.0,10.8,41.91562965298208,34.692374203841794
2004-11-15,17.93,20.77,16.28,1.1,3.32,41.91562965298208,34.692374203841794
