date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,17.66,24.35,12.52,0.0,18.29,39.198424562962316,35.95668616169393
2004-10-02,15.5,23.51,9.13,0.01,17.83,39.198424562962316,35.95668616169393
2004-10-03,11.55,18.28,5.64,0.01,13.49,39.198424562962316,35.95668616169393
2004-10-04,9.24,16.09,4.28,0.0,15.91,39.198424562962316,35.95668616169393
2004-10-05,9.57,19.34,2.74,0.0,18.58,39.198424562962316,35.95668616169393
2004-10-06,12.74,22.83,4.23,0.01,15.73,39.198424562962316,35.95668616169393
2004-10-07,12.84,21.87,6.78,0.02,15.51,39.198424562962316,35.95668616169393
2004-10-08,11.29,18.66,4.63,2.31,13.24,39.198424562962316,35.95668616169393
2004-10-09,9.47,14.89,4.95,0.44,12.67,39.198424562962316,35.95668616169393
2004-10-10,10.63,17.73,4.76,0.02,14.71,39.198424562962316,35.95668616169393
2004-10-11,12.43,20.99,5.91,0.0,17.8,39.198424562962316,35.95668616169393
2004-10-12,11.76,21.55,4.52,0.02,16.94,39.198424562962316,35.95668616169393
2004-10-13,8.3,16.27,3.72,0.23,9.07,39.198424562962316,35.95668616169393
2004-10-14,11.11,18.7,3.55,0.02,14.78,39.198424562962316,35.95668616169393
2004-10-15,12.79,19.23,7.42,0.0,15.51,39.198424562962316,35.95668616169393
2004-10-16,12.72,19.5,8.02,0.0,13.84,39.198424562962316,35.95668616169393
2004-10-17,13.78,21.04,8.35,0.0,14.95,39.198424562962316,35.95668616169393
2004-10-18,15.56,23.13,9.5,0.0,14.72,39.198424562962316,35.95668616169393
2004-10-19,15.46,23.39,9.48,0.0,15.22,39.198424562962316,35.95668616169393
2004-10-20,12.5,19.64,7.05,1.33,8.31,39.198424562962316,35.95668616169393
2004-10-21,8.1,13.8,3.06,2.57,13.69,39.198424562962316,35.95668616169393
2004-10-22,6.76,13.94,2.14,0.0,10.72,39.198424562962316,35.95668616169393
2004-10-23,8.23,17.76,0.19,0.0,15.85,39.198424562962316,35.95668616169393
2004-10-24,10.05,18.43,2.66,0.0,14.92,39.198424562962316,35.95668616169393
2004-10-25,10.5,19.0,4.15,0.0,14.94,39.198424562962316,35.95668616169393
2004-10-26,10.91,20.89,3.51,0.0,14.64,39.198424562962316,35.95668616169393
2004-10-27,12.94,22.03,6.99,0.0,10.21,39.198424562962316,35.95668616169393
2004-10-28,13.74,21.81,7.54,0.02,12.34,39.198424562962316,35.95668616169393
2004-10-29,10.6,16.2,6.53,2.46,5.06,39.198424562962316,35.95668616169393
2004-10-30,10.29,15.31,6.11,0.28,9.38,39.198424562962316,35.95668616169393
2004-10-31,10.09,16.04,5.54,0.34,13.13,39.198424562962316,35.95668616169393
2004-11-01,10.49,17.2,4.89,0.0,13.59,39.198424562962316,35.95668616169393
2004-11-02,11.51,18.71,6.67,0.0,13.29,39.198424562962316,35.95668616169393
2004-11-03,9.36,16.71,3.28,0.01,11.92,39.198424562962316,35.95668616169393
2004-11-04,3.92,10.63,-3.57,0.16,13.42,39.198424562962316,35.95668616169393
2004-11-05,4.12,14.69,-4.08,0.0,14.19,39.198424562962316,35.95668616169393
2004-11-06,5.44,12.82,-0.18,0.84,11.75,39.198424562962316,35.95668616169393
2004-11-07,6.99,12.96,3.51,0.18,10.52,39.198424562962316,35.95668616169393
2004-11-08,7.65,13.76,3.75,0.9,10.94,39.198424562962316,35.95668616169393
2004-11-09,7.9,13.31,4.48,0.79,10.01,39.198424562962316,35.95668616169393
2004-11-10,8.47,14.65,4.43,0.01,8.23,39.198424562962316,35.95668616169393
2004-11-11,7.99,14.49,3.45,0.06,10.08,39.198424562962316,35.95668616169393
2004-11-12,7.74,15.21,1.54,0.0,11.39,39.198424562962316,35.95668616169393
2004-11-13,8.93,15.87,3.39,0.0,11.12,39.198424562962316,35.95668616169393
2004-11-14,8.72,16.65,3.69,0.0,11.56,39.198424562962316,35.95668616169393
2004-11-15,7.06,12.9,2.76,0.2,3.17,39.198424562962316,35.95668616169393
2004-11-16,7.82,12.62,5.15,1.51,6.24,39.198424562962316,35.95668616169393
2004-11-17,3.04,5.3,-1.04,10.51,5.38,39.198424562962316,35.95668616169393
2004-11-18,-1.05,3.92,-4.04,0.06,8.29,39.198424562962316,35.95668616169393
2004-11-19,1.07,9.96,-3.82,0.01,11.73,39.198424562962316,35.95668616169393
2004-11-20,4.06,8.24,-1.2,0.41,7.27,39.198424562962316,35.95668616169393
2004-11-21,1.95,6.64,-5.57,19.51,1.95,39.198424562962316,35.95668616169393
2004-11-22,-5.91,-2.73,-7.76,9.02,2.49,39.198424562962316,35.95668616169393
2004-11-23,-7.81,-5.02,-9.86,0.38,7.2,39.198424562962316,35.95668616169393
2004-11-24,-5.61,1.51,-11.76,0.16,4.47,39.198424562962316,35.95668616169393
2004-11-25,-3.04,-0.38,-5.52,28.91,1.77,39.198424562962316,35.95668616169393
2004-11-26,-6.5,-4.66,-8.6,19.78,1.88,39.198424562962316,35.95668616169393
2004-11-27,-9.39,-5.8,-12.03,0.36,4.97,39.198424562962316,35.95668616169393
2004-11-28,-7.75,0.0,-12.66,0.0,8.06,39.198424562962316,35.95668616169393
2004-11-29,-7.09,-0.3,-12.53,0.0,10.46,39.198424562962316,35.95668616169393
2004-11-30,-5.68,-0.05,-10.3,0.05,4.78,39.198424562962316,35.95668616169393
2004-12-01,-3.44,-0.34,-7.75,0.75,4.41,39.198424562962316,35.95668616169393
2004-12-02,-5.95,-0.45,-8.96,0.0,8.25,39.198424562962316,35.95668616169393
