date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,14.51,23.66,8.49,3.47,14.36,40.47737810466135,37.36170187022988
2004-10-02,12.58,18.47,9.7,2.48,10.07,40.47737810466135,37.36170187022988
2004-10-03,10.04,15.07,6.83,1.92,8.8,40.47737810466135,37.36170187022988
2004-10-04,8.11,11.89,5.69,3.76,8.25,40.47737810466135,37.36170187022988
2004-10-05,7.65,12.54,5.57,1.51,12.05,40.47737810466135,37.36170187022988
2004-10-06,11.22,20.27,4.01,0.09,13.88,40.47737810466135,37.36170187022988
2004-10-07,14.32,24.41,6.2,0.0,14.91,40.47737810466135,37.36170187022988
2004-10-08,13.67,21.68,6.68,0.46,11.58,40.47737810466135,37.36170187022988
2004-10-09,10.69,15.77,5.84,6.21,10.17,40.47737810466135,37.36170187022988
2004-10-10,10.65,17.76,4.16,0.0,14.32,40.47737810466135,37.36170187022988
2004-10-11,12.43,21.59,4.59,0.0,17.45,40.47737810466135,37.36170187022988
2004-10-12,9.64,20.34,3.35,7.11,12.59,40.47737810466135,37.36170187022988
2004-10-13,2.18,5.29,-0.46,10.74,4.17,40.47737810466135,37.36170187022988
2004-10-14,7.08,16.8,-2.35,0.05,12.65,40.47737810466135,37.36170187022988
2004-10-15,11.48,19.31,4.9,0.0,15.01,40.47737810466135,37.36170187022988
2004-10-16,12.62,20.39,6.66,0.0,12.49,40.47737810466135,37.36170187022988
2004-10-17,13.32,21.44,7.49,0.0,14.19,40.47737810466135,37.36170187022988
2004-10-18,15.42,23.16,8.55,0.01,12.26,40.47737810466135,37.36170187022988
2004-10-19,15.51,23.52,9.76,0.02,13.32,40.47737810466135,37.36170187022988
2004-10-20,12.34,18.66,8.7,2.78,8.67,40.47737810466135,37.36170187022988
2004-10-21,7.17,11.62,2.85,6.98,9.46,40.47737810466135,37.36170187022988
2004-10-22,4.98,10.99,1.5,0.01,12.52,40.47737810466135,37.36170187022988
2004-10-23,6.24,15.17,0.49,0.0,15.34,40.47737810466135,37.36170187022988
2004-10-24,9.92,19.2,1.63,0.0,14.14,40.47737810466135,37.36170187022988
2004-10-25,10.35,18.84,3.98,0.0,14.01,40.47737810466135,37.36170187022988
2004-10-26,11.16,21.1,3.34,0.0,14.36,40.47737810466135,37.36170187022988
2004-10-27,12.86,22.82,5.78,0.0,10.12,40.47737810466135,37.36170187022988
2004-10-28,14.01,22.08,7.32,0.06,10.18,40.47737810466135,37.36170187022988
2004-10-29,13.37,21.29,8.92,0.21,8.4,40.47737810466135,37.36170187022988
2004-10-30,10.69,15.25,6.36,0.56,8.0,40.47737810466135,37.36170187022988
2004-10-31,10.02,15.85,5.45,0.56,11.1,40.47737810466135,37.36170187022988
2004-11-01,10.97,17.68,5.52,0.0,12.66,40.47737810466135,37.36170187022988
2004-11-02,10.8,19.09,6.16,0.11,12.1,40.47737810466135,37.36170187022988
2004-11-03,7.73,12.72,4.47,3.74,5.64,40.47737810466135,37.36170187022988
2004-11-04,2.33,7.41,-3.34,5.84,8.68,40.47737810466135,37.36170187022988
2004-11-05,2.22,12.24,-5.01,0.0,13.44,40.47737810466135,37.36170187022988
2004-11-06,5.19,15.63,-2.56,0.0,12.49,40.47737810466135,37.36170187022988
2004-11-07,5.93,12.54,0.62,0.03,8.09,40.47737810466135,37.36170187022988
2004-11-08,7.54,15.27,3.12,1.01,10.4,40.47737810466135,37.36170187022988
2004-11-09,9.43,16.12,4.02,0.11,7.76,40.47737810466135,37.36170187022988
2004-11-10,9.58,16.02,5.25,0.0,8.34,40.47737810466135,37.36170187022988
2004-11-11,8.92,15.9,3.59,0.46,9.15,40.47737810466135,37.36170187022988
2004-11-12,8.08,16.16,2.73,0.0,10.16,40.47737810466135,37.36170187022988
2004-11-13,8.3,16.52,1.85,0.0,11.0,40.47737810466135,37.36170187022988
2004-11-14,8.59,17.56,2.5,0.0,11.6,40.47737810466135,37.36170187022988
2004-11-15,8.01,16.38,2.58,0.28,5.23,40.47737810466135,37.36170187022988
2004-11-16,7.81,12.31,5.54,3.45,6.88,40.47737810466135,37.36170187022988
2004-11-17,1.98,5.31,-0.29,39.94,2.9,40.47737810466135,37.36170187022988
2004-11-18,-1.1,2.47,-6.06,2.71,6.62,40.47737810466135,37.36170187022988
2004-11-19,-0.44,8.8,-6.15,0.0,10.88,40.47737810466135,37.36170187022988
2004-11-20,3.83,9.85,-2.6,0.97,3.9,40.47737810466135,37.36170187022988
2004-11-21,-1.17,5.41,-7.28,38.67,1.98,40.47737810466135,37.36170187022988
2004-11-22,-5.2,-3.71,-5.97,14.68,2.64,40.47737810466135,37.36170187022988
2004-11-23,-7.1,-4.1,-11.89,1.12,5.42,40.47737810466135,37.36170187022988
2004-11-24,-7.39,-0.65,-12.86,0.01,2.98,40.47737810466135,37.36170187022988
2004-11-25,-4.62,-1.75,-6.47,9.86,1.5,40.47737810466135,37.36170187022988
2004-11-26,-4.92,-3.36,-6.57,15.44,1.12,40.47737810466135,37.36170187022988
2004-11-27,-6.94,-3.2,-11.46,0.88,3.4,40.47737810466135,37.36170187022988
2004-11-28,-6.87,0.05,-12.22,0.05,8.92,40.47737810466135,37.36170187022988
2004-11-29,-7.14,0.12,-13.11,0.0,7.01,40.47737810466135,37.36170187022988
2004-11-30,-5.17,0.35,-10.2,0.03,6.85,40.47737810466135,37.36170187022988
2004-12-01,-2.95,-0.24,-6.28,4.48,2.76,40.47737810466135,37.36170187022988
2004-12-02,-6.33,-0.42,-10.61,0.0,8.72,40.47737810466135,37.36170187022988
2004-12-03,-3.89,0.39,-10.43,0.05,5.87,40.47737810466135,37.36170187022988
2004-12-04,-1.44,0.66,-4.87,1.88,7.14,40.47737810466135,37.36170187022988
2004-12-05,-1.01,0.66,-3.82,10.26,2.69,40.47737810466135,37.36170187022988
2004-12-06,-7.06,-0.94,-12.31,0.11,7.85,40.47737810466135,37.36170187022988
2004-12-07,-6.49,-0.64,-14.12,3.96,6.11,40.47737810466135,37.36170187022988
2004-12-08,-4.22,-0.86,-9.71,1.49,4.98,40.47737810466135,37.36170187022988
2004-12-09,-8.1,-2.3,-12.05,0.64,8.06,40.47737810466135,37.36170187022988
2004-12-10,-7.62,-2.51,-10.84,0.91,6.36,40.47737810466135,37.36170187022988
2004-12-11,-8.35,-3.93,-11.91,3.1,5.24,40.47737810466135,37.36170187022988
2004-12-12,-7.7,-3.62,-11.26,3.84,3.78,40.47737810466135,37.36170187022988
2004-12-13,-7.14,-2.05,-11.4,0.28,2.96,40.47737810466135,37.36170187022988
2004-12-14,-6.95,-2.96,-11.57,6.98,3.27,40.47737810466135,37.36170187022988
2004-12-15,-10.84,-7.03,-12.87,5.12,5.48,40.47737810466135,37.36170187022988
2004-12-16,-11.12,-7.19,-13.91,4.08,5.54,40.47737810466135,37.36170187022988
2004-12-17,-14.06,-6.29,-19.09,0.01,9.28,40.47737810466135,37.36170187022988
2004-12-18,-11.05,-2.6,-16.72,0.0,9.74,40.47737810466135,37.36170187022988
2004-12-19,-7.06,-3.16,-12.9,0.51,4.66,40.47737810466135,37.36170187022988
2004-12-20,-4.91,0.0,-10.53,0.22,4.49,40.47737810466135,37.36170187022988
2004-12-21,-2.56,0.29,-5.05,0.36,4.31,40.47737810466135,37.36170187022988
2004-12-22,-4.03,0.46,-8.0,0.1,8.41,40.47737810466135,37.36170187022988
2004-12-23,-1.29,0.34,-4.18,8.91,2.54,40.47737810466135,37.36170187022988
2004-12-24,-1.86,0.3,-4.41,6.1,4.14,40.47737810466135,37.36170187022988
2004-12-25,-3.24,0.39,-7.09,2.33,4.17,40.47737810466135,37.36170187022988
