date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,20.45,22.49,18.44,3.85,16.44,40.84240356624474,40.269323707317156
2004-10-02,19.21,20.99,17.5,14.9,12.55,40.84240356624474,40.269323707317156
2004-10-03,17.84,19.77,16.08,2.51,9.65,40.84240356624474,40.269323707317156
2004-10-04,16.57,17.75,14.69,4.11,10.06,40.84240356624474,40.269323707317156
2004-10-05,15.86,17.95,14.42,1.5,17.19,40.84240356624474,40.269323707317156
2004-10-06,17.47,20.05,14.49,0.18,17.52,40.84240356624474,40.269323707317156
2004-10-07,21.24,26.24,17.81,0.0,16.39,40.84240356624474,40.269323707317156
2004-10-08,21.04,25.13,17.73,0.08,14.2,40.84240356624474,40.269323707317156
2004-10-09,18.87,21.42,17.1,2.02,9.6,40.84240356624474,40.269323707317156
2004-10-10,18.8,21.41,16.51,0.16,13.06,40.84240356624474,40.269323707317156
2004-10-11,22.16,26.97,18.26,0.0,17.38,40.84240356624474,40.269323707317156
2004-10-12,18.76,24.23,13.79,11.59,14.78,40.84240356624474,40.269323707317156
2004-10-13,12.36,13.46,11.53,15.64,7.6,40.84240356624474,40.269323707317156
2004-10-14,13.8,15.82,11.78,2.08,13.91,40.84240356624474,40.269323707317156
2004-10-15,17.63,19.9,15.08,0.03,14.26,40.84240356624474,40.269323707317156
2004-10-16,20.7,24.03,19.16,0.03,13.14,40.84240356624474,40.269323707317156
2004-10-17,21.83,26.04,19.34,0.0,14.29,40.84240356624474,40.269323707317156
2004-10-18,23.33,28.19,20.02,0.0,14.36,40.84240356624474,40.269323707317156
2004-10-19,20.68,24.41,17.11,0.27,11.68,40.84240356624474,40.269323707317156
2004-10-20,18.97,22.07,17.23,1.69,12.01,40.84240356624474,40.269323707317156
2004-10-21,15.71,17.69,13.61,11.81,6.15,40.84240356624474,40.269323707317156
2004-10-22,14.31,15.54,13.3,1.92,10.64,40.84240356624474,40.269323707317156
2004-10-23,14.74,16.35,13.01,0.33,14.81,40.84240356624474,40.269323707317156
2004-10-24,18.33,21.87,14.8,0.0,13.2,40.84240356624474,40.269323707317156
2004-10-25,18.31,20.03,16.32,0.0,14.61,40.84240356624474,40.269323707317156
2004-10-26,20.05,23.41,17.92,0.0,14.44,40.84240356624474,40.269323707317156
2004-10-27,23.15,28.27,18.99,0.0,13.29,40.84240356624474,40.269323707317156
2004-10-28,22.72,27.07,20.29,0.03,11.22,40.84240356624474,40.269323707317156
2004-10-29,20.11,21.94,17.78,0.11,11.81,40.84240356624474,40.269323707317156
2004-10-30,19.93,23.06,18.6,1.11,3.9,40.84240356624474,40.269323707317156
2004-10-31,18.8,20.3,16.88,0.1,10.35,40.84240356624474,40.269323707317156
2004-11-01,19.38,21.33,17.06,0.0,11.34,40.84240356624474,40.269323707317156
2004-11-02,19.91,22.93,16.34,0.08,9.73,40.84240356624474,40.269323707317156
2004-11-03,16.0,18.75,13.61,4.06,7.27,40.84240356624474,40.269323707317156
2004-11-04,12.66,14.74,10.73,7.96,7.75,40.84240356624474,40.269323707317156
2004-11-05,12.8,15.02,10.61,0.01,9.77,40.84240356624474,40.269323707317156
2004-11-06,16.0,19.3,13.41,0.0,11.76,40.84240356624474,40.269323707317156
2004-11-07,17.64,21.32,14.42,0.0,7.95,40.84240356624474,40.269323707317156
2004-11-08,18.33,21.99,15.09,0.01,9.22,40.84240356624474,40.269323707317156
2004-11-09,19.47,23.25,16.74,0.0,9.33,40.84240356624474,40.269323707317156
2004-11-10,19.29,22.36,17.37,0.0,8.86,40.84240356624474,40.269323707317156
2004-11-11,19.19,23.38,16.87,0.0,9.24,40.84240356624474,40.269323707317156
2004-11-12,17.61,19.44,15.45,0.0,10.21,40.84240356624474,40.269323707317156
2004-11-13,17.29,19.45,15.54,0.0,11.34,40.84240356624474,40.269323707317156
2004-11-14,18.63,23.77,14.83,0.0,11.09,40.84240356624474,40.269323707317156
2004-11-15,20.58,25.9,18.46,0.11,10.29,40.84240356624474,40.269323707317156
2004-11-16,18.33,21.97,15.19,1.9,3.65,40.84240356624474,40.269323707317156
2004-11-17,12.99,15.15,10.99,37.98,2.18,40.84240356624474,40.269323707317156
2004-11-18,10.2,11.15,9.28,8.18,5.99,40.84240356624474,40.269323707317156
2004-11-19,13.35,17.18,9.72,0.01,9.07,40.84240356624474,40.269323707317156
2004-11-20,16.37,19.59,13.91,0.0,8.36,40.84240356624474,40.269323707317156
2004-11-21,11.27,15.76,6.93,35.67,1.66,40.84240356624474,40.269323707317156
2004-11-22,7.44,7.94,6.99,28.74,1.85,40.84240356624474,40.269323707317156
2004-11-23,6.4,7.04,5.75,1.98,3.23,40.84240356624474,40.269323707317156
2004-11-24,7.49,9.76,3.72,0.14,4.28,40.84240356624474,40.269323707317156
2004-11-25,8.4,10.4,5.8,2.09,4.1,40.84240356624474,40.269323707317156
2004-11-26,7.23,8.41,5.84,16.78,1.62,40.84240356624474,40.269323707317156
2004-11-27,6.15,7.07,5.33,1.61,5.59,40.84240356624474,40.269323707317156
2004-11-28,9.42,13.2,6.43,0.03,5.55,40.84240356624474,40.269323707317156
