date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,21.27,28.15,15.05,0.07,18.62,39.00574131615302,38.91831334134511
2004-10-02,19.64,26.79,12.11,0.08,16.94,39.00574131615302,38.91831334134511
2004-10-03,16.42,22.47,10.65,0.04,17.27,39.00574131615302,38.91831334134511
2004-10-04,13.65,20.57,8.21,0.12,16.1,39.00574131615302,38.91831334134511
2004-10-05,13.85,21.97,5.96,0.03,18.9,39.00574131615302,38.91831334134511
2004-10-06,16.04,23.34,9.05,0.01,12.29,39.00574131615302,38.91831334134511
2004-10-07,17.5,25.39,11.5,0.0,16.61,39.00574131615302,38.91831334134511
2004-10-08,16.77,23.13,10.29,0.35,13.6,39.00574131615302,38.91831334134511
2004-10-09,15.86,21.51,10.54,0.27,13.52,39.00574131615302,38.91831334134511
2004-10-10,14.64,20.66,8.66,0.0,13.31,39.00574131615302,38.91831334134511
2004-10-11,15.9,22.22,10.64,0.0,17.92,39.00574131615302,38.91831334134511
2004-10-12,16.47,23.57,10.24,0.23,17.01,39.00574131615302,38.91831334134511
2004-10-13,12.83,21.12,6.43,0.18,15.33,39.00574131615302,38.91831334134511
2004-10-14,13.79,20.92,6.79,0.0,14.93,39.00574131615302,38.91831334134511
2004-10-15,16.24,21.23,11.36,0.09,14.85,39.00574131615302,38.91831334134511
2004-10-16,16.6,21.78,11.86,0.0,12.1,39.00574131615302,38.91831334134511
2004-10-17,16.28,22.69,9.59,0.0,15.07,39.00574131615302,38.91831334134511
2004-10-18,18.03,24.79,11.58,0.0,15.55,39.00574131615302,38.91831334134511
2004-10-19,18.82,25.01,13.8,0.01,14.06,39.00574131615302,38.91831334134511
2004-10-20,17.81,23.92,13.58,0.45,13.73,39.00574131615302,38.91831334134511
2004-10-21,11.58,17.36,5.04,2.28,10.33,39.00574131615302,38.91831334134511
2004-10-22,7.98,15.33,1.55,0.0,12.87,39.00574131615302,38.91831334134511
2004-10-23,9.41,17.38,1.7,0.0,16.45,39.00574131615302,38.91831334134511
2004-10-24,11.64,18.37,6.95,0.0,14.22,39.00574131615302,38.91831334134511
2004-10-25,13.25,20.17,8.24,0.0,14.65,39.00574131615302,38.91831334134511
2004-10-26,13.64,20.79,8.67,0.0,14.53,39.00574131615302,38.91831334134511
2004-10-27,15.56,22.69,10.04,0.0,10.9,39.00574131615302,38.91831334134511
2004-10-28,16.44,22.45,11.2,0.03,12.37,39.00574131615302,38.91831334134511
2004-10-29,13.48,19.18,10.26,7.58,9.04,39.00574131615302,38.91831334134511
2004-10-30,11.42,14.86,9.24,13.62,6.75,39.00574131615302,38.91831334134511
2004-10-31,10.98,15.41,7.57,3.15,9.77,39.00574131615302,38.91831334134511
2004-11-01,12.15,17.69,7.67,0.0,11.82,39.00574131615302,38.91831334134511
2004-11-02,13.2,18.84,9.62,0.0,12.79,39.00574131615302,38.91831334134511
2004-11-03,11.81,18.4,7.08,0.03,11.46,39.00574131615302,38.91831334134511
2004-11-04,6.9,13.31,0.58,0.7,12.91,39.00574131615302,38.91831334134511
2004-11-05,6.5,13.95,-0.17,0.0,14.1,39.00574131615302,38.91831334134511
2004-11-06,6.87,12.29,3.16,0.75,10.74,39.00574131615302,38.91831334134511
2004-11-07,7.72,12.65,4.27,0.88,6.25,39.00574131615302,38.91831334134511
2004-11-08,9.31,13.77,6.51,2.63,5.45,39.00574131615302,38.91831334134511
2004-11-09,9.92,13.82,7.05,6.96,5.85,39.00574131615302,38.91831334134511
2004-11-10,9.8,14.07,7.19,0.02,8.09,39.00574131615302,38.91831334134511
2004-11-11,9.76,14.32,6.58,0.15,9.03,39.00574131615302,38.91831334134511
2004-11-12,10.48,17.22,4.99,0.0,11.79,39.00574131615302,38.91831334134511
2004-11-13,10.64,16.63,6.25,0.0,10.71,39.00574131615302,38.91831334134511
2004-11-14,10.04,15.84,5.86,0.0,12.07,39.00574131615302,38.91831334134511
2004-11-15,9.05,14.26,5.21,0.14,7.67,39.00574131615302,38.91831334134511
2004-11-16,7.24,10.15,5.55,1.49,3.97,39.00574131615302,38.91831334134511
2004-11-17,6.1,9.45,3.12,11.65,3.77,39.00574131615302,38.91831334134511
2004-11-18,2.41,7.44,-2.25,1.73,9.34,39.00574131615302,38.91831334134511
2004-11-19,2.46,8.71,-2.4,0.0,11.05,39.00574131615302,38.91831334134511
2004-11-20,3.63,8.69,-0.64,0.05,6.75,39.00574131615302,38.91831334134511
2004-11-21,4.36,6.01,2.53,12.19,1.37,39.00574131615302,38.91831334134511
2004-11-22,1.4,5.51,-3.63,9.47,4.17,39.00574131615302,38.91831334134511
2004-11-23,-4.42,-1.18,-9.26,3.32,6.75,39.00574131615302,38.91831334134511
2004-11-24,-5.92,-0.25,-10.3,0.0,5.05,39.00574131615302,38.91831334134511
2004-11-25,-3.25,-0.69,-5.6,1.79,1.98,39.00574131615302,38.91831334134511
2004-11-26,-2.61,-1.16,-3.95,7.7,1.08,39.00574131615302,38.91831334134511
2004-11-27,-5.93,-1.61,-12.29,4.96,6.93,39.00574131615302,38.91831334134511
2004-11-28,-7.19,0.21,-12.1,0.0,4.71,39.00574131615302,38.91831334134511
2004-11-29,-4.38,0.41,-8.37,0.0,4.84,39.00574131615302,38.91831334134511
2004-11-30,-3.45,2.61,-7.78,0.01,3.75,39.00574131615302,38.91831334134511
2004-12-01,-2.67,3.41,-6.56,0.2,3.84,39.00574131615302,38.91831334134511
2004-12-02,-4.07,3.39,-9.26,0.0,7.23,39.00574131615302,38.91831334134511
2004-12-03,-0.62,4.2,-4.56,0.0,6.85,39.00574131615302,38.91831334134511
2004-12-04,1.06,7.13,-3.24,0.08,5.63,39.00574131615302,38.91831334134511
2004-12-05,0.86,4.37,-2.05,0.74,2.41,39.00574131615302,38.91831334134511
2004-12-06,-1.18,4.31,-6.02,0.23,6.38,39.00574131615302,38.91831334134511
2004-12-07,-1.14,3.11,-4.25,0.87,8.48,39.00574131615302,38.91831334134511
2004-12-08,-1.84,2.76,-6.21,4.71,8.56,39.00574131615302,38.91831334134511
2004-12-09,-3.47,4.01,-6.93,0.01,9.38,39.00574131615302,38.91831334134511
2004-12-10,-4.87,1.17,-9.34,0.07,9.46,39.00574131615302,38.91831334134511
2004-12-11,-4.08,0.31,-7.43,0.04,8.47,39.00574131615302,38.91831334134511
2004-12-12,-5.52,-0.51,-8.84,0.19,8.24,39.00574131615302,38.91831334134511
2004-12-13,-4.37,2.7,-9.09,0.05,8.33,39.00574131615302,38.91831334134511
2004-12-14,-4.32,0.2,-7.75,0.34,6.47,39.00574131615302,38.91831334134511
2004-12-15,-8.54,-3.75,-12.1,0.14,8.56,39.00574131615302,38.91831334134511
2004-12-16,-9.59,-3.42,-13.84,0.15,8.82,39.00574131615302,38.91831334134511
2004-12-17,-7.57,-0.33,-13.69,0.01,9.59,39.00574131615302,38.91831334134511
2004-12-18,-6.74,-0.93,-10.64,0.0,9.61,39.00574131615302,38.91831334134511
2004-12-19,-5.62,-1.52,-10.1,0.93,5.12,39.00574131615302,38.91831334134511
