date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,15.5,25.44,8.72,0.0,20.49,38.95640238075175,44.08570941094245
2004-10-02,13.07,21.85,6.18,0.04,19.2,38.95640238075175,44.08570941094245
2004-10-03,11.84,19.11,6.26,0.07,18.11,38.95640238075175,44.08570941094245
2004-10-04,10.37,16.76,5.42,3.07,16.08,38.95640238075175,44.08570941094245
2004-10-05,9.93,18.9,3.46,1.31,17.42,38.95640238075175,44.08570941094245
2004-10-06,9.82,19.15,1.96,0.05,18.29,38.95640238075175,44.08570941094245
2004-10-07,11.11,19.98,3.72,0.03,16.66,38.95640238075175,44.08570941094245
2004-10-08,12.97,21.26,6.89,1.44,16.05,38.95640238075175,44.08570941094245
2004-10-09,13.19,21.89,7.47,0.65,16.47,38.95640238075175,44.08570941094245
2004-10-10,9.63,18.23,3.41,0.0,17.55,38.95640238075175,44.08570941094245
2004-10-11,8.58,17.91,2.08,0.0,19.0,38.95640238075175,44.08570941094245
2004-10-12,9.19,17.35,1.67,0.08,17.05,38.95640238075175,44.08570941094245
2004-10-13,9.6,16.02,4.95,1.24,7.68,38.95640238075175,44.08570941094245
2004-10-14,7.42,14.29,2.52,0.75,11.79,38.95640238075175,44.08570941094245
2004-10-15,8.48,15.95,3.56,1.12,14.85,38.95640238075175,44.08570941094245
2004-10-16,8.12,15.53,2.47,3.49,14.4,38.95640238075175,44.08570941094245
2004-10-17,8.46,15.12,3.08,0.22,13.89,38.95640238075175,44.08570941094245
2004-10-18,9.58,16.85,3.96,0.0,15.53,38.95640238075175,44.08570941094245
2004-10-19,9.9,17.62,4.07,0.0,16.21,38.95640238075175,44.08570941094245
2004-10-20,9.2,17.92,2.8,0.0,15.17,38.95640238075175,44.08570941094245
2004-10-21,7.36,12.89,1.63,9.53,6.95,38.95640238075175,44.08570941094245
2004-10-22,2.23,9.86,-4.63,0.99,12.58,38.95640238075175,44.08570941094245
2004-10-23,3.0,11.95,-3.86,0.0,16.12,38.95640238075175,44.08570941094245
2004-10-24,4.82,15.41,-2.57,0.0,16.8,38.95640238075175,44.08570941094245
2004-10-25,4.6,14.02,-1.95,0.0,15.05,38.95640238075175,44.08570941094245
2004-10-26,5.78,15.3,-0.69,0.0,16.0,38.95640238075175,44.08570941094245
2004-10-27,6.44,16.19,-0.82,0.0,15.81,38.95640238075175,44.08570941094245
2004-10-28,6.77,15.03,1.02,0.02,13.62,38.95640238075175,44.08570941094245
2004-10-29,8.39,15.48,2.37,0.3,12.19,38.95640238075175,44.08570941094245
2004-10-30,5.3,9.9,2.3,0.4,9.6,38.95640238075175,44.08570941094245
2004-10-31,5.54,10.1,2.49,2.04,9.25,38.95640238075175,44.08570941094245
2004-11-01,6.14,13.17,0.82,0.11,6.09,38.95640238075175,44.08570941094245
2004-11-02,6.3,13.48,0.48,0.0,9.86,38.95640238075175,44.08570941094245
2004-11-03,4.7,11.0,0.4,0.17,10.29,38.95640238075175,44.08570941094245
2004-11-04,3.71,8.01,0.86,2.89,5.28,38.95640238075175,44.08570941094245
2004-11-05,1.54,8.3,-2.95,0.65,9.58,38.95640238075175,44.08570941094245
2004-11-06,1.22,8.99,-3.28,0.0,13.06,38.95640238075175,44.08570941094245
2004-11-07,2.8,9.76,-3.29,0.65,10.37,38.95640238075175,44.08570941094245
2004-11-08,4.93,10.54,0.77,0.44,7.24,38.95640238075175,44.08570941094245
2004-11-09,3.47,11.07,-0.76,0.04,6.49,38.95640238075175,44.08570941094245
2004-11-10,3.24,10.21,-1.64,0.55,9.69,38.95640238075175,44.08570941094245
2004-11-11,3.71,9.97,-1.19,0.99,9.17,38.95640238075175,44.08570941094245
2004-11-12,3.94,9.46,0.31,1.34,9.81,38.95640238075175,44.08570941094245
2004-11-13,3.6,10.11,0.29,0.0,12.19,38.95640238075175,44.08570941094245
2004-11-14,3.25,10.14,-1.39,0.0,11.9,38.95640238075175,44.08570941094245
2004-11-15,1.98,10.56,-2.7,0.0,12.8,38.95640238075175,44.08570941094245
2004-11-16,2.49,8.74,-2.19,0.71,5.07,38.95640238075175,44.08570941094245
2004-11-17,2.34,8.53,-1.45,8.4,8.1,38.95640238075175,44.08570941094245
2004-11-18,-1.58,1.75,-5.2,3.79,4.18,38.95640238075175,44.08570941094245
2004-11-19,-1.89,5.6,-5.5,0.09,11.04,38.95640238075175,44.08570941094245
2004-11-20,-1.91,3.35,-4.39,0.0,12.36,38.95640238075175,44.08570941094245
2004-11-21,-0.86,5.39,-3.92,0.01,10.96,38.95640238075175,44.08570941094245
2004-11-22,-0.8,6.08,-4.81,1.62,4.66,38.95640238075175,44.08570941094245
2004-11-23,-6.31,-1.47,-12.45,6.42,1.25,38.95640238075175,44.08570941094245
2004-11-24,-10.2,-4.86,-14.38,0.59,4.42,38.95640238075175,44.08570941094245
2004-11-25,-6.62,-0.22,-11.96,0.02,6.13,38.95640238075175,44.08570941094245
2004-11-26,-4.74,3.26,-9.35,0.83,3.64,38.95640238075175,44.08570941094245
2004-11-27,-7.81,-2.4,-13.6,5.02,4.96,38.95640238075175,44.08570941094245
2004-11-28,-9.8,-0.24,-15.88,0.25,6.77,38.95640238075175,44.08570941094245
2004-11-29,-8.38,-0.68,-12.38,0.0,7.46,38.95640238075175,44.08570941094245
2004-11-30,-7.06,1.83,-12.05,0.0,7.34,38.95640238075175,44.08570941094245
2004-12-01,-7.21,-0.71,-11.69,0.65,9.21,38.95640238075175,44.08570941094245
2004-12-02,-8.35,-2.45,-11.83,0.04,10.95,38.95640238075175,44.08570941094245
2004-12-03,-5.8,2.94,-11.4,0.0,9.82,38.95640238075175,44.08570941094245
2004-12-04,-4.04,4.24,-9.01,0.0,11.01,38.95640238075175,44.08570941094245
2004-12-05,-3.54,2.79,-8.17,1.39,8.51,38.95640238075175,44.08570941094245
2004-12-06,-4.96,0.21,-9.18,0.31,8.47,38.95640238075175,44.08570941094245
2004-12-07,-6.78,1.27,-11.21,0.0,9.22,38.95640238075175,44.08570941094245
2004-12-08,-7.0,0.31,-11.31,0.0,9.24,38.95640238075175,44.08570941094245
2004-12-09,-6.72,1.34,-11.9,0.0,9.22,38.95640238075175,44.08570941094245
2004-12-10,-10.41,-4.38,-13.96,0.0,8.94,38.95640238075175,44.08570941094245
2004-12-11,-9.66,-3.66,-14.38,1.41,8.93,38.95640238075175,44.08570941094245
2004-12-12,-10.99,-5.31,-15.36,1.31,9.34,38.95640238075175,44.08570941094245
2004-12-13,-11.03,-3.44,-15.95,0.0,10.11,38.95640238075175,44.08570941094245
2004-12-14,-9.31,-4.37,-13.3,2.48,9.44,38.95640238075175,44.08570941094245
2004-12-15,-10.67,-7.09,-14.71,9.87,4.97,38.95640238075175,44.08570941094245
2004-12-16,-14.62,-11.04,-17.32,0.67,6.65,38.95640238075175,44.08570941094245
2004-12-17,-15.86,-9.22,-20.83,0.0,10.15,38.95640238075175,44.08570941094245
2004-12-18,-14.98,-5.29,-21.23,0.0,10.64,38.95640238075175,44.08570941094245
2004-12-19,-9.75,-3.19,-15.45,0.0,7.36,38.95640238075175,44.08570941094245
2004-12-20,-8.73,-3.43,-13.72,0.04,7.82,38.95640238075175,44.08570941094245
2004-12-21,-6.76,-0.39,-11.13,0.06,8.47,38.95640238075175,44.08570941094245
2004-12-22,-7.34,-0.14,-11.08,0.0,10.13,38.95640238075175,44.08570941094245
