feature,Ridge,RF,GB,Ortalama
yield_lag1,0.0903301225100533,0.6754385964912278,0.7058231298051498,0.49053061626881034
mam_tmax_mean,0.18688394276629575,0.004713887522544678,0.002216979213277468,0.06460493650070596
evi_mean,0.11939119049845695,0.012379078537465154,0.01807143147703698,0.0499472335043197
soil_soc,0.13140839801739457,0.00906910969011313,0.006345848757271285,0.048941118821592994
mam_tmin_mean,0.11526699710090715,0.006548204623708802,0.0010067933124516943,0.04094066501235589
evi_max,0.04282708313850183,0.02439949171995408,0.03681405849570842,0.03468021111805478
soil_bdod,0.04623117927616198,0.023774389244138373,0.03225806451612903,0.034087877678809796
ndvi_max,0.07144393528476574,0.009325299229381863,0.005572956921449782,0.028780730478532465
rain_sum,0.004563733283456467,0.021909329398262,0.025037627628849205,0.017170230103522557
tmin_p05,0.021584213971757225,0.013526807673389075,0.014766301915958183,0.01662577452036816
tmean_std,0.02822407182268774,0.007767666830627969,0.0065492413456453655,0.014180326666320358
frost_days_0,0.01522491349480969,0.011528529267092961,0.011979823455233293,0.012911088739045314
tmean,0.007720003740764987,0.009417527463518606,0.02152910547939633,0.012888878894559974
soil_phh2o,0.026634246703450857,0.005461960977209376,0.0032949599316600903,0.01179705587077344
ndvi_auc,0.01591695501730104,0.005923102147893096,0.009152666476833583,0.010330907880675906
rad_mean,0.015715888899279905,0.008853910477127394,0.0020034169954846848,0.00885773879063066
harvest_year,0.0,0.013086161665846856,0.011837448643371435,0.008307870103072762
tmax_mean,0.012372580192649398,0.006486719134284306,0.004861082862140504,0.007906794063024736
mam_frost_days_0,0.006485551295239877,0.006804394162977535,0.009589960541837856,0.007626635333351756
mam_rad_mean,0.009651173665014496,0.008884653221839643,0.004169548061668633,0.007568458316174257
soil_cec,0.004063405966520154,0.00701959337596327,0.0069763657812309315,0.006019788374571452
dry_days_lt1mm,0.005377349668007108,0.00687612723397278,0.00554244803319367,0.005931974978391186
mam_rain_sum,0.0,0.009274061321528117,0.007911971687751698,0.005728677669759939
tmax_p95,0.002688674834003554,0.007081078865387766,0.005989911727616646,0.005253221809002655
soil_sand,0.0,0.005164781111657647,0.008084855387869667,0.004416545499842438
mam_dry_days_lt1mm,0.0043579912092022825,0.006005082800459089,0.002339014766301916,0.004234029591987763
mam_tmean_std,0.0019919573552791545,0.00862846368257091,0.0014847658951307814,0.004035062310993615
mam_tmin_p05,0.0,0.007429496638793242,0.0040475125086441854,0.0038256697158124756
gdd_mean_day,0.007523613578976901,0.0037711100180357424,0.00013220518244315177,0.003808976259818599
mam_tmax_p95,0.0,0.007654943433349727,0.0034373347435219465,0.0036974260589572247
soil_clay,0.0,0.005646417445482864,0.004779725826790872,0.0034753810907579125
ndvi_mean,0.0003553726737117741,0.006917117560255777,0.0027254606842126673,0.0033326503060600726
gdd_season,0.0,0.003596901131333004,0.006081438392384982,0.0032261131745726624
tmin_mean,0.0,0.008587473356287912,0.0006711955416344628,0.003086222965974125
hot_days_30,0.0,0.005666912608624362,0.002532237725257292,0.0027330501112938846
mam_tmean,0.0,0.0043654697491392015,0.0030508888256111947,0.002472119524916799
mam_hot_days_30,0.0056345272608248394,0.001270700114772913,0.00030508888256111947,0.002403438752719624
soil_silt,0.00013092677452539045,0.005318494835218886,0.000589838506284831,0.002013086705343036
gdd_mam,0.0,0.004426955238563697,0.00043729406500427124,0.0016214164345226562
