province_norm,harvest_year,yield_kg_dekar,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm,ndvi_auc,ndvi_max,ndvi_mean,evi_max,evi_mean
ADANA,2005,353.0,13.420282894736845,18.705197368421054,8.844480263157896,446.544,16.528552631578947,8.205475007854508,34.862099999999984,-1.9426,38.0,29.0,231.0,0,13.332021739130433,18.66730434782609,8.417282608695652,144.724,19.89841304347826,4.750904732757961,27.5264,1.6678,0.0,1.0,64.0,137.36970373627528,0.7625299234124776,0.4533653588655958,0.5967809238149808,0.284737616806136
ADANA,2006,356.0,13.483440789473685,18.86367105263158,8.832749999999999,436.55,16.387993421052634,7.746406288887909,33.8602,-1.3573999999999995,50.0,24.0,229.0,1,13.816760869565217,19.03826086956522,8.986456521739129,117.544,19.375565217391305,4.602610323321114,29.560600000000004,2.6396,3.0,0.0,68.0,137.23345913789942,0.7312576690704012,0.4529157067257401,0.5525963875991564,0.2788592550720705
ADANA,2007,387.0,13.61508552631579,19.20098026315789,8.823072368421052,424.65,16.89927631578947,8.146862356152022,35.8025,-1.1714999999999995,53.0,23.0,237.0,2,13.553217391304347,19.112978260869568,8.412521739130435,138.128,19.73715217391305,5.130403355447244,28.9415,2.4279999999999995,4.0,0.0,64.0,130.30891692093803,0.7323694450699328,0.4300624320823037,0.5435316860185914,0.2613636304915778
ADANA,2008,406.0,13.755134426229509,19.40585573770492,8.804963934426228,376.37000000000006,17.061527868852462,8.254004901029091,34.635200000000005,-2.7428,50.0,41.0,240.0,3,14.713434782608696,20.38328260869565,9.51408695652174,87.502,19.983391304347823,4.129160959137968,29.096300000000003,4.1951,2.0,0.0,70.0,128.47243715471004,0.70680905636344,0.4226067011668084,0.5451448228402279,0.2668507895880613
ADANA,2009,357.0,13.503046052631577,18.68092763157895,8.957519736842107,492.162,16.228578947368423,7.632361501978405,33.5686,-0.9570000000000002,46.0,22.0,216.0,4,12.614326086956517,17.693021739130437,7.791413043478261,167.424,19.784021739130434,4.65576842516491,27.9837,1.5061,1.0,3.0,61.0,133.5718885049935,0.7070579366926277,0.4408313151979982,0.5269338049114956,0.2756716510512358
ADANA,2010,328.0,14.513592105263156,19.50955921052632,10.133980263157897,541.174,15.689111842105262,7.313102970298921,33.8767,1.0506999999999995,42.0,12.0,218.0,5,14.29621739130435,19.59941304347826,9.344934782608696,125.672,19.59626086956522,4.135731052285324,27.7279,2.246,0.0,1.0,71.0,144.28346749907556,0.7365305720689183,0.4761830610530542,0.5348565906872939,0.2944468108246706
ADANA,2011,359.0,13.984934210526315,19.15444078947369,9.536361842105263,579.826,16.071019736842107,6.979847906719601,33.4164,0.6191000000000001,36.0,10.0,216.0,6,12.416978260869564,17.235934782608695,7.915869565217391,213.962,18.66545652173913,3.937769318829307,24.8054,0.9885,0.0,2.0,53.0,132.54807161561837,0.7224881230055673,0.4374523815696972,0.5480058874323016,0.2727253992272646
ADANA,2012,395.0,12.602983606557377,17.929737704918033,7.956688524590164,589.724,16.435239344262293,8.735311418716977,35.8736,-3.9688,49.0,43.0,216.0,7,12.554586956521735,17.5075,8.032956521739129,112.478,19.343695652173917,5.505429380410318,24.7793,-3.3556000000000004,0.0,9.0,66.0,131.4557372612699,0.6913945405220074,0.4324201883594414,0.515068919683148,0.2639016540753658
ADANA,2013,371.0,14.144973684210528,19.09684210526316,9.784605263157896,642.816,16.310125,7.514481271397453,33.9282,0.2215,46.0,13.0,214.0,8,14.164195652173916,19.11352173913044,9.47436956521739,176.048,19.776630434782604,5.168519945094343,27.600500000000004,1.5587999999999995,0.0,2.0,62.0,144.6498192196268,0.7274070198612071,0.4773921426390327,0.5445184758632664,0.2937699399000834
ADANA,2014,286.0,14.247815789473686,19.95104605263158,9.53320394736842,266.46000000000004,16.895848684210524,7.018432171373626,33.941,0.0466999999999999,42.0,15.0,251.0,9,14.518195652173914,20.108978260869563,9.618673913043477,112.048,19.800065217391303,3.945206857455355,27.3421,3.5302999999999995,0.0,2.0,71.0,128.2285375734086,0.6843721462325608,0.4231964936416125,0.5059654900558864,0.2606704759297997
ADANA,2015,390.0,13.238197368421051,18.139197368421048,8.916355263157895,626.662,15.945315789473684,7.30800108117817,33.84189999999999,-0.1473999999999999,32.0,16.0,201.0,10,12.87463043478261,17.666195652173915,8.327043478260869,168.59600000000003,19.449847826086955,4.626732974331547,26.1583,2.5729,1.0,0.0,57.0,137.8826388007194,0.7163117817034164,0.4550582138637603,0.5393151910790841,0.2814998397712895
ADANA,2016,356.0,14.522445901639346,20.138065573770486,9.722931147540985,365.426,16.831259016393442,7.792859595099783,35.3404,-0.8891999999999993,45.0,22.0,233.0,11,14.69228260869565,20.32828260869565,9.549434782608694,115.406,20.07128260869565,4.026689459986547,26.518,2.8051,0.0,0.0,65.0,131.3437088437758,0.7205788518633807,0.4320516738282099,0.537756681294067,0.2683390119135181
ADANA,2017,386.0,13.199532894736842,18.687565789473684,8.369815789473684,446.658,17.019473684210528,8.716374109460657,35.5192,-3.8251,41.0,48.0,239.0,12,13.329586956521736,18.57528260869565,8.478304347826088,176.14,19.397217391304345,4.117169480458268,25.9102,2.649,0.0,0.0,63.0,126.713866294856,0.7081436427167741,0.4181975785308779,0.5428890736581987,0.2649991590288475
ADANA,2018,390.0,14.853822368421053,20.063809210526312,10.430776315789474,552.616,16.464809210526315,6.978341846415852,33.7145,1.5805000000000005,41.0,8.0,221.0,13,15.761152173913048,21.008043478260863,10.88813043478261,125.22199999999998,20.110478260869566,4.151056650691239,28.8914,5.162600000000001,2.0,0.0,64.0,144.9355130952554,0.7445566908109833,0.4783350267170149,0.5614157651311834,0.30077118419614
ADANA,2019,372.0,13.65809210526316,18.388605263157896,9.414263157894736,755.116,15.84861184210526,7.889345790037914,33.55369999999999,-0.9529,42.0,21.0,194.0,14,13.146043478260868,17.87328260869565,8.65717391304348,143.05800000000002,19.384543478260863,5.496737197853349,29.4482,2.4507,4.0,1.0,64.0,133.63604209036856,0.6915211509848672,0.4410430432025363,0.5052413569882024,0.2661536033166641
ADANA,2020,392.0,14.058459016393442,19.209167213114757,9.55775737704918,600.444,16.35790819672131,8.115230722742744,34.8504,-1.6487999999999998,53.0,26.0,219.0,15,13.6534347826087,18.69095652173913,8.966804347826088,140.20600000000002,19.68260869565217,4.802655953167077,31.0357,1.9371,7.0,2.0,60.0,137.54500940865273,0.7110235740836044,0.4524506888442514,0.5241186446576938,0.2768621652855143
ADANA,2021,446.0,14.860144736842107,20.55042763157895,10.048934210526316,344.938,17.28963815789474,7.80857850208388,35.1784,-0.1014999999999999,47.0,16.0,243.0,16,14.258847826086958,20.058456521739128,9.101434782608695,94.144,20.591434782608697,5.827521036181516,28.9576,1.3984,2.0,1.0,70.0,135.71027400196957,0.702484433281989,0.4478886930758069,0.538256682802969,0.2885478299283355
ADANA,2022,385.0,13.465868421052631,18.981539473684208,8.627269736842106,522.348,16.505407894736845,8.499698522072897,34.7419,-3.9008,47.0,42.0,227.0,17,12.564282608695652,18.03173913043478,7.390913043478261,116.908,19.81147826086957,6.602169271087331,29.0726,-3.5169,3.0,12.0,69.0,134.47216877753303,0.6861947974154803,0.4438025372195815,0.4942863167906405,0.2716293345490739
ADANA,2023,324.0,14.513572368421054,20.074565789473684,9.79217105263158,373.31000000000006,16.319276315789477,7.292025617886106,36.0061,0.2471,40.0,15.0,221.0,18,13.906934782608694,19.117195652173915,9.192347826086957,171.30599999999998,18.78858695652174,3.643922948861352,26.2798,3.9008,0.0,1.0,56.0,138.40704086072262,0.6936551415678223,0.4567889137317577,0.497198119945968,0.277547359283416
ADANA,2024,355.0,16.22391475409836,21.53659672131148,11.585377049180329,467.936,16.528308196721316,7.633923396715463,36.4204,1.8444000000000007,59.0,1.0,215.0,19,15.34315217391304,20.669565217391305,10.4995,145.27599999999998,19.55913043478261,4.499447558116105,27.5602,3.0334000000000003,0.0,0.0,59.0,143.8655677669593,0.7089051720858018,0.47324199923342,0.534833996834428,0.2991982252209247
ADIYAMAN,2005,225.0,10.968513157894735,17.206901315789473,5.351032894736843,363.828,16.85340789473684,10.060042334672548,37.42489999999999,-6.6448,52.0,105.0,236.0,20,11.488717391304348,17.85013043478261,5.446239130434783,115.31000000000002,20.47058695652174,5.88324945408869,28.367,-2.6771,1.0,16.0,69.0,94.16685033985334,0.5884209425392275,0.3107816842899454,0.4144704905607945,0.1917839713451852
ADIYAMAN,2006,235.0,11.383381578947368,17.751361842105265,5.668434210526316,347.906,16.655197368421053,9.758164350813184,36.4425,-6.5451,64.0,75.0,236.0,21,12.293478260869565,18.667586956521745,6.260826086956522,106.78,20.074413043478263,5.519620873025592,30.3451,-0.2699,6.0,10.0,70.0,104.14339870141973,0.623190546070153,0.3437075864733324,0.4466890835461806,0.2164069419678521
ADIYAMAN,2007,236.0,11.113210526315788,17.611980263157896,5.3532631578947365,324.512,16.741914473684208,10.131250143673494,37.39129999999999,-6.6336,61.0,111.0,243.0,22,11.47034782608696,17.913304347826084,5.348326086956521,108.18200000000002,18.89969565217391,6.609619680227295,30.6185,-1.8765,7.0,19.0,66.0,88.64003849105164,0.5720483454146522,0.2925413811585864,0.4026217314298612,0.1805093910649038
ADIYAMAN,2008,170.0,11.290898360655738,18.05201967213115,5.29696393442623,260.40000000000003,17.369245901639346,10.087685842194912,36.4948,-8.9148,62.0,93.0,250.0,23,13.408152173913043,20.408652173913044,6.833673913043479,81.52799999999999,20.887543478260863,5.016019228398706,30.5067,0.9732,7.0,3.0,76.0,89.54134132117765,0.532315402329961,0.2945438859249267,0.3735927258908539,0.1818932366778883
ADIYAMAN,2009,255.0,11.02413815789474,17.313953947368418,5.377171052631579,288.586,16.31197368421053,9.415929060547272,35.0555,-5.5898,56.0,86.0,232.0,24,10.634630434782608,17.050913043478257,4.391326086956522,95.924,20.007978260869564,5.770872590460414,29.1584,-3.1467,3.0,16.0,67.0,105.33025679235745,0.618835965453892,0.3476246098757667,0.4654509436275019,0.2188516410202156
