province_norm,province,soil_clay,soil_sand,soil_silt,soil_soc,soil_phh2o,soil_bdod,soil_cec
ADANA,Adana,30.82481428571429,29.16176190476191,40.048457142857146,49.61355714285715,6.960485714285714,1.2884319047619046,26.20805238095238
ADIYAMAN,Adiyaman,39.5344,19.884,40.6168,37.563199999999995,7.2304,1.26336,29.757599999999996
AFYONKARAHISAR,Afyon,28.4544,33.9,37.6752,38.228,7.2592,1.2851199999999998,24.24
AGRI,Agri,28.489600000000003,33.629599999999996,37.91760000000001,50.0056,7.0120000000000005,1.24304,26.059199999999997
AKSARAY,Aksaray,31.823199999999996,25.084799999999994,43.118399999999994,21.8376,7.6816,1.35504,23.443199999999997
AMASYA,Amasya,29.786400000000004,29.937599999999996,40.313599999999994,56.407999999999994,6.961600000000002,1.2488,22.72
ANKARA,Ankara,31.87366153846154,30.669661538461536,37.49218461538462,34.176,7.516492307692308,1.3012228571428572,24.875876923076927
ANTALYA,Antalya,23.1584,39.1048,37.768,48.903200000000005,6.868,1.2437600000000002,25.387999999999998
ARDAHAN,Ardahan,26.810399999999998,33.96319999999999,39.258399999999995,77.3376,6.4208,1.1298400000000002,28.2472
ARTVIN,Artvin,24.317600000000002,36.108799999999995,39.608,77.10560000000001,6.370399999999999,1.12488,25.883999999999997
AYDIN,Aydin,27.924,30.331200000000003,41.7832,39.5144,6.727200000000001,1.29392,26.132799999999996
BALIKESIR,Balikesir,28.699070381836947,34.89539613740233,36.44281739643226,50.47250450935523,6.734211528822056,1.3304847597254004,25.175363585434177
BARTIN,Bartin,32.022800000000004,29.388200000000005,38.6298,71.0152,6.7292000000000005,1.1982199999999998,28.3778
BATMAN,Batman,29.832,28.332,41.87599999999999,53.423199999999994,6.956,1.24088,29.6776
BAYBURT,Bayburt,28.8072,33.6648,37.556000000000004,56.215999999999994,6.8976,1.1916,25.259999999999998
BILECIK,Bilecik,28.3176,34.748,36.971199999999996,49.524800000000006,6.868,1.2503199999999999,24.2464
BINGOL,Bingol,28.900799999999997,34.244,36.894400000000005,56.1976,6.840799999999999,1.20168,28.616000000000003
BITLIS,Bitlis,24.0208,35.8664,40.14960000000001,56.9704,6.9056,1.21888,27.8824
BOLU,Bolu,25.1512,33.8816,41.0016,74.53120000000001,6.3576,1.14528,25.862399999999997
BURDUR,Burdur,25.6856,37.41600000000001,36.9336,36.7568,6.993599999999999,1.2794400000000001,25.991999999999997
BURSA,Bursa,26.85695,36.71695,36.470150000000004,56.22945,6.620900000000001,1.2401550000000001,24.2324
CANAKKALE,Canakkale,25.2866,40.44720000000001,34.30839999999999,67.322,6.3956,1.23476,24.278
CANKIRI,Cankiri,27.372000000000003,33.4544,39.2096,69.71440000000001,6.611200000000001,1.19168,25.2416
CORUM,Corum,29.549599999999998,29.868000000000002,40.6248,50.748000000000005,6.9799999999999995,1.2562400000000002,23.612000000000002
DENIZLI,Denizli,25.087199999999996,37.7016,37.24399999999999,37.927200000000006,6.750400000000001,1.2676,25.3264
DIYARBAKIR,Diyarbakir,34.6392,22.096,43.303999999999995,32.9008,7.2408,1.3172000000000001,30.531200000000002
EDIRNE,Edirne,31.728799999999996,31.621,36.6934,46.3876,6.7543999999999995,1.29254,24.4974
ELAZIG,Elazig,32.0092,25.740999999999996,42.2924,38.718971428571436,7.198599999999999,1.2545333333333333,29.1048
ERZINCAN,Erzincan,31.200800000000005,32.72879999999999,36.1072,52.7168,6.994400000000001,1.21488,25.1432
ERZURUM,Erzurum,26.205599999999997,34.2512,39.588,56.64799999999999,6.9384,1.22328,25.022399999999998
ESKISEHIR,Eskisehir,31.736,31.5768,36.7216,34.0552,7.3104,1.30456,24.3488
GAZIANTEP,Gaziantep,44.9465,17.4401,37.64365,23.887011764705882,7.2099,1.3726211764705885,29.317449999999997
GIRESUN,Giresun,29.821599999999997,31.8992,38.31439999999999,69.0888,6.4464,1.16656,25.3296
GUMUSHANE,Gumushane,30.7648,32.0192,37.2488,51.71999999999999,6.9992,1.21664,23.571999999999996
HAKKARI,Hakkari,27.924799999999998,30.493600000000004,41.624,58.242399999999996,7.188,1.21856,27.824
HATAY,Hatay,28.965600000000002,31.8998,39.17100000000001,46.2184,6.681400000000001,1.3427799999999999,26.129600000000003
MERSIN,Icel,25.351200000000002,38.046400000000006,36.639199999999995,44.23440000000001,7.1488,1.28456,24.238400000000002
IGDIR,Igdir,26.2856,33.0944,40.664,32.1976,7.362400000000001,1.32656,21.378399999999996
ISPARTA,Isparta,24.794766666666664,37.372933333333336,37.87089999999999,39.85516666666666,6.998266666666668,1.2519133333333334,24.143966666666664
ISTANBUL,Istanbul,30.418301960784316,28.829395614035086,40.7893701754386,58.15476512605043,6.847862590299277,1.2444255042016805,25.90814829721362
IZMIR,Izmir,27.345377777777777,34.57679999999999,38.11551111111111,43.34977777777778,6.649333333333334,1.2965377777777776,25.01991111111111
KAHRAMANMARAS,K.maras,31.1392,30.180799999999998,38.715999999999994,42.3224,7.2616,1.21512,27.843199999999996
KARABUK,Karabuk,24.2944,34.105599999999995,41.644,62.652,6.539199999999999,1.2130400000000001,26.270400000000002
KARAMAN,Karaman,34.664,21.4928,43.8728,22.880000000000003,7.5304,1.3388799999999998,19.501599999999996
KARS,Kars,30.4432,32.7024,36.8904,47.546400000000006,6.855199999999999,1.2468799999999998,26.836800000000004
KASTAMONU,Kastamonu,26.6072,33.684,39.7472,74.224,6.3904,1.1382400000000001,28.4
