province,province_norm,harvest_year,yield_kg_dekar
Adana,ADANA,2004,270.0
Adıyaman,ADIYAMAN,2004,135.0
Afyonkarahisar,AFYONKARAHISAR,2004,242.0
Aksaray,AKSARAY,2004,211.0
Amasya,AMASYA,2004,314.0
Ankara,ANKARA,2004,201.0
Antalya,ANTALYA,2004,274.0
Ardahan,ARDAHAN,2004,123.0
Artvin,ARTVIN,2004,153.0
Aydın,AYDIN,2004,379.0
Ağrı,AGRI,2004,108.0
Balıkesir,BALIKESIR,2004,277.0
Bartın,BARTIN,2004,161.0
Batman,BATMAN,2004,211.0
Bayburt,BAYBURT,2004,133.0
Bilecik,BILECIK,2004,258.0
Bingöl,BINGOL,2004,174.0
Bitlis,BITLIS,2004,111.0
Bolu,BOLU,2004,214.0
Burdur,BURDUR,2004,228.0
Bursa,BURSA,2004,262.0
Denizli,DENIZLI,2004,271.0
Diyarbakır,DIYARBAKIR,2004,235.0
Düzce,DUZCE,2004,244.0
Edirne,EDIRNE,2004,321.0
Elazığ,ELAZIG,2004,275.0
Erzincan,ERZINCAN,2004,193.0
Erzurum,ERZURUM,2004,105.0
Eskişehir,ESKISEHIR,2004,257.0
Gaziantep,GAZIANTEP,2004,296.0
Giresun,GIRESUN,2004,138.0
Gümüşhane,GUMUSHANE,2004,161.0
Hakkari,HAKKARI,2004,112.0
Hatay,HATAY,2004,302.0
Isparta,ISPARTA,2004,228.0
Iğdır,IGDIR,2004,225.0
Kahramanmaraş,KAHRAMANMARAS,2004,199.0
Karabük,KARABUK,2004,160.0
Karaman,KARAMAN,2004,229.0
Kars,KARS,2004,105.0
Kastamonu,KASTAMONU,2004,179.0
Kayseri,KAYSERI,2004,181.0
Kilis,KILIS,2004,169.0
Kocaeli,KOCAELI,2004,246.0
Konya,KONYA,2004,193.0
Kütahya,KUTAHYA,2004,223.0
Kırklareli,KIRKLARELI,2004,326.0
Kırıkkale,KIRIKKALE,2004,174.0
Kırşehir,KIRSEHIR,2004,243.0
Malatya,MALATYA,2004,162.0
Manisa,MANISA,2004,195.0
Mardin,MARDIN,2004,233.0
Mersin,MERSIN,2004,189.0
Muğla,MUGLA,2004,242.0
Muş,MUS,2004,120.0
Nevşehir,NEVSEHIR,2004,190.0
Niğde,NIGDE,2004,167.0
Ordu,ORDU,2004,117.0
Osmaniye,OSMANIYE,2004,287.0
Sakarya,SAKARYA,2004,299.0
Samsun,SAMSUN,2004,214.0
Siirt,SIIRT,2004,161.0
Sinop,SINOP,2004,157.0
Sivas,SIVAS,2004,150.0
Tekirdağ,TEKIRDAG,2004,428.0
Tokat,TOKAT,2004,230.0
Tunceli,TUNCELI,2004,113.0
Uşak,USAK,2004,245.0
Van,VAN,2004,94.0
Yalova,YALOVA,2004,244.0
Yozgat,YOZGAT,2004,210.0
Zonguldak,ZONGULDAK,2004,212.0
Çanakkale,CANAKKALE,2004,304.0
Çankırı,CANKIRI,2004,215.0
Çorum,CORUM,2004,247.0
İstanbul,ISTANBUL,2004,454.0
İzmir,IZMIR,2004,296.0
Şanlıurfa,SANLIURFA,2004,220.0
Şırnak,SIRNAK,2004,220.0
Adana,ADANA,2005,353.0
Adıyaman,ADIYAMAN,2005,225.0
Afyonkarahisar,AFYONKARAHISAR,2005,216.0
Aksaray,AKSARAY,2005,217.0
Amasya,AMASYA,2005,373.0
Ankara,ANKARA,2005,236.0
Antalya,ANTALYA,2005,254.0
Ardahan,ARDAHAN,2005,120.0
Artvin,ARTVIN,2005,211.0
Aydın,AYDIN,2005,411.0
Ağrı,AGRI,2005,110.0
Balıkesir,BALIKESIR,2005,304.0
Bartın,BARTIN,2005,173.0
Batman,BATMAN,2005,247.0
Bayburt,BAYBURT,2005,148.0
Bilecik,BILECIK,2005,273.0
Bingöl,BINGOL,2005,179.0
Bitlis,BITLIS,2005,131.0
Bolu,BOLU,2005,203.0
Burdur,BURDUR,2005,203.0
Bursa,BURSA,2005,278.0
Denizli,DENIZLI,2005,248.0
Diyarbakır,DIYARBAKIR,2005,235.0
Düzce,DUZCE,2005,247.0
Edirne,EDIRNE,2005,352.0
Elazığ,ELAZIG,2005,208.0
Erzincan,ERZINCAN,2005,197.0
Erzurum,ERZURUM,2005,109.0
Eskişehir,ESKISEHIR,2005,259.0
Gaziantep,GAZIANTEP,2005,316.0
Giresun,GIRESUN,2005,138.0
Gümüşhane,GUMUSHANE,2005,156.0
Hakkari,HAKKARI,2005,120.0
Hatay,HATAY,2005,377.0
Isparta,ISPARTA,2005,242.0
Iğdır,IGDIR,2005,220.0
Kahramanmaraş,KAHRAMANMARAS,2005,198.0
Karabük,KARABUK,2005,181.0
Karaman,KARAMAN,2005,164.0
Kars,KARS,2005,87.0
Kastamonu,KASTAMONU,2005,151.0
Kayseri,KAYSERI,2005,178.0
Kilis,KILIS,2005,264.0
Kocaeli,KOCAELI,2005,272.0
Konya,KONYA,2005,173.0
Kütahya,KUTAHYA,2005,215.0
Kırklareli,KIRKLARELI,2005,333.0
Kırıkkale,KIRIKKALE,2005,206.0
Kırşehir,KIRSEHIR,2005,241.0
Malatya,MALATYA,2005,147.0
Manisa,MANISA,2005,201.0
Mardin,MARDIN,2005,184.0
Mersin,MERSIN,2005,199.0
Muğla,MUGLA,2005,243.0
Muş,MUS,2005,127.0
Nevşehir,NEVSEHIR,2005,216.0
Niğde,NIGDE,2005,173.0
Ordu,ORDU,2005,110.0
Osmaniye,OSMANIYE,2005,347.0
Sakarya,SAKARYA,2005,296.0
Samsun,SAMSUN,2005,237.0
Siirt,SIIRT,2005,187.0
Sinop,SINOP,2005,158.0
Sivas,SIVAS,2005,167.0
Tekirdağ,TEKIRDAG,2005,405.0
Tokat,TOKAT,2005,220.0
Tunceli,TUNCELI,2005,94.0
Uşak,USAK,2005,269.0
Van,VAN,2005,89.0
Yalova,YALOVA,2005,278.0
Yozgat,YOZGAT,2005,251.0
Zonguldak,ZONGULDAK,2005,204.0
Çanakkale,CANAKKALE,2005,276.0
Çankırı,CANKIRI,2005,212.0
Çorum,CORUM,2005,252.0
İstanbul,ISTANBUL,2005,396.0
İzmir,IZMIR,2005,263.0
Şanlıurfa,SANLIURFA,2005,291.0
Şırnak,SIRNAK,2005,223.0
Adana,ADANA,2006,356.0
Adıyaman,ADIYAMAN,2006,235.0
Afyonkarahisar,AFYONKARAHISAR,2006,230.0
Aksaray,AKSARAY,2006,261.0
Amasya,AMASYA,2006,337.0
Ankara,ANKARA,2006,229.0
Antalya,ANTALYA,2006,251.0
Ardahan,ARDAHAN,2006,121.0
Artvin,ARTVIN,2006,210.0
Aydın,AYDIN,2006,397.0
Ağrı,AGRI,2006,118.0
Balıkesir,BALIKESIR,2006,296.0
Bartın,BARTIN,2006,195.0
Batman,BATMAN,2006,251.0
Bayburt,BAYBURT,2006,150.0
Bilecik,BILECIK,2006,217.0
Bingöl,BINGOL,2006,200.0
Bitlis,BITLIS,2006,138.0
Bolu,BOLU,2006,219.0
Burdur,BURDUR,2006,218.0
Bursa,BURSA,2006,280.0
Denizli,DENIZLI,2006,332.0
Diyarbakır,DIYARBAKIR,2006,286.0
Düzce,DUZCE,2006,266.0
Edirne,EDIRNE,2006,325.0
Elazığ,ELAZIG,2006,254.0
Erzincan,ERZINCAN,2006,221.0
Erzurum,ERZURUM,2006,116.0
Eskişehir,ESKISEHIR,2006,229.0
Gaziantep,GAZIANTEP,2006,336.0
Giresun,GIRESUN,2006,141.0
Gümüşhane,GUMUSHANE,2006,159.0
Hakkari,HAKKARI,2006,130.0
Hatay,HATAY,2006,379.0
Isparta,ISPARTA,2006,257.0
Iğdır,IGDIR,2006,235.0
Kahramanmaraş,KAHRAMANMARAS,2006,191.0
Karabük,KARABUK,2006,184.0
Karaman,KARAMAN,2006,213.0
Kars,KARS,2006,95.0
Kastamonu,KASTAMONU,2006,157.0
Kayseri,KAYSERI,2006,192.0
Kilis,KILIS,2006,219.0
Kocaeli,KOCAELI,2006,247.0
Konya,KONYA,2006,248.0
Kütahya,KUTAHYA,2006,231.0
Kırklareli,KIRKLARELI,2006,306.0
Kırıkkale,KIRIKKALE,2006,189.0
Kırşehir,KIRSEHIR,2006,225.0
Malatya,MALATYA,2006,156.0
Manisa,MANISA,2006,213.0
Mardin,MARDIN,2006,230.0
Mersin,MERSIN,2006,243.0
Muğla,MUGLA,2006,251.0
Muş,MUS,2006,122.0
Nevşehir,NEVSEHIR,2006,216.0
Niğde,NIGDE,2006,183.0
Ordu,ORDU,2006,134.0
Osmaniye,OSMANIYE,2006,340.0
Sakarya,SAKARYA,2006,235.0
Samsun,SAMSUN,2006,260.0
Siirt,SIIRT,2006,190.0
Sinop,SINOP,2006,166.0
Sivas,SIVAS,2006,163.0
Tekirdağ,TEKIRDAG,2006,340.0
Tokat,TOKAT,2006,236.0
Tunceli,TUNCELI,2006,95.0
Uşak,USAK,2006,228.0
Van,VAN,2006,124.0
Yalova,YALOVA,2006,248.0
Yozgat,YOZGAT,2006,201.0
Zonguldak,ZONGULDAK,2006,204.0
Çanakkale,CANAKKALE,2006,284.0
Çankırı,CANKIRI,2006,169.0
Çorum,CORUM,2006,206.0
İstanbul,ISTANBUL,2006,381.0
İzmir,IZMIR,2006,279.0
Şanlıurfa,SANLIURFA,2006,296.0
Şırnak,SIRNAK,2006,260.0
Adana,ADANA,2007,387.0
Adıyaman,ADIYAMAN,2007,236.0
Afyonkarahisar,AFYONKARAHISAR,2007,167.0
Aksaray,AKSARAY,2007,242.0
Amasya,AMASYA,2007,203.0
Ankara,ANKARA,2007,122.0
Antalya,ANTALYA,2007,232.0
Ardahan,ARDAHAN,2007,149.0
Artvin,ARTVIN,2007,240.0
Aydın,AYDIN,2007,319.0
Ağrı,AGRI,2007,142.0
Balıkesir,BALIKESIR,2007,256.0
Bartın,BARTIN,2007,198.0
Batman,BATMAN,2007,291.0
Bayburt,BAYBURT,2007,153.0
Bilecik,BILECIK,2007,200.0
Bingöl,BINGOL,2007,219.0
Bitlis,BITLIS,2007,140.0
Bolu,BOLU,2007,215.0
