date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,24.73,33.14,18.57,0.0,17.72
2004-10-02,22.95,30.24,17.78,0.0,16.39
2004-10-03,21.82,30.47,14.62,1.22,15.98
2004-10-04,20.83,28.89,14.54,0.05,18.03
2004-10-05,21.08,29.33,13.49,0.0,18.72
2004-10-06,21.19,29.0,16.0,0.16,11.63
2004-10-07,19.16,25.31,14.38,0.01,11.27
2004-10-08,17.77,23.36,13.72,0.55,12.88
2004-10-09,17.49,22.43,13.92,0.61,12.59
2004-10-10,18.1,24.5,12.62,1.17,16.23
2004-10-11,19.97,27.51,14.05,0.0,18.08
2004-10-12,22.53,30.4,15.58,0.0,17.28
2004-10-13,21.59,29.02,15.33,0.36,14.89
2004-10-14,20.02,24.51,16.27,0.89,15.54
2004-10-15,21.18,28.63,14.59,0.0,14.95
2004-10-16,21.01,26.97,15.48,0.0,13.18
2004-10-17,21.42,29.54,15.2,0.0,15.44
2004-10-18,22.76,31.13,15.97,0.0,15.65
2004-10-19,23.31,31.04,18.06,0.0,15.59
2004-10-20,20.8,28.26,15.14,0.16,15.18
2004-10-21,18.04,25.12,11.4,0.85,14.15
2004-10-22,16.94,25.02,10.11,0.0,14.57
2004-10-23,17.65,25.7,11.36,0.0,15.95
2004-10-24,18.59,25.86,12.94,0.0,15.09
2004-10-25,19.19,27.63,12.76,0.0,15.15
2004-10-26,20.49,28.63,14.19,0.0,14.44
2004-10-27,21.33,28.55,17.32,0.02,9.47
2004-10-28,22.85,30.33,16.95,0.61,12.93
2004-10-29,18.48,22.83,15.11,1.94,7.83
2004-10-30,17.01,20.99,13.61,0.44,10.78
2004-10-31,18.0,25.86,11.68,0.0,11.23
2004-11-01,17.81,24.36,12.8,0.0,12.91
2004-11-02,18.57,26.12,12.67,0.0,13.7
2004-11-03,18.09,25.91,12.64,0.0,13.34
2004-11-04,15.93,23.76,9.72,0.05,13.04
2004-11-05,15.13,23.61,8.65,0.0,13.77
2004-11-06,15.22,20.44,11.57,2.42,10.61
2004-11-07,14.72,18.69,12.28,0.31,10.04
2004-11-08,15.29,18.94,12.45,0.78,6.55
2004-11-09,15.29,18.92,13.03,0.66,7.28
2004-11-10,14.33,16.71,11.51,0.24,8.13
2004-11-11,15.56,20.67,11.76,0.06,10.17
2004-11-12,15.73,22.24,10.27,0.0,11.95
2004-11-13,16.15,22.96,10.74,0.0,12.48
2004-11-14,16.27,23.15,10.7,0.0,11.45
2004-11-15,14.14,18.56,11.68,0.03,5.41
2004-11-16,15.03,20.02,11.95,8.98,8.48
2004-11-17,11.68,14.22,7.82,19.29,4.65
2004-11-18,8.57,15.93,4.25,0.01,12.02
2004-11-19,8.99,15.16,3.2,0.28,11.92
2004-11-20,10.56,13.28,7.85,11.59,5.41
2004-11-21,12.52,14.27,7.36,48.1,2.16
2004-11-22,5.42,8.43,1.73,2.03,7.26
2004-11-23,1.62,6.24,-2.28,0.01,10.76
2004-11-24,2.37,8.33,-2.63,0.06,11.12
2004-11-25,5.43,8.5,1.89,21.38,3.02
2004-11-26,4.3,7.0,1.34,9.01,1.65
2004-11-27,0.13,5.18,-3.31,0.11,10.62
2004-11-28,2.06,8.12,-3.06,0.0,9.97
2004-11-29,3.46,9.82,-0.93,0.0,9.27
2004-11-30,4.96,12.03,0.17,0.0,11.01
2004-12-01,5.59,12.61,1.26,0.11,6.86
2004-12-02,6.41,14.9,1.35,0.0,10.37
2004-12-03,7.75,14.32,3.76,0.0,9.39
2004-12-04,8.63,14.87,3.49,0.0,9.52
2004-12-05,9.41,14.61,5.53,0.43,7.62
2004-12-06,7.73,13.51,3.07,0.16,8.91
