date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,22.76,29.9,17.64,0.0,19.07
2004-10-02,20.91,29.54,13.68,0.04,18.62
2004-10-03,18.49,25.97,12.93,0.0,17.04
2004-10-04,16.76,24.34,10.42,0.0,16.91
2004-10-05,16.91,24.99,9.2,0.0,18.64
2004-10-06,18.37,26.26,10.58,0.0,13.67
2004-10-07,18.33,26.42,12.1,0.0,16.92
2004-10-08,18.34,24.98,12.7,0.02,14.71
2004-10-09,17.21,23.01,11.9,0.0,17.47
2004-10-10,15.77,22.94,9.14,0.0,17.77
2004-10-11,17.51,24.37,11.11,0.0,17.58
2004-10-12,18.41,25.78,12.53,0.0,10.27
2004-10-13,16.08,23.45,10.45,0.0,8.69
2004-10-14,15.82,23.23,8.91,0.0,15.84
2004-10-15,18.4,25.21,11.77,0.0,15.31
2004-10-16,18.12,24.72,11.71,0.0,12.25
2004-10-17,18.07,25.14,10.74,0.0,13.5
2004-10-18,19.41,27.23,11.01,0.0,16.08
2004-10-19,20.4,27.5,15.98,0.0,16.47
2004-10-20,19.07,26.12,14.5,0.0,16.0
2004-10-21,14.29,19.26,8.85,0.64,9.75
2004-10-22,11.79,19.02,4.41,0.0,14.88
2004-10-23,12.64,20.91,4.87,0.0,16.25
2004-10-24,14.02,21.56,7.32,0.0,14.39
2004-10-25,15.18,22.89,8.36,0.0,14.61
2004-10-26,16.21,24.21,8.91,0.0,14.03
2004-10-27,18.21,25.82,12.56,0.0,9.97
2004-10-28,18.44,25.08,11.55,0.0,12.86
2004-10-29,14.05,16.26,10.7,7.84,3.01
2004-10-30,12.82,16.36,9.99,6.62,6.35
2004-10-31,11.83,16.54,8.93,1.4,10.55
2004-11-01,13.32,18.97,7.9,0.0,12.97
2004-11-02,14.02,20.2,7.82,0.0,13.03
2004-11-03,13.98,21.3,7.82,0.0,13.12
2004-11-04,9.11,15.16,3.58,0.66,8.93
2004-11-05,7.87,16.41,1.1,0.05,13.39
2004-11-06,7.54,12.2,3.52,17.56,1.82
2004-11-07,9.78,13.0,7.56,3.61,3.46
2004-11-08,10.5,15.93,6.73,2.46,9.79
2004-11-09,10.7,13.83,8.79,9.37,6.23
2004-11-10,10.87,15.72,7.27,0.83,5.14
2004-11-11,11.35,16.51,8.05,0.18,9.83
2004-11-12,11.79,18.36,7.57,0.0,11.97
2004-11-13,11.47,18.65,5.15,0.0,12.79
2004-11-14,11.12,18.26,4.22,0.0,12.84
2004-11-15,10.8,16.7,6.81,0.1,8.62
2004-11-16,9.41,12.88,6.9,2.65,5.34
2004-11-17,7.98,10.45,3.64,19.82,3.47
2004-11-18,4.56,10.31,-0.12,1.86,12.24
2004-11-19,3.99,11.41,-2.25,0.0,12.78
2004-11-20,5.74,9.85,2.22,0.13,6.25
2004-11-21,5.64,7.92,3.49,18.63,2.1
2004-11-22,4.18,7.4,-1.02,5.41,4.27
2004-11-23,-2.15,1.69,-6.46,4.93,11.87
2004-11-24,-2.85,3.51,-7.26,0.0,12.1
2004-11-25,-1.2,1.12,-2.87,3.88,2.38
2004-11-26,-1.76,0.21,-3.77,16.0,2.27
2004-11-27,-4.9,-0.76,-10.26,3.3,9.71
2004-11-28,-5.54,1.49,-10.24,0.0,11.16
2004-11-29,-3.64,3.03,-8.82,0.0,9.07
2004-11-30,-1.67,6.19,-6.21,0.0,10.22
2004-12-01,-0.5,5.92,-4.46,0.0,7.9
2004-12-02,-1.08,5.08,-4.18,0.0,11.23
2004-12-03,0.96,7.41,-3.59,0.0,9.02
2004-12-04,2.91,10.94,-2.15,0.0,10.59
2004-12-05,3.35,8.61,-0.56,0.45,7.94
2004-12-06,0.94,6.69,-2.88,0.06,9.42
2004-12-07,0.69,6.55,-2.95,0.07,8.75
2004-12-08,-0.6,3.9,-3.97,5.2,5.27
2004-12-09,-1.43,5.62,-4.7,0.0,10.52
2004-12-10,-2.32,2.98,-5.4,0.0,9.96
2004-12-11,-1.32,2.9,-4.78,0.0,4.66
2004-12-12,-3.14,1.21,-5.36,0.01,11.01
2004-12-13,-1.81,4.63,-6.63,0.0,10.72
2004-12-14,-1.8,3.95,-6.68,0.01,9.45
2004-12-15,-5.16,-0.84,-8.53,0.0,10.71
2004-12-16,-6.45,-0.98,-10.01,0.0,10.5
2004-12-17,-4.72,1.38,-10.15,0.0,10.56
2004-12-18,-3.17,1.11,-7.25,0.01,9.47
2004-12-19,-3.4,0.09,-5.46,0.34,5.9
2004-12-20,-2.86,0.52,-5.83,0.02,4.03
2004-12-21,0.16,6.12,-4.11,0.0,9.43
2004-12-22,0.99,7.91,-3.28,0.0,10.16
2004-12-23,0.3,2.49,-1.31,2.02,1.72
2004-12-24,0.09,1.09,-0.69,6.12,2.02
2004-12-25,0.67,5.07,-1.68,1.17,6.21
2004-12-26,-0.06,5.88,-2.99,0.0,10.4
2004-12-27,0.79,8.31,-3.14,0.0,10.34
2004-12-28,3.99,11.15,0.13,0.0,9.62
2004-12-29,4.11,8.93,0.92,0.0,8.73
2004-12-30,2.52,8.5,-0.47,0.0,7.66
2004-12-31,2.91,10.3,-0.86,0.0,10.05
2005-01-01,2.71,9.6,-1.3,0.0,8.55
2005-01-02,1.58,5.78,-2.29,2.48,6.26
2005-01-03,0.19,6.35,-3.15,0.06,10.37
2005-01-04,-0.37,4.91,-3.98,2.38,2.92
2005-01-05,-0.75,2.09,-4.27,6.28,2.94
2005-01-06,-2.4,2.56,-4.85,0.01,11.19
2005-01-07,-2.33,4.08,-5.97,0.0,10.22
2005-01-08,-1.91,4.57,-5.23,0.0,10.35
2005-01-09,-1.96,5.22,-6.32,0.0,10.78
2005-01-10,-0.76,6.04,-5.97,0.0,10.71
2005-01-11,-0.68,3.83,-3.51,0.0,11.61
2005-01-12,1.31,8.02,-3.1,0.0,11.43
2005-01-13,2.76,9.5,-1.61,0.0,11.58
2005-01-14,2.04,7.08,-1.72,0.0,10.08
2005-01-15,-0.28,2.56,-2.83,0.05,6.66
2005-01-16,-0.26,4.67,-3.12,0.0,8.1
2005-01-17,0.87,4.62,-1.31,1.06,7.56
2005-01-18,0.3,4.59,-2.07,3.43,5.89
2005-01-19,0.41,5.29,-3.1,0.03,9.46
2005-01-20,0.12,3.63,-1.61,1.28,7.24
2005-01-21,0.11,4.05,-2.61,0.25,6.0
2005-01-22,0.11,2.01,-1.35,2.87,1.83
2005-01-23,-0.46,2.47,-3.21,6.17,2.53
2005-01-24,-1.27,1.98,-7.04,6.12,10.79
2005-01-25,-3.27,2.54,-7.52,0.0,11.37
