date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,17.29,24.95,10.16,0.0,19.86
2004-10-02,13.89,22.83,6.71,0.0,19.48
2004-10-03,12.42,20.1,5.82,0.0,17.77
2004-10-04,11.83,19.07,6.5,0.0,17.86
2004-10-05,12.3,17.93,8.34,0.28,12.99
2004-10-06,10.88,17.66,4.65,2.1,11.93
2004-10-07,10.95,14.99,7.6,8.26,7.34
2004-10-08,10.56,14.37,7.25,10.03,9.96
2004-10-09,11.55,17.15,6.98,0.11,13.31
2004-10-10,13.74,20.25,8.07,0.0,17.97
2004-10-11,14.86,22.69,8.57,0.0,17.62
2004-10-12,14.31,22.31,8.88,0.01,15.08
2004-10-13,10.78,17.16,6.17,0.26,8.93
2004-10-14,12.24,21.24,4.08,0.01,16.26
2004-10-15,14.36,21.69,9.14,0.0,15.3
2004-10-16,15.25,21.82,9.47,0.0,14.79
2004-10-17,16.23,24.09,10.82,0.0,13.8
2004-10-18,16.21,24.59,10.02,0.0,16.2
2004-10-19,15.21,22.98,9.89,0.0,15.7
2004-10-20,14.37,22.02,9.05,0.0,13.24
2004-10-21,12.69,19.01,8.39,0.0,15.96
2004-10-22,13.18,20.43,8.33,0.0,15.54
2004-10-23,13.3,20.63,6.32,0.0,15.18
2004-10-24,13.9,21.16,8.59,0.0,14.91
2004-10-25,13.61,22.12,7.49,0.0,14.35
2004-10-26,14.24,22.19,7.98,0.0,14.3
2004-10-27,15.3,23.61,9.75,0.0,11.84
2004-10-28,14.8,21.52,9.71,0.0,12.62
2004-10-29,14.45,20.78,9.23,0.0,12.88
2004-10-30,14.03,20.66,8.47,0.0,12.97
2004-10-31,13.84,20.81,9.32,0.0,13.81
2004-11-01,13.57,20.92,8.64,0.0,13.87
2004-11-02,13.4,22.01,7.67,0.0,13.58
2004-11-03,11.13,18.89,6.59,0.0,13.45
2004-11-04,8.89,15.49,3.58,0.0,13.34
2004-11-05,6.35,15.12,-0.53,0.0,14.05
2004-11-06,9.89,16.26,4.97,0.11,10.96
2004-11-07,10.77,15.6,6.9,0.96,8.18
2004-11-08,10.56,15.85,6.55,0.09,8.71
2004-11-09,9.95,15.73,5.99,0.16,7.19
2004-11-10,9.89,13.97,6.45,0.17,7.09
2004-11-11,11.4,16.41,7.56,0.0,10.29
2004-11-12,11.91,17.78,7.17,0.0,11.54
2004-11-13,12.13,18.48,7.43,0.0,11.71
2004-11-14,11.05,18.67,5.34,2.6,7.44
2004-11-15,10.61,14.8,7.13,7.21,3.52
2004-11-16,8.61,13.53,5.86,2.49,8.4
2004-11-17,4.38,7.66,0.24,1.47,3.9
2004-11-18,1.93,8.25,-2.6,0.0,12.0
2004-11-19,3.79,12.26,-1.48,0.02,12.17
2004-11-20,6.93,11.15,2.99,14.72,4.37
2004-11-21,-1.62,2.63,-4.81,3.54,8.47
2004-11-22,-4.7,-2.37,-7.18,0.06,5.65
2004-11-23,-3.81,1.09,-6.8,0.0,11.29
2004-11-24,-0.95,4.57,-5.27,1.78,7.43
2004-11-25,-2.69,1.33,-5.69,6.21,4.15
2004-11-26,-5.63,-2.04,-8.57,0.07,7.67
2004-11-27,-5.21,0.27,-9.29,0.0,10.69
2004-11-28,-1.26,5.2,-5.83,0.0,9.31
2004-11-29,0.82,6.72,-2.86,0.0,10.28
2004-11-30,1.8,7.05,-1.12,0.08,6.17
2004-12-01,3.04,8.15,0.55,0.39,6.54
2004-12-02,4.02,10.63,0.26,0.0,9.37
2004-12-03,5.72,13.53,0.4,0.0,9.74
2004-12-04,6.3,14.84,1.19,0.0,7.36
2004-12-05,4.45,7.85,1.28,2.22,3.11
2004-12-06,3.34,8.37,0.08,0.04,8.85
2004-12-07,1.11,5.8,-2.38,1.8,3.18
2004-12-08,-1.67,4.16,-4.85,0.05,10.33
2004-12-09,-0.33,7.38,-5.07,0.0,10.11
2004-12-10,-0.8,4.49,-3.03,0.0,8.27
2004-12-11,-1.86,3.0,-4.8,0.01,7.83
2004-12-12,-2.06,3.35,-4.55,0.0,10.55
2004-12-13,-0.31,6.14,-3.68,0.0,10.64
2004-12-14,-1.59,2.71,-5.08,0.0,6.5
2004-12-15,-5.44,-1.58,-8.66,0.0,9.63
2004-12-16,-6.53,-0.82,-10.19,0.0,10.66
2004-12-17,-3.69,4.17,-10.02,0.0,10.13
2004-12-18,-1.09,3.64,-5.85,0.27,4.37
2004-12-19,1.04,4.26,-0.96,0.55,6.72
2004-12-20,1.79,5.81,0.01,0.27,4.87
2004-12-21,2.38,7.59,0.4,0.35,4.99
2004-12-22,2.24,6.41,-0.1,4.2,3.44
2004-12-23,0.3,4.67,-2.9,0.72,5.06
2004-12-24,-1.31,3.53,-4.72,0.1,8.24
2004-12-25,-2.25,4.02,-5.38,0.0,10.14
2004-12-26,0.23,7.99,-4.23,0.0,10.31
2004-12-27,2.73,7.66,-0.12,0.01,3.78
2004-12-28,4.03,11.9,0.79,0.11,6.98
2004-12-29,4.41,7.06,0.33,0.12,5.28
2004-12-30,6.22,10.63,2.87,0.01,6.05
2004-12-31,4.49,12.88,-0.47,0.01,8.14
2005-01-01,2.54,9.19,-1.25,0.26,6.53
2005-01-02,0.6,5.49,-3.42,0.12,3.46
2005-01-03,-1.61,3.75,-4.61,0.0,7.37
2005-01-04,-2.12,3.0,-5.08,0.25,5.79
2005-01-05,-2.52,2.06,-6.0,0.01,6.58
2005-01-06,0.19,5.2,-2.87,0.0,9.79
2005-01-07,0.58,5.9,-1.8,0.1,7.82
2005-01-08,-0.82,4.94,-4.19,0.02,8.38
2005-01-09,0.33,7.32,-4.32,0.0,11.02
2005-01-10,1.01,8.37,-2.8,0.0,10.98
2005-01-11,0.38,7.87,-3.08,0.0,11.21
2005-01-12,3.44,10.83,-1.2,0.0,11.25
2005-01-13,4.32,11.19,0.44,0.0,10.3
2005-01-14,1.65,5.84,-0.65,1.41,8.55
2005-01-15,1.2,5.77,-0.92,6.22,5.5
2005-01-16,0.37,3.91,-2.19,12.3,2.46
2005-01-17,-0.27,3.09,-2.69,4.82,5.15
2005-01-18,0.29,4.72,-2.53,0.01,6.95
2005-01-19,-0.1,4.95,-3.06,0.01,8.6
2005-01-20,0.63,5.69,-2.89,0.17,9.56
2005-01-21,2.1,5.83,0.24,1.52,6.06
2005-01-22,1.5,4.46,-0.13,1.34,5.88
2005-01-23,-2.68,0.54,-8.04,7.34,4.51
2005-01-24,-4.97,0.44,-7.73,0.02,9.4
2005-01-25,-0.04,3.83,-5.39,0.24,3.57
2005-01-26,3.25,6.78,1.49,0.44,6.59
2005-01-27,4.29,8.42,1.37,0.58,8.06
2005-01-28,5.76,8.95,3.68,4.2,6.6
2005-01-29,8.21,13.34,5.5,1.47,8.24
2005-01-30,4.14,7.79,-1.97,2.42,6.88
2005-01-31,0.17,5.87,-3.7,1.47,9.65
2005-02-01,-1.47,3.3,-4.38,0.55,6.79
2005-02-02,-1.87,2.7,-5.46,0.03,8.33
2005-02-03,0.42,3.62,-2.54,3.95,3.71
2005-02-04,-1.08,2.72,-4.82,3.73,7.94
2005-02-05,-2.46,2.24,-6.65,1.61,4.67
2005-02-06,-6.21,-2.09,-8.54,0.04,9.68
2005-02-07,-6.23,-2.89,-8.2,0.16,9.28
2005-02-08,-6.44,-1.46,-10.32,0.03,8.73
2005-02-09,-8.12,-2.58,-11.43,0.0,11.11
2005-02-10,-7.61,-1.16,-12.38,0.0,12.43
2005-02-11,-7.24,-0.55,-12.53,0.0,13.23
2005-02-12,-5.51,0.26,-11.68,0.0,13.92
2005-02-13,-1.91,4.44,-8.64,0.09,12.32
2005-02-14,1.77,5.67,-1.51,1.74,7.12
2005-02-15,3.11,6.9,1.19,2.47,8.62
2005-02-16,3.88,7.84,1.29,4.72,5.78
2005-02-17,3.64,9.64,-0.06,1.36,8.83
2005-02-18,2.9,6.64,-0.53,26.14,5.23
2005-02-19,1.52,8.11,-2.55,0.03,10.96
2005-02-20,0.29,3.88,-2.12,0.47,10.39
2005-02-21,0.89,5.44,-2.55,0.09,10.47
2005-02-22,3.09,8.73,-1.12,0.12,11.63
2005-02-23,3.45,9.66,-0.39,0.35,12.63
2005-02-24,4.34,11.11,0.13,0.48,10.67
2005-02-25,4.06,11.06,-0.55,0.0,14.74
2005-02-26,3.46,9.16,-0.97,1.63,7.34
2005-02-27,4.51,9.42,0.56,1.23,9.37
2005-02-28,4.37,7.93,2.13,7.12,7.21
2005-03-01,5.55,9.5,2.63,8.31,5.04
