date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2004-10-01,14.79,23.47,7.68,0.0,19.5
2004-10-02,13.38,21.04,7.47,0.14,17.63
2004-10-03,10.89,18.44,3.89,1.62,14.62
2004-10-04,8.4,14.52,3.54,2.72,10.31
2004-10-05,8.3,17.07,1.83,0.92,17.22
2004-10-06,9.58,18.12,1.23,0.23,16.22
2004-10-07,11.75,19.99,4.1,0.24,16.62
2004-10-08,12.23,20.06,6.53,3.83,16.35
2004-10-09,12.04,20.31,6.08,0.38,15.77
2004-10-10,8.08,15.76,1.68,0.01,17.55
2004-10-11,7.93,16.42,2.07,0.0,17.96
2004-10-12,8.36,17.15,0.4,0.14,16.63
2004-10-13,8.68,14.27,4.53,1.41,11.08
2004-10-14,7.52,14.64,0.99,0.75,11.83
2004-10-15,8.19,15.01,2.45,1.07,12.41
2004-10-16,8.08,14.91,3.36,3.38,12.9
2004-10-17,9.36,15.26,4.17,0.15,14.55
2004-10-18,10.35,17.39,5.5,0.01,15.72
2004-10-19,10.45,17.8,4.51,0.0,15.4
2004-10-20,9.93,17.71,3.92,0.0,13.72
2004-10-21,4.54,8.21,-2.5,10.13,2.03
2004-10-22,0.7,7.81,-4.24,2.01,10.2
2004-10-23,3.71,11.21,-2.17,0.0,16.01
2004-10-24,4.44,13.67,-1.27,0.0,15.04
2004-10-25,5.42,13.69,-0.29,0.0,14.81
2004-10-26,6.61,14.94,1.18,0.0,15.43
2004-10-27,7.93,16.54,1.5,0.0,14.38
2004-10-28,8.0,14.51,3.72,0.36,10.24
2004-10-29,9.09,15.26,4.22,0.23,12.22
2004-10-30,5.66,10.24,3.3,3.29,4.73
2004-10-31,6.1,11.91,2.55,2.36,9.01
2004-11-01,6.83,13.64,3.04,0.0,11.81
2004-11-02,6.75,13.46,1.72,0.03,11.44
2004-11-03,5.96,11.0,2.85,0.22,10.57
2004-11-04,1.75,5.67,-3.64,6.47,4.55
2004-11-05,-0.01,8.02,-5.3,0.07,13.0
2004-11-06,1.04,8.17,-3.1,0.02,13.22
2004-11-07,2.09,9.17,-3.45,0.34,5.14
2004-11-08,4.2,10.2,0.59,0.79,7.1
2004-11-09,4.68,12.05,0.15,0.27,6.18
2004-11-10,3.89,9.28,1.21,1.11,6.87
2004-11-11,3.99,9.89,-0.48,1.17,8.15
2004-11-12,4.29,10.68,-0.53,1.54,11.08
2004-11-13,4.26,10.76,-0.66,0.0,11.81
2004-11-14,3.92,9.97,0.23,0.0,11.94
2004-11-15,2.22,9.84,-2.45,0.0,11.59
2004-11-16,2.35,7.58,-0.17,2.69,2.8
2004-11-17,2.04,5.81,-0.53,10.83,2.07
